prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the adult found them the cheese .,FIND,THE,for,a girl brought her a coffee .,BRING,A,to,-34.809547424316406,-31.47595977783203,-35.338409423828125,-30.644371032714844
the woman found them the pot .,FIND,THE,for,a princess brought us a coffee .,BRING,A,to,-39.23509979248047,-34.77012634277344,-42.01332473754883,-37.08228302001953
the wife found me the chicken .,FIND,THE,for,a lady brought him a computer .,BRING,A,to,-36.12895965576172,-36.70561981201172,-35.37540054321289,-35.772945404052734
the employer found them the chicken .,FIND,THE,for,a colonel brought me a television .,BRING,A,to,-44.57014465332031,-42.28178405761719,-42.85398483276367,-39.80454635620117
the parent found them the cheese .,FIND,THE,for,a teacher brought him an engine .,BRING,A,to,-40.67713928222656,-36.66022872924805,-41.323848724365234,-35.7823486328125
the kid found him the juice .,FIND,THE,for,a mayor brought them an instrument .,BRING,A,to,-45.859371185302734,-42.868431091308594,-46.53302001953125,-41.55134582519531
the physician found us the candy .,FIND,THE,for,a colonel brought you a tea .,BRING,A,to,-43.45758438110352,-41.435279846191406,-42.50894165039063,-37.25593185424805
the lawyer found you the coffee .,FIND,THE,for,an aunt brought him a jacket .,BRING,A,to,-41.21970748901367,-37.83653259277344,-40.85568237304688,-35.32720184326172
the daughter found you the meal .,FIND,THE,for,a hero brought it a chocolate .,BRING,A,to,-43.651309967041016,-43.68857955932617,-43.65027618408203,-43.2137565612793
the employer found them the motor .,FIND,THE,for,a soldier brought us a cup .,BRING,A,to,-40.01729583740234,-37.060325622558594,-38.04637908935547,-33.358577728271484
the son found her the juice .,FIND,THE,for,an employee brought you a camera .,BRING,A,to,-37.84369659423828,-33.68592071533203,-39.92594528198242,-34.23235321044922
the author found me the candy .,FIND,THE,for,a parent brought us a meal .,BRING,A,to,-38.1670150756836,-36.33363723754883,-36.31951522827149,-32.54701614379883
the physician found him the pie .,FIND,THE,for,a prince brought us a motor .,BRING,A,to,-45.29750061035156,-41.4345817565918,-43.83677291870117,-39.47747802734375
the soldier found me the plate .,FIND,THE,for,a colonel brought you a bottle .,BRING,A,to,-37.335880279541016,-34.21366882324219,-36.35063552856445,-30.52698516845703
the employee found it the iron .,FIND,THE,for,a professor brought them a tea .,BRING,A,to,-41.65088272094727,-37.122161865234375,-40.23971939086914,-35.57508850097656
the actress found her the newspaper .,FIND,THE,for,a soldier brought me a telephone .,BRING,A,to,-38.82264709472656,-33.6759033203125,-38.18374252319336,-33.28092575073242
the reader found us the coat .,FIND,THE,for,a father brought me a beer .,BRING,A,to,-39.12890625,-35.60236740112305,-37.02680587768555,-31.948524475097656
the manager found it the juice .,FIND,THE,for,a doctor brought us a tea .,BRING,A,to,-39.292179107666016,-33.63290786743164,-39.03445816040039,-32.560455322265625
the bishop found it the instrument .,FIND,THE,for,a candidate brought you a chocolate .,BRING,A,to,-45.42449569702149,-41.21086120605469,-43.63312149047852,-39.713356018066406
the son found them the juice .,FIND,THE,for,a mayor brought me a coffee .,BRING,A,to,-41.77554702758789,-36.09819030761719,-42.10026550292969,-34.604469299316406
the actress found us the beer .,FIND,THE,for,an employer brought you a tea .,BRING,A,to,-44.404727935791016,-40.11104583740234,-45.50897979736328,-37.67924118041992
a manager found you a wire .,FIND,A,for,the husband brought us the newspaper .,BRING,THE,to,-36.56840515136719,-32.48898696899414,-36.787841796875,-31.5343017578125
an aunt found you an iron .,FIND,A,for,the secretary brought them the beer .,BRING,THE,to,-40.84917449951172,-37.157981872558594,-41.554683685302734,-36.39918518066406
a minister found you a glass .,FIND,A,for,the champion brought me the hat .,BRING,THE,to,-37.06766128540039,-34.808326721191406,-38.30295944213867,-33.847347259521484
an uncle found us a beer .,FIND,A,for,the parent brought you the chocolate .,BRING,THE,to,-41.39900207519531,-38.06647491455078,-41.13305282592773,-36.2944564819336
a captain found me a cheese .,FIND,A,for,the secretary brought her the juice .,BRING,THE,to,-40.8375358581543,-36.38142395019531,-40.09912872314453,-33.135040283203125
a buddy found us a jacket .,FIND,A,for,the pilot brought it the pie .,BRING,THE,to,-42.63373947143555,-39.974246978759766,-43.98524475097656,-41.31665802001953
a teacher found me a coat .,FIND,A,for,the mother brought you the plate .,BRING,THE,to,-35.16798782348633,-33.84184265136719,-36.65142440795898,-32.35277557373047
a lady found me a meal .,FIND,A,for,the mother brought it the coffee .,BRING,THE,to,-35.31906509399414,-38.30902099609375,-35.81482696533203,-38.55778884887695
an opponent found us an engine .,FIND,A,for,the author brought you the guitar .,BRING,THE,to,-39.13434600830078,-38.94955062866211,-39.60465240478516,-38.50510025024414
an employee found you a cheese .,FIND,A,for,the guy brought it the iron .,BRING,THE,to,-35.99589157104492,-36.122657775878906,-37.16035842895508,-37.69935989379883
a son found me a coffee .,FIND,A,for,the employee brought us the television .,BRING,THE,to,-36.944557189941406,-35.82868576049805,-36.68139266967773,-35.55398941040039
a captain found you a book .,FIND,A,for,the lady brought it the key .,BRING,THE,to,-32.90157699584961,-38.01885223388672,-32.263763427734375,-37.29893112182617
a boy found me a coffee .,FIND,A,for,the professor brought us the meal .,BRING,THE,to,-34.77246856689453,-32.01096725463867,-36.65061569213867,-31.74698829650879
a teacher found us a juice .,FIND,A,for,the bishop brought you the pie .,BRING,THE,to,-39.51091003417969,-35.062461853027344,-39.50923156738281,-33.767581939697266
a sheriff found you a tea .,FIND,A,for,the lawyer brought me the newspaper .,BRING,THE,to,-33.95050811767578,-29.908361434936523,-32.92613983154297,-27.03703689575196
an opponent found me a meal .,FIND,A,for,the lady brought you the cigarette .,BRING,THE,to,-37.228214263916016,-35.35079574584961,-37.68598937988281,-35.44704818725586
a princess found him a coffee .,FIND,A,for,the worker brought us the pie .,BRING,THE,to,-33.76168441772461,-31.30966186523437,-35.09904098510742,-31.16450500488281
a captain found him a tea .,FIND,A,for,the worker brought them the coffee .,BRING,THE,to,-30.213212966918945,-30.15404891967773,-32.63364791870117,-30.17974281311035
an employer found me a crystal .,FIND,A,for,the actor brought him the glass .,BRING,THE,to,-36.31986618041992,-36.40024185180664,-36.616485595703125,-34.9306640625
a prince found them a beer .,FIND,A,for,the mayor brought you the key .,BRING,THE,to,-33.25958633422852,-31.11441993713379,-33.38985061645508,-29.82456398010254
a cop found them a chicken .,FIND,A,for,the guy brought you the beer .,BRING,THE,to,-33.59419250488281,-31.37428855895996,-33.6396484375,-31.02828598022461
an opponent found me an engine .,FIND,A,for,the husband brought them the beer .,BRING,THE,to,-41.65218353271485,-39.84577941894531,-40.90296173095703,-37.60848236083984
a kid found us a chocolate .,FIND,A,for,the parent brought it the beer .,BRING,THE,to,-39.13825988769531,-36.42108917236328,-39.42078399658203,-36.27859878540039
a doctor found me a camera .,FIND,A,for,the secretary brought us the chocolate .,BRING,THE,to,-37.45337677001953,-34.80816650390625,-38.43379974365234,-33.207275390625
a sheriff found us a beer .,FIND,A,for,the priest brought him the pot .,BRING,THE,to,-37.31605911254883,-33.15970993041992,-36.271820068359375,-32.250179290771484
the guy got you the guitar .,GET,THE,for,a lady brought him a pie .,BRING,A,to,-32.064903259277344,-29.20992660522461,-32.097679138183594,-27.374187469482425
the man got me the iron .,GET,THE,for,a cousin brought you a bag .,BRING,A,to,-37.072784423828125,-33.46885681152344,-38.09937286376953,-32.7417106628418
the cousin got us the juice .,GET,THE,for,an uncle brought you an anchor .,BRING,A,to,-41.37125015258789,-37.35250854492188,-41.69242858886719,-36.02096939086914
the princess got us the hat .,GET,THE,for,a man brought her a book .,BRING,A,to,-29.91294479370117,-26.82791328430176,-29.61924362182617,-25.846635818481445
the soldier got us the log .,GET,THE,for,a girl brought her a coffee .,BRING,A,to,-38.51921081542969,-32.73021697998047,-39.205997467041016,-32.06382751464844
the minister got you the guitar .,GET,THE,for,a princess brought us a coffee .,BRING,A,to,-39.61936569213867,-34.31466293334961,-39.45342254638672,-33.12797927856445
the guest got me the machine .,GET,THE,for,a lady brought him a computer .,BRING,A,to,-33.199188232421875,-31.13677215576172,-32.02210235595703,-29.43231201171875
the buddy got you the coat .,GET,THE,for,a colonel brought me a television .,BRING,A,to,-43.018497467041016,-40.7686767578125,-42.8665771484375,-37.528751373291016
the soldier got you the cup .,GET,THE,for,a teacher brought him an engine .,BRING,A,to,-41.16574096679688,-38.2519760131836,-41.431766510009766,-37.288818359375
the wife got him the candy .,GET,THE,for,a mayor brought them an instrument .,BRING,A,to,-46.60274124145508,-41.92710113525391,-47.733642578125,-41.02407455444336
the soldier got us the candy .,GET,THE,for,a colonel brought you a tea .,BRING,A,to,-42.50285720825195,-37.657257080078125,-42.77605438232422,-35.95087432861328
the president got me the newspaper .,GET,THE,for,an aunt brought him a jacket .,BRING,A,to,-41.75688934326172,-36.98019409179688,-39.18258666992188,-32.185306549072266
the author got you the jacket .,GET,THE,for,a hero brought it a chocolate .,BRING,A,to,-44.7271728515625,-43.11390686035156,-44.71612930297852,-42.018192291259766
the reader got me the chocolate .,GET,THE,for,a soldier brought us a cup .,BRING,A,to,-37.77702331542969,-32.520042419433594,-38.35295104980469,-32.99408721923828
the man got me the ball .,GET,THE,for,an employee brought you a camera .,BRING,A,to,-38.559844970703125,-34.425437927246094,-37.03596496582031,-31.3967514038086
the son got me the card .,GET,THE,for,a parent brought us a meal .,BRING,A,to,-37.241546630859375,-34.14400100708008,-36.79113006591797,-32.06582260131836
the leader got you the juice .,GET,THE,for,a prince brought us a motor .,BRING,A,to,-44.53083419799805,-41.81644821166992,-44.83034896850586,-40.11275863647461
the woman got us the pie .,GET,THE,for,a colonel brought you a bottle .,BRING,A,to,-41.56730270385742,-38.04033660888672,-41.537723541259766,-36.49496841430664
the lady got him the engine .,GET,THE,for,a professor brought them a tea .,BRING,A,to,-44.290016174316406,-38.8498420715332,-43.084598541259766,-36.14210510253906
the uncle got you the pie .,GET,THE,for,a soldier brought me a telephone .,BRING,A,to,-41.40250396728516,-36.742801666259766,-41.55538940429688,-35.565711975097656
the woman got you the pie .,GET,THE,for,a father brought me a beer .,BRING,A,to,-36.43142318725586,-31.46930313110352,-34.10894012451172,-28.11909294128418
the singer got him the salad .,GET,THE,for,a doctor brought us a tea .,BRING,A,to,-38.518592834472656,-33.01807403564453,-39.72430419921875,-31.43458366394043
the child got us the tea .,GET,THE,for,a candidate brought you a chocolate .,BRING,A,to,-42.87539291381836,-38.41977691650391,-43.06979751586914,-37.51611328125
the scientist got it the juice .,GET,THE,for,a mayor brought me a coffee .,BRING,A,to,-44.06077575683594,-37.86680221557617,-43.317413330078125,-36.224571228027344
the minister got me the bottle .,GET,THE,for,an employer brought you a tea .,BRING,A,to,-45.24258041381836,-40.62213134765625,-46.51387023925781,-40.081687927246094
a physician got him a camera .,GET,A,for,the husband brought us the newspaper .,BRING,THE,to,-33.20902633666992,-31.33015823364257,-33.744083404541016,-31.8886661529541
a kid got her a tea .,GET,A,for,the secretary brought them the beer .,BRING,THE,to,-36.89895248413086,-35.72443771362305,-37.52083587646485,-33.632686614990234
a priest got us a chocolate .,GET,A,for,the champion brought me the hat .,BRING,THE,to,-37.267520904541016,-36.18056488037109,-38.29985427856445,-35.2519416809082
a child got us a beer .,GET,A,for,the parent brought you the chocolate .,BRING,THE,to,-39.524147033691406,-36.41421127319336,-39.2119369506836,-33.20114517211914
an actress got them a beer .,GET,A,for,the secretary brought her the juice .,BRING,THE,to,-37.47736358642578,-33.94569396972656,-36.79828643798828,-31.535531997680664
a leader got you a salad .,GET,A,for,the pilot brought it the pie .,BRING,THE,to,-42.650367736816406,-40.869171142578125,-45.144508361816406,-42.946815490722656
a champion got them a chocolate .,GET,A,for,the mother brought you the plate .,BRING,THE,to,-34.53427505493164,-33.753780364990234,-36.40787887573242,-34.29621124267578
a parent got him an instrument .,GET,A,for,the mother brought it the coffee .,BRING,THE,to,-34.720237731933594,-36.08885955810547,-38.55310821533203,-40.53639221191406
a reader got us a button .,GET,A,for,the author brought you the guitar .,BRING,THE,to,-38.12314987182617,-37.46114349365234,-37.94771194458008,-35.30157470703125
a colonel got me a meal .,GET,A,for,the guy brought it the iron .,BRING,THE,to,-39.93408966064453,-38.18989944458008,-40.29772186279297,-39.18743515014648
a winner got you a bag .,GET,A,for,the employee brought us the television .,BRING,THE,to,-42.79742813110352,-40.74834060668945,-41.632511138916016,-38.20037841796875
a brother got you a coat .,GET,A,for,the lady brought it the key .,BRING,THE,to,-32.889549255371094,-35.05004119873047,-36.22392654418945,-37.59805679321289
an opponent got you a juice .,GET,A,for,the professor brought us the meal .,BRING,THE,to,-38.67027282714844,-36.33677291870117,-37.367130279541016,-33.45692825317383
a singer got him a wire .,GET,A,for,the bishop brought you the pie .,BRING,THE,to,-38.64650344848633,-35.309329986572266,-40.18639373779297,-34.75016784667969
a kid got you a tea .,GET,A,for,the lawyer brought me the newspaper .,BRING,THE,to,-34.67648696899414,-31.05057907104492,-35.2799072265625,-29.459720611572266
a father got me a chocolate .,GET,A,for,the lady brought you the cigarette .,BRING,THE,to,-32.9335823059082,-32.48151779174805,-33.35493850708008,-30.429107666015625
a colonel got me a cup .,GET,A,for,the worker brought us the pie .,BRING,THE,to,-38.17534255981445,-36.125030517578125,-37.27965545654297,-34.1314697265625
a pilot got us a wire .,GET,A,for,the worker brought them the coffee .,BRING,THE,to,-38.59413909912109,-37.71559524536133,-38.55876159667969,-34.06340789794922
a husband got it a juice .,GET,A,for,the actor brought him the glass .,BRING,THE,to,-30.71742057800293,-31.265411376953125,-31.12546157836914,-30.43533706665039
a kid got us a tea .,GET,A,for,the mayor brought you the key .,BRING,THE,to,-34.67768859863281,-32.310401916503906,-36.30610656738281,-32.66741180419922
a husband got her a juice .,GET,A,for,the guy brought you the beer .,BRING,THE,to,-32.71083450317383,-31.437719345092773,-32.1954231262207,-29.546789169311523
a parent got me an instrument .,GET,A,for,the husband brought them the beer .,BRING,THE,to,-39.49856185913086,-36.59154510498047,-40.88361358642578,-37.36423873901367
a guest got me a juice .,GET,A,for,the parent brought it the beer .,BRING,THE,to,-41.72962951660156,-40.91250991821289,-40.58592224121094,-39.89605331420898
a priest got it a candy .,GET,A,for,the secretary brought us the chocolate .,BRING,THE,to,-34.30056381225586,-31.09415435791016,-34.144920349121094,-31.08288955688477
an author got them an iron .,GET,A,for,the priest brought him the pot .,BRING,THE,to,-33.476688385009766,-30.66998672485352,-32.96759033203125,-28.895606994628903
the king gave you the tea .,GIVE,THE,to,a lady brought him a pie .,BRING,A,to,-31.658855438232425,-31.34006690979004,-31.7194938659668,-29.58272933959961
the nurse gave me the salad .,GIVE,THE,to,a cousin brought you a bag .,BRING,A,to,-35.931129455566406,-33.40500259399414,-37.73210906982422,-32.9779167175293
the guy gave us the candy .,GIVE,THE,to,an uncle brought you an anchor .,BRING,A,to,-41.50062942504883,-38.72121810913086,-43.61625289916992,-39.343692779541016
the princess gave us the beer .,GIVE,THE,to,a man brought her a book .,BRING,A,to,-28.81602668762207,-27.46123504638672,-29.37371253967285,-27.03989601135254
the doctor gave me the tea .,GIVE,THE,to,a girl brought her a coffee .,BRING,A,to,-30.775035858154297,-29.570350646972656,-32.89567184448242,-28.86421203613281
the reader gave me the meal .,GIVE,THE,to,a princess brought us a coffee .,BRING,A,to,-40.37779235839844,-37.974266052246094,-39.92797088623047,-35.8763542175293
the princess gave her the cheese .,GIVE,THE,to,a lady brought him a computer .,BRING,A,to,-33.94767379760742,-31.16028213500977,-34.28995132446289,-30.03756332397461
the parent gave you the pot .,GIVE,THE,to,a colonel brought me a television .,BRING,A,to,-42.76094055175781,-43.30191802978516,-43.5118408203125,-41.104278564453125
the physician gave you the coffee .,GIVE,THE,to,a teacher brought him an engine .,BRING,A,to,-39.23093795776367,-37.70330429077149,-42.50690841674805,-36.44650268554688
the princess gave you the beer .,GIVE,THE,to,a mayor brought them an instrument .,BRING,A,to,-44.12985610961914,-43.54110336303711,-45.40800857543945,-42.26253128051758
the president gave us the salad .,GIVE,THE,to,a colonel brought you a tea .,BRING,A,to,-39.4445686340332,-35.548561096191406,-43.19660949707031,-36.38419342041016
the hero gave you the cheese .,GIVE,THE,to,an aunt brought him a jacket .,BRING,A,to,-39.51398849487305,-36.90608978271485,-41.92228317260742,-36.5623779296875
the candidate gave me the bag .,GIVE,THE,to,a hero brought it a chocolate .,BRING,A,to,-42.5751953125,-41.56543350219727,-43.64448547363281,-42.25912094116211
the boy gave you the bag .,GIVE,THE,to,a soldier brought us a cup .,BRING,A,to,-35.164283752441406,-33.79295349121094,-36.78335952758789,-32.12293243408203
the leader gave it the coffee .,GIVE,THE,to,an employee brought you a camera .,BRING,A,to,-36.021141052246094,-33.408145904541016,-38.14502334594727,-34.65848159790039
the actor gave me the juice .,GIVE,THE,to,a parent brought us a meal .,BRING,A,to,-36.47812271118164,-35.204002380371094,-39.4830207824707,-33.59999084472656
the candidate gave it the gun .,GIVE,THE,to,a prince brought us a motor .,BRING,A,to,-43.22767639160156,-41.73638534545898,-45.1362533569336,-41.11653900146485
the brother gave them the tea .,GIVE,THE,to,a colonel brought you a bottle .,BRING,A,to,-37.32735443115234,-35.591033935546875,-38.514156341552734,-34.58998107910156
the attorney gave us the beer .,GIVE,THE,to,a professor brought them a tea .,BRING,A,to,-40.38167572021485,-40.41050720214844,-43.29541015625,-37.72504425048828
the daughter gave you the salad .,GIVE,THE,to,a soldier brought me a telephone .,BRING,A,to,-37.41278839111328,-35.25624084472656,-40.840938568115234,-34.93539047241211
the sheriff gave them the anchor .,GIVE,THE,to,a father brought me a beer .,BRING,A,to,-36.49359130859375,-33.27674865722656,-37.880104064941406,-32.0001106262207
the guest gave him the motor .,GIVE,THE,to,a doctor brought us a tea .,BRING,A,to,-37.08489990234375,-32.59906768798828,-39.838165283203125,-32.36960220336914
the worker gave me the juice .,GIVE,THE,to,a candidate brought you a chocolate .,BRING,A,to,-40.18135070800781,-36.12333297729492,-42.34638214111328,-36.79782104492188
the secretary gave us the chicken .,GIVE,THE,to,a mayor brought me a coffee .,BRING,A,to,-37.6966552734375,-34.68246841430664,-40.72694778442383,-34.561275482177734
the adult gave me the pie .,GIVE,THE,to,an employer brought you a tea .,BRING,A,to,-43.9197998046875,-40.89055252075195,-44.54386138916016,-40.53255844116211
a physician gave you a hat .,GIVE,A,to,the husband brought us the newspaper .,BRING,THE,to,-33.9222297668457,-32.3784294128418,-35.51144027709961,-30.389766693115234
a cop gave me a crystal .,GIVE,A,to,the secretary brought them the beer .,BRING,THE,to,-38.50015258789063,-39.45694351196289,-42.55126953125,-39.08019256591797
a kid gave you a coffee .,GIVE,A,to,the champion brought me the hat .,BRING,THE,to,-38.45063018798828,-38.490867614746094,-41.98406600952149,-38.0937728881836
a winner gave it a coffee .,GIVE,A,to,the parent brought you the chocolate .,BRING,THE,to,-37.61236190795898,-36.97262573242188,-39.67506790161133,-37.361915588378906
a lady gave it a pie .,GIVE,A,to,the secretary brought her the juice .,BRING,THE,to,-35.0850944519043,-32.98868560791016,-35.142852783203125,-32.39617156982422
a professor gave me a chocolate .,GIVE,A,to,the pilot brought it the pie .,BRING,THE,to,-42.90803527832031,-43.399784088134766,-44.66659927368164,-43.03187561035156
an employee gave them a camera .,GIVE,A,to,the mother brought you the plate .,BRING,THE,to,-36.37348556518555,-36.5546989440918,-36.78633880615234,-35.25419616699219
