prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the guest drew the girl the guitar .,DRAW,THE,for,a parent brought a club a meal .,BRING,A,to,-43.89479064941406,-47.780887603759766,-43.32520294189453,-46.65357971191406
the chief drew the boy the newspaper .,DRAW,THE,for,a prince brought a business a motor .,BRING,A,to,-52.268463134765625,-52.61848449707031,-49.31216049194336,-49.13121032714844
the employee drew the king the engine .,DRAW,THE,for,a colonel brought a business a bottle .,BRING,A,to,-44.76263427734375,-47.670166015625,-45.56607055664063,-46.934268951416016
the husband drew the corporation the button .,DRAW,THE,for,a professor brought a band a tea .,BRING,A,to,-49.20261764526367,-48.3576774597168,-44.83478546142578,-45.0691032409668
the secretary drew the band the card .,DRAW,THE,for,a soldier brought a kid a telephone .,BRING,A,to,-44.24394989013672,-44.94506454467773,-44.09138107299805,-43.06818771362305
the opponent drew the winner the crystal .,DRAW,THE,for,a father brought a corporation a beer .,BRING,A,to,-51.12656021118164,-52.62930679321289,-48.29189300537109,-51.072242736816406
the professor drew the army the key .,DRAW,THE,for,a doctor brought a chief a tea .,BRING,A,to,-41.14213562011719,-40.51089477539063,-40.189697265625,-38.76094436645508
the kid drew the pilot the bowl .,DRAW,THE,for,a candidate brought a man a chocolate .,BRING,A,to,-46.08891677856445,-46.1649055480957,-41.61724472045898,-40.83879089355469
the girl drew the administration the instrument .,DRAW,THE,for,a mayor brought a priest a coffee .,BRING,A,to,-43.776763916015625,-45.02392959594727,-43.37177276611328,-42.70195388793945
the pilot drew the minister the coat .,DRAW,THE,for,an employer brought an attorney a tea .,BRING,A,to,-52.67266082763672,-48.279884338378906,-50.29899978637695,-46.045894622802734
a child drew a club a jacket .,DRAW,A,for,the husband brought the candidate the newspaper .,BRING,THE,to,-40.29658508300781,-43.39434814453125,-40.39285659790039,-40.5350341796875
a mother drew a colonel a crystal .,DRAW,A,for,the secretary brought the soldier the beer .,BRING,THE,to,-38.16723251342773,-40.79044342041016,-35.79568099975586,-36.99686813354492
a princess drew a king a button .,DRAW,A,for,the champion brought the guy the hat .,BRING,THE,to,-41.21841812133789,-42.88164520263672,-41.27709579467773,-42.17002487182617
a son drew a student a bell .,DRAW,A,for,the parent brought the buddy the chocolate .,BRING,THE,to,-42.80177688598633,-43.37023162841797,-43.17990493774414,-41.512672424316406
a pilot drew a professor a computer .,DRAW,A,for,the secretary brought the corporation the juice .,BRING,THE,to,-47.3907356262207,-49.2599983215332,-45.269962310791016,-44.614376068115234
a hero drew a prince an engine .,DRAW,A,for,the pilot brought the band the pie .,BRING,THE,to,-41.99018859863281,-44.25445175170898,-39.29387664794922,-39.70465469360352
a sheriff drew an administration a knife .,DRAW,A,for,the mother brought the club the plate .,BRING,THE,to,-41.69019317626953,-46.38156127929688,-41.70182418823242,-45.14540481567383
a worker drew an uncle a key .,DRAW,A,for,the mother brought the buddy the coffee .,BRING,THE,to,-42.06497573852539,-45.87945938110352,-40.73246383666992,-43.83683776855469
a chief drew a brother a crystal .,DRAW,A,for,the author brought the company the guitar .,BRING,THE,to,-42.324249267578125,-45.72343444824219,-40.55623245239258,-42.76848220825195
a student drew a prince a pot .,DRAW,A,for,the guy brought the author the iron .,BRING,THE,to,-40.95000457763672,-40.59856796264648,-41.926570892333984,-41.01256942749024
a husband drew a company a wire .,DRAW,A,for,the employee brought the doctor the television .,BRING,THE,to,-37.53394317626953,-43.80175018310547,-37.68077850341797,-42.34688568115234
an uncle drew a band a telephone .,DRAW,A,for,the lady brought the club the key .,BRING,THE,to,-37.37263107299805,-41.672550201416016,-36.12702178955078,-38.35438537597656
an aunt drew a corporation a crystal .,DRAW,A,for,the professor brought the kid the meal .,BRING,THE,to,-41.59316635131836,-44.13436126708984,-38.9731674194336,-40.228816986083984
a writer drew a woman a bowl .,DRAW,A,for,the bishop brought the club the pie .,BRING,THE,to,-43.625244140625,-48.23136901855469,-44.766632080078125,-48.0205307006836
a brother drew a business a coat .,DRAW,A,for,the lawyer brought the corporation the newspaper .,BRING,THE,to,-41.95558166503906,-44.85095977783203,-41.20235061645508,-40.78919219970703
a prince drew an opponent a jacket .,DRAW,A,for,the lady brought the administration the cigarette .,BRING,THE,to,-44.350242614746094,-49.51305389404297,-43.987064361572266,-46.28272247314453
a son drew an administration a telephone .,DRAW,A,for,the worker brought the corporation the pie .,BRING,THE,to,-37.68651580810547,-40.53047180175781,-40.50094604492188,-42.11400604248047
a man drew a scientist a plate .,DRAW,A,for,the worker brought the club the coffee .,BRING,THE,to,-41.536170959472656,-48.16625213623047,-41.07484436035156,-47.02949905395508
a soldier drew a singer a bag .,DRAW,A,for,the actor brought the aunt the glass .,BRING,THE,to,-37.55897903442383,-40.3508186340332,-36.83552551269531,-37.233184814453125
a father drew a brother a crystal .,DRAW,A,for,the mayor brought the actress the key .,BRING,THE,to,-40.90966796875,-42.61235427856445,-40.20384216308594,-40.59291076660156
a winner drew a husband an instrument .,DRAW,A,for,the guy brought the business the beer .,BRING,THE,to,-40.52275085449219,-43.53280258178711,-39.63431930541992,-41.81005096435547
a pilot drew a lawyer a telephone .,DRAW,A,for,the husband brought the business the beer .,BRING,THE,to,-41.98617935180664,-42.80972290039063,-40.1896858215332,-40.69468307495117
an adult drew a business a machine .,DRAW,A,for,the parent brought the king the beer .,BRING,THE,to,-42.01652526855469,-46.84442901611328,-40.65913772583008,-43.82127380371094
a guy drew an army a glass .,DRAW,A,for,the secretary brought the soldier the chocolate .,BRING,THE,to,-35.64469146728516,-37.80003356933594,-36.84948348999024,-38.40897750854492
a buddy drew a cousin a bell .,DRAW,A,for,the priest brought the partner the pot .,BRING,THE,to,-44.609657287597656,-46.86738967895508,-41.8003158569336,-43.369510650634766
the employee found the band the tea .,FIND,THE,for,a lady brought a club a pie .,BRING,A,to,-36.59413146972656,-41.21397399902344,-38.99370574951172,-41.226375579833984
the employee found the corporation the salad .,FIND,THE,for,a cousin brought a company a bag .,BRING,A,to,-39.46826934814453,-39.94451141357422,-39.23056411743164,-38.13281631469727
the nurse found the company the ball .,FIND,THE,for,an uncle brought a priest an anchor .,BRING,A,to,-43.19526672363281,-45.31803894042969,-43.41099166870117,-44.20841979980469
the guest found the author the bowl .,FIND,THE,for,a man brought an administration a book .,BRING,A,to,-38.18536758422852,-41.33295440673828,-38.48846435546875,-40.4593620300293
the adult found the club the cheese .,FIND,THE,for,a girl brought a guy a coffee .,BRING,A,to,-34.872764587402344,-37.12886047363281,-36.05293655395508,-35.751800537109375
the woman found the corporation the pot .,FIND,THE,for,a princess brought an adult a coffee .,BRING,A,to,-45.05939102172852,-46.54252624511719,-45.60101318359375,-45.7622299194336
the wife found the administration the chicken .,FIND,THE,for,a lady brought an employer a computer .,BRING,A,to,-42.83774948120117,-43.4776496887207,-41.232521057128906,-40.81841659545898
the employer found the band the chicken .,FIND,THE,for,a colonel brought a candidate a television .,BRING,A,to,-49.11313247680664,-53.3430290222168,-48.36865997314453,-49.61641693115234
the parent found the winner the cheese .,FIND,THE,for,a teacher brought a singer an engine .,BRING,A,to,-48.85751724243164,-49.58887100219727,-48.84476089477539,-47.95136260986328
the kid found the king the juice .,FIND,THE,for,a mayor brought a band an instrument .,BRING,A,to,-41.97859573364258,-45.65061950683594,-43.638816833496094,-44.62580871582031
the physician found the prince the candy .,FIND,THE,for,a colonel brought a business a tea .,BRING,A,to,-49.26387786865234,-49.97061538696289,-48.02478790283203,-46.57662963867188
the lawyer found the band the coffee .,FIND,THE,for,an aunt brought an army a jacket .,BRING,A,to,-47.32270812988281,-47.7577018737793,-45.84322738647461,-46.30651092529297
the daughter found the president the meal .,FIND,THE,for,a hero brought a wife a chocolate .,BRING,A,to,-43.50788116455078,-39.89217758178711,-42.00575256347656,-39.18374252319336
the employer found the administration the motor .,FIND,THE,for,a soldier brought a scientist a cup .,BRING,A,to,-42.8471908569336,-44.06556701660156,-47.31642532348633,-48.54463958740234
the son found the buddy the juice .,FIND,THE,for,an employee brought a business a camera .,BRING,A,to,-38.54657745361328,-43.3393783569336,-39.598480224609375,-41.64756774902344
the author found the worker the candy .,FIND,THE,for,a parent brought a club a meal .,BRING,A,to,-42.14738464355469,-46.90187454223633,-42.84368515014648,-46.0103874206543
the physician found the administration the pie .,FIND,THE,for,a prince brought a business a motor .,BRING,A,to,-46.47052764892578,-49.31810760498047,-48.939979553222656,-48.42627334594727
the soldier found the army the plate .,FIND,THE,for,a colonel brought a business a bottle .,BRING,A,to,-41.90198516845703,-44.04399490356445,-42.67228698730469,-41.94368743896485
the employee found the club the iron .,FIND,THE,for,a professor brought a band a tea .,BRING,A,to,-46.87508392333984,-48.37917709350586,-47.202030181884766,-46.738555908203125
the actress found the author the newspaper .,FIND,THE,for,a soldier brought a kid a telephone .,BRING,A,to,-45.00605392456055,-44.84230422973633,-46.42223358154297,-43.38398742675781
the reader found the cousin the coat .,FIND,THE,for,a father brought a corporation a beer .,BRING,A,to,-45.37472534179688,-48.114479064941406,-42.66672134399414,-41.684837341308594
the manager found the lady the juice .,FIND,THE,for,a doctor brought a chief a tea .,BRING,A,to,-41.60127258300781,-41.6776237487793,-42.50829315185547,-40.63997268676758
the bishop found the club the instrument .,FIND,THE,for,a candidate brought a man a chocolate .,BRING,A,to,-45.007362365722656,-45.12207794189453,-44.07706069946289,-43.09377670288086
the son found the buddy the juice .,FIND,THE,for,a mayor brought a priest a coffee .,BRING,A,to,-39.51733016967773,-39.89186096191406,-41.35747146606445,-40.507755279541016
the actress found the girl the beer .,FIND,THE,for,an employer brought an attorney a tea .,BRING,A,to,-48.764869689941406,-48.51716232299805,-48.62070846557617,-48.08324432373047
a manager found a hero a wire .,FIND,A,for,the husband brought the candidate the newspaper .,BRING,THE,to,-38.318016052246094,-40.447792053222656,-38.918418884277344,-40.610050201416016
an aunt found an uncle an iron .,FIND,A,for,the secretary brought the soldier the beer .,BRING,THE,to,-38.70995330810547,-40.94803237915039,-38.06901168823242,-40.82115936279297
a minister found a mayor a glass .,FIND,A,for,the champion brought the guy the hat .,BRING,THE,to,-39.30487823486328,-42.2314453125,-41.22115707397461,-42.11734771728516
an uncle found a band a beer .,FIND,A,for,the parent brought the buddy the chocolate .,BRING,THE,to,-45.71441650390625,-47.11614990234375,-43.68832015991211,-44.50592041015625
a captain found a club a cheese .,FIND,A,for,the secretary brought the corporation the juice .,BRING,THE,to,-43.485137939453125,-44.7229118347168,-42.46153259277344,-40.75792694091797
a buddy found a mother a jacket .,FIND,A,for,the pilot brought the band the pie .,BRING,THE,to,-44.70161437988281,-47.02231979370117,-42.93711853027344,-43.96905899047852
a teacher found an administration a coat .,FIND,A,for,the mother brought the club the plate .,BRING,THE,to,-39.738128662109375,-43.094688415527344,-40.46617889404297,-42.59687042236328
a lady found a corporation a meal .,FIND,A,for,the mother brought the buddy the coffee .,BRING,THE,to,-42.20109176635742,-44.16815948486328,-40.77039337158203,-41.31935501098633
an opponent found a club an engine .,FIND,A,for,the author brought the company the guitar .,BRING,THE,to,-40.415225982666016,-43.62211990356445,-39.19944763183594,-41.49099349975586
an employee found a lady a cheese .,FIND,A,for,the guy brought the author the iron .,BRING,THE,to,-39.38467025756836,-41.26365280151367,-40.946407318115234,-41.72793960571289
a son found a business a coffee .,FIND,A,for,the employee brought the doctor the television .,BRING,THE,to,-38.60335159301758,-42.25945281982422,-40.095306396484375,-43.04636764526367
a captain found a company a book .,FIND,A,for,the lady brought the club the key .,BRING,THE,to,-37.7841796875,-43.664249420166016,-36.816993713378906,-39.1041259765625
a boy found a president a coffee .,FIND,A,for,the professor brought the kid the meal .,BRING,THE,to,-37.21216583251953,-38.58907699584961,-37.82352828979492,-39.09127426147461
a teacher found a band a juice .,FIND,A,for,the bishop brought the club the pie .,BRING,THE,to,-40.34529876708984,-42.66391372680664,-41.72801971435547,-41.67195892333984
a sheriff found a guy a tea .,FIND,A,for,the lawyer brought the corporation the newspaper .,BRING,THE,to,-40.5708236694336,-43.15707015991211,-42.43361282348633,-42.59980010986328
an opponent found a corporation a meal .,FIND,A,for,the lady brought the administration the cigarette .,BRING,THE,to,-42.24811935424805,-46.52940368652344,-42.503692626953125,-44.907318115234375
a princess found a band a coffee .,FIND,A,for,the worker brought the corporation the pie .,BRING,THE,to,-42.03626251220703,-43.40450286865234,-43.41439056396485,-45.13248443603516
a captain found an actress a tea .,FIND,A,for,the worker brought the club the coffee .,BRING,THE,to,-35.591644287109375,-40.761375427246094,-36.1680793762207,-39.23669052124024
an employer found a parent a crystal .,FIND,A,for,the actor brought the aunt the glass .,BRING,THE,to,-39.32215118408203,-42.85802459716797,-37.94922637939453,-42.06743621826172
a prince found a reader a beer .,FIND,A,for,the mayor brought the actress the key .,BRING,THE,to,-40.07314300537109,-40.98562240600586,-41.92011260986328,-42.3289909362793
a cop found a club a chicken .,FIND,A,for,the guy brought the business the beer .,BRING,THE,to,-37.45516204833984,-39.80529022216797,-37.87433242797852,-39.75973892211914
an opponent found a club an engine .,FIND,A,for,the husband brought the business the beer .,BRING,THE,to,-42.563255310058594,-45.88931655883789,-41.19809722900391,-43.92264938354492
a kid found a student a chocolate .,FIND,A,for,the parent brought the king the beer .,BRING,THE,to,-40.493919372558594,-42.81606674194336,-42.66554641723633,-44.78783416748047
a doctor found a scientist a camera .,FIND,A,for,the secretary brought the soldier the chocolate .,BRING,THE,to,-37.83815002441406,-40.28374481201172,-38.52089691162109,-38.42830276489258
a sheriff found a lawyer a beer .,FIND,A,for,the priest brought the partner the pot .,BRING,THE,to,-39.81632995605469,-43.443355560302734,-42.94275665283203,-45.763282775878906
the guy got the company the guitar .,GET,THE,for,a lady brought a club a pie .,BRING,A,to,-38.91536712646485,-46.21831130981445,-38.97262191772461,-43.60478210449219
the man got the partner the iron .,GET,THE,for,a cousin brought a company a bag .,BRING,A,to,-40.34945297241211,-42.00239944458008,-40.90884399414063,-40.4125862121582
the cousin got the band the juice .,GET,THE,for,an uncle brought a priest an anchor .,BRING,A,to,-43.52637481689453,-42.90241622924805,-43.49128723144531,-41.87022399902344
the princess got the company the hat .,GET,THE,for,a man brought an administration a book .,BRING,A,to,-36.46630096435547,-40.34326934814453,-38.29513549804688,-40.12480926513672
the soldier got the army the log .,GET,THE,for,a girl brought a guy a coffee .,BRING,A,to,-32.44728088378906,-32.128662109375,-33.14963912963867,-31.21815490722656
the minister got the husband the guitar .,GET,THE,for,a princess brought an adult a coffee .,BRING,A,to,-47.08326721191406,-46.56191253662109,-45.88803863525391,-44.00371551513672
the guest got the company the machine .,GET,THE,for,a lady brought an employer a computer .,BRING,A,to,-39.82496643066406,-40.11606216430664,-39.44005584716797,-39.08487701416016
the buddy got the army the coat .,GET,THE,for,a colonel brought a candidate a television .,BRING,A,to,-48.40065002441406,-49.829681396484375,-47.28516006469727,-46.8416633605957
the soldier got the administration the cup .,GET,THE,for,a teacher brought a singer an engine .,BRING,A,to,-46.5847282409668,-48.564720153808594,-43.96181488037109,-43.89532470703125
the wife got the lawyer the candy .,GET,THE,for,a mayor brought a band an instrument .,BRING,A,to,-44.87798309326172,-48.80767059326172,-45.83742904663086,-48.48069381713867
the soldier got the professor the candy .,GET,THE,for,a colonel brought a business a tea .,BRING,A,to,-45.24348831176758,-48.08904266357422,-46.2288932800293,-46.38038635253906
the president got the administration the newspaper .,GET,THE,for,an aunt brought an army a jacket .,BRING,A,to,-49.04921722412109,-49.95137405395508,-48.11160659790039,-47.88016891479492
the author got the corporation the jacket .,GET,THE,for,a hero brought a wife a chocolate .,BRING,A,to,-42.90231704711914,-42.36471557617188,-44.713077545166016,-42.37116241455078
the reader got the guy the chocolate .,GET,THE,for,a soldier brought a scientist a cup .,BRING,A,to,-43.59843826293945,-44.93891906738281,-43.13445281982422,-43.510066986083984
the man got the guy the ball .,GET,THE,for,an employee brought a business a camera .,BRING,A,to,-39.047847747802734,-44.08695983886719,-40.47259521484375,-43.56318283081055
the son got the administration the card .,GET,THE,for,a parent brought a club a meal .,BRING,A,to,-42.192626953125,-44.55633163452149,-41.18788909912109,-43.1916389465332
the leader got the professor the juice .,GET,THE,for,a prince brought a business a motor .,BRING,A,to,-46.80656814575195,-48.88311767578125,-48.51424026489258,-47.981224060058594
the woman got the administration the pie .,GET,THE,for,a colonel brought a business a bottle .,BRING,A,to,-45.2225341796875,-48.590633392333984,-45.22006988525391,-46.73781967163086
the lady got the club the engine .,GET,THE,for,a professor brought a band a tea .,BRING,A,to,-51.614444732666016,-50.25443649291992,-46.52620697021485,-43.36381912231445
the uncle got the army the pie .,GET,THE,for,a soldier brought a kid a telephone .,BRING,A,to,-42.80281448364258,-41.22867202758789,-40.9716682434082,-38.400516510009766
the woman got the administration the pie .,GET,THE,for,a father brought a corporation a beer .,BRING,A,to,-41.49733352661133,-42.968528747558594,-41.26522064208984,-39.80284118652344
the singer got the administration the salad .,GET,THE,for,a doctor brought a chief a tea .,BRING,A,to,-46.97867202758789,-47.49992752075195,-44.62896728515625,-42.030155181884766
the child got the business the tea .,GET,THE,for,a candidate brought a man a chocolate .,BRING,A,to,-39.12468719482422,-39.827415466308594,-42.11094665527344,-41.84488677978516
the scientist got the kid the juice .,GET,THE,for,a mayor brought a priest a coffee .,BRING,A,to,-41.56572341918945,-41.01169204711914,-42.8251953125,-39.98333740234375
the minister got the cop the bottle .,GET,THE,for,an employer brought an attorney a tea .,BRING,A,to,-49.302642822265625,-47.63312149047852,-49.60202407836914,-46.70925521850586
a physician got a club a camera .,GET,A,for,the husband brought the candidate the newspaper .,BRING,THE,to,-42.1551513671875,-44.28184509277344,-40.5146369934082,-41.433738708496094
a kid got a brother a tea .,GET,A,for,the secretary brought the soldier the beer .,BRING,THE,to,-39.26652145385742,-41.79481506347656,-38.52500534057617,-39.955657958984375
a priest got an administration a chocolate .,GET,A,for,the champion brought the guy the hat .,BRING,THE,to,-42.71335220336914,-45.02375411987305,-42.99329376220703,-45.15822982788086
a child got an administration a beer .,GET,A,for,the parent brought the buddy the chocolate .,BRING,THE,to,-42.22088241577149,-43.73221206665039,-41.80842208862305,-42.36269378662109
an actress got a guest a beer .,GET,A,for,the secretary brought the corporation the juice .,BRING,THE,to,-44.73134231567383,-44.69395065307617,-47.2117805480957,-44.86925506591797
a leader got a king a salad .,GET,A,for,the pilot brought the band the pie .,BRING,THE,to,-39.911251068115234,-42.351341247558594,-40.09995269775391,-39.44539260864258
a champion got an army a chocolate .,GET,A,for,the mother brought the club the plate .,BRING,THE,to,-37.75893783569336,-41.63543319702149,-38.24784469604492,-40.00045776367188
a parent got a corporation an instrument .,GET,A,for,the mother brought the buddy the coffee .,BRING,THE,to,-45.667877197265625,-47.89601135253906,-44.69487762451172,-46.523536682128906
a reader got a band a button .,GET,A,for,the author brought the company the guitar .,BRING,THE,to,-39.20714569091797,-41.69258880615234,-37.12622833251953,-39.76005554199219
a colonel got a doctor a meal .,GET,A,for,the guy brought the author the iron .,BRING,THE,to,-45.41183853149414,-46.218299865722656,-45.2962760925293,-45.67793655395508
a winner got a manager a bag .,GET,A,for,the employee brought the doctor the television .,BRING,THE,to,-39.95925521850586,-43.78852081298828,-39.46488952636719,-42.42338943481445
a brother got a band a coat .,GET,A,for,the lady brought the club the key .,BRING,THE,to,-35.59565734863281,-38.69417190551758,-36.11252975463867,-36.903419494628906
an opponent got a band a juice .,GET,A,for,the professor brought the kid the meal .,BRING,THE,to,-41.23918533325195,-43.48223876953125,-41.89003372192383,-43.25994491577149
a singer got an administration a wire .,GET,A,for,the bishop brought the club the pie .,BRING,THE,to,-41.37078857421875,-45.2819938659668,-41.08847427368164,-42.97746276855469
a kid got a brother a tea .,GET,A,for,the lawyer brought the corporation the newspaper .,BRING,THE,to,-42.34392166137695,-43.6876220703125,-42.72337341308594,-41.73441696166992
a father got an adult a chocolate .,GET,A,for,the lady brought the administration the cigarette .,BRING,THE,to,-39.4283561706543,-44.92377471923828,-39.16216278076172,-44.90082550048828
a colonel got a candidate a cup .,GET,A,for,the worker brought the corporation the pie .,BRING,THE,to,-44.080963134765625,-48.21177673339844,-40.71248245239258,-43.530235290527344
a pilot got an army a wire .,GET,A,for,the worker brought the club the coffee .,BRING,THE,to,-41.912330627441406,-49.41992568969727,-39.42457962036133,-43.465599060058594
a husband got an employer a juice .,GET,A,for,the actor brought the aunt the glass .,BRING,THE,to,-36.94558334350586,-42.44966125488281,-39.176048278808594,-41.92327880859375
a kid got a brother a tea .,GET,A,for,the mayor brought the actress the key .,BRING,THE,to,-40.48085021972656,-42.40615081787109,-41.83804321289063,-43.19776916503906
a husband got an employer a juice .,GET,A,for,the guy brought the business the beer .,BRING,THE,to,-35.84392166137695,-38.31448745727539,-36.84988784790039,-35.85820388793945
a parent got a corporation an instrument .,GET,A,for,the husband brought the business the beer .,BRING,THE,to,-38.89251327514648,-41.55451202392578,-39.35257339477539,-43.424949645996094
a guest got an army a juice .,GET,A,for,the parent brought the king the beer .,BRING,THE,to,-39.443359375,-41.76977157592773,-41.470699310302734,-41.88338851928711
a priest got an administration a candy .,GET,A,for,the secretary brought the soldier the chocolate .,BRING,THE,to,-35.259666442871094,-37.71568298339844,-34.3587760925293,-36.33980941772461
an author got a bishop an iron .,GET,A,for,the priest brought the partner the pot .,BRING,THE,to,-38.37055206298828,-41.96617126464844,-38.294395446777344,-39.73587417602539
the king gave the candidate the tea .,GIVE,THE,to,a lady brought a club a pie .,BRING,A,to,-35.90493392944336,-45.99795150756836,-39.62647247314453,-47.701698303222656
the nurse gave the business the salad .,GIVE,THE,to,a cousin brought a company a bag .,BRING,A,to,-36.04999542236328,-39.57770538330078,-41.03627395629883,-40.61417388916016
the guy gave the administration the candy .,GIVE,THE,to,an uncle brought a priest an anchor .,BRING,A,to,-44.20341491699219,-46.01828384399414,-46.34761428833008,-47.71439743041992
the princess gave the business the beer .,GIVE,THE,to,a man brought an administration a book .,BRING,A,to,-34.74846649169922,-39.54813766479492,-38.652339935302734,-40.766937255859375
the doctor gave the teacher the tea .,GIVE,THE,to,a girl brought a guy a coffee .,BRING,A,to,-28.409727096557617,-30.553447723388672,-31.15608024597168,-31.613327026367188
the reader gave the business the meal .,GIVE,THE,to,a princess brought an adult a coffee .,BRING,A,to,-44.166900634765625,-45.70208358764648,-46.375099182128906,-46.12639999389648
the princess gave the cousin the cheese .,GIVE,THE,to,a lady brought an employer a computer .,BRING,A,to,-40.59247589111328,-42.44123077392578,-42.19106674194336,-41.25049591064453
the parent gave the cop the pot .,GIVE,THE,to,a colonel brought a candidate a television .,BRING,A,to,-46.62874984741211,-49.8553466796875,-46.30303192138672,-47.41041946411133
the physician gave the writer the coffee .,GIVE,THE,to,a teacher brought a singer an engine .,BRING,A,to,-42.37078857421875,-44.50362777709961,-47.66121673583984,-46.25226593017578
the princess gave the business the beer .,GIVE,THE,to,a mayor brought a band an instrument .,BRING,A,to,-40.67407989501953,-44.91128158569336,-43.496219635009766,-44.477989196777344
the president gave the champion the salad .,GIVE,THE,to,a colonel brought a business a tea .,BRING,A,to,-44.63954162597656,-46.6291618347168,-45.91939926147461,-45.925819396972656
the hero gave the winner the cheese .,GIVE,THE,to,an aunt brought an army a jacket .,BRING,A,to,-43.90764236450195,-47.3629150390625,-44.51811599731445,-46.01293182373047
the candidate gave the administration the bag .,GIVE,THE,to,a hero brought a wife a chocolate .,BRING,A,to,-47.10169219970703,-44.06826400756836,-48.217735290527344,-45.18394088745117
the boy gave the captain the bag .,GIVE,THE,to,a soldier brought a scientist a cup .,BRING,A,to,-40.360816955566406,-39.77853393554688,-42.205848693847656,-39.06109237670898
the leader gave the lawyer the coffee .,GIVE,THE,to,an employee brought a business a camera .,BRING,A,to,-38.85835647583008,-43.3052864074707,-41.33186721801758,-44.09805679321289
the actor gave the child the juice .,GIVE,THE,to,a parent brought a club a meal .,BRING,A,to,-40.40165328979492,-47.83992004394531,-39.554664611816406,-46.27766418457031
the candidate gave the administration the gun .,GIVE,THE,to,a prince brought a business a motor .,BRING,A,to,-51.38677978515625,-53.943145751953125,-52.67868041992188,-53.53980255126953
the brother gave the cousin the tea .,GIVE,THE,to,a colonel brought a business a bottle .,BRING,A,to,-42.84681701660156,-45.91862869262695,-43.27311706542969,-44.6209831237793
the attorney gave the man the beer .,GIVE,THE,to,a professor brought a band a tea .,BRING,A,to,-46.9644775390625,-47.65773391723633,-49.36268615722656,-48.10702133178711
the daughter gave the manager the salad .,GIVE,THE,to,a soldier brought a kid a telephone .,BRING,A,to,-42.72665786743164,-43.29427337646485,-45.35940170288086,-44.66462326049805
the sheriff gave the colonel the anchor .,GIVE,THE,to,a father brought a corporation a beer .,BRING,A,to,-43.95216369628906,-45.638519287109375,-44.38310623168945,-45.17155838012695
the guest gave the president the motor .,GIVE,THE,to,a doctor brought a chief a tea .,BRING,A,to,-42.03935241699219,-42.57746887207031,-42.9697494506836,-40.52740097045898
the worker gave the student the juice .,GIVE,THE,to,a candidate brought a man a chocolate .,BRING,A,to,-38.7608757019043,-40.1546630859375,-38.67118453979492,-39.65424728393555
the secretary gave the woman the chicken .,GIVE,THE,to,a mayor brought a priest a coffee .,BRING,A,to,-38.11507797241211,-38.90784454345703,-40.49707794189453,-38.91130828857422
