text,structure,verb,det,prep,sen_prob_nospace,tokens,log_prob_tokens
a colonel brought a tea to you .,PD,BRING,A,to,-66.49556732177734,▁A|▁colon|el|▁brought|▁a|▁tea|▁to|▁you|.,"[-11.423389434814453, -9.612052917480469, -3.3462724685668945, -9.964956283569336, -1.3735599517822266, -11.341456413269043, -3.835834264755249, -14.042086601257324, -1.5559602975845337]"
a colonel brought you a tea .,DO,BRING,A,to,-53.60434341430664,▁A|▁colon|el|▁brought|▁you|▁a|▁tea|.,"[-11.423389434814453, -9.612052917480469, -3.346273899078369, -9.96495532989502, -7.301924705505371, -1.8479284048080444, -7.0231451988220215, -3.0846760272979736]"
an aunt brought a jacket to him .,PD,BRING,A,to,-53.079833984375,▁An|▁a|unt|▁brought|▁a|▁jack|et|▁to|▁him|.,"[-11.601554870605469, -7.417680740356445, -5.539560794830322, -7.722719669342041, -1.7980282306671143, -9.35052490234375, -0.13013063371181488, -0.7556930184364319, -6.73675537109375, -2.027186393737793]"
an aunt brought him a jacket .,DO,BRING,A,to,-49.01952362060547,▁An|▁a|unt|▁brought|▁him|▁a|▁jack|et|.,"[-11.601554870605469, -7.417680740356445, -5.539560794830322, -7.722719669342041, -4.002354621887207, -2.206631660461426, -7.991222381591797, -0.12738342583179474, -2.4104154109954834]"
a hero brought a chocolate to it .,PD,BRING,A,to,-65.90044403076172,▁A|▁hero|▁brought|▁a|▁ch|oc|olate|▁to|▁it|.,"[-11.423389434814453, -9.334790229797363, -11.189779281616211, -5.532873630523682, -5.335746765136719, -3.4130587577819824, -0.0010150285670533776, -5.409513473510742, -11.407936096191406, -2.8523454666137695]"
a hero brought it a chocolate .,DO,BRING,A,to,-60.87775039672852,▁A|▁hero|▁brought|▁it|▁a|▁ch|oc|olate|.,"[-11.423389434814453, -9.334790229797363, -11.189779281616211, -8.647510528564453, -6.118215560913086, -6.039547920227051, -3.049269199371338, -0.011743344366550446, -5.063506126403809]"
a soldier brought a cup to us .,PD,BRING,A,to,-51.58009719848633,▁A|▁soldier|▁brought|▁a|▁cup|▁to|▁us|.,"[-11.423389434814453, -9.249421119689941, -8.405288696289062, -1.8346714973449707, -6.881394386291504, -3.9696860313415527, -7.939458847045898, -1.8767887353897095]"
a soldier brought us a cup .,DO,BRING,A,to,-50.83635711669922,▁A|▁soldier|▁brought|▁us|▁a|▁cup|.,"[-11.423389434814453, -9.249421119689941, -8.405289649963379, -6.4229841232299805, -1.1862682104110718, -5.466796398162842, -8.682208061218262]"
an employee brought a camera to you .,PD,BRING,A,to,-49.33772659301758,▁An|▁employee|▁brought|▁a|▁camera|▁to|▁you|.,"[-11.601554870605469, -6.139541149139404, -7.576320171356201, -0.5270624756813049, -6.704636573791504, -0.24817608296871185, -13.046481132507324, -3.4939515590667725]"
an employee brought you a camera .,DO,BRING,A,to,-45.57060623168945,▁An|▁employee|▁brought|▁you|▁a|▁camera|.,"[-11.601554870605469, -6.139541149139404, -7.576317310333252, -7.356139659881592, -0.27588319778442383, -8.112691879272461, -4.5084757804870605]"
a parent brought a meal to us .,PD,BRING,A,to,-53.894927978515625,▁A|▁parent|▁brought|▁a|▁me|al|▁to|▁us|.,"[-11.423389434814453, -8.865171432495117, -9.657591819763184, -2.1548619270324707, -9.002617835998535, -0.21290165185928345, -0.5579142570495605, -8.842618942260742, -3.1778600215911865]"
a parent brought us a meal .,DO,BRING,A,to,-49.2932243347168,▁A|▁parent|▁brought|▁us|▁a|▁me|al|.,"[-11.423389434814453, -8.865171432495117, -9.6575927734375, -6.276068210601807, -0.5311541557312012, -8.792287826538086, -0.31456995010375977, -3.4329910278320312]"
a prince brought a motor to us .,PD,BRING,A,to,-58.77793884277344,▁A|▁prince|▁brought|▁a|▁motor|▁to|▁us|.,"[-11.423389434814453, -11.20894718170166, -8.86244010925293, -0.9878047704696655, -9.569353103637695, -6.458333969116211, -8.126670837402344, -2.1409974098205566]"
a prince brought us a motor .,DO,BRING,A,to,-53.484474182128906,▁A|▁prince|▁brought|▁us|▁a|▁motor|.,"[-11.423389434814453, -11.20894718170166, -8.862439155578613, -5.561773300170898, -1.2768000364303589, -9.559518814086914, -5.591608047485352]"
a colonel brought a bottle to you .,PD,BRING,A,to,-58.41581344604492,▁A|▁colon|el|▁brought|▁a|▁bott|le|▁to|▁you|.,"[-11.423389434814453, -9.612052917480469, -3.3462724685668945, -9.964956283569336, -1.3735618591308594, -6.840132713317871, -0.0004564673872664571, -6.1067047119140625, -8.309603691101074, -1.4386835098266602]"
a colonel brought you a bottle .,DO,BRING,A,to,-54.05039978027344,▁A|▁colon|el|▁brought|▁you|▁a|▁bott|le|.,"[-11.423389434814453, -9.612052917480469, -3.3462724685668945, -9.964956283569336, -7.301926136016846, -1.8479282855987549, -4.744927406311035, -0.0006510283565148711, -5.808295249938965]"
a professor brought a tea to them .,PD,BRING,A,to,-64.2724838256836,▁A|▁professor|▁brought|▁a|▁tea|▁to|▁them|.,"[-11.423389434814453, -8.932820320129395, -9.1192045211792, -0.7632072567939758, -10.794562339782715, -5.582984924316406, -15.391338348388672, -2.26497745513916]"
a professor brought them a tea .,DO,BRING,A,to,-53.35009002685547,▁A|▁professor|▁brought|▁them|▁a|▁tea|.,"[-11.423389434814453, -8.932820320129395, -9.1192045211792, -8.3440580368042, -3.1524240970611572, -7.904465198516846, -4.473727703094482]"
a soldier brought a telephone to me .,PD,BRING,A,to,-48.82710266113281,▁A|▁soldier|▁brought|▁a|▁tele|phone|▁to|▁me|.,"[-11.423389434814453, -9.249421119689941, -8.405289649963379, -1.8346701860427856, -9.417047500610352, -0.6362923979759216, -0.32685843110084534, -5.751436233520508, -1.7827028036117554]"
a soldier brought me a telephone .,DO,BRING,A,to,-45.3329963684082,▁A|▁soldier|▁brought|▁me|▁a|▁tele|phone|.,"[-11.423389434814453, -9.249421119689941, -8.405288696289062, -3.3751721382141113, -0.9439360499382019, -7.0777482986450195, -3.074160575866699, -1.7838811874389648]"
a father brought a beer to me .,PD,BRING,A,to,-54.0333251953125,▁A|▁father|▁brought|▁a|▁be|er|▁to|▁me|.,"[-11.423389434814453, -8.836365699768066, -7.531533241271973, -4.252784729003906, -7.928548812866211, -3.2273223400115967, -0.6785070300102234, -7.147825717926025, -3.0070440769195557]"
a father brought me a beer .,DO,BRING,A,to,-45.9747200012207,▁A|▁father|▁brought|▁me|▁a|▁be|er|.,"[-11.423389434814453, -8.836365699768066, -7.531534671783447, -7.310552597045898, -1.081278920173645, -5.954695701599121, -1.89686918258667, -1.9400320053100586]"
a doctor brought a tea to us .,PD,BRING,A,to,-60.95358657836914,▁A|▁doctor|▁brought|▁a|▁tea|▁to|▁us|.,"[-11.423389434814453, -8.304475784301758, -9.554359436035156, -0.6472712755203247, -12.805625915527344, -4.908873558044434, -11.171968460083008, -2.137622594833374]"
a doctor brought us a tea .,DO,BRING,A,to,-48.23296737670898,▁A|▁doctor|▁brought|▁us|▁a|▁tea|.,"[-11.423389434814453, -8.304475784301758, -9.554361343383789, -5.771861553192139, -1.2468913793563843, -8.620656967163086, -3.3113322257995605]"
a candidate brought a chocolate to you .,PD,BRING,A,to,-62.92762756347656,▁A|▁candidate|▁brought|▁a|▁ch|oc|olate|▁to|▁you|.,"[-11.423389434814453, -9.274084091186523, -10.082119941711426, -1.2686426639556885, -5.0485076904296875, -3.6314563751220703, -5.8530047681415454e-05, -8.266435623168945, -11.08829116821289, -2.8446452617645264]"
a candidate brought you a chocolate .,DO,BRING,A,to,-53.32706451416016,▁A|▁candidate|▁brought|▁you|▁a|▁ch|oc|olate|.,"[-11.423389434814453, -9.274084091186523, -10.082119941711426, -6.299332618713379, -0.7244194746017456, -5.7823615074157715, -0.14402785897254944, -0.00013255194062367082, -9.597200393676758]"
a mayor brought a coffee to me .,PD,BRING,A,to,-54.539058685302734,▁A|▁mayor|▁brought|▁a|▁coffee|▁to|▁me|.,"[-11.423389434814453, -10.422484397888184, -9.422684669494629, -1.4706547260284424, -7.352829456329346, -3.6132543087005615, -8.331147193908691, -2.502617597579956]"
a mayor brought me a coffee .,DO,BRING,A,to,-45.89069366455078,▁A|▁mayor|▁brought|▁me|▁a|▁coffee|.,"[-11.423389434814453, -10.422484397888184, -9.422682762145996, -4.664181709289551, -2.1759815216064453, -5.417152404785156, -2.3648223876953125]"
an employer brought a tea to you .,PD,BRING,A,to,-63.30709838867188,▁An|▁employ|er|▁brought|▁a|▁tea|▁to|▁you|.,"[-11.601554870605469, -7.635760307312012, -0.29875752329826355, -9.412781715393066, -0.8699789643287659, -14.885293960571289, -4.618677616119385, -11.46688461303711, -2.5174083709716797]"
an employer brought you a tea .,DO,BRING,A,to,-50.34892654418945,▁An|▁employ|er|▁brought|▁you|▁a|▁tea|.,"[-11.601554870605469, -7.635760307312012, -0.29875850677490234, -9.4127836227417, -5.4485764503479, -3.3146986961364746, -8.558385848999023, -4.078402042388916]"
the husband brought the newspaper to us .,PD,BRING,THE,to,-48.20707321166992,▁The|▁husband|▁brought|▁the|▁newspaper|▁to|▁us|.,"[-11.048931121826172, -10.154526710510254, -7.199027061462402, -2.476834297180176, -5.35513973236084, -1.4086090326309204, -7.750401496887207, -2.8136067390441895]"
the husband brought us the newspaper .,DO,BRING,THE,to,-43.62667465209961,▁The|▁husband|▁brought|▁us|▁the|▁newspaper|.,"[-11.048931121826172, -10.154526710510254, -7.199025630950928, -5.635073661804199, -3.1177213191986084, -3.351900577545166, -3.1194958686828613]"
the secretary brought the beer to them .,PD,BRING,THE,to,-54.18033981323242,▁The|▁secretary|▁brought|▁the|▁be|er|▁to|▁them|.,"[-11.048931121826172, -10.721993446350098, -9.347491264343262, -1.2830395698547363, -9.27224349975586, -1.26146399974823, -1.620238184928894, -7.949540615081787, -1.6754003763198853]"
the secretary brought them the beer .,DO,BRING,THE,to,-52.248191833496094,▁The|▁secretary|▁brought|▁them|▁the|▁be|er|.,"[-11.048931121826172, -10.721993446350098, -9.347490310668945, -6.06316614151001, -1.9442018270492554, -9.982912063598633, -1.039068579673767, -2.1004247665405273]"
the champion brought the hat to me .,PD,BRING,THE,to,-49.14664077758789,▁The|▁champion|▁brought|▁the|▁hat|▁to|▁me|.,"[-11.048931121826172, -11.023110389709473, -9.465351104736328, -1.7077693939208984, -8.377711296081543, -1.6223976612091064, -4.172196388244629, -1.7291719913482666]"
the champion brought me the hat .,DO,BRING,THE,to,-47.48282623291016,▁The|▁champion|▁brought|▁me|▁the|▁hat|.,"[-11.048931121826172, -11.023110389709473, -9.465350151062012, -4.412289619445801, -3.0488665103912354, -6.9968719482421875, -1.4874082803726196]"
the parent brought the chocolate to you .,PD,BRING,THE,to,-57.71466827392578,▁The|▁parent|▁brought|▁the|▁ch|oc|olate|▁to|▁you|.,"[-11.048931121826172, -9.888599395751953, -12.447478294372559, -0.49600884318351746, -7.911135673522949, -3.696964740753174, -0.04210378974676132, -2.791987419128418, -7.687770843505859, -1.7036857604980469]"
the parent brought you the chocolate .,DO,BRING,THE,to,-54.10438537597656,▁The|▁parent|▁brought|▁you|▁the|▁ch|oc|olate|.,"[-11.048931121826172, -9.888599395751953, -12.447478294372559, -7.46605110168457, -2.189948558807373, -5.769372940063477, -1.5603207349777222, -0.052600838243961334, -3.6810827255249023]"
the secretary brought the juice to her .,PD,BRING,THE,to,-56.34217071533203,▁The|▁secretary|▁brought|▁the|▁ju|ice|▁to|▁her|.,"[-11.048931121826172, -10.721993446350098, -9.347491264343262, -1.2830395698547363, -11.042926788330078, -0.4459660053253174, -2.9584367275238037, -4.209593296051025, -5.283795356750488]"
the secretary brought her the juice .,DO,BRING,THE,to,-52.553955078125,▁The|▁secretary|▁brought|▁her|▁the|▁ju|ice|.,"[-11.048931121826172, -10.721993446350098, -9.347490310668945, -4.48285436630249, -1.8369395732879639, -12.24882984161377, -0.17074760794639587, -2.6961710453033447]"
the pilot brought the pie to it .,PD,BRING,THE,to,-56.59285736083984,▁The|▁pilot|▁brought|▁the|▁pie|▁to|▁it|.,"[-11.048931121826172, -9.23109245300293, -8.284042358398438, -0.22526361048221588, -13.42959213256836, -1.1654529571533203, -10.75375747680664, -2.4547247886657715]"
the pilot brought it the pie .,DO,BRING,THE,to,-55.27669525146485,▁The|▁pilot|▁brought|▁it|▁the|▁pie|.,"[-11.048931121826172, -9.23109245300293, -8.284042358398438, -6.703697204589844, -7.804958343505859, -10.492301940917969, -1.7116721868515015]"
the mother brought the plate to you .,PD,BRING,THE,to,-51.36940002441406,▁The|▁mother|▁brought|▁the|▁plate|▁to|▁you|.,"[-11.048931121826172, -8.790108680725098, -9.61691665649414, -1.552613615989685, -6.931742191314697, -1.762540578842163, -10.179516792297363, -1.4870336055755615]"
the mother brought you the plate .,DO,BRING,THE,to,-52.43895721435547,▁The|▁mother|▁brought|▁you|▁the|▁plate|.,"[-11.048931121826172, -8.790108680725098, -9.616917610168457, -8.3384428024292, -3.841796875, -7.512723445892334, -3.2900378704071045]"
the mother brought the coffee to it .,PD,BRING,THE,to,-53.214820861816406,▁The|▁mother|▁brought|▁the|▁coffee|▁to|▁it|.,"[-11.048931121826172, -8.790108680725098, -9.61691665649414, -1.552613615989685, -7.665919780731201, -1.3861865997314453, -11.008295059204102, -2.145852565765381]"
the mother brought it the coffee .,DO,BRING,THE,to,-53.69108581542969,▁The|▁mother|▁brought|▁it|▁the|▁coffee|.,"[-11.048931121826172, -8.790108680725098, -9.616917610168457, -6.273052215576172, -7.859769821166992, -7.808100700378418, -2.2942066192626953]"
the author brought the guitar to you .,PD,BRING,THE,to,-51.03401184082031,▁The|▁author|▁brought|▁the|▁guitar|▁to|▁you|.,"[-11.048931121826172, -7.629751205444336, -10.086301803588867, -2.485685348510742, -9.696737289428711, -0.9802337288856506, -7.249512672424316, -1.8568620681762695]"
the author brought you the guitar .,DO,BRING,THE,to,-52.596153259277344,▁The|▁author|▁brought|▁you|▁the|▁guitar|.,"[-11.048931121826172, -7.629751205444336, -10.086301803588867, -7.300200939178467, -2.33683443069458, -10.649977684020996, -3.5441558361053467]"
the guy brought the iron to it .,PD,BRING,THE,to,-51.80550384521485,▁The|▁gu|y|▁brought|▁the|▁iron|▁to|▁it|.,"[-11.048931121826172, -9.207276344299316, -1.3574594259262085, -7.723250389099121, -2.2079992294311523, -8.639422416687012, -1.4760781526565552, -8.637767791748047, -1.5073169469833374]"
the guy brought it the iron .,DO,BRING,THE,to,-54.91096878051758,▁The|▁gu|y|▁brought|▁it|▁the|▁iron|.,"[-11.048931121826172, -9.207276344299316, -1.3574604988098145, -7.7232513427734375, -3.9733285903930664, -7.524425983428955, -10.385311126708984, -3.690986394882202]"
the employee brought the television to us .,PD,BRING,THE,to,-56.5866584777832,▁The|▁employee|▁brought|▁the|▁television|▁to|▁us|.,"[-11.048931121826172, -10.372763633728027, -7.53671932220459, -1.1614398956298828, -9.909830093383789, -0.8673334121704102, -12.57458782196045, -3.1150522232055664]"
the employee brought us the television .,DO,BRING,THE,to,-53.76578140258789,▁The|▁employee|▁brought|▁us|▁the|▁television|.,"[-11.048931121826172, -10.372763633728027, -7.536718368530273, -7.980257511138916, -2.282625675201416, -10.858396530151367, -3.6860857009887695]"
the lady brought the key to it .,PD,BRING,THE,to,-50.01683807373047,▁The|▁lady|▁brought|▁the|▁key|▁to|▁it|.,"[-11.048931121826172, -10.249642372131348, -8.123944282531738, -1.6395705938339233, -7.39180850982666, -0.4772571623325348, -9.090496063232422, -1.9951889514923096]"
the lady brought it the key .,DO,BRING,THE,to,-52.89840698242188,▁The|▁lady|▁brought|▁it|▁the|▁key|.,"[-11.048931121826172, -10.249642372131348, -8.123943328857422, -5.148131370544434, -7.517331123352051, -8.141693115234375, -2.6687355041503906]"
the professor brought the meal to us .,PD,BRING,THE,to,-51.09419631958008,▁The|▁professor|▁brought|▁the|▁me|al|▁to|▁us|.,"[-11.048931121826172, -10.688706398010254, -6.28327751159668, -1.8599070310592651, -10.577592849731445, -1.5485306978225708, -1.170211672782898, -5.598820686340332, -2.318216323852539]"
the professor brought us the meal .,DO,BRING,THE,to,-48.09881210327149,▁The|▁professor|▁brought|▁us|▁the|▁me|al|.,"[-11.048931121826172, -10.688706398010254, -6.283276557922363, -4.670699119567871, -3.9888081550598145, -8.913274765014648, -0.29635751247406006, -2.2087583541870117]"
the bishop brought the pie to you .,PD,BRING,THE,to,-54.39979553222656,▁The|▁bishop|▁brought|▁the|▁pie|▁to|▁you|.,"[-11.048931121826172, -10.98723030090332, -7.340677261352539, -1.2448091506958008, -12.248997688293457, -0.39303892850875854, -9.653718948364258, -1.4823927879333496]"
the bishop brought you the pie .,DO,BRING,THE,to,-50.37038803100586,▁The|▁bishop|▁brought|▁you|▁the|▁pie|.,"[-11.048931121826172, -10.98723030090332, -7.3406782150268555, -7.268729209899902, -3.0474014282226562, -9.330060005187988, -1.3473572731018066]"
the lawyer brought the newspaper to me .,PD,BRING,THE,to,-49.80440139770508,▁The|▁lawyer|▁brought|▁the|▁newspaper|▁to|▁me|.,"[-11.048931121826172, -10.632329940795898, -8.174656867980957, -1.3644402027130127, -7.630914688110352, -2.464144468307495, -6.144303798675537, -2.344679355621338]"
the lawyer brought me the newspaper .,DO,BRING,THE,to,-46.94181442260742,▁The|▁lawyer|▁brought|▁me|▁the|▁newspaper|.,"[-11.048931121826172, -10.632329940795898, -8.174657821655273, -5.408968925476074, -3.222400188446045, -5.87523889541626, -2.579284191131592]"
the lady brought the cigarette to you .,PD,BRING,THE,to,-55.15946578979492,▁The|▁lady|▁brought|▁the|▁cig|aret|te|▁to|▁you|.,"[-11.048931121826172, -10.249642372131348, -8.123943328857422, -1.6395703554153442, -7.9117889404296875, -0.6914845705032349, -7.283422019099817e-05, -0.6450073719024658, -13.456404685974121, -1.3926163911819458]"
the lady brought you the cigarette .,DO,BRING,THE,to,-49.83618927001953,▁The|▁lady|▁brought|▁you|▁the|▁cig|aret|te|.,"[-11.048931121826172, -10.249642372131348, -8.123943328857422, -6.587475776672363, -2.4844119548797607, -8.217554092407227, -0.8568456172943115, -0.0002181292074965313, -2.267167568206787]"
the worker brought the pie to us .,PD,BRING,THE,to,-51.00794982910156,▁The|▁worker|▁brought|▁the|▁pie|▁to|▁us|.,"[-11.048931121826172, -11.621960639953613, -7.959985733032227, -1.1417567729949951, -8.792819023132324, -0.2356182485818863, -7.5839056968688965, -2.6229734420776367]"
the worker brought us the pie .,DO,BRING,THE,to,-48.868263244628906,▁The|▁worker|▁brought|▁us|▁the|▁pie|.,"[-11.048931121826172, -11.621960639953613, -7.959987163543701, -6.05483865737915, -2.322331666946411, -7.627562999725342, -2.2326505184173584]"
the worker brought the coffee to them .,PD,BRING,THE,to,-47.61533737182617,▁The|▁worker|▁brought|▁the|▁coffee|▁to|▁them|.,"[-11.048931121826172, -11.621960639953613, -7.959985733032227, -1.1417567729949951, -5.669116020202637, -0.8307979106903076, -7.468492031097412, -1.8742988109588623]"
the worker brought them the coffee .,DO,BRING,THE,to,-49.80298614501953,▁The|▁worker|▁brought|▁them|▁the|▁coffee|.,"[-11.048931121826172, -11.621960639953613, -7.959987163543701, -7.161990642547607, -4.12273645401001, -5.356288909912109, -2.531092643737793]"
the actor brought the glass to him .,PD,BRING,THE,to,-53.38776397705078,▁The|▁actor|▁brought|▁the|▁glass|▁to|▁him|.,"[-11.048931121826172, -9.062690734863281, -8.250752449035645, -1.9488123655319214, -11.278059005737305, -1.1225553750991821, -8.303488731384277, -2.3724751472473145]"
the actor brought him the glass .,DO,BRING,THE,to,-50.552371978759766,▁The|▁actor|▁brought|▁him|▁the|▁glass|.,"[-11.048931121826172, -9.062690734863281, -8.250751495361328, -7.7141571044921875, -3.707045555114746, -6.044522285461426, -4.724273681640625]"
the mayor brought the key to you .,PD,BRING,THE,to,-48.85072326660156,▁The|▁mayor|▁brought|▁the|▁key|▁to|▁you|.,"[-11.048931121826172, -9.219654083251953, -9.883644104003906, -1.6804739236831665, -7.6422343254089355, -0.16225376725196838, -7.514874458312988, -1.6986584663391113]"
the mayor brought you the key .,DO,BRING,THE,to,-48.55533599853516,▁The|▁mayor|▁brought|▁you|▁the|▁key|.,"[-11.048931121826172, -9.219654083251953, -9.88364028930664, -6.079092025756836, -3.1805710792541504, -6.455356597900391, -2.6880950927734375]"
the guy brought the beer to you .,PD,BRING,THE,to,-48.328800201416016,▁The|▁gu|y|▁brought|▁the|▁be|er|▁to|▁you|.,"[-11.048931121826172, -9.207276344299316, -1.3574594259262085, -7.723250389099121, -2.2079973220825195, -4.996891975402832, -0.529677152633667, -2.1731958389282227, -7.515838146209717, -1.5682811737060547]"
the guy brought you the beer .,DO,BRING,THE,to,-45.85844802856445,▁The|▁gu|y|▁brought|▁you|▁the|▁be|er|.,"[-11.048931121826172, -9.207276344299316, -1.3574594259262085, -7.723250389099121, -6.519545555114746, -3.364793300628662, -4.679469108581543, -0.1888013333082199, -1.7689199447631836]"
the husband brought the beer to them .,PD,BRING,THE,to,-53.3073844909668,▁The|▁husband|▁brought|▁the|▁be|er|▁to|▁them|.,"[-11.048931121826172, -10.154526710510254, -7.199025630950928, -2.476834297180176, -5.781552791595459, -1.3718212842941284, -2.596637725830078, -11.143241882324219, -1.534813642501831]"
the husband brought them the beer .,DO,BRING,THE,to,-50.30914688110352,▁The|▁husband|▁brought|▁them|▁the|▁be|er|.,"[-11.048931121826172, -10.154526710510254, -7.199027061462402, -7.928253173828125, -4.825173377990723, -6.197830677032471, -1.1464213132858276, -1.8089861869812012]"
the parent brought the beer to it .,PD,BRING,THE,to,-59.18724822998047,▁The|▁parent|▁brought|▁the|▁be|er|▁to|▁it|.,"[-11.048931121826172, -9.888599395751953, -12.447478294372559, -0.49600884318351746, -9.68722915649414, -2.518207550048828, -0.8548664450645447, -10.616791725158691, -1.6291351318359375]"
the parent brought it the beer .,DO,BRING,THE,to,-59.893341064453125,▁The|▁parent|▁brought|▁it|▁the|▁be|er|.,"[-11.048931121826172, -9.888599395751953, -12.447476387023926, -6.455323696136475, -7.610663414001465, -8.00492000579834, -2.441260814666748, -1.9961673021316528]"
