text,structure,verb,det,prep,sen_prob_nospace,tokens,log_prob_tokens
a princess brought a coffee to an adult .,PD,BRING,A,to,-51.443885803222656,▁A|▁prin|cess|▁brought|▁a|▁coffee|▁to|▁an|▁adult|.,"[-4.20621395111084, -10.564468383789062, -0.005489157512784004, -8.303046226501465, -3.7588579654693604, -8.083385467529297, -2.5317933559417725, -3.8103227615356445, -6.969970703125, -3.210339307785034]"
a princess brought an adult a coffee .,DO,BRING,A,to,-50.78913497924805,▁A|▁prin|cess|▁brought|▁an|▁adult|▁a|▁coffee|.,"[-4.20621395111084, -10.564468383789062, -0.005489157512784004, -8.303046226501465, -5.943489074707031, -7.149868965148926, -6.4105224609375, -6.0111188888549805, -2.1949169635772705]"
a lady brought a computer to an employer .,PD,BRING,A,to,-47.76285934448242,▁A|▁lady|▁brought|▁a|▁computer|▁to|▁an|▁employ|er|.,"[-4.20621395111084, -8.734609603881836, -6.4457478523254395, -1.3401566743850708, -8.09221076965332, -1.0095103979110718, -4.253947734832764, -7.764255523681641, -3.2807061672210693, -2.6355037689208984]"
a lady brought an employer a computer .,DO,BRING,A,to,-49.51335144042969,▁A|▁lady|▁brought|▁an|▁employ|er|▁a|▁computer|.,"[-4.20621395111084, -8.734609603881836, -6.4457478523254395, -4.341764450073242, -8.983680725097656, -2.797428846359253, -3.4772582054138184, -7.904254913330078, -2.6223976612091064]"
a colonel brought a television to a candidate .,PD,BRING,A,to,-55.49517440795898,▁A|▁colon|el|▁brought|▁a|▁television|▁to|▁a|▁candidate|.,"[-4.20621395111084, -10.312420845031738, -2.8497414588928223, -8.080379486083984, -1.8930705785751343, -8.881741523742676, -2.1754822731018066, -2.2975564002990723, -10.972883224487305, -3.825680732727051]"
a colonel brought a candidate a television .,DO,BRING,A,to,-56.76856994628906,▁A|▁colon|el|▁brought|▁a|▁candidate|▁a|▁television|.,"[-4.20621395111084, -10.312420845031738, -2.8497414588928223, -8.080379486083984, -1.8930705785751343, -8.449569702148438, -7.358105182647705, -10.180097579956055, -3.4389753341674805]"
a teacher brought an engine to a singer .,PD,BRING,A,to,-49.502811431884766,▁A|▁teacher|▁brought|▁an|▁engine|▁to|▁a|▁singer|.,"[-4.20621395111084, -8.249910354614258, -7.243891716003418, -3.696469306945801, -7.219353675842285, -1.3486460447311401, -3.2664287090301514, -11.77599811553955, -2.495903968811035]"
a teacher brought a singer an engine .,DO,BRING,A,to,-52.404876708984375,▁A|▁teacher|▁brought|▁a|▁singer|▁an|▁engine|.,"[-4.20621395111084, -8.249910354614258, -7.243891716003418, -1.1098994016647339, -10.868210792541504, -8.63313102722168, -9.441302299499512, -2.652318000793457]"
a mayor brought an instrument to a band .,PD,BRING,A,to,-49.14493560791016,▁A|▁mayor|▁brought|▁an|▁instrument|▁to|▁a|▁band|.,"[-4.20621395111084, -10.936836242675781, -8.288650512695312, -4.0932297706604, -8.202272415161133, -1.4952287673950195, -1.0154200792312622, -6.467138290405273, -4.439948558807373]"
a mayor brought a band an instrument .,DO,BRING,A,to,-50.008419036865234,▁A|▁mayor|▁brought|▁a|▁band|▁an|▁instrument|.,"[-4.20621395111084, -10.936836242675781, -8.28864860534668, -1.8499805927276611, -8.752025604248047, -9.675166130065918, -4.014896392822266, -2.2846484184265137]"
a colonel brought a tea to a business .,PD,BRING,A,to,-55.84186553955078,▁A|▁colon|el|▁brought|▁a|▁tea|▁to|▁a|▁business|.,"[-4.20621395111084, -10.312420845031738, -2.8497414588928223, -8.080379486083984, -1.8930705785751343, -9.712876319885254, -3.813683032989502, -2.08640718460083, -7.135887622833252, -5.751188278198242]"
a colonel brought a business a tea .,DO,BRING,A,to,-58.407344818115234,▁A|▁colon|el|▁brought|▁a|▁business|▁a|▁tea|.,"[-4.20621395111084, -10.312420845031738, -2.8497414588928223, -8.080379486083984, -1.8930705785751343, -7.514355659484863, -8.566819190979004, -10.789627075195312, -4.194718360900879]"
an aunt brought a jacket to an army .,PD,BRING,A,to,-53.42568206787109,▁An|▁a|unt|▁brought|▁a|▁jack|et|▁to|▁an|▁army|.,"[-6.080687522888184, -6.207032203674316, -4.550334930419922, -6.6349897384643555, -2.135718584060669, -8.178718566894531, -0.7400996685028076, -1.508648157119751, -4.397763252258301, -5.445565223693848, -7.546121597290039]"
an aunt brought an army a jacket .,DO,BRING,A,to,-54.63081359863281,▁An|▁a|unt|▁brought|▁an|▁army|▁a|▁jack|et|.,"[-6.080687522888184, -6.207032203674316, -4.5503363609313965, -6.6349897384643555, -4.59097957611084, -7.3638458251953125, -7.816090106964111, -9.076406478881836, -0.3385658264160156, -1.9718804359436035]"
a hero brought a chocolate to a wife .,PD,BRING,A,to,-50.60172653198242,▁A|▁hero|▁brought|▁a|▁ch|oc|olate|▁to|▁a|▁wife|.,"[-4.20621395111084, -9.034096717834473, -9.519438743591309, -4.598477363586426, -5.799554824829102, -1.7073875665664673, -0.011938548646867275, -4.062315464019775, -1.583593487739563, -7.884762763977051, -2.1939477920532227]"
a hero brought a wife a chocolate .,DO,BRING,A,to,-50.01760482788086,▁A|▁hero|▁brought|▁a|▁wife|▁a|▁ch|oc|olate|.,"[-4.20621395111084, -9.034096717834473, -9.519438743591309, -4.598477840423584, -7.322164535522461, -5.374416828155518, -5.211483001708984, -1.1186798810958862, -0.007482124026864767, -3.625152111053467]"
a soldier brought a cup to a scientist .,PD,BRING,A,to,-43.11935043334961,▁A|▁soldier|▁brought|▁a|▁cup|▁to|▁a|▁scient|ist|.,"[-4.20621395111084, -8.823785781860352, -8.145197868347168, -2.1487228870391846, -6.148536205291748, -2.820821523666382, -2.42248272895813, -6.675593376159668, -0.0047540729865431786, -1.723244071006775]"
a soldier brought a scientist a cup .,DO,BRING,A,to,-46.71979904174805,▁A|▁soldier|▁brought|▁a|▁scient|ist|▁a|▁cup|.,"[-4.20621395111084, -8.823785781860352, -8.145197868347168, -2.1487228870391846, -10.80020523071289, -0.005739517975598574, -3.6370410919189453, -4.180705547332764, -4.772185802459717]"
an employee brought a camera to a business .,PD,BRING,A,to,-40.2131462097168,▁An|▁employee|▁brought|▁a|▁camera|▁to|▁a|▁business|.,"[-6.080687522888184, -6.094969749450684, -8.875393867492676, -1.073481559753418, -6.246303558349609, -0.981873631477356, -2.7850589752197266, -4.223210334777832, -3.8521687984466553]"
an employee brought a business a camera .,DO,BRING,A,to,-50.14133834838867,▁An|▁employee|▁brought|▁a|▁business|▁a|▁camera|.,"[-6.080687522888184, -6.094969749450684, -8.87539291381836, -1.0734813213348389, -8.142788887023926, -7.381900787353516, -9.606327056884766, -2.8857927322387695]"
a parent brought a meal to a club .,PD,BRING,A,to,-46.35614013671875,▁A|▁parent|▁brought|▁a|▁me|al|▁to|▁a|▁club|.,"[-4.20621395111084, -8.584930419921875, -8.02798080444336, -1.865485668182373, -7.906558036804199, -0.17184795439243317, -0.7715941667556763, -2.2430689334869385, -8.930559158325195, -3.6478970050811768]"
a parent brought a club a meal .,DO,BRING,A,to,-49.96780776977539,▁A|▁parent|▁brought|▁a|▁club|▁a|▁me|al|.,"[-4.20621395111084, -8.584930419921875, -8.02798080444336, -1.865485668182373, -10.482673645019531, -6.400238037109375, -7.1480817794799805, -0.07410270720720291, -3.1780972480773926]"
a prince brought a motor to a business .,PD,BRING,A,to,-54.300575256347656,▁A|▁prince|▁brought|▁a|▁motor|▁to|▁a|▁business|.,"[-4.20621395111084, -10.716800689697266, -8.414206504821777, -2.9068284034729004, -9.924193382263184, -4.2959136962890625, -1.921689510345459, -8.043512344360352, -3.8712167739868164]"
a prince brought a business a motor .,DO,BRING,A,to,-56.15761566162109,▁A|▁prince|▁brought|▁a|▁business|▁a|▁motor|.,"[-4.20621395111084, -10.716800689697266, -8.414205551147461, -2.9068288803100586, -7.743752479553223, -8.076813697814941, -9.169057846069336, -4.923942565917969]"
a colonel brought a bottle to a business .,PD,BRING,A,to,-51.03078079223633,▁A|▁colon|el|▁brought|▁a|▁bott|le|▁to|▁a|▁business|.,"[-4.20621395111084, -10.312420845031738, -2.849741220474243, -8.080379486083984, -1.8930704593658447, -5.629389762878418, -0.0017313265707343817, -3.409579277038574, -1.952269196510315, -6.605315208435059, -6.090667724609375]"
a colonel brought a business a bottle .,DO,BRING,A,to,-56.1029052734375,▁A|▁colon|el|▁brought|▁a|▁business|▁a|▁bott|le|.,"[-4.20621395111084, -10.312420845031738, -2.8497414588928223, -8.080379486083984, -1.8930705785751343, -7.51435661315918, -8.566816329956055, -6.619363307952881, -0.01088868360966444, -6.049651622772217]"
a professor brought a tea to a band .,PD,BRING,A,to,-53.68511962890625,▁A|▁professor|▁brought|▁a|▁tea|▁to|▁a|▁band|.,"[-4.20621395111084, -8.844736099243164, -8.452381134033203, -1.2743209600448608, -10.053778648376465, -4.892810821533203, -3.3256099224090576, -9.419270515441895, -3.2159976959228516]"
a professor brought a band a tea .,DO,BRING,A,to,-51.57204055786133,▁A|▁professor|▁brought|▁a|▁band|▁a|▁tea|.,"[-4.20621395111084, -8.844736099243164, -8.452380180358887, -1.2743216753005981, -9.826458930969238, -7.123500823974609, -8.72164535522461, -3.1227846145629883]"
a soldier brought a telephone to a kid .,PD,BRING,A,to,-48.15184783935547,▁A|▁soldier|▁brought|▁a|▁tele|phone|▁to|▁a|▁kid|.,"[-4.20621395111084, -8.823785781860352, -8.145197868347168, -2.1487228870391846, -8.096260070800781, -2.8050451278686523, -1.2245478630065918, -1.614733099937439, -8.237408638000488, -2.849928379058838]"
a soldier brought a kid a telephone .,DO,BRING,A,to,-49.26005554199219,▁A|▁soldier|▁brought|▁a|▁kid|▁a|▁tele|phone|.,"[-4.20621395111084, -8.823785781860352, -8.145197868347168, -2.1487228870391846, -7.461315155029297, -5.723299980163574, -10.057427406311035, -0.6605079174041748, -2.033583402633667]"
a father brought a beer to a corporation .,PD,BRING,A,to,-51.40535736083984,▁A|▁father|▁brought|▁a|▁be|er|▁to|▁a|▁corpor|ation|.,"[-4.20621395111084, -8.159383773803711, -7.267867088317871, -2.4119977951049805, -7.983911514282227, -1.2351423501968384, -1.5403759479522705, -2.137964963912964, -9.791302680969238, -3.7029898166656494, -2.9682114124298096]"
a father brought a corporation a beer .,DO,BRING,A,to,-53.64620971679688,▁A|▁father|▁brought|▁a|▁corpor|ation|▁a|▁be|er|.,"[-4.20621395111084, -8.159383773803711, -7.267867088317871, -2.411994695663452, -11.690820693969727, -1.9684154987335205, -6.151622772216797, -8.67149829864502, -1.0344481468200684, -2.0839452743530273]"
a doctor brought a tea to a chief .,PD,BRING,A,to,-49.66111373901367,▁A|▁doctor|▁brought|▁a|▁tea|▁to|▁a|▁chief|.,"[-4.20621395111084, -7.956838130950928, -8.141170501708984, -1.3236329555511475, -11.610379219055176, -3.2875990867614746, -1.4536367654800415, -8.394209861755371, -3.2874350547790527]"
a doctor brought a chief a tea .,DO,BRING,A,to,-49.95419692993164,▁A|▁doctor|▁brought|▁a|▁chief|▁a|▁tea|.,"[-4.20621395111084, -7.956838130950928, -8.141170501708984, -1.3236323595046997, -12.058429718017578, -4.176332950592041, -7.842404842376709, -4.249173641204834]"
a candidate brought a chocolate to a man .,PD,BRING,A,to,-49.51930618286133,▁A|▁candidate|▁brought|▁a|▁ch|oc|olate|▁to|▁a|▁man|.,"[-4.20621395111084, -9.32246208190918, -9.750960350036621, -1.71587073802948, -5.901233673095703, -2.574087619781494, -0.0038006706163287163, -5.129312992095947, -2.0604496002197266, -5.432811737060547, -3.4221010208129883]"
a candidate brought a man a chocolate .,DO,BRING,A,to,-51.25498962402344,▁A|▁candidate|▁brought|▁a|▁man|▁a|▁ch|oc|olate|.,"[-4.20621395111084, -9.32246208190918, -9.750958442687988, -1.7158710956573486, -5.506733417510986, -8.517407417297363, -5.032627105712891, -1.6272997856140137, -0.002840415108948946, -5.572574138641357]"
a mayor brought a coffee to a priest .,PD,BRING,A,to,-48.28788757324219,▁A|▁mayor|▁brought|▁a|▁coffee|▁to|▁a|▁priest|.,"[-4.20621395111084, -10.936836242675781, -8.288650512695312, -1.8499817848205566, -8.14018440246582, -3.43424129486084, -0.683883547782898, -8.781478881835938, -1.9664171934127808]"
a mayor brought a priest a coffee .,DO,BRING,A,to,-45.48571014404297,▁A|▁mayor|▁brought|▁a|▁priest|▁a|▁coffee|.,"[-4.20621395111084, -10.936836242675781, -8.28864860534668, -1.8499805927276611, -7.541061878204346, -5.397226810455322, -5.434061050415039, -1.8316806554794312]"
an employer brought a tea to an attorney .,PD,BRING,A,to,-58.70003128051758,▁An|▁employ|er|▁brought|▁a|▁tea|▁to|▁an|▁att|orney|.,"[-6.080687522888184, -7.772346496582031, -0.5137660503387451, -8.479145050048828, -0.9511039853096008, -12.790401458740234, -4.792555809020996, -5.125504970550537, -8.644328117370605, -0.130343496799469, -3.419848918914795]"
an employer brought an attorney a tea .,DO,BRING,A,to,-59.19940185546875,▁An|▁employ|er|▁brought|▁an|▁att|orney|▁a|▁tea|.,"[-6.080687522888184, -7.772346496582031, -0.5137653350830078, -8.479145050048828, -1.1036866903305054, -9.580554962158203, -0.7629530429840088, -8.301078796386719, -11.76130199432373, -4.8438825607299805]"
the husband brought the newspaper to the candidate .,PD,BRING,THE,to,-45.89140701293945,▁The|▁husband|▁brought|▁the|▁newspaper|▁to|▁the|▁candidate|.,"[-3.6788957118988037, -10.154186248779297, -7.690034866333008, -2.461857795715332, -6.1468119621276855, -1.3909250497817993, -1.2163105010986328, -11.231053352355957, -1.9213284254074097]"
the husband brought the candidate the newspaper .,DO,BRING,THE,to,-47.27827072143555,▁The|▁husband|▁brought|▁the|▁candidate|▁the|▁newspaper|.,"[-3.6788957118988037, -10.154186248779297, -7.690036773681641, -2.461857318878174, -10.397964477539062, -5.403042793273926, -5.659994125366211, -1.832292914390564]"
the secretary brought the beer to the soldier .,PD,BRING,THE,to,-46.67514419555664,▁The|▁secretary|▁brought|▁the|▁be|er|▁to|▁the|▁soldier|.,"[-3.6788957118988037, -10.424703598022461, -8.810151100158691, -1.844477653503418, -6.5601396560668945, -0.7491625547409058, -2.421286106109619, -0.7694470882415771, -10.003557205200195, -1.4133225679397583]"
the secretary brought the soldier the beer .,DO,BRING,THE,to,-47.16538238525391,▁The|▁secretary|▁brought|▁the|▁soldier|▁the|▁be|er|.,"[-3.6788957118988037, -10.424703598022461, -8.810151100158691, -1.844477653503418, -9.79709529876709, -4.061524391174316, -6.610016345977783, -0.3300875425338745, -1.6084322929382324]"
the champion brought the hat to the guy .,PD,BRING,THE,to,-49.70621871948242,▁The|▁champion|▁brought|▁the|▁hat|▁to|▁the|▁gu|y|.,"[-3.6788957118988037, -11.269198417663574, -9.261886596679688, -2.0245847702026367, -8.236428260803223, -2.320657253265381, -1.031434416770935, -8.429332733154297, -0.5953204035758972, -2.858482837677002]"
the champion brought the guy the hat .,DO,BRING,THE,to,-50.157039642333984,▁The|▁champion|▁brought|▁the|▁gu|y|▁the|▁hat|.,"[-3.6788957118988037, -11.269198417663574, -9.261886596679688, -2.0245847702026367, -9.138518333435059, -0.9799222946166992, -4.3378005027771, -7.536385536193848, -1.9298486709594727]"
the parent brought the chocolate to the buddy .,PD,BRING,THE,to,-53.23362350463867,▁The|▁parent|▁brought|▁the|▁ch|oc|olate|▁to|▁the|▁bud|dy|.,"[-3.6788957118988037, -9.937634468078613, -11.113627433776855, -1.9121428728103638, -7.2682390213012695, -1.6494735479354858, -0.07954612374305725, -2.4168293476104736, -1.146583080291748, -10.989526748657227, -0.43999430537223816, -2.601128578186035]"
the parent brought the buddy the chocolate .,DO,BRING,THE,to,-55.039512634277344,▁The|▁parent|▁brought|▁the|▁bud|dy|▁the|▁ch|oc|olate|.,"[-3.6788957118988037, -9.937634468078613, -11.113627433776855, -1.9121445417404175, -10.429828643798828, -2.1704838275909424, -6.3077311515808105, -5.526742935180664, -0.8098500967025757, -0.09775490313768387, -3.0548205375671387]"
the secretary brought the juice to the corporation .,PD,BRING,THE,to,-50.65229797363281,▁The|▁secretary|▁brought|▁the|▁ju|ice|▁to|▁the|▁corpor|ation|.,"[-3.6788957118988037, -10.424703598022461, -8.810150146484375, -1.8444784879684448, -8.79481315612793, -0.16303004324436188, -2.279426336288452, -1.0180621147155762, -8.1646146774292, -2.8455698490142822, -2.6285557746887207]"
the secretary brought the corporation the juice .,DO,BRING,THE,to,-51.63518905639648,▁The|▁secretary|▁brought|▁the|▁corpor|ation|▁the|▁ju|ice|.,"[-3.6788957118988037, -10.424703598022461, -8.810151100158691, -1.844477653503418, -8.347626686096191, -1.604421854019165, -4.769000053405762, -9.984153747558594, -0.8585940003395081, -1.3131628036499023]"
the pilot brought the pie to the band .,PD,BRING,THE,to,-48.10079574584961,▁The|▁pilot|▁brought|▁the|▁pie|▁to|▁the|▁band|.,"[-3.6788957118988037, -9.353681564331055, -7.443593502044678, -0.8943588137626648, -12.295915603637695, -2.054300546646118, -0.9205582737922668, -9.060482025146484, -2.3990092277526855]"
the pilot brought the band the pie .,DO,BRING,THE,to,-48.95725631713867,▁The|▁pilot|▁brought|▁the|▁band|▁the|▁pie|.,"[-3.6788957118988037, -9.353681564331055, -7.4435930252075195, -0.8943576812744141, -10.08197021484375, -5.036984920501709, -10.344022750854492, -2.1237540245056152]"
the mother brought the plate to the club .,PD,BRING,THE,to,-47.5589485168457,▁The|▁mother|▁brought|▁the|▁plate|▁to|▁the|▁club|.,"[-3.6788957118988037, -8.82384967803955, -9.002701759338379, -2.251326560974121, -8.881124496459961, -1.5863573551177979, -0.8693467378616333, -10.198857307434082, -2.2664895057678223]"
the mother brought the club the plate .,DO,BRING,THE,to,-51.11256408691406,▁The|▁mother|▁brought|▁the|▁club|▁the|▁plate|.,"[-3.6788957118988037, -8.82384967803955, -9.002701759338379, -2.2513267993927, -10.502457618713379, -6.289913177490234, -7.709431171417236, -2.8539879322052]"
the mother brought the coffee to the buddy .,PD,BRING,THE,to,-50.51358795166016,▁The|▁mother|▁brought|▁the|▁coffee|▁to|▁the|▁bud|dy|.,"[-3.6788957118988037, -8.82384967803955, -9.002701759338379, -2.251326560974121, -9.263601303100586, -1.7995339632034302, -0.7151288390159607, -11.2335205078125, -2.0831496715545654, -1.661881685256958]"
the mother brought the buddy the coffee .,DO,BRING,THE,to,-53.4937744140625,▁The|▁mother|▁brought|▁the|▁bud|dy|▁the|▁coffee|.,"[-3.6788957118988037, -8.82384967803955, -9.002701759338379, -2.251326560974121, -10.45601749420166, -3.937112331390381, -5.427918434143066, -7.566854476928711, -2.349104404449463]"
the author brought the guitar to the company .,PD,BRING,THE,to,-43.934906005859375,▁The|▁author|▁brought|▁the|▁guitar|▁to|▁the|▁company|.,"[-3.6788957118988037, -7.047139644622803, -9.625311851501465, -2.307582139968872, -9.046937942504883, -1.3841444253921509, -1.4046028852462769, -7.005502700805664, -2.434788227081299]"
the author brought the company the guitar .,DO,BRING,THE,to,-49.52723693847656,▁The|▁author|▁brought|▁the|▁company|▁the|▁guitar|.,"[-3.6788957118988037, -7.047139644622803, -9.625312805175781, -2.3075826168060303, -7.82087516784668, -5.09838342666626, -10.86532211303711, -3.083723783493042]"
the guy brought the iron to the author .,PD,BRING,THE,to,-47.11756896972656,▁The|▁gu|y|▁brought|▁the|▁iron|▁to|▁the|▁author|.,"[-3.6788957118988037, -8.403411865234375, -0.8527905941009521, -8.045244216918945, -2.1590397357940674, -8.497861862182617, -2.3063390254974365, -0.9822263717651367, -9.917257308959961, -2.2745068073272705]"
the guy brought the author the iron .,DO,BRING,THE,to,-49.48833847045898,▁The|▁gu|y|▁brought|▁the|▁author|▁the|▁iron|.,"[-3.6788957118988037, -8.403411865234375, -0.8527905941009521, -8.045244216918945, -2.159038543701172, -9.388108253479004, -4.575831890106201, -9.585838317871094, -2.7991788387298584]"
the employee brought the television to the doctor .,PD,BRING,THE,to,-44.5255241394043,▁The|▁employee|▁brought|▁the|▁television|▁to|▁the|▁doctor|.,"[-3.6788957118988037, -10.098588943481445, -8.150223731994629, -1.4188778400421143, -9.674601554870605, -1.5578510761260986, -1.1583499908447266, -5.710024833679199, -3.078108310699463]"
the employee brought the doctor the television .,DO,BRING,THE,to,-48.13433837890625,▁The|▁employee|▁brought|▁the|▁doctor|▁the|▁television|.,"[-3.6788957118988037, -10.098588943481445, -8.150223731994629, -1.41887629032135, -8.267383575439453, -4.322449684143066, -9.587051391601562, -2.6108691692352295]"
the lady brought the key to the club .,PD,BRING,THE,to,-42.89706802368164,▁The|▁lady|▁brought|▁the|▁key|▁to|▁the|▁club|.,"[-3.6788957118988037, -10.159488677978516, -7.5889811515808105, -2.06201171875, -6.803111553192139, -1.2114386558532715, -0.6761545538902283, -8.091483116149902, -2.6255016326904297]"
the lady brought the club the key .,DO,BRING,THE,to,-47.08788299560547,▁The|▁lady|▁brought|▁the|▁club|▁the|▁key|.,"[-3.6788957118988037, -10.159488677978516, -7.588979721069336, -2.0620107650756836, -8.625860214233398, -5.564454078674316, -6.393082141876221, -3.015113115310669]"
the professor brought the meal to the kid .,PD,BRING,THE,to,-44.13310241699219,▁The|▁professor|▁brought|▁the|▁me|al|▁to|▁the|▁kid|.,"[-3.6788957118988037, -10.660238265991211, -6.9968671798706055, -2.0041725635528564, -8.396917343139648, -0.573783278465271, -0.9417465329170227, -1.053492784500122, -7.988491058349609, -1.8384993076324463]"
the professor brought the kid the meal .,DO,BRING,THE,to,-46.504024505615234,▁The|▁professor|▁brought|▁the|▁kid|▁the|▁me|al|.,"[-3.6788957118988037, -10.660238265991211, -6.9968671798706055, -2.0041725635528564, -8.246458053588867, -5.494342803955078, -7.161144256591797, -0.20759300887584686, -2.054314136505127]"
the bishop brought the pie to the club .,PD,BRING,THE,to,-46.545806884765625,▁The|▁bishop|▁brought|▁the|▁pie|▁to|▁the|▁club|.,"[-3.6788957118988037, -11.325742721557617, -8.062180519104004, -1.8047869205474854, -10.152578353881836, -1.2142055034637451, -0.731200098991394, -7.999998092651367, -1.5762170553207397]"
the bishop brought the club the pie .,DO,BRING,THE,to,-50.6329231262207,▁The|▁bishop|▁brought|▁the|▁club|▁the|▁pie|.,"[-3.6788957118988037, -11.325742721557617, -8.062178611755371, -1.8047871589660645, -8.853076934814453, -4.853396415710449, -10.20077896118164, -1.854063630104065]"
the lawyer brought the newspaper to the corporation .,PD,BRING,THE,to,-46.091793060302734,▁The|▁lawyer|▁brought|▁the|▁newspaper|▁to|▁the|▁corpor|ation|.,"[-3.6788957118988037, -10.16461181640625, -7.9034833908081055, -2.3211894035339355, -7.118724346160889, -1.195722222328186, -1.174875020980835, -8.258461952209473, -1.652607798576355, -2.6232242584228516]"
the lawyer brought the corporation the newspaper .,DO,BRING,THE,to,-48.73286819458008,▁The|▁lawyer|▁brought|▁the|▁corpor|ation|▁the|▁newspaper|.,"[-3.6788957118988037, -10.16461181640625, -7.9034833908081055, -2.3211894035339355, -8.579214096069336, -0.7745869755744934, -4.379876136779785, -7.931931495666504, -2.99908447265625]"
the lady brought the cigarette to the administration .,PD,BRING,THE,to,-49.50858688354492,▁The|▁lady|▁brought|▁the|▁cig|aret|te|▁to|▁the|▁administration|.,"[-3.6788957118988037, -10.159488677978516, -7.588979721069336, -2.0620107650756836, -8.00397777557373, -0.4434903860092163, -0.001053731539286673, -1.2086392641067505, -3.0823464393615723, -10.540626525878906, -2.739078998565674]"
the lady brought the administration the cigarette .,DO,BRING,THE,to,-51.35429382324219,▁The|▁lady|▁brought|▁the|▁administration|▁the|▁cig|aret|te|.,"[-3.6788957118988037, -10.159488677978516, -7.5889811515808105, -2.06201171875, -11.18384075164795, -4.367979049682617, -9.031147956848145, -0.42837727069854736, -0.0018688846612349153, -2.8517019748687744]"
the worker brought the pie to the corporation .,PD,BRING,THE,to,-49.369422912597656,▁The|▁worker|▁brought|▁the|▁pie|▁to|▁the|▁corpor|ation|.,"[-3.6788957118988037, -11.197181701660156, -7.694671154022217, -1.4675449132919312, -9.510414123535156, -1.194008469581604, -0.7589007019996643, -9.080570220947266, -2.588653802871704, -2.1985840797424316]"
the worker brought the corporation the pie .,DO,BRING,THE,to,-51.38384246826172,▁The|▁worker|▁brought|▁the|▁corpor|ation|▁the|▁pie|.,"[-3.6788957118988037, -11.197181701660156, -7.694671154022217, -1.4675449132919312, -9.26443862915039, -0.8549586534500122, -3.978411912918091, -11.21449089050293, -2.0332512855529785]"
the worker brought the coffee to the club .,PD,BRING,THE,to,-44.94962692260742,▁The|▁worker|▁brought|▁the|▁coffee|▁to|▁the|▁club|.,"[-3.6788957118988037, -11.197181701660156, -7.694671154022217, -1.4675449132919312, -6.450467109680176, -1.394288182258606, -0.8915995359420776, -9.10445785522461, -3.0705251693725586]"
