text,structure,verb,det,prep,sen_prob_nospace,tokens,log_prob_tokens
a princess brought a coffee to an adult .,PD,BRING,A,to,-52.17609024047852,▁A|▁prin|cess|▁brought|▁a|▁coffee|▁to|▁an|▁adult|.,"[-4.501774787902832, -10.29953670501709, -0.02450183592736721, -8.533581733703613, -3.379648208618164, -9.189949035644531, -2.1782467365264893, -4.14831018447876, -6.8048505783081055, -3.1156888008117676]"
a princess brought an adult a coffee .,DO,BRING,A,to,-51.58332443237305,▁A|▁prin|cess|▁brought|▁an|▁adult|▁a|▁coffee|.,"[-4.501774787902832, -10.29953670501709, -0.02450183592736721, -8.533581733703613, -5.256802558898926, -7.555434226989746, -6.193480968475342, -7.165397644042969, -2.052812099456787]"
a lady brought a computer to an employer .,PD,BRING,A,to,-49.31095123291016,▁A|▁lady|▁brought|▁a|▁computer|▁to|▁an|▁employ|er|.,"[-4.501774787902832, -8.719051361083984, -7.365263938903809, -1.4290258884429932, -8.277732849121094, -0.6504136919975281, -3.4801523685455322, -8.00191879272461, -3.908057451248169, -2.977560520172119]"
a lady brought an employer a computer .,DO,BRING,A,to,-47.40297317504883,▁A|▁lady|▁brought|▁an|▁employ|er|▁a|▁computer|.,"[-4.501774787902832, -8.719051361083984, -7.365263938903809, -4.342449188232422, -6.207772254943848, -1.8220090866088867, -3.710186719894409, -7.726727485656738, -3.0077414512634277]"
a colonel brought a television to a candidate .,PD,BRING,A,to,-55.531585693359375,▁A|▁colon|el|▁brought|▁a|▁television|▁to|▁a|▁candidate|.,"[-4.501774787902832, -10.303475379943848, -4.284836292266846, -9.133686065673828, -1.7842923402786255, -9.251976013183594, -1.6864616870880127, -2.0439224243164062, -9.530885696411133, -3.010274887084961]"
a colonel brought a candidate a television .,DO,BRING,A,to,-58.42667007446289,▁A|▁colon|el|▁brought|▁a|▁candidate|▁a|▁television|.,"[-4.501774787902832, -10.303475379943848, -4.284836292266846, -9.133686065673828, -1.7842915058135986, -8.148454666137695, -5.955277442932129, -11.197047233581543, -3.1178245544433594]"
a teacher brought an engine to a singer .,PD,BRING,A,to,-52.11821746826172,▁A|▁teacher|▁brought|▁an|▁engine|▁to|▁a|▁singer|.,"[-4.501774787902832, -8.1781644821167, -7.587385177612305, -3.6060431003570557, -9.614760398864746, -1.1712225675582886, -2.793789863586426, -12.636188507080078, -2.0288889408111572]"
a teacher brought a singer an engine .,DO,BRING,A,to,-54.4155502319336,▁A|▁teacher|▁brought|▁a|▁singer|▁an|▁engine|.,"[-4.501774787902832, -8.1781644821167, -7.587386131286621, -1.1431478261947632, -10.523589134216309, -9.094472885131836, -10.420891761779785, -2.966125249862671]"
a mayor brought an instrument to a band .,PD,BRING,A,to,-49.42512130737305,▁A|▁mayor|▁brought|▁an|▁instrument|▁to|▁a|▁band|.,"[-4.501774787902832, -11.107820510864258, -9.11550235748291, -4.055722713470459, -8.81080436706543, -1.6851708889007568, -1.3629440069198608, -6.029057502746582, -2.7563252449035645]"
a mayor brought a band an instrument .,DO,BRING,A,to,-52.14153671264648,▁A|▁mayor|▁brought|▁a|▁band|▁an|▁instrument|.,"[-4.501774787902832, -11.107820510864258, -9.115500450134277, -2.1291275024414062, -7.835419654846191, -10.52165699005127, -4.320620059967041, -2.609614372253418]"
a colonel brought a tea to a business .,PD,BRING,A,to,-58.70493316650391,▁A|▁colon|el|▁brought|▁a|▁tea|▁to|▁a|▁business|.,"[-4.501774787902832, -10.303475379943848, -4.284836292266846, -9.133686065673828, -1.7842923402786255, -9.59912109375, -3.7279741764068604, -2.6657931804656982, -7.108558654785156, -5.595420837402344]"
a colonel brought a business a tea .,DO,BRING,A,to,-59.124053955078125,▁A|▁colon|el|▁brought|▁a|▁business|▁a|▁tea|.,"[-4.501774787902832, -10.303475379943848, -4.284836292266846, -9.133686065673828, -1.7842915058135986, -7.805431365966797, -8.311355590820312, -9.871301651000977, -3.127901077270508]"
an aunt brought a jacket to an army .,PD,BRING,A,to,-52.6895751953125,▁An|▁a|unt|▁brought|▁a|▁jack|et|▁to|▁an|▁army|.,"[-6.047245979309082, -6.497696876525879, -4.191415786743164, -7.240576267242432, -2.2290806770324707, -8.359298706054688, -0.6159060001373291, -1.4368048906326294, -4.930948257446289, -5.147228240966797, -5.993376731872559]"
an aunt brought an army a jacket .,DO,BRING,A,to,-53.73419952392578,▁An|▁a|unt|▁brought|▁an|▁army|▁a|▁jack|et|.,"[-6.047245979309082, -6.497696876525879, -4.1914167404174805, -7.240575790405273, -4.67452335357666, -6.108726501464844, -7.465694427490234, -8.674667358398438, -0.23898422718048096, -2.5946671962738037]"
a hero brought a chocolate to a wife .,PD,BRING,A,to,-51.37152099609375,▁A|▁hero|▁brought|▁a|▁ch|oc|olate|▁to|▁a|▁wife|.,"[-4.501774787902832, -8.886063575744629, -9.318778991699219, -4.087224960327148, -6.283730506896973, -1.965173602104187, -0.01713624782860279, -2.879401922225952, -1.1063827276229858, -8.062836647033691, -4.2630205154418945]"
a hero brought a wife a chocolate .,DO,BRING,A,to,-48.58195877075195,▁A|▁hero|▁brought|▁a|▁wife|▁a|▁ch|oc|olate|.,"[-4.501774787902832, -8.886063575744629, -9.318780899047852, -4.087220191955566, -7.466081619262695, -5.383151054382324, -4.614863395690918, -1.0997061729431152, -0.016155054792761803, -3.208160161972046]"
a soldier brought a cup to a scientist .,PD,BRING,A,to,-44.347801208496094,▁A|▁soldier|▁brought|▁a|▁cup|▁to|▁a|▁scient|ist|.,"[-4.501774787902832, -8.680253028869629, -8.21557331085205, -2.043584108352661, -6.681072235107422, -3.31544828414917, -1.7358602285385132, -7.694191932678223, -0.005690090823918581, -1.474354863166809]"
a soldier brought a scientist a cup .,DO,BRING,A,to,-46.51979064941406,▁A|▁soldier|▁brought|▁a|▁scient|ist|▁a|▁cup|.,"[-4.501774787902832, -8.680253028869629, -8.21557331085205, -2.043584108352661, -10.841819763183594, -0.0230381079018116, -2.101489305496216, -5.198006629943848, -4.914250373840332]"
an employee brought a camera to a business .,PD,BRING,A,to,-41.63922119140625,▁An|▁employee|▁brought|▁a|▁camera|▁to|▁a|▁business|.,"[-6.047245979309082, -6.293264389038086, -8.170954704284668, -1.1810132265090942, -7.69841194152832, -0.9060115218162537, -2.662889003753662, -4.582515239715576, -4.096918106079102]"
an employee brought a business a camera .,DO,BRING,A,to,-47.58849334716797,▁An|▁employee|▁brought|▁a|▁business|▁a|▁camera|.,"[-6.047245979309082, -6.293264389038086, -8.170953750610352, -1.1810132265090942, -8.11235237121582, -7.68828010559082, -7.614645957946777, -2.480734348297119]"
a parent brought a meal to a club .,PD,BRING,A,to,-48.3032341003418,▁A|▁parent|▁brought|▁a|▁me|al|▁to|▁a|▁club|.,"[-4.501774787902832, -9.068145751953125, -8.600502967834473, -1.9466620683670044, -7.964859485626221, -0.4550694525241852, -0.932674765586853, -2.534454107284546, -7.978634357452393, -4.320456027984619]"
a parent brought a club a meal .,DO,BRING,A,to,-51.685829162597656,▁A|▁parent|▁brought|▁a|▁club|▁a|▁me|al|.,"[-4.501774787902832, -9.068145751953125, -8.600502967834473, -1.9466620683670044, -10.318437576293945, -7.24893856048584, -6.92385196685791, -0.2174670249223709, -2.8600456714630127]"
a prince brought a motor to a business .,PD,BRING,A,to,-54.10667419433594,▁A|▁prince|▁brought|▁a|▁motor|▁to|▁a|▁business|.,"[-4.501774787902832, -11.136812210083008, -8.139758110046387, -1.5885207653045654, -10.38402271270752, -4.515957355499268, -1.5513534545898438, -7.839313507080078, -4.449162006378174]"
a prince brought a business a motor .,DO,BRING,A,to,-57.67942810058594,▁A|▁prince|▁brought|▁a|▁business|▁a|▁motor|.,"[-4.501774787902832, -11.136812210083008, -8.139756202697754, -1.5885206460952759, -9.134139060974121, -8.166202545166016, -10.03135871887207, -4.980865478515625]"
a colonel brought a bottle to a business .,PD,BRING,A,to,-54.55963134765625,▁A|▁colon|el|▁brought|▁a|▁bott|le|▁to|▁a|▁business|.,"[-4.501774787902832, -10.303475379943848, -4.28483772277832, -9.133686065673828, -1.7842915058135986, -5.828358173370361, -0.0032370095141232014, -4.036414623260498, -1.6362900733947754, -7.528799533843994, -5.518465042114258]"
a colonel brought a business a bottle .,DO,BRING,A,to,-57.00117111206055,▁A|▁colon|el|▁brought|▁a|▁business|▁a|▁bott|le|.,"[-4.501774787902832, -10.303475379943848, -4.284836292266846, -9.133686065673828, -1.7842923402786255, -7.805430889129639, -8.311357498168945, -5.739779949188232, -0.01894323155283928, -5.117595672607422]"
a professor brought a tea to a band .,PD,BRING,A,to,-52.873836517333984,▁A|▁professor|▁brought|▁a|▁tea|▁to|▁a|▁band|.,"[-4.501774787902832, -9.077095985412598, -8.59085750579834, -1.3219197988510132, -9.08388614654541, -3.862635612487793, -2.90802001953125, -10.147461891174316, -3.3801827430725098]"
a professor brought a band a tea .,DO,BRING,A,to,-50.71649932861328,▁A|▁professor|▁brought|▁a|▁band|▁a|▁tea|.,"[-4.501774787902832, -9.077095985412598, -8.590860366821289, -1.321919322013855, -9.16851806640625, -6.883872985839844, -7.887673377990723, -3.2847869396209717]"
a soldier brought a telephone to a kid .,PD,BRING,A,to,-47.48764801025391,▁A|▁soldier|▁brought|▁a|▁tele|phone|▁to|▁a|▁kid|.,"[-4.501774787902832, -8.680253028869629, -8.21557331085205, -2.043584108352661, -8.811663627624512, -0.7583186626434326, -1.2942583560943604, -1.8401329517364502, -8.928585052490234, -2.4135031700134277]"
a soldier brought a kid a telephone .,DO,BRING,A,to,-49.293113708496094,▁A|▁soldier|▁brought|▁a|▁kid|▁a|▁tele|phone|.,"[-4.501774787902832, -8.680253028869629, -8.21557331085205, -2.043584108352661, -7.833646774291992, -6.40629768371582, -9.206071853637695, -0.28254780173301697, -2.123370409011841]"
a father brought a beer to a corporation .,PD,BRING,A,to,-51.73881149291992,▁A|▁father|▁brought|▁a|▁be|er|▁to|▁a|▁corpor|ation|.,"[-4.501774787902832, -8.272058486938477, -7.371225833892822, -3.03012752532959, -7.707590103149414, -1.4596807956695557, -1.1559523344039917, -1.9465553760528564, -9.098470687866211, -4.093206882476807, -3.102166175842285]"
a father brought a corporation a beer .,DO,BRING,A,to,-51.851959228515625,▁A|▁father|▁brought|▁a|▁corpor|ation|▁a|▁be|er|.,"[-4.501774787902832, -8.272058486938477, -7.371226787567139, -3.030125856399536, -10.298775672912598, -1.778721809387207, -6.5387773513793945, -6.894903182983398, -1.080916166305542, -2.0846831798553467]"
a doctor brought a tea to a chief .,PD,BRING,A,to,-49.47159576416016,▁A|▁doctor|▁brought|▁a|▁tea|▁to|▁a|▁chief|.,"[-4.501774787902832, -8.244017601013184, -9.550626754760742, -1.2877047061920166, -9.961782455444336, -3.125469923019409, -0.9537623524665833, -9.199216842651367, -2.64724063873291]"
a doctor brought a chief a tea .,DO,BRING,A,to,-48.44808197021485,▁A|▁doctor|▁brought|▁a|▁chief|▁a|▁tea|.,"[-4.501774787902832, -8.244017601013184, -9.550627708435059, -1.287705898284912, -10.644201278686523, -5.291614532470703, -6.317856788635254, -2.6102843284606934]"
a candidate brought a chocolate to a man .,PD,BRING,A,to,-50.21963882446289,▁A|▁candidate|▁brought|▁a|▁ch|oc|olate|▁to|▁a|▁man|.,"[-4.501774787902832, -9.324664115905762, -9.704852104187012, -2.238649606704712, -5.9627838134765625, -1.9324971437454224, -0.006047048140317202, -3.4451546669006348, -2.12480092048645, -7.515830993652344, -3.4625778198242188]"
a candidate brought a man a chocolate .,DO,BRING,A,to,-47.39957427978516,▁A|▁candidate|▁brought|▁a|▁man|▁a|▁ch|oc|olate|.,"[-4.501774787902832, -9.324664115905762, -9.704853057861328, -2.238649368286133, -6.090266227722168, -5.676400661468506, -4.886431694030762, -0.7762804627418518, -0.010789037682116032, -4.1894683837890625]"
a mayor brought a coffee to a priest .,PD,BRING,A,to,-48.07859802246094,▁A|▁mayor|▁brought|▁a|▁coffee|▁to|▁a|▁priest|.,"[-4.501774787902832, -11.107820510864258, -9.11550235748291, -2.129128932952881, -7.6346516609191895, -2.536043643951416, -0.6521830558776855, -7.8658881187438965, -2.53560209274292]"
a mayor brought a priest a coffee .,DO,BRING,A,to,-44.2869758605957,▁A|▁mayor|▁brought|▁a|▁priest|▁a|▁coffee|.,"[-4.501774787902832, -11.107820510864258, -9.115500450134277, -2.1291275024414062, -6.039528846740723, -4.337888240814209, -5.045011520385742, -2.0103278160095215]"
an employer brought a tea to an attorney .,PD,BRING,A,to,-59.64482879638672,▁An|▁employ|er|▁brought|▁a|▁tea|▁to|▁an|▁att|orney|.,"[-6.047245979309082, -7.483885765075684, -0.4720790684223175, -8.805582046508789, -0.8806504607200623, -13.825590133666992, -5.4039201736450195, -4.4115495681762695, -8.647236824035645, -0.037566542625427246, -3.629523515701294]"
an employer brought an attorney a tea .,DO,BRING,A,to,-55.803897857666016,▁An|▁employ|er|▁brought|▁an|▁att|orney|▁a|▁tea|.,"[-6.047245979309082, -7.483885765075684, -0.47207915782928467, -8.805583000183105, -1.6233100891113281, -9.148292541503906, -0.7286961078643799, -7.309019565582275, -10.571910858154297, -3.6138768196105957]"
the husband brought the newspaper to the candidate .,PD,BRING,THE,to,-45.008338928222656,▁The|▁husband|▁brought|▁the|▁newspaper|▁to|▁the|▁candidate|.,"[-3.1171624660491943, -9.879819869995117, -7.382739067077637, -2.5816783905029297, -5.4541120529174805, -1.802507996559143, -0.9026502966880798, -12.253958702087402, -1.6337093114852905]"
the husband brought the candidate the newspaper .,DO,BRING,THE,to,-46.04741287231445,▁The|▁husband|▁brought|▁the|▁candidate|▁the|▁newspaper|.,"[-3.1171624660491943, -9.879819869995117, -7.382739067077637, -2.581679344177246, -11.419081687927246, -5.196138858795166, -4.557260513305664, -1.913524866104126]"
the secretary brought the beer to the soldier .,PD,BRING,THE,to,-47.45009613037109,▁The|▁secretary|▁brought|▁the|▁be|er|▁to|▁the|▁soldier|.,"[-3.1171624660491943, -10.731681823730469, -9.909189224243164, -1.5613657236099243, -8.006893157958984, -0.9901555776596069, -1.788590669631958, -0.5609163641929626, -9.40067195892334, -1.3834686279296875]"
the secretary brought the soldier the beer .,DO,BRING,THE,to,-49.59048080444336,▁The|▁secretary|▁brought|▁the|▁soldier|▁the|▁be|er|.,"[-3.1171624660491943, -10.731681823730469, -9.909189224243164, -1.5613657236099243, -10.395115852355957, -3.5529303550720215, -8.371072769165039, -0.6936302185058594, -1.2583338022232056]"
the champion brought the hat to the guy .,PD,BRING,THE,to,-49.41941452026367,▁The|▁champion|▁brought|▁the|▁hat|▁to|▁the|▁gu|y|.,"[-3.1171624660491943, -11.118099212646484, -9.29514217376709, -2.1253602504730225, -7.994936943054199, -2.0104141235351562, -0.9545626044273376, -9.355740547180176, -0.721305251121521, -2.726691246032715]"
the champion brought the guy the hat .,DO,BRING,THE,to,-49.15113067626953,▁The|▁champion|▁brought|▁the|▁gu|y|▁the|▁hat|.,"[-3.1171624660491943, -11.118099212646484, -9.29514217376709, -2.1253602504730225, -9.019935607910156, -0.7316117286682129, -5.012385368347168, -6.790203094482422, -1.9412306547164917]"
the parent brought the chocolate to the buddy .,PD,BRING,THE,to,-54.28376007080078,▁The|▁parent|▁brought|▁the|▁ch|oc|olate|▁to|▁the|▁bud|dy|.,"[-3.1171624660491943, -9.97329330444336, -12.15051555633545, -1.2519606351852417, -6.595168113708496, -2.5914502143859863, -0.20392295718193054, -2.3620333671569824, -1.005539894104004, -10.868510246276855, -0.9540172219276428, -3.21018648147583]"
the parent brought the buddy the chocolate .,DO,BRING,THE,to,-55.084285736083984,▁The|▁parent|▁brought|▁the|▁bud|dy|▁the|▁ch|oc|olate|.,"[-3.1171624660491943, -9.97329330444336, -12.150517463684082, -1.2519607543945312, -9.975958824157715, -1.7233752012252808, -6.79435920715332, -6.024105072021484, -1.0473142862319946, -0.2366659790277481, -2.7895777225494385]"
the secretary brought the juice to the corporation .,PD,BRING,THE,to,-51.42836380004883,▁The|▁secretary|▁brought|▁the|▁ju|ice|▁to|▁the|▁corpor|ation|.,"[-3.1171624660491943, -10.731681823730469, -9.909189224243164, -1.561366081237793, -9.305339813232422, -0.4818488359451294, -2.4270262718200684, -0.6329724192619324, -8.292993545532227, -2.5377328395843506, -2.4310495853424072]"
the secretary brought the corporation the juice .,DO,BRING,THE,to,-52.989540100097656,▁The|▁secretary|▁brought|▁the|▁corpor|ation|▁the|▁ju|ice|.,"[-3.1171624660491943, -10.731681823730469, -9.909189224243164, -1.5613657236099243, -8.594267845153809, -1.3018420934677124, -4.064027309417725, -10.328742980957031, -1.4285590648651123, -1.9527052640914917]"
the pilot brought the pie to the band .,PD,BRING,THE,to,-48.23261642456055,▁The|▁pilot|▁brought|▁the|▁pie|▁to|▁the|▁band|.,"[-3.1171624660491943, -9.351383209228516, -8.101937294006348, -1.025989055633545, -12.639985084533691, -1.863141417503357, -0.8298444747924805, -9.160308837890625, -2.1428661346435547]"
the pilot brought the band the pie .,DO,BRING,THE,to,-49.85719299316406,▁The|▁pilot|▁brought|▁the|▁band|▁the|▁pie|.,"[-3.1171624660491943, -9.351383209228516, -8.101938247680664, -1.025989055633545, -9.680325508117676, -5.492665767669678, -11.262964248657227, -1.8247699737548828]"
the mother brought the plate to the club .,PD,BRING,THE,to,-45.22662353515625,▁The|▁mother|▁brought|▁the|▁plate|▁to|▁the|▁club|.,"[-3.1171624660491943, -8.838382720947266, -9.25694465637207, -1.8760408163070679, -7.83676815032959, -1.376177191734314, -0.6629061698913574, -9.655579566955566, -2.606659173965454]"
the mother brought the club the plate .,DO,BRING,THE,to,-49.51200866699219,▁The|▁mother|▁brought|▁the|▁club|▁the|▁plate|.,"[-3.1171624660491943, -8.838382720947266, -9.25694465637207, -1.8760408163070679, -9.576942443847656, -6.31866455078125, -8.210725784301758, -2.3171443939208984]"
the mother brought the coffee to the buddy .,PD,BRING,THE,to,-47.59257507324219,▁The|▁mother|▁brought|▁the|▁coffee|▁to|▁the|▁bud|dy|.,"[-3.1171624660491943, -8.838382720947266, -9.25694465637207, -1.8760408163070679, -8.242269515991211, -1.6921590566635132, -0.5881401896476746, -10.311602592468262, -1.8789100646972656, -1.7909647226333618]"
the mother brought the buddy the coffee .,DO,BRING,THE,to,-51.69228363037109,▁The|▁mother|▁brought|▁the|▁bud|dy|▁the|▁coffee|.,"[-3.1171624660491943, -8.838382720947266, -9.25694465637207, -1.8760408163070679, -9.558297157287598, -2.732600450515747, -6.191922664642334, -8.132936477661133, -1.9880002737045288]"
the author brought the guitar to the company .,PD,BRING,THE,to,-45.08385848999024,▁The|▁author|▁brought|▁the|▁guitar|▁to|▁the|▁company|.,"[-3.1171624660491943, -7.540183067321777, -10.24227237701416, -2.5029327869415283, -8.260966300964355, -1.4562515020370483, -1.2905704975128174, -8.252399444580078, -2.421116590499878]"
the author brought the company the guitar .,DO,BRING,THE,to,-48.78870391845703,▁The|▁author|▁brought|▁the|▁company|▁the|▁guitar|.,"[-3.1171624660491943, -7.540183067321777, -10.242270469665527, -2.5029327869415283, -7.857697486877441, -4.827914237976074, -9.956844329833984, -2.743696451187134]"
the guy brought the iron to the author .,PD,BRING,THE,to,-47.024539947509766,▁The|▁gu|y|▁brought|▁the|▁iron|▁to|▁the|▁author|.,"[-3.1171624660491943, -8.657164573669434, -1.0300664901733398, -8.013432502746582, -2.2481589317321777, -7.931086540222168, -2.0893375873565674, -0.9167552590370178, -10.520010948181152, -2.501366376876831]"
the guy brought the author the iron .,DO,BRING,THE,to,-48.29142761230469,▁The|▁gu|y|▁brought|▁the|▁author|▁the|▁iron|.,"[-3.1171624660491943, -8.657164573669434, -1.0300664901733398, -8.013432502746582, -2.2481608390808105, -9.171436309814453, -4.374485015869141, -8.566498756408691, -3.1130220890045166]"
the employee brought the television to the doctor .,PD,BRING,THE,to,-45.18755340576172,▁The|▁employee|▁brought|▁the|▁television|▁to|▁the|▁doctor|.,"[-3.1171624660491943, -10.71253776550293, -7.880801200866699, -1.887453317642212, -9.916259765625, -1.7161716222763062, -1.3571021556854248, -5.21501350402832, -3.3850555419921875]"
the employee brought the doctor the television .,DO,BRING,THE,to,-49.30636215209961,▁The|▁employee|▁brought|▁the|▁doctor|▁the|▁television|.,"[-3.1171624660491943, -10.71253776550293, -7.880801200866699, -1.8874541521072388, -7.8634538650512695, -5.112995147705078, -9.8619384765625, -2.8700175285339355]"
the lady brought the key to the club .,PD,BRING,THE,to,-42.25154495239258,▁The|▁lady|▁brought|▁the|▁key|▁to|▁the|▁club|.,"[-3.1171624660491943, -10.204251289367676, -8.435053825378418, -1.9938263893127441, -6.6123480796813965, -1.1919783353805542, -0.5471435785293579, -7.582916259765625, -2.5668673515319824]"
the lady brought the club the key .,DO,BRING,THE,to,-48.46385192871094,▁The|▁lady|▁brought|▁the|▁club|▁the|▁key|.,"[-3.1171624660491943, -10.204251289367676, -8.435053825378418, -1.9938266277313232, -9.229880332946777, -4.860940933227539, -7.980432510375977, -2.6423048973083496]"
the professor brought the meal to the kid .,PD,BRING,THE,to,-46.60563278198242,▁The|▁professor|▁brought|▁the|▁me|al|▁to|▁the|▁kid|.,"[-3.1171624660491943, -10.805209159851074, -7.088794708251953, -2.2086293697357178, -8.953387260437012, -1.2993167638778687, -1.1941050291061401, -0.6374295949935913, -9.090367317199707, -2.2112338542938232]"
the professor brought the kid the meal .,DO,BRING,THE,to,-48.21662521362305,▁The|▁professor|▁brought|▁the|▁kid|▁the|▁me|al|.,"[-3.1171624660491943, -10.805209159851074, -7.088794708251953, -2.2086293697357178, -8.73146915435791, -6.2308220863342285, -8.103656768798828, -0.24028337001800537, -1.6905944347381592]"
the bishop brought the pie to the club .,PD,BRING,THE,to,-48.15384292602539,▁The|▁bishop|▁brought|▁the|▁pie|▁to|▁the|▁club|.,"[-3.1171624660491943, -11.653115272521973, -8.145444869995117, -1.8198071718215942, -11.074161529541016, -1.4738065004348755, -0.6287968754768372, -8.000225067138672, -2.241323947906494]"
the bishop brought the club the pie .,DO,BRING,THE,to,-51.70516204833984,▁The|▁bishop|▁brought|▁the|▁club|▁the|▁pie|.,"[-3.1171624660491943, -11.653115272521973, -8.145444869995117, -1.819807767868042, -8.551407814025879, -6.289523124694824, -10.616039276123047, -1.5126595497131348]"
the lawyer brought the newspaper to the corporation .,PD,BRING,THE,to,-45.91831970214844,▁The|▁lawyer|▁brought|▁the|▁newspaper|▁to|▁the|▁corpor|ation|.,"[-3.1171624660491943, -10.32208251953125, -8.277613639831543, -1.9481722116470337, -6.671580791473389, -2.1336569786071777, -0.861542284488678, -8.254026412963867, -1.7104575634002686, -2.6220297813415527]"
the lawyer brought the corporation the newspaper .,DO,BRING,THE,to,-47.62748718261719,▁The|▁lawyer|▁brought|▁the|▁corpor|ation|▁the|▁newspaper|.,"[-3.1171624660491943, -10.32208251953125, -8.277613639831543, -1.9481722116470337, -8.096498489379883, -0.9640443325042725, -4.872324466705322, -7.102102279663086, -2.927487373352051]"
the lady brought the cigarette to the administration .,PD,BRING,THE,to,-49.18603897094727,▁The|▁lady|▁brought|▁the|▁cig|aret|te|▁to|▁the|▁administration|.,"[-3.1171624660491943, -10.204251289367676, -8.435053825378418, -1.9938266277313232, -7.372859477996826, -0.34788718819618225, -0.003448612755164504, -0.9527661800384521, -2.852522373199463, -11.36469554901123, -2.541560649871826]"
the lady brought the administration the cigarette .,DO,BRING,THE,to,-51.75876998901367,▁The|▁lady|▁brought|▁the|▁administration|▁the|▁cig|aret|te|.,"[-3.1171624660491943, -10.204251289367676, -8.435053825378418, -1.9938263893127441, -11.779796600341797, -4.576201438903809, -8.6192045211792, -0.4709323048591614, -0.0046901218593120575, -2.5576488971710205]"
the worker brought the pie to the corporation .,PD,BRING,THE,to,-49.80378341674805,▁The|▁worker|▁brought|▁the|▁pie|▁to|▁the|▁corpor|ation|.,"[-3.1171624660491943, -11.952747344970703, -8.307915687561035, -1.5843178033828735, -9.633424758911133, -1.0023213624954224, -0.7362006306648254, -7.648453235626221, -3.0338327884674072, -2.787403106689453]"
the worker brought the corporation the pie .,DO,BRING,THE,to,-50.72269058227539,▁The|▁worker|▁brought|▁the|▁corpor|ation|▁the|▁pie|.,"[-3.1171624660491943, -11.952747344970703, -8.307915687561035, -1.5843178033828735, -8.839493751525879, -0.689694881439209, -4.7460174560546875, -10.045430183410645, -1.4399116039276123]"
the worker brought the coffee to the club .,PD,BRING,THE,to,-46.203216552734375,▁The|▁worker|▁brought|▁the|▁coffee|▁to|▁the|▁club|.,"[-3.1171624660491943, -11.952747344970703, -8.307915687561035, -1.5843178033828735, -6.959364891052246, -1.3069581985473633, -0.6099686026573181, -9.24815559387207, -3.116624116897583]"
