text,structure,verb,det,prep,sen_prob_nospace,tokens,log_prob_tokens
a teacher brought an engine to him .,PD,BRING,A,to,-43.379005432128906,▁A|▁teacher|▁brought|▁an|▁engine|▁to|▁him|.,"[-4.20621395111084, -8.249910354614258, -7.243891716003418, -3.6964683532714844, -7.219355583190918, -1.3486469984054565, -9.707690238952637, -1.7068276405334473]"
a teacher brought him an engine .,DO,BRING,A,to,-41.67714691162109,▁A|▁teacher|▁brought|▁him|▁an|▁engine|.,"[-4.20621395111084, -8.249910354614258, -7.243891716003418, -6.808664321899414, -4.513338565826416, -8.35549545288086, -2.299631357192993]"
a mayor brought an instrument to them .,PD,BRING,A,to,-50.9047737121582,▁A|▁mayor|▁brought|▁an|▁instrument|▁to|▁them|.,"[-4.20621395111084, -10.936836242675781, -8.28864860534668, -4.093230247497559, -8.202271461486816, -1.4952309131622314, -11.858307838439941, -1.8240365982055664]"
a mayor brought them an instrument .,DO,BRING,A,to,-45.972904205322266,▁A|▁mayor|▁brought|▁them|▁an|▁instrument|.,"[-4.20621395111084, -10.936836242675781, -8.288650512695312, -6.670313358306885, -6.360511779785156, -7.531951427459717, -1.9784280061721802]"
a colonel brought a tea to you .,PD,BRING,A,to,-49.1098861694336,▁A|▁colon|el|▁brought|▁a|▁tea|▁to|▁you|.,"[-4.20621395111084, -10.312420845031738, -2.8497414588928223, -8.080379486083984, -1.8930705785751343, -9.71287727355957, -3.813680648803711, -6.730804443359375, -1.510694146156311]"
a colonel brought you a tea .,DO,BRING,A,to,-43.97498321533203,▁A|▁colon|el|▁brought|▁you|▁a|▁tea|.,"[-4.20621395111084, -10.312420845031738, -2.849741220474243, -8.080379486083984, -6.378604888916016, -2.1952128410339355, -7.27000617980957, -2.682405471801758]"
an aunt brought a jacket to him .,PD,BRING,A,to,-44.08846282958984,▁An|▁a|unt|▁brought|▁a|▁jack|et|▁to|▁him|.,"[-6.080687522888184, -6.207032203674316, -4.5503363609313965, -6.6349897384643555, -2.1357173919677734, -8.178720474243164, -0.740099310874939, -1.508648157119751, -6.1970744132995605, -1.855161190032959]"
an aunt brought him a jacket .,DO,BRING,A,to,-39.83477783203125,▁An|▁a|unt|▁brought|▁him|▁a|▁jack|et|.,"[-6.080687522888184, -6.207032203674316, -4.5503363609313965, -6.6349897384643555, -4.087311267852783, -2.1333892345428467, -7.27604866027832, -0.4936603903770447, -2.3713271617889404]"
a hero brought a chocolate to it .,PD,BRING,A,to,-50.19585800170898,▁A|▁hero|▁brought|▁a|▁ch|oc|olate|▁to|▁it|.,"[-4.20621395111084, -9.034096717834473, -9.519438743591309, -4.598477840423584, -5.799555778503418, -1.7073849439620972, -0.011938548646867275, -4.062315464019775, -9.07705020904541, -2.1793830394744873]"
a hero brought it a chocolate .,DO,BRING,A,to,-46.05406188964844,▁A|▁hero|▁brought|▁it|▁a|▁ch|oc|olate|.,"[-4.20621395111084, -9.034096717834473, -9.519438743591309, -6.382009983062744, -6.451396465301514, -5.739755630493164, -1.3474806547164917, -0.025414912030100822, -3.3482518196105957]"
a soldier brought a cup to us .,PD,BRING,A,to,-40.66661071777344,▁A|▁soldier|▁brought|▁a|▁cup|▁to|▁us|.,"[-4.20621395111084, -8.823785781860352, -8.145197868347168, -2.1487255096435547, -6.148536205291748, -2.8208227157592773, -6.885411262512207, -1.4879186153411865]"
a soldier brought us a cup .,DO,BRING,A,to,-36.295387268066406,▁A|▁soldier|▁brought|▁us|▁a|▁cup|.,"[-4.20621395111084, -8.823785781860352, -8.145197868347168, -4.523568153381348, -1.9089677333831787, -3.7897512912750244, -4.897903919219971]"
an employee brought a camera to you .,PD,BRING,A,to,-41.82040023803711,▁An|▁employee|▁brought|▁a|▁camera|▁to|▁you|.,"[-6.080687522888184, -6.094969749450684, -8.87539291381836, -1.0734813213348389, -6.246302604675293, -0.9818730354309082, -9.877809524536133, -2.589884042739868]"
an employee brought you a camera .,DO,BRING,A,to,-40.079837799072266,▁An|▁employee|▁brought|▁you|▁a|▁camera|.,"[-6.080687522888184, -6.094969749450684, -8.875393867492676, -7.533551216125488, -0.8309392929077148, -8.324995040893555, -2.339301824569702]"
a parent brought a meal to us .,PD,BRING,A,to,-39.302711486816406,▁A|▁parent|▁brought|▁a|▁me|al|▁to|▁us|.,"[-4.20621395111084, -8.584930419921875, -8.02798080444336, -1.865485668182373, -7.906558036804199, -0.17184774577617645, -0.7715926170349121, -4.845006942749023, -2.9230966567993164]"
a parent brought us a meal .,DO,BRING,A,to,-38.329078674316406,▁A|▁parent|▁brought|▁us|▁a|▁me|al|.,"[-4.20621395111084, -8.584930419921875, -8.027981758117676, -4.4595255851745605, -1.0462642908096313, -8.356684684753418, -0.36373600363731384, -3.2837393283843994]"
a prince brought a motor to us .,PD,BRING,A,to,-48.86538314819336,▁A|▁prince|▁brought|▁a|▁motor|▁to|▁us|.,"[-4.20621395111084, -10.716800689697266, -8.414205551147461, -2.9068288803100586, -9.924193382263184, -4.295912742614746, -6.4552202224731445, -1.9460084438323975]"
a prince brought us a motor .,DO,BRING,A,to,-45.00316619873047,▁A|▁prince|▁brought|▁us|▁a|▁motor|.,"[-4.20621395111084, -10.716800689697266, -8.414206504821777, -6.202375888824463, -2.1056885719299316, -8.781336784362793, -4.576543807983398]"
a colonel brought a bottle to you .,PD,BRING,A,to,-45.033817291259766,▁A|▁colon|el|▁brought|▁a|▁bott|le|▁to|▁you|.,"[-4.20621395111084, -10.312420845031738, -2.8497414588928223, -8.080379486083984, -1.8930705785751343, -5.629389762878418, -0.0017313265707343817, -3.409579277038574, -6.99902868270874, -1.6522607803344727]"
a colonel brought you a bottle .,DO,BRING,A,to,-42.12944412231445,▁A|▁colon|el|▁brought|▁you|▁a|▁bott|le|.,"[-4.20621395111084, -10.312420845031738, -2.8497414588928223, -8.080379486083984, -6.378603458404541, -2.195211887359619, -4.1496076583862305, -0.002042947104200721, -3.9552183151245117]"
a professor brought a tea to them .,PD,BRING,A,to,-47.81849670410156,▁A|▁professor|▁brought|▁a|▁tea|▁to|▁them|.,"[-4.20621395111084, -8.844736099243164, -8.452380180358887, -1.2743216753005981, -10.053779602050781, -4.8928117752075195, -8.807875633239746, -1.2863788604736328]"
a professor brought them a tea .,DO,BRING,A,to,-44.11832427978516,▁A|▁professor|▁brought|▁them|▁a|▁tea|.,"[-4.20621395111084, -8.844736099243164, -8.452381134033203, -7.146225452423096, -3.8720853328704834, -8.203197479248047, -3.393486738204956]"
a soldier brought a telephone to me .,PD,BRING,A,to,-39.98430633544922,▁A|▁soldier|▁brought|▁a|▁tele|phone|▁to|▁me|.,"[-4.20621395111084, -8.823785781860352, -8.145197868347168, -2.1487228870391846, -8.096259117126465, -2.805049419403076, -1.2245469093322754, -2.9552555084228516, -1.579272747039795]"
a soldier brought me a telephone .,DO,BRING,A,to,-35.89822769165039,▁A|▁soldier|▁brought|▁me|▁a|▁tele|phone|.,"[-4.20621395111084, -8.823785781860352, -8.145197868347168, -3.0618858337402344, -1.1349740028381348, -5.9915876388549805, -2.641153335571289, -1.8934292793273926]"
a father brought a beer to me .,PD,BRING,A,to,-39.07295608520508,▁A|▁father|▁brought|▁a|▁be|er|▁to|▁me|.,"[-4.20621395111084, -8.159383773803711, -7.267867088317871, -2.411994695663452, -7.983910083770752, -1.235141396522522, -1.540376901626587, -4.287285804748535, -1.980780005455017]"
a father brought me a beer .,DO,BRING,A,to,-35.7807502746582,▁A|▁father|▁brought|▁me|▁a|▁be|er|.,"[-4.20621395111084, -8.159383773803711, -7.267867088317871, -4.760776519775391, -1.3193367719650269, -6.61022424697876, -1.6465386152267456, -1.8104101419448853]"
a doctor brought a tea to us .,PD,BRING,A,to,-44.26126480102539,▁A|▁doctor|▁brought|▁a|▁tea|▁to|▁us|.,"[-4.20621395111084, -7.956838130950928, -8.141170501708984, -1.3236323595046997, -11.610376358032227, -3.287598133087158, -6.201830863952637, -1.5336052179336548]"
a doctor brought us a tea .,DO,BRING,A,to,-40.13095474243164,▁A|▁doctor|▁brought|▁us|▁a|▁tea|.,"[-4.20621395111084, -7.956838130950928, -8.141170501708984, -4.815441131591797, -1.8770599365234375, -9.527673721313477, -3.606557846069336]"
a candidate brought a chocolate to you .,PD,BRING,A,to,-47.61630630493164,▁A|▁candidate|▁brought|▁a|▁ch|oc|olate|▁to|▁you|.,"[-4.20621395111084, -9.32246208190918, -9.750958442687988, -1.7158710956573486, -5.901234149932861, -2.5740866661071777, -0.0038006706163287163, -5.1293134689331055, -7.559186935424805, -1.4531829357147217]"
a candidate brought you a chocolate .,DO,BRING,A,to,-43.514041900634766,▁A|▁candidate|▁brought|▁you|▁a|▁ch|oc|olate|.,"[-4.20621395111084, -9.32246208190918, -9.750958442687988, -7.187405586242676, -1.978838562965393, -5.715362548828125, -0.6370337605476379, -0.0018181951018050313, -4.713943958282471]"
a mayor brought a coffee to me .,PD,BRING,A,to,-45.2177848815918,▁A|▁mayor|▁brought|▁a|▁coffee|▁to|▁me|.,"[-4.20621395111084, -10.936836242675781, -8.28864860534668, -1.8499805927276611, -8.140185356140137, -3.434239387512207, -6.320768356323242, -2.0409140586853027]"
a mayor brought me a coffee .,DO,BRING,A,to,-38.72956466674805,▁A|▁mayor|▁brought|▁me|▁a|▁coffee|.,"[-4.20621395111084, -10.936836242675781, -8.288650512695312, -5.3622212409973145, -2.1445207595825195, -5.766454696655273, -2.0246667861938477]"
an employer brought a tea to you .,PD,BRING,A,to,-53.91659164428711,▁An|▁employ|er|▁brought|▁a|▁tea|▁to|▁you|.,"[-6.080687522888184, -7.772346496582031, -0.5137653350830078, -8.479145050048828, -0.9511035084724426, -12.79040241241455, -4.792555332183838, -10.277131080627441, -2.259453058242798]"
an employer brought you a tea .,DO,BRING,A,to,-47.34062194824219,▁An|▁employ|er|▁brought|▁you|▁a|▁tea|.,"[-6.080687522888184, -7.772346496582031, -0.5137660503387451, -8.479145050048828, -8.160256385803223, -3.5955443382263184, -9.621193885803223, -3.1176838874816895]"
the husband brought the newspaper to us .,PD,BRING,THE,to,-40.33654022216797,▁The|▁husband|▁brought|▁the|▁newspaper|▁to|▁us|.,"[-3.6788957118988037, -10.154186248779297, -7.690036773681641, -2.461857318878174, -6.1468119621276855, -1.3909249305725098, -6.613302230834961, -2.2005231380462646]"
the husband brought us the newspaper .,DO,BRING,THE,to,-36.16109085083008,▁The|▁husband|▁brought|▁us|▁the|▁newspaper|.,"[-3.6788957118988037, -10.154186248779297, -7.690034866333008, -4.639023780822754, -3.4114160537719727, -4.312994003295898, -2.274538040161133]"
the secretary brought the beer to them .,PD,BRING,THE,to,-40.06549453735352,▁The|▁secretary|▁brought|▁the|▁be|er|▁to|▁them|.,"[-3.6788957118988037, -10.424703598022461, -8.810151100158691, -1.844477653503418, -6.5601396560668945, -0.7491599917411804, -2.42128586769104, -4.658493995666504, -0.9181852340698242]"
the secretary brought them the beer .,DO,BRING,THE,to,-39.30360412597656,▁The|▁secretary|▁brought|▁them|▁the|▁be|er|.,"[-3.6788957118988037, -10.424703598022461, -8.810150146484375, -4.384477615356445, -3.757448673248291, -6.105059623718262, -0.6608335375785828, -1.4820334911346436]"
the champion brought the hat to me .,PD,BRING,THE,to,-42.634952545166016,▁The|▁champion|▁brought|▁the|▁hat|▁to|▁me|.,"[-3.6788957118988037, -11.269198417663574, -9.261886596679688, -2.0245862007141113, -8.236428260803223, -2.3206567764282227, -4.292325973510742, -1.5509772300720215]"
the champion brought me the hat .,DO,BRING,THE,to,-41.16301727294922,▁The|▁champion|▁brought|▁me|▁the|▁hat|.,"[-3.6788957118988037, -11.269198417663574, -9.261886596679688, -5.122176170349121, -2.8355884552001953, -7.364355087280273, -1.6309170722961426]"
the parent brought the chocolate to you .,PD,BRING,THE,to,-45.46068572998047,▁The|▁parent|▁brought|▁the|▁ch|oc|olate|▁to|▁you|.,"[-3.6788957118988037, -9.937634468078613, -11.113627433776855, -1.9121428728103638, -7.26823616027832, -1.6494739055633545, -0.0795460119843483, -2.4168295860290527, -6.0336785316467285, -1.370620608329773]"
the parent brought you the chocolate .,DO,BRING,THE,to,-43.96896362304688,▁The|▁parent|▁brought|▁you|▁the|▁ch|oc|olate|.,"[-3.6788957118988037, -9.937634468078613, -11.113627433776855, -6.379633903503418, -2.3565797805786133, -6.430750846862793, -1.6177854537963867, -0.09883560985326767, -2.3552193641662598]"
the secretary brought the juice to her .,PD,BRING,THE,to,-40.87961959838867,▁The|▁secretary|▁brought|▁the|▁ju|ice|▁to|▁her|.,"[-3.6788957118988037, -10.424703598022461, -8.810151100158691, -1.844477653503418, -8.79481315612793, -0.16303034126758575, -2.279423952102661, -2.739047050476074, -2.145075559616089]"
the secretary brought her the juice .,DO,BRING,THE,to,-38.62705993652344,▁The|▁secretary|▁brought|▁her|▁the|▁ju|ice|.,"[-3.6788957118988037, -10.424703598022461, -8.810150146484375, -3.6844139099121094, -2.9989516735076904, -7.750162124633789, -0.03186310827732086, -1.2479206323623657]"
the pilot brought the pie to it .,PD,BRING,THE,to,-45.3057975769043,▁The|▁pilot|▁brought|▁the|▁pie|▁to|▁it|.,"[-3.6788957118988037, -9.353681564331055, -7.4435930252075195, -0.8943576812744141, -12.295915603637695, -2.0543010234832764, -7.151760578155518, -2.4332926273345947]"
the pilot brought it the pie .,DO,BRING,THE,to,-44.63072967529297,▁The|▁pilot|▁brought|▁it|▁the|▁pie|.,"[-3.6788957118988037, -9.353681564331055, -7.443593502044678, -4.712566375732422, -7.54075813293457, -10.163116455078125, -1.7381187677383423]"
the mother brought the plate to you .,PD,BRING,THE,to,-42.25815200805664,▁The|▁mother|▁brought|▁the|▁plate|▁to|▁you|.,"[-3.6788957118988037, -8.82384967803955, -9.002701759338379, -2.2513267993927, -8.881122589111328, -1.586358904838562, -6.8390278816223145, -1.1948696374893188]"
the mother brought you the plate .,DO,BRING,THE,to,-40.03694915771485,▁The|▁mother|▁brought|▁you|▁the|▁plate|.,"[-3.6788957118988037, -8.82384967803955, -9.002701759338379, -6.637651443481445, -3.462413787841797, -6.4220356941223145, -2.0094027519226074]"
the mother brought the coffee to it .,PD,BRING,THE,to,-45.58646774291992,▁The|▁mother|▁brought|▁the|▁coffee|▁to|▁it|.,"[-3.6788957118988037, -8.82384967803955, -9.002701759338379, -2.2513267993927, -9.263599395751953, -1.7995346784591675, -9.292190551757812, -1.4743692874908447]"
the mother brought it the coffee .,DO,BRING,THE,to,-43.605316162109375,▁The|▁mother|▁brought|▁it|▁the|▁coffee|.,"[-3.6788957118988037, -8.82384967803955, -9.002701759338379, -5.224982261657715, -6.5985612869262695, -7.800325393676758, -2.4760007858276367]"
the author brought the guitar to you .,PD,BRING,THE,to,-41.34642028808594,▁The|▁author|▁brought|▁the|▁guitar|▁to|▁you|.,"[-3.6788957118988037, -7.047139644622803, -9.625312805175781, -2.3075826168060303, -9.04693603515625, -1.3841431140899658, -6.681821823120117, -1.5745830535888672]"
the author brought you the guitar .,DO,BRING,THE,to,-42.81296157836914,▁The|▁author|▁brought|▁you|▁the|▁guitar|.,"[-3.6788957118988037, -7.047139644622803, -9.625311851501465, -5.778151512145996, -1.5702321529388428, -10.84581184387207, -4.2674174308776855]"
the guy brought the iron to it .,PD,BRING,THE,to,-41.670013427734375,▁The|▁gu|y|▁brought|▁the|▁iron|▁to|▁it|.,"[-3.6788957118988037, -8.403411865234375, -0.8527905941009521, -8.045244216918945, -2.159038543701172, -8.4978609085083, -2.306338310241699, -6.150332450866699, -1.5760996341705322]"
the guy brought it the iron .,DO,BRING,THE,to,-44.54124450683594,▁The|▁gu|y|▁brought|▁it|▁the|▁iron|.,"[-3.6788957118988037, -8.403411865234375, -0.8527904748916626, -8.045244216918945, -3.0643422603607178, -6.529216289520264, -10.84283447265625, -3.1245081424713135]"
the employee brought the television to us .,PD,BRING,THE,to,-45.00094223022461,▁The|▁employee|▁brought|▁the|▁television|▁to|▁us|.,"[-3.6788957118988037, -10.098588943481445, -8.150223731994629, -1.41887629032135, -9.674600601196289, -1.5578491687774658, -8.239204406738281, -2.182701587677002]"
the employee brought us the television .,DO,BRING,THE,to,-41.36520385742188,▁The|▁employee|▁brought|▁us|▁the|▁television|.,"[-3.6788957118988037, -10.098588943481445, -8.150223731994629, -5.830816268920898, -2.552798271179199, -8.84864330291748, -2.205237627029419]"
the lady brought the key to it .,PD,BRING,THE,to,-40.23720169067383,▁The|▁lady|▁brought|▁the|▁key|▁to|▁it|.,"[-3.6788957118988037, -10.159488677978516, -7.588979721069336, -2.0620107650756836, -6.803112983703613, -1.211438536643982, -7.12849235534668, -1.604783058166504]"
the lady brought it the key .,DO,BRING,THE,to,-43.00466537475586,▁The|▁lady|▁brought|▁it|▁the|▁key|.,"[-3.6788957118988037, -10.159488677978516, -7.5889811515808105, -3.846299171447754, -6.750362873077393, -8.293008804321289, -2.6876296997070312]"
the professor brought the meal to us .,PD,BRING,THE,to,-40.038551330566406,▁The|▁professor|▁brought|▁the|▁me|al|▁to|▁us|.,"[-3.6788957118988037, -10.660238265991211, -6.9968671798706055, -2.0041725635528564, -8.396918296813965, -0.5737833380699158, -0.9417446851730347, -5.213087558746338, -1.5728403329849243]"
the professor brought us the meal .,DO,BRING,THE,to,-40.23348617553711,▁The|▁professor|▁brought|▁us|▁the|▁me|al|.,"[-3.6788957118988037, -10.660238265991211, -6.9968671798706055, -4.34600830078125, -3.9590110778808594, -8.016134262084961, -0.3909444510936737, -2.1853814125061035]"
the bishop brought the pie to you .,PD,BRING,THE,to,-43.61996841430664,▁The|▁bishop|▁brought|▁the|▁pie|▁to|▁you|.,"[-3.6788957118988037, -11.325742721557617, -8.062178611755371, -1.8047871589660645, -10.152578353881836, -1.2142037153244019, -6.149463653564453, -1.2321152687072754]"
the bishop brought you the pie .,DO,BRING,THE,to,-42.19786071777344,▁The|▁bishop|▁brought|▁you|▁the|▁pie|.,"[-3.6788957118988037, -11.325742721557617, -8.062180519104004, -5.914484024047852, -2.847416400909424, -8.996156692504883, -1.3729822635650635]"
the lawyer brought the newspaper to me .,PD,BRING,THE,to,-36.39093017578125,▁The|▁lawyer|▁brought|▁the|▁newspaper|▁to|▁me|.,"[-3.6788957118988037, -10.16461181640625, -7.903484344482422, -2.3211894035339355, -7.118722915649414, -1.1957218647003174, -2.6417999267578125, -1.3665063381195068]"
the lawyer brought me the newspaper .,DO,BRING,THE,to,-36.20717239379883,▁The|▁lawyer|▁brought|▁me|▁the|▁newspaper|.,"[-3.6788957118988037, -10.16461181640625, -7.9034833908081055, -4.0361199378967285, -2.7746431827545166, -5.914896011352539, -1.7345197200775146]"
the lady brought the cigarette to you .,PD,BRING,THE,to,-42.172882080078125,▁The|▁lady|▁brought|▁the|▁cig|aret|te|▁to|▁you|.,"[-3.6788957118988037, -10.159488677978516, -7.5889811515808105, -2.06201171875, -8.00397777557373, -0.44349053502082825, -0.001053731539286673, -1.2086384296417236, -7.359183311462402, -1.667161226272583]"
the lady brought you the cigarette .,DO,BRING,THE,to,-39.455039978027344,▁The|▁lady|▁brought|▁you|▁the|▁cig|aret|te|.,"[-3.6788957118988037, -10.159488677978516, -7.5889811515808105, -4.983148574829102, -2.840864658355713, -7.585671901702881, -0.7489128708839417, -0.0014461545506492257, -1.867632508277893]"
the worker brought the pie to us .,PD,BRING,THE,to,-42.52559661865234,▁The|▁worker|▁brought|▁the|▁pie|▁to|▁us|.,"[-3.6788957118988037, -11.197181701660156, -7.694671630859375, -1.467544674873352, -9.510412216186523, -1.194010615348816, -5.895639419555664, -1.8872374296188354]"
the worker brought us the pie .,DO,BRING,THE,to,-39.3951416015625,▁The|▁worker|▁brought|▁us|▁the|▁pie|.,"[-3.6788957118988037, -11.197181701660156, -7.694671154022217, -4.752769947052002, -2.61051869392395, -7.65513801574707, -1.8059667348861694]"
the worker brought the coffee to them .,PD,BRING,THE,to,-38.38692474365234,▁The|▁worker|▁brought|▁the|▁coffee|▁to|▁them|.,"[-3.6788957118988037, -11.197181701660156, -7.694671630859375, -1.467544674873352, -6.450464248657227, -1.3942877054214478, -5.465358257293701, -1.03852117061615]"
the worker brought them the coffee .,DO,BRING,THE,to,-37.3602294921875,▁The|▁worker|▁brought|▁them|▁the|▁coffee|.,"[-3.6788957118988037, -11.197181701660156, -7.694671154022217, -5.570702075958252, -3.658402919769287, -3.9397614002227783, -1.6206148862838745]"
the actor brought the glass to him .,PD,BRING,THE,to,-41.70732116699219,▁The|▁actor|▁brought|▁the|▁glass|▁to|▁him|.,"[-3.6788957118988037, -8.630037307739258, -7.72287654876709, -1.9834445714950562, -10.046881675720215, -2.196828842163086, -5.700605869293213, -1.747750997543335]"
the actor brought him the glass .,DO,BRING,THE,to,-39.15908432006836,▁The|▁actor|▁brought|▁him|▁the|▁glass|.,"[-3.6788957118988037, -8.630037307739258, -7.7228779792785645, -6.5120697021484375, -4.095339775085449, -5.883145332336426, -2.636718273162842]"
the mayor brought the key to you .,PD,BRING,THE,to,-38.62461853027344,▁The|▁mayor|▁brought|▁the|▁key|▁to|▁you|.,"[-3.6788957118988037, -9.276931762695312, -8.426495552062988, -1.9653549194335938, -6.987395286560059, -0.9695507884025574, -6.084602355957031, -1.23539137840271]"
the mayor brought you the key .,DO,BRING,THE,to,-38.87034606933594,▁The|▁mayor|▁brought|▁you|▁the|▁key|.,"[-3.6788957118988037, -9.276931762695312, -8.426494598388672, -6.471041202545166, -2.575356960296631, -6.070473670959473, -2.3711514472961426]"
the guy brought the beer to you .,PD,BRING,THE,to,-35.763145446777344,▁The|▁gu|y|▁brought|▁the|▁be|er|▁to|▁you|.,"[-3.6788957118988037, -8.403411865234375, -0.8527905941009521, -8.045244216918945, -2.1590397357940674, -5.190274715423584, -0.4885503053665161, -2.1634769439697266, -3.547191619873047, -1.2342675924301147]"
the guy brought you the beer .,DO,BRING,THE,to,-35.55411529541016,▁The|▁gu|y|▁brought|▁you|▁the|▁be|er|.,"[-3.6788957118988037, -8.403411865234375, -0.8527905941009521, -8.045244216918945, -4.974397659301758, -2.945134162902832, -4.939280033111572, -0.28469932079315186, -1.4302613735198975]"
the husband brought the beer to them .,PD,BRING,THE,to,-41.71258163452149,▁The|▁husband|▁brought|▁the|▁be|er|▁to|▁them|.,"[-3.6788957118988037, -10.154186248779297, -7.690034866333008, -2.461857795715332, -6.067956447601318, -0.7364856004714966, -3.1654229164123535, -6.771730899810791, -0.9860074520111084]"
the husband brought them the beer .,DO,BRING,THE,to,-39.2288932800293,▁The|▁husband|▁brought|▁them|▁the|▁be|er|.,"[-3.6788957118988037, -10.154186248779297, -7.690036773681641, -6.0429301261901855, -4.579109191894531, -5.118819236755371, -0.4970906972885132, -1.467827558517456]"
the parent brought the beer to it .,PD,BRING,THE,to,-48.93885040283203,▁The|▁parent|▁brought|▁the|▁be|er|▁to|▁it|.,"[-3.6788957118988037, -9.937634468078613, -11.113627433776855, -1.9121428728103638, -8.205022811889648, -1.4774974584579468, -1.6357908248901367, -9.253896713256836, -1.7243422269821167]"
the parent brought it the beer .,DO,BRING,THE,to,-48.24431610107422,▁The|▁parent|▁brought|▁it|▁the|▁be|er|.,"[-3.6788957118988037, -9.937634468078613, -11.113627433776855, -4.208931922912598, -6.910213470458984, -7.83527946472168, -1.85958993434906, -2.7001428604125977]"
