ppo,pdo,tpo,tdo
a pilot drew a crystal for him .,a pilot drew him a crystal .,the hero brought the book to us .,the hero brought us the book .
a captain drew a crystal for me .,a captain drew me a crystal .,the hero brought the book to it .,the hero brought it the book .
a kid purchased an anchor for you .,a kid purchased you an anchor .,the hero brought the book to us .,the hero brought us the book .
an actor bought a coffee for you .,an actor bought you a coffee .,the hero brought the book to us .,the hero brought us the book .
a lady kept a tea for you .,a lady kept you a tea .,the hero brought the book to me .,the hero brought me the book .
a husband designed a hat for us .,a husband designed us a hat .,the hero brought the book to us .,the hero brought us the book .
an army designed a gun for you .,an army designed you a gun .,the hero brought the book to me .,the hero brought me the book .
a worker made a card for you .,a worker made you a card .,the hero brought the book to me .,the hero brought me the book .
a professor made a motor for you .,a professor made you a motor .,the hero brought the book to them .,the hero brought them the book .
a physician drew a machine for him .,a physician drew him a machine .,the hero brought the book to him .,the hero brought him the book .
an actor promised a chicken to us .,an actor promised us a chicken .,the prince made the wire for me .,the prince made me the wire .
a reader took a flower to me .,a reader took me a flower .,the prince made the wire for you .,the prince made you the wire .
a president sold a salad to you .,a president sold you a salad .,the prince made the wire for him .,the prince made him the wire .
a singer showed a beer to us .,a singer showed us a beer .,the prince made the wire for him .,the prince made him the wire .
a candidate fed a chicken to me .,a candidate fed me a chicken .,the prince made the wire for you .,the prince made you the wire .
a doctor took a flower to her .,a doctor took her a flower .,the prince made the wire for you .,the prince made you the wire .
a nurse promised a chocolate to us .,a nurse promised us a chocolate .,the prince made the wire for me .,the prince made me the wire .
a writer brought a camera to me .,a writer brought me a camera .,the prince made the wire for him .,the prince made him the wire .
a reader took a bell to her .,a reader took her a bell .,the prince made the wire for me .,the prince made me the wire .
a minister supplied a cup to you .,a minister supplied you a cup .,the prince made the wire for me .,the prince made me the wire .
the physician got the machine for me .,the physician got me the machine .,a captain showed an anchor to him .,a captain showed him an anchor .
the parent kept the beer for them .,the parent kept them the beer .,a captain showed an anchor to them .,a captain showed them an anchor .
the manager drew the knife for him .,the manager drew him the knife .,a captain showed an anchor to them .,a captain showed them an anchor .
the champion drew the cup for him .,the champion drew him the cup .,a captain showed an anchor to me .,a captain showed me an anchor .
the champion delivered the beer for us .,the champion delivered us the beer .,a captain showed an anchor to me .,a captain showed me an anchor .
the priest found the computer for us .,the priest found us the computer .,a captain showed an anchor to you .,a captain showed you an anchor .
the lady made the bottle for her .,the lady made her the bottle .,a captain showed an anchor to them .,a captain showed them an anchor .
the father made the telephone for us .,the father made us the telephone .,a captain showed an anchor to you .,a captain showed you an anchor .
the author purchased the chocolate for us .,the author purchased us the chocolate .,a captain showed an anchor to me .,a captain showed me an anchor .
the opponent found the bag for her .,the opponent found her the bag .,a captain showed an anchor to us .,a captain showed us an anchor .
a corporation designed a camera for them .,a corporation designed them a camera .,the lawyer gave the card to us .,the lawyer gave us the card .
a worker drew an anchor for him .,a worker drew him an anchor .,the lawyer gave the card to us .,the lawyer gave us the card .
a minister left a cheese for me .,a minister left me a cheese .,the lawyer gave the card to me .,the lawyer gave me the card .
a worker purchased a candy for you .,a worker purchased you a candy .,the lawyer gave the card to you .,the lawyer gave you the card .
a prince drew a telephone for me .,a prince drew me a telephone .,the lawyer gave the card to them .,the lawyer gave them the card .
a brother drew an instrument for us .,a brother drew us an instrument .,the lawyer gave the card to it .,the lawyer gave it the card .
a sheriff purchased a box for us .,a sheriff purchased us a box .,the lawyer gave the card to me .,the lawyer gave me the card .
a boy bought a crystal for them .,a boy bought them a crystal .,the lawyer gave the card to her .,the lawyer gave her the card .
a boy left a pie for them .,a boy left them a pie .,the lawyer gave the card to us .,the lawyer gave us the card .
a brother left a camera for us .,a brother left us a camera .,the lawyer gave the card to him .,the lawyer gave him the card .
the teacher caught the jacket for you .,the teacher caught you the jacket .,an attorney brought an engine to you .,an attorney brought you an engine .
the parent left the button for us .,the parent left us the button .,an attorney brought an engine to us .,an attorney brought us an engine .
the king designed the cup for them .,the king designed them the cup .,an attorney brought an engine to you .,an attorney brought you an engine .
the colonel found the log for you .,the colonel found you the log .,an attorney brought an engine to you .,an attorney brought you an engine .
the parent bought the meal for you .,the parent bought you the meal .,an attorney brought an engine to them .,an attorney brought them an engine .
the writer caught the bowl for him .,the writer caught him the bowl .,an attorney brought an engine to him .,an attorney brought him an engine .
the guy bought the chocolate for it .,the guy bought it the chocolate .,an attorney brought an engine to you .,an attorney brought you an engine .
the pilot kept the juice for him .,the pilot kept him the juice .,an attorney brought an engine to him .,an attorney brought him an engine .
the physician caught the newspaper for us .,the physician caught us the newspaper .,an attorney brought an engine to you .,an attorney brought you an engine .
the daughter kept the beer for me .,the daughter kept me the beer .,an attorney brought an engine to us .,an attorney brought us an engine .
a hero kept a meal for you .,a hero kept you a meal .,the professor sent the tea to you .,the professor sent you the tea .
an adult purchased a chicken for us .,an adult purchased us a chicken .,the professor sent the tea to it .,the professor sent it the tea .
a son saved a wire for you .,a son saved you a wire .,the professor sent the tea to them .,the professor sent them the tea .
a soldier drew an engine for you .,a soldier drew you an engine .,the professor sent the tea to us .,the professor sent us the tea .
a mayor left a pie for me .,a mayor left me a pie .,the professor sent the tea to us .,the professor sent us the tea .
a parent purchased a pie for you .,a parent purchased you a pie .,the professor sent the tea to you .,the professor sent you the tea .
a boy drew a machine for me .,a boy drew me a machine .,the professor sent the tea to him .,the professor sent him the tea .
a hero purchased a cheese for you .,a hero purchased you a cheese .,the professor sent the tea to him .,the professor sent him the tea .
a prince purchased a knife for you .,a prince purchased you a knife .,the professor sent the tea to you .,the professor sent you the tea .
an actress made a coat for you .,an actress made you a coat .,the professor sent the tea to them .,the professor sent them the tea .
a worker supplied a salad to you .,a worker supplied you a salad .,the boy delivered the meal for us .,the boy delivered us the meal .
a writer promised a coffee to you .,a writer promised you a coffee .,the boy delivered the meal for it .,the boy delivered it the meal .
an author sold a tea to her .,an author sold her a tea .,the boy delivered the meal for you .,the boy delivered you the meal .
a leader threw a bowl to him .,a leader threw him a bowl .,the boy delivered the meal for us .,the boy delivered us the meal .
an actress supplied a beer to me .,an actress supplied me a beer .,the boy delivered the meal for us .,the boy delivered us the meal .
a buddy supplied a log to you .,a buddy supplied you a log .,the boy delivered the meal for them .,the boy delivered them the meal .
a chief showed a bowl to us .,a chief showed us a bowl .,the boy delivered the meal for them .,the boy delivered them the meal .
a mayor sold a salad to me .,a mayor sold me a salad .,the boy delivered the meal for them .,the boy delivered them the meal .
a cop promised an anchor to her .,a cop promised her an anchor .,the boy delivered the meal for her .,the boy delivered her the meal .
a physician sold a bottle to her .,a physician sold her a bottle .,the boy delivered the meal for you .,the boy delivered you the meal .
the cop found the bell for them .,the cop found them the bell .,a buddy gave a cup to them .,a buddy gave them a cup .
the husband purchased the bag for you .,the husband purchased you the bag .,a buddy gave a cup to you .,a buddy gave you a cup .
the doctor drew the coat for him .,the doctor drew him the coat .,a buddy gave a cup to me .,a buddy gave me a cup .
the administration designed the pot for you .,the administration designed you the pot .,a buddy gave a cup to me .,a buddy gave me a cup .
the winner left the pot for me .,the winner left me the pot .,a buddy gave a cup to them .,a buddy gave them a cup .
the mayor caught the gun for him .,the mayor caught him the gun .,a buddy gave a cup to him .,a buddy gave him a cup .
the minister designed the book for him .,the minister designed him the book .,a buddy gave a cup to them .,a buddy gave them a cup .
the doctor purchased the meal for them .,the doctor purchased them the meal .,a buddy gave a cup to you .,a buddy gave you a cup .
the physician left the juice for it .,the physician left it the juice .,a buddy gave a cup to it .,a buddy gave it a cup .
the father caught the pot for you .,the father caught you the pot .,a buddy gave a cup to you .,a buddy gave you a cup .
a wife sent a pie to you .,a wife sent you a pie .,the hero left the tea for you .,the hero left you the tea .
a cousin showed a pie to you .,a cousin showed you a pie .,the hero left the tea for us .,the hero left us the tea .
a pilot promised a juice to me .,a pilot promised me a juice .,the hero left the tea for them .,the hero left them the tea .
a guy showed a plate to them .,a guy showed them a plate .,the hero left the tea for you .,the hero left you the tea .
an adult supplied a juice to him .,an adult supplied him a juice .,the hero left the tea for us .,the hero left us the tea .
a priest supplied a pie to you .,a priest supplied you a pie .,the hero left the tea for you .,the hero left you the tea .
a princess brought a cheese to us .,a princess brought us a cheese .,the hero left the tea for us .,the hero left us the tea .
a boy supplied a pie to me .,a boy supplied me a pie .,the hero left the tea for them .,the hero left them the tea .
an adult showed a meal to you .,an adult showed you a meal .,the hero left the tea for us .,the hero left us the tea .
a guest supplied a button to you .,a guest supplied you a button .,the hero left the tea for me .,the hero left me the tea .
a scientist threw a pie to me .,a scientist threw me a pie .,the teacher kept the coffee for them .,the teacher kept them the coffee .
a soldier showed a beer to us .,a soldier showed us a beer .,the teacher kept the coffee for me .,the teacher kept me the coffee .
a doctor fed a chocolate to him .,a doctor fed him a chocolate .,the teacher kept the coffee for them .,the teacher kept them the coffee .
a chief sent a juice to you .,a chief sent you a juice .,the teacher kept the coffee for you .,the teacher kept you the coffee .
a bishop brought a key to him .,a bishop brought him a key .,the teacher kept the coffee for you .,the teacher kept you the coffee .
a cousin showed a salad to you .,a cousin showed you a salad .,the teacher kept the coffee for you .,the teacher kept you the coffee .
a kid supplied a chicken to them .,a kid supplied them a chicken .,the teacher kept the coffee for him .,the teacher kept him the coffee .
a winner supplied a beer to you .,a winner supplied you a beer .,the teacher kept the coffee for them .,the teacher kept them the coffee .
a princess sent a pot to you .,a princess sent you a pot .,the teacher kept the coffee for us .,the teacher kept us the coffee .
a physician supplied a chicken to us .,a physician supplied us a chicken .,the teacher kept the coffee for her .,the teacher kept her the coffee .
the singer bought the beer for me .,the singer bought me the beer .,an adult brought a candy to you .,an adult brought you a candy .
the aunt made the wire for you .,the aunt made you the wire .,an adult brought a candy to him .,an adult brought him a candy .
the lawyer drew the bottle for me .,the lawyer drew me the bottle .,an adult brought a candy to him .,an adult brought him a candy .
the friend found the coffee for it .,the friend found it the coffee .,an adult brought a candy to us .,an adult brought us a candy .
the aunt left the bowl for it .,the aunt left it the bowl .,an adult brought a candy to them .,an adult brought them a candy .
the bishop drew the engine for him .,the bishop drew him the engine .,an adult brought a candy to you .,an adult brought you a candy .
the priest left the beer for them .,the priest left them the beer .,an adult brought a candy to me .,an adult brought me a candy .
the guy made the bag for you .,the guy made you the bag .,an adult brought a candy to him .,an adult brought him a candy .
the employee bought the beer for her .,the employee bought her the beer .,an adult brought a candy to us .,an adult brought us a candy .
the winner purchased the juice for you .,the winner purchased you the juice .,an adult brought a candy to you .,an adult brought you a candy .
an administration designed a hat for her .,an administration designed her a hat .,the son gave the telephone to me .,the son gave me the telephone .
an author drew a camera for you .,an author drew you a camera .,the son gave the telephone to them .,the son gave them the telephone .
a husband found a chicken for them .,a husband found them a chicken .,the son gave the telephone to you .,the son gave you the telephone .
a nurse bought a meal for him .,a nurse bought him a meal .,the son gave the telephone to you .,the son gave you the telephone .
a hero drew an anchor for me .,a hero drew me an anchor .,the son gave the telephone to you .,the son gave you the telephone .
a friend made a bottle for you .,a friend made you a bottle .,the son gave the telephone to them .,the son gave them the telephone .
a priest bought a bottle for you .,a priest bought you a bottle .,the son gave the telephone to us .,the son gave us the telephone .
a teacher found a juice for him .,a teacher found him a juice .,the son gave the telephone to me .,the son gave me the telephone .
a captain purchased a tea for you .,a captain purchased you a tea .,the son gave the telephone to us .,the son gave us the telephone .
an employee purchased a bowl for it .,an employee purchased it a bowl .,the son gave the telephone to them .,the son gave them the telephone .
the wife caught the guitar for her .,the wife caught her the guitar .,a professor gave a tea to her .,a professor gave her a tea .
the boy found the salad for her .,the boy found her the salad .,a professor gave a tea to you .,a professor gave you a tea .
the attorney bought the beer for us .,the attorney bought us the beer .,a professor gave a tea to me .,a professor gave me a tea .
the child saved the chocolate for me .,the child saved me the chocolate .,a professor gave a tea to her .,a professor gave her a tea .
the mother purchased the meal for it .,the mother purchased it the meal .,a professor gave a tea to them .,a professor gave them a tea .
the army designed the computer for us .,the army designed us the computer .,a professor gave a tea to me .,a professor gave me a tea .
the kid designed the hat for you .,the kid designed you the hat .,a professor gave a tea to you .,a professor gave you a tea .
the daughter saved the hat for you .,the daughter saved you the hat .,a professor gave a tea to us .,a professor gave us a tea .
the president caught the bell for him .,the president caught him the bell .,a professor gave a tea to me .,a professor gave me a tea .
the prince saved the computer for you .,the prince saved you the computer .,a professor gave a tea to you .,a professor gave you a tea .
an attorney made a plate for her .,an attorney made her a plate .,the opponent sent the pie to it .,the opponent sent it the pie .
a minister left a cheese for you .,a minister left you a cheese .,the opponent sent the pie to me .,the opponent sent me the pie .
an uncle left a coat for it .,an uncle left it a coat .,the opponent sent the pie to you .,the opponent sent you the pie .
a minister purchased a candy for you .,a minister purchased you a candy .,the opponent sent the pie to us .,the opponent sent us the pie .
a professor found a meal for you .,a professor found you a meal .,the opponent sent the pie to me .,the opponent sent me the pie .
an actor made a bottle for me .,an actor made me a bottle .,the opponent sent the pie to us .,the opponent sent us the pie .
a princess designed a jacket for him .,a princess designed him a jacket .,the opponent sent the pie to you .,the opponent sent you the pie .
a king drew a bottle for me .,a king drew me a bottle .,the opponent sent the pie to it .,the opponent sent it the pie .
a lady kept a log for you .,a lady kept you a log .,the opponent sent the pie to me .,the opponent sent me the pie .
a cop left a candy for you .,a cop left you a candy .,the opponent sent the pie to him .,the opponent sent him the pie .
the priest threw the beer to us .,the priest threw us the beer .,a secretary found a cheese for you .,a secretary found you a cheese .
the uncle sold the pie to him .,the uncle sold him the pie .,a secretary found a cheese for us .,a secretary found us a cheese .
the scientist brought the key to you .,the scientist brought you the key .,a secretary found a cheese for you .,a secretary found you a cheese .
the brother sent the meal to you .,the brother sent you the meal .,a secretary found a cheese for him .,a secretary found him a cheese .
the son gave the glass to us .,the son gave us the glass .,a secretary found a cheese for them .,a secretary found them a cheese .
the boy promised the juice to us .,the boy promised us the juice .,a secretary found a cheese for us .,a secretary found us a cheese .
the wife promised the beer to us .,the wife promised us the beer .,a secretary found a cheese for you .,a secretary found you a cheese .
the brother fed the meal to you .,the brother fed you the meal .,a secretary found a cheese for you .,a secretary found you a cheese .
the actress brought the engine to me .,the actress brought me the engine .,a secretary found a cheese for you .,a secretary found you a cheese .
the manager took the button to them .,the manager took them the button .,a secretary found a cheese for him .,a secretary found him a cheese .
a teacher sent a hat to me .,a teacher sent me a hat .,the author saved the meal for it .,the author saved it the meal .
a candidate sold a cheese to me .,a candidate sold me a cheese .,the author saved the meal for us .,the author saved us the meal .
a candidate sold a coffee to them .,a candidate sold them a coffee .,the author saved the meal for me .,the author saved me the meal .
a captain supplied a beer to you .,a captain supplied you a beer .,the author saved the meal for us .,the author saved us the meal .
a winner sold a gun to you .,a winner sold you a gun .,the author saved the meal for me .,the author saved me the meal .
a father showed a beer to you .,a father showed you a beer .,the author saved the meal for us .,the author saved us the meal .
a prince sold a card to you .,a prince sold you a card .,the author saved the meal for me .,the author saved me the meal .
a secretary sent a chicken to you .,a secretary sent you a chicken .,the author saved the meal for me .,the author saved me the meal .
a cop supplied a key to you .,a cop supplied you a key .,the author saved the meal for me .,the author saved me the meal .
a minister promised a candy to me .,a minister promised me a candy .,the author saved the meal for me .,the author saved me the meal .
the minister made the engine for them .,the minister made them the engine .,a soldier fed a candy to us .,a soldier fed us a candy .
the pilot designed the engine for you .,the pilot designed you the engine .,a soldier fed a candy to them .,a soldier fed them a candy .
the band designed the book for you .,the band designed you the book .,a soldier fed a candy to them .,a soldier fed them a candy .
the president got the beer for me .,the president got me the beer .,a soldier fed a candy to it .,a soldier fed it a candy .
the professor left the hat for us .,the professor left us the hat .,a soldier fed a candy to it .,a soldier fed it a candy .
the adult purchased the coffee for me .,the adult purchased me the coffee .,a soldier fed a candy to it .,a soldier fed it a candy .
the secretary drew the card for them .,the secretary drew them the card .,a soldier fed a candy to me .,a soldier fed me a candy .
the worker delivered the hat for us .,the worker delivered us the hat .,a soldier fed a candy to her .,a soldier fed her a candy .
the attorney caught the computer for her .,the attorney caught her the computer .,a soldier fed a candy to her .,a soldier fed her a candy .
the doctor kept the tea for us .,the doctor kept us the tea .,a soldier fed a candy to us .,a soldier fed us a candy .
the lady delivered the pie for me .,the lady delivered me the pie .,a nurse sold a ball to me .,a nurse sold me a ball .
the hero drew the television for us .,the hero drew us the television .,a nurse sold a ball to him .,a nurse sold him a ball .
the student got the pie for us .,the student got us the pie .,a nurse sold a ball to you .,a nurse sold you a ball .
the woman kept the motor for us .,the woman kept us the motor .,a nurse sold a ball to them .,a nurse sold them a ball .
the buddy kept the cigarette for them .,the buddy kept them the cigarette .,a nurse sold a ball to you .,a nurse sold you a ball .
the employer found the beer for us .,the employer found us the beer .,a nurse sold a ball to him .,a nurse sold him a ball .
the guy made the wire for him .,the guy made him the wire .,a nurse sold a ball to me .,a nurse sold me a ball .
the parent made the iron for you .,the parent made you the iron .,a nurse sold a ball to me .,a nurse sold me a ball .
the parent found the beer for her .,the parent found her the beer .,a nurse sold a ball to them .,a nurse sold them a ball .
the captain delivered the box for us .,the captain delivered us the box .,a nurse sold a ball to you .,a nurse sold you a ball .
a father made a bell for you .,a father made you a bell .,the lawyer took the guitar to me .,the lawyer took me the guitar .
a lady found a pie for him .,a lady found him a pie .,the lawyer took the guitar to you .,the lawyer took you the guitar .
a professor purchased a tea for us .,a professor purchased us a tea .,the lawyer took the guitar to me .,the lawyer took me the guitar .
a captain saved a candy for her .,a captain saved her a candy .,the lawyer took the guitar to me .,the lawyer took me the guitar .
a captain purchased a salad for me .,a captain purchased me a salad .,the lawyer took the guitar to me .,the lawyer took me the guitar .
an aunt made a machine for it .,an aunt made it a machine .,the lawyer took the guitar to him .,the lawyer took him the guitar .
a candidate made a camera for them .,a candidate made them a camera .,the lawyer took the guitar to them .,the lawyer took them the guitar .
a wife purchased a chocolate for you .,a wife purchased you a chocolate .,the lawyer took the guitar to him .,the lawyer took him the guitar .
a mother bought an anchor for him .,a mother bought him an anchor .,the lawyer took the guitar to you .,the lawyer took you the guitar .
a partner found a meal for me .,a partner found me a meal .,the lawyer took the guitar to it .,the lawyer took it the guitar .
a lady fed a chocolate to them .,a lady fed them a chocolate .,the champion caught the engine for me .,the champion caught me the engine .
an attorney showed a beer to them .,an attorney showed them a beer .,the champion caught the engine for you .,the champion caught you the engine .
an author promised a chicken to us .,an author promised us a chicken .,the champion caught the engine for me .,the champion caught me the engine .
an attorney showed a coat to you .,an attorney showed you a coat .,the champion caught the engine for me .,the champion caught me the engine .
a parent sold a box to it .,a parent sold it a box .,the champion caught the engine for it .,the champion caught it the engine .
a husband sold a chocolate to you .,a husband sold you a chocolate .,the champion caught the engine for me .,the champion caught me the engine .
a priest supplied a coffee to you .,a priest supplied you a coffee .,the champion caught the engine for you .,the champion caught you the engine .
a nurse fed a salad to us .,a nurse fed us a salad .,the champion caught the engine for us .,the champion caught us the engine .
an uncle gave a bag to him .,an uncle gave him a bag .,the champion caught the engine for them .,the champion caught them the engine .
a leader gave a salad to me .,a leader gave me a salad .,the champion caught the engine for us .,the champion caught us the engine .
a singer sold a glass to it .,a singer sold it a glass .,the friend drew the camera for you .,the friend drew you the camera .
an attorney brought a card to him .,an attorney brought him a card .,the friend drew the camera for him .,the friend drew him the camera .
a scientist threw a juice to us .,a scientist threw us a juice .,the friend drew the camera for her .,the friend drew her the camera .
a minister supplied a beer to you .,a minister supplied you a beer .,the friend drew the camera for them .,the friend drew them the camera .
a candidate promised a cigarette to you .,a candidate promised you a cigarette .,the friend drew the camera for us .,the friend drew us the camera .
a secretary supplied a log to them .,a secretary supplied them a log .,the friend drew the camera for you .,the friend drew you the camera .
a woman supplied a chocolate to her .,a woman supplied her a chocolate .,the friend drew the camera for him .,the friend drew him the camera .
an employer threw a chocolate to him .,an employer threw him a chocolate .,the friend drew the camera for me .,the friend drew me the camera .
a kid showed a beer to us .,a kid showed us a beer .,the friend drew the camera for you .,the friend drew you the camera .
a lady gave a chicken to you .,a lady gave you a chicken .,the friend drew the camera for you .,the friend drew you the camera .
a reader gave a salad to you .,a reader gave you a salad .,the parent drew the motor for her .,the parent drew her the motor .
a buddy gave a pie to me .,a buddy gave me a pie .,the parent drew the motor for us .,the parent drew us the motor .
a brother gave a machine to them .,a brother gave them a machine .,the parent drew the motor for him .,the parent drew him the motor .
a president brought a meal to you .,a president brought you a meal .,the parent drew the motor for them .,the parent drew them the motor .
a prince brought a book to you .,a prince brought you a book .,the parent drew the motor for me .,the parent drew me the motor .
a champion sent a button to you .,a champion sent you a button .,the parent drew the motor for me .,the parent drew me the motor .
a nurse threw a guitar to them .,a nurse threw them a guitar .,the parent drew the motor for you .,the parent drew you the motor .
a girl gave an instrument to us .,a girl gave us an instrument .,the parent drew the motor for us .,the parent drew us the motor .
an actor gave a cheese to us .,an actor gave us a cheese .,the parent drew the motor for her .,the parent drew her the motor .
a hero sold a salad to you .,a hero sold you a salad .,the parent drew the motor for them .,the parent drew them the motor .
the actress promised the guitar to me .,the actress promised me the guitar .,a pilot bought a pie for him .,a pilot bought him a pie .
the bishop threw the plate to her .,the bishop threw her the plate .,a pilot bought a pie for you .,a pilot bought you a pie .
the prince brought the tea to him .,the prince brought him the tea .,a pilot bought a pie for me .,a pilot bought me a pie .
the friend threw the juice to him .,the friend threw him the juice .,a pilot bought a pie for it .,a pilot bought it a pie .
the employee brought the cheese to me .,the employee brought me the cheese .,a pilot bought a pie for it .,a pilot bought it a pie .
the princess brought the juice to you .,the princess brought you the juice .,a pilot bought a pie for us .,a pilot bought us a pie .
the husband fed the salad to us .,the husband fed us the salad .,a pilot bought a pie for them .,a pilot bought them a pie .
the friend supplied the juice to them .,the friend supplied them the juice .,a pilot bought a pie for me .,a pilot bought me a pie .
the soldier supplied the juice to us .,the soldier supplied us the juice .,a pilot bought a pie for you .,a pilot bought you a pie .
the father promised the juice to us .,the father promised us the juice .,a pilot bought a pie for him .,a pilot bought him a pie .
the adult sent the box to me .,the adult sent me the box .,a physician left a meal for us .,a physician left us a meal .
the friend supplied the tea to me .,the friend supplied me the tea .,a physician left a meal for it .,a physician left it a meal .
the parent promised the tea to you .,the parent promised you the tea .,a physician left a meal for me .,a physician left me a meal .
the lawyer sold the coffee to us .,the lawyer sold us the coffee .,a physician left a meal for us .,a physician left us a meal .
the kid brought the juice to us .,the kid brought us the juice .,a physician left a meal for it .,a physician left it a meal .
the cousin threw the candy to me .,the cousin threw me the candy .,a physician left a meal for us .,a physician left us a meal .
the friend supplied the gun to us .,the friend supplied us the gun .,a physician left a meal for them .,a physician left them a meal .
the priest gave the tea to them .,the priest gave them the tea .,a physician left a meal for you .,a physician left you a meal .
the cousin promised the bag to them .,the cousin promised them the bag .,a physician left a meal for them .,a physician left them a meal .
the cop brought the coffee to you .,the cop brought you the coffee .,a physician left a meal for him .,a physician left him a meal .
a reader showed a knife to him .,a reader showed him a knife .,the nurse kept the pie for it .,the nurse kept it the pie .
a student sold a juice to us .,a student sold us a juice .,the nurse kept the pie for him .,the nurse kept him the pie .
a soldier supplied a meal to you .,a soldier supplied you a meal .,the nurse kept the pie for them .,the nurse kept them the pie .
an aunt brought a jacket to you .,an aunt brought you a jacket .,the nurse kept the pie for you .,the nurse kept you the pie .
a sheriff sold an iron to us .,a sheriff sold us an iron .,the nurse kept the pie for it .,the nurse kept it the pie .
a partner showed a chicken to you .,a partner showed you a chicken .,the nurse kept the pie for you .,the nurse kept you the pie .
a woman fed a meal to us .,a woman fed us a meal .,the nurse kept the pie for you .,the nurse kept you the pie .
a man brought a candy to you .,a man brought you a candy .,the nurse kept the pie for you .,the nurse kept you the pie .
a reader sold a plate to him .,a reader sold him a plate .,the nurse kept the pie for us .,the nurse kept us the pie .
a kid brought a tea to you .,a kid brought you a tea .,the nurse kept the pie for me .,the nurse kept me the pie .
the adult gave the candy to me .,the adult gave me the candy .,a singer purchased a coffee for you .,a singer purchased you a coffee .
the minister brought the meal to it .,the minister brought it the meal .,a singer purchased a coffee for them .,a singer purchased them a coffee .
the actress supplied the iron to us .,the actress supplied us the iron .,a singer purchased a coffee for him .,a singer purchased him a coffee .
the attorney supplied the telephone to us .,the attorney supplied us the telephone .,a singer purchased a coffee for me .,a singer purchased me a coffee .
the parent fed the chocolate to you .,the parent fed you the chocolate .,a singer purchased a coffee for me .,a singer purchased me a coffee .
the guy sent the beer to us .,the guy sent us the beer .,a singer purchased a coffee for us .,a singer purchased us a coffee .
the guy gave the candy to you .,the guy gave you the candy .,a singer purchased a coffee for me .,a singer purchased me a coffee .
the brother supplied the meal to him .,the brother supplied him the meal .,a singer purchased a coffee for him .,a singer purchased him a coffee .
the son took the gun to us .,the son took us the gun .,a singer purchased a coffee for you .,a singer purchased you a coffee .
the son showed the cheese to us .,the son showed us the cheese .,a singer purchased a coffee for him .,a singer purchased him a coffee .
the doctor drew the knife for it .,the doctor drew it the knife .,a pilot took a ball to us .,a pilot took us a ball .
the lawyer drew the flower for her .,the lawyer drew her the flower .,a pilot took a ball to us .,a pilot took us a ball .
the opponent found the coffee for me .,the opponent found me the coffee .,a pilot took a ball to you .,a pilot took you a ball .
the scientist drew the newspaper for us .,the scientist drew us the newspaper .,a pilot took a ball to us .,a pilot took us a ball .
the student purchased the beer for me .,the student purchased me the beer .,a pilot took a ball to him .,a pilot took him a ball .
the nurse bought the computer for them .,the nurse bought them the computer .,a pilot took a ball to me .,a pilot took me a ball .
the adult made the log for them .,the adult made them the log .,a pilot took a ball to it .,a pilot took it a ball .
the actress drew the instrument for us .,the actress drew us the instrument .,a pilot took a ball to you .,a pilot took you a ball .
the club designed the telephone for you .,the club designed you the telephone .,a pilot took a ball to us .,a pilot took us a ball .
the parent purchased the tea for him .,the parent purchased him the tea .,a pilot took a ball to me .,a pilot took me a ball .
the president took the plate to me .,the president took me the plate .,a student purchased a crystal for her .,a student purchased her a crystal .
