text,structure,verb,det,prep,tokens,log_prob_tokens,log_prob
a colonel brought a television to me .,PD,BRING,A,to,"['A', ' colon', 'el', ' brought', ' a', ' television', ' to', ' me', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -1.9131323, -7.8262577, -1.7137147, -5.2730684, -2.1230674]",-45.39719009399414
a colonel brought me a television .,DO,BRING,A,to,"['A', ' colon', 'el', ' brought', ' me', ' a', ' television', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -2.9209447, -1.5042582, -7.8912635, -2.784545]",-41.64896011352539
a teacher brought an engine to him .,PD,BRING,A,to,"['A', ' teacher', ' brought', ' an', ' engine', ' to', ' him', '.']","[-4.116546, -8.0846195, -7.2387257, -4.018339, -9.578658, -1.4396744, -9.096725, -2.2347894]",-45.80807876586914
a teacher brought him an engine .,DO,BRING,A,to,"['A', ' teacher', ' brought', ' him', ' an', ' engine', '.']","[-4.116546, -8.0846195, -7.2387257, -5.862089, -4.7695994, -8.694221, -3.3190203]",-42.08482360839844
a mayor brought an instrument to them .,PD,BRING,A,to,"['A', ' mayor', ' brought', ' an', ' instrument', ' to', ' them', '.']","[-4.116546, -10.680811, -10.003283, -3.8612108, -9.421652, -1.5354084, -9.525256, -2.2798352]",-51.42400360107422
a mayor brought them an instrument .,DO,BRING,A,to,"['A', ' mayor', ' brought', ' them', ' an', ' instrument', '.']","[-4.116546, -10.680811, -10.003283, -6.5252733, -6.286228, -7.2253175, -2.8570058]",-47.694461822509766
a colonel brought a tea to you .,PD,BRING,A,to,"['A', ' colon', 'el', ' brought', ' a', ' tea', ' to', ' you', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -1.9131323, -8.091883, -3.0169888, -5.687828, -1.8883454]",-47.14612579345703
a colonel brought you a tea .,DO,BRING,A,to,"['A', ' colon', 'el', ' brought', ' you', ' a', ' tea', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -6.5771947, -2.2999144, -6.3302183, -2.337183]",-44.09246063232422
an aunt brought a jacket to him .,PD,BRING,A,to,"['An', ' aunt', ' brought', ' a', ' jacket', ' to', ' him', '.']","[-6.034515, -9.880648, -6.589358, -2.3393254, -8.869771, -1.664224, -5.393794, -1.977209]",-42.74884033203125
an aunt brought him a jacket .,DO,BRING,A,to,"['An', ' aunt', ' brought', ' him', ' a', ' jacket', '.']","[-6.034515, -9.880648, -6.589358, -4.659638, -2.403616, -7.2318544, -2.4847007]",-39.28432846069336
a hero brought a chocolate to it .,PD,BRING,A,to,"['A', ' hero', ' brought', ' a', ' chocolate', ' to', ' it', '.']","[-4.116546, -9.160791, -9.143252, -3.3317485, -8.263779, -4.493854, -9.112591, -2.4686656]",-50.09122848510742
a hero brought it a chocolate .,DO,BRING,A,to,"['A', ' hero', ' brought', ' it', ' a', ' chocolate', '.']","[-4.116546, -9.160791, -9.143252, -6.1754985, -5.975487, -7.9423456, -5.630864]",-48.1447868347168
a soldier brought a cup to us .,PD,BRING,A,to,"['A', ' soldier', ' brought', ' a', ' cup', ' to', ' us', '.']","[-4.116546, -8.697901, -7.7045693, -1.7681088, -7.128131, -2.7891095, -6.0688586, -2.063599]",-40.336822509765625
a soldier brought us a cup .,DO,BRING,A,to,"['A', ' soldier', ' brought', ' us', ' a', ' cup', '.']","[-4.116546, -8.697901, -7.7045693, -5.2446713, -1.5912644, -4.7329273, -5.5775514]",-37.66543197631836
an employee brought a camera to you .,PD,BRING,A,to,"['An', ' employee', ' brought', ' a', ' camera', ' to', ' you', '.']","[-6.034515, -6.066194, -7.91846, -0.90342003, -6.986743, -0.99491984, -9.992706, -3.1384993]",-42.035457611083984
an employee brought you a camera .,DO,BRING,A,to,"['An', ' employee', ' brought', ' you', ' a', ' camera', '.']","[-6.034515, -6.066194, -7.91846, -6.106545, -0.6531991, -7.790764, -2.4115767]",-36.98125457763672
a parent brought a meal to us .,PD,BRING,A,to,"['A', ' parent', ' brought', ' a', ' meal', ' to', ' us', '.']","[-4.116546, -8.826807, -7.1465254, -2.218757, -8.91127, -0.6941173, -4.6206245, -3.3980477]",-39.93269348144531
a parent brought us a meal .,DO,BRING,A,to,"['A', ' parent', ' brought', ' us', ' a', ' meal', '.']","[-4.116546, -8.826807, -7.1465254, -4.960944, -1.0958971, -8.949924, -3.0361748]",-38.13282012939453
a prince brought a motor to us .,PD,BRING,A,to,"['A', ' prince', ' brought', ' a', ' motor', ' to', ' us', '.']","[-4.116546, -10.416651, -8.458326, -2.634245, -10.124796, -4.0428257, -5.730295, -2.6302176]",-48.153900146484375
a prince brought us a motor .,DO,BRING,A,to,"['A', ' prince', ' brought', ' us', ' a', ' motor', '.']","[-4.116546, -10.416651, -8.458326, -5.1889324, -2.2119174, -9.775799, -4.762223]",-44.930397033691406
a colonel brought a bottle to you .,PD,BRING,A,to,"['A', ' colon', 'el', ' brought', ' a', ' bottle', ' to', ' you', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -1.9131323, -5.080164, -3.8215837, -7.550168, -1.9881616]",-46.901153564453125
a colonel brought you a bottle .,DO,BRING,A,to,"['A', ' colon', 'el', ' brought', ' you', ' a', ' bottle', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -6.5771947, -2.2999144, -4.7091246, -3.386823]",-43.5210075378418
a professor brought a tea to them .,PD,BRING,A,to,"['A', ' professor', ' brought', ' a', ' tea', ' to', ' them', '.']","[-4.116546, -8.9283695, -8.359812, -1.8983985, -8.054852, -4.043979, -8.314238, -1.841203]",-45.557395935058594
a professor brought them a tea .,DO,BRING,A,to,"['A', ' professor', ' brought', ' them', ' a', ' tea', '.']","[-4.116546, -8.9283695, -8.359812, -6.863242, -3.6103525, -8.1453705, -4.124381]",-44.148075103759766
a soldier brought a telephone to me .,PD,BRING,A,to,"['A', ' soldier', ' brought', ' a', ' telephone', ' to', ' me', '.']","[-4.116546, -8.697901, -7.7045693, -1.7681088, -9.182818, -1.2623216, -3.803173, -2.1579354]",-38.69337463378906
a soldier brought me a telephone .,DO,BRING,A,to,"['A', ' soldier', ' brought', ' me', ' a', ' telephone', '.']","[-4.116546, -8.697901, -7.7045693, -3.4868588, -1.30109, -8.127751, -2.7000487]",-36.134765625
a father brought a beer to me .,PD,BRING,A,to,"['A', ' father', ' brought', ' a', ' beer', ' to', ' me', '.']","[-4.116546, -8.000635, -7.1888847, -2.9721425, -8.339682, -1.2785599, -4.063723, -2.6383603]",-38.59853363037109
a father brought me a beer .,DO,BRING,A,to,"['A', ' father', ' brought', ' me', ' a', ' beer', '.']","[-4.116546, -8.000635, -7.1888847, -4.573705, -1.4266185, -7.417458, -2.3331833]",-35.057029724121094
a doctor brought a tea to us .,PD,BRING,A,to,"['A', ' doctor', ' brought', ' a', ' tea', ' to', ' us', '.']","[-4.116546, -8.024073, -8.212437, -1.6177896, -10.55434, -2.8927224, -5.2065854, -1.886063]",-42.510555267333984
a doctor brought us a tea .,DO,BRING,A,to,"['A', ' doctor', ' brought', ' us', ' a', ' tea', '.']","[-4.116546, -8.024073, -8.212437, -5.1490397, -1.3556919, -7.9067793, -4.311776]",-39.07633972167969
a candidate brought a chocolate to you .,PD,BRING,A,to,"['A', ' candidate', ' brought', ' a', ' chocolate', ' to', ' you', '.']","[-4.116546, -9.020166, -9.871938, -1.7612013, -6.6324215, -4.956631, -7.810669, -1.9686947]",-46.13826751708984
a candidate brought you a chocolate .,DO,BRING,A,to,"['A', ' candidate', ' brought', ' you', ' a', ' chocolate', '.']","[-4.116546, -9.020166, -9.871938, -6.913545, -1.3891371, -6.341744, -4.3666763]",-42.019752502441406
a mayor brought a coffee to me .,PD,BRING,A,to,"['A', ' mayor', ' brought', ' a', ' coffee', ' to', ' me', '.']","[-4.116546, -10.680811, -10.003283, -1.6580858, -7.2479544, -2.5990024, -4.018127, -2.6482668]",-42.972076416015625
a mayor brought me a coffee .,DO,BRING,A,to,"['A', ' mayor', ' brought', ' me', ' a', ' coffee', '.']","[-4.116546, -10.680811, -10.003283, -4.861211, -2.0762649, -5.5472307, -2.4838068]",-39.7691535949707
an employer brought a tea to you .,PD,BRING,A,to,"['An', ' employer', ' brought', ' a', ' tea', ' to', ' you', '.']","[-6.034515, -8.089632, -8.136955, -0.8860288, -13.125483, -3.7998834, -6.030394, -2.3081818]",-48.411075592041016
an employer brought you a tea .,DO,BRING,A,to,"['An', ' employer', ' brought', ' you', ' a', ' tea', '.']","[-6.034515, -8.089632, -8.136955, -6.4407163, -2.9867773, -7.9843683, -3.335783]",-43.00874710083008
the husband brought the newspaper to us .,PD,BRING,THE,to,"['The', ' husband', ' brought', ' the', ' newspaper', ' to', ' us', '.']","[-3.1868587, -9.547127, -7.5258284, -2.7173595, -6.3974195, -1.7650826, -4.8836427, -3.102007]",-39.12532806396485
the husband brought us the newspaper .,DO,BRING,THE,to,"['The', ' husband', ' brought', ' us', ' the', ' newspaper', '.']","[-3.1868587, -9.547127, -7.5258284, -4.287672, -3.2645445, -4.3778234, -3.2973154]",-35.48716735839844
the secretary brought the beer to them .,PD,BRING,THE,to,"['The', ' secretary', ' brought', ' the', ' beer', ' to', ' them', '.']","[-3.1868587, -10.056892, -8.995335, -1.9278684, -7.955152, -2.0767334, -5.0909214, -1.5336069]",-40.8233642578125
the secretary brought them the beer .,DO,BRING,THE,to,"['The', ' secretary', ' brought', ' them', ' the', ' beer', '.']","[-3.1868587, -10.056892, -8.995335, -5.0059934, -3.2254405, -7.423952, -1.7911342]",-39.68560409545898
the champion brought the hat to me .,PD,BRING,THE,to,"['The', ' champion', ' brought', ' the', ' hat', ' to', ' me', '.']","[-3.1868587, -10.9338455, -9.498647, -1.7073702, -7.6898637, -2.648776, -6.290953, -1.9306378]",-43.88695526123047
the champion brought me the hat .,DO,BRING,THE,to,"['The', ' champion', ' brought', ' me', ' the', ' hat', '.']","[-3.1868587, -10.9338455, -9.498647, -5.449558, -2.9146638, -6.491193, -2.1309445]",-40.60570907592773
the parent brought the chocolate to you .,PD,BRING,THE,to,"['The', ' parent', ' brought', ' the', ' chocolate', ' to', ' you', '.']","[-3.1868587, -9.7150955, -10.302809, -1.5311667, -9.444676, -2.1364942, -6.1499834, -2.0407562]",-44.50783920288086
the parent brought you the chocolate .,DO,BRING,THE,to,"['The', ' parent', ' brought', ' you', ' the', ' chocolate', '.']","[-3.1868587, -9.7150955, -10.302809, -6.210854, -3.8294845, -8.296946, -2.7824407]",-44.324485778808594
the secretary brought the juice to her .,PD,BRING,THE,to,"['The', ' secretary', ' brought', ' the', ' juice', ' to', ' her', '.']","[-3.1868587, -10.056892, -8.995335, -1.9278684, -9.394606, -1.7655925, -2.9531975, -3.0362017]",-41.316551208496094
the secretary brought her the juice .,DO,BRING,THE,to,"['The', ' secretary', ' brought', ' her', ' the', ' juice', '.']","[-3.1868587, -10.056892, -8.995335, -3.0997434, -3.6309812, -8.219833, -1.9656777]",-39.15532302856445
the pilot brought the pie to it .,PD,BRING,THE,to,"['The', ' pilot', ' brought', ' the', ' pie', ' to', ' it', '.']","[-3.1868587, -9.17408, -7.9354024, -0.90487427, -12.469318, -1.504976, -7.6018686, -4.0869446]",-46.86431884765625
the pilot brought it the pie .,DO,BRING,THE,to,"['The', ' pilot', ' brought', ' it', ' the', ' pie', '.']","[-3.1868587, -9.17408, -7.9354024, -3.9048743, -7.550763, -11.415507, -2.552061]",-45.71954727172852
the mother brought the plate to you .,PD,BRING,THE,to,"['The', ' mother', ' brought', ' the', ' plate', ' to', ' you', '.']","[-3.1868587, -8.4650955, -9.065343, -1.6600314, -9.335051, -1.4179693, -5.8350515, -1.8467896]",-40.81219100952149
the mother brought you the plate .,DO,BRING,THE,to,"['The', ' mother', ' brought', ' you', ' the', ' plate', '.']","[-3.1868587, -8.4650955, -9.065343, -5.792844, -4.2231526, -8.249332, -2.5822232]",-41.564849853515625
the mother brought the coffee to it .,PD,BRING,THE,to,"['The', ' mother', ' brought', ' the', ' coffee', ' to', ' it', '.']","[-3.1868587, -8.4650955, -9.065343, -1.6600314, -9.331144, -1.9251927, -8.575136, -2.1383023]",-44.34710311889648
the mother brought it the coffee .,DO,BRING,THE,to,"['The', ' mother', ' brought', ' it', ' the', ' coffee', '.']","[-3.1868587, -8.4650955, -9.065343, -4.167844, -6.4971013, -7.9737926, -2.7157822]",-42.071815490722656
the author brought the guitar to you .,PD,BRING,THE,to,"['The', ' author', ' brought', ' the', ' guitar', ' to', ' you', '.']","[-3.1868587, -7.021736, -9.592464, -2.3255818, -8.555986, -1.3049924, -7.663829, -2.2647297]",-41.91617965698242
the author brought you the guitar .,DO,BRING,THE,to,"['The', ' author', ' brought', ' you', ' the', ' guitar', '.']","[-3.1868587, -7.021736, -9.592464, -5.7474566, -1.5150962, -9.91298, -4.2203608]",-41.19695281982422
the guy brought the iron to it .,PD,BRING,THE,to,"['The', ' guy', ' brought', ' the', ' iron', ' to', ' it', '.']","[-3.1868587, -8.6994705, -7.91463, -2.3778324, -9.1470585, -2.5161986, -6.320501, -1.9495326]",-42.11207962036133
the guy brought it the iron .,DO,BRING,THE,to,"['The', ' guy', ' brought', ' it', ' the', ' iron', '.']","[-3.1868587, -8.6994705, -7.91463, -2.573145, -6.441033, -10.88931, -3.368049]",-43.07249450683594
the employee brought the television to us .,PD,BRING,THE,to,"['The', ' employee', ' brought', ' the', ' television', ' to', ' us', '.']","[-3.1868587, -9.894783, -8.14052, -1.5781932, -9.297007, -1.2781073, -5.8597984, -3.1656299]",-42.40089797973633
the employee brought us the television .,DO,BRING,THE,to,"['The', ' employee', ' brought', ' us', ' the', ' television', '.']","[-3.1868587, -9.894783, -8.14052, -6.093818, -2.3429255, -10.419797, -2.8712244]",-42.949928283691406
the lady brought the key to it .,PD,BRING,THE,to,"['The', ' lady', ' brought', ' the', ' key', ' to', ' it', '.']","[-3.1868587, -9.408455, -8.374784, -2.1784947, -7.0873427, -1.3870212, -6.798753, -1.9530325]",-40.3747444152832
the lady brought it the key .,DO,BRING,THE,to,"['The', ' lady', ' brought', ' it', ' the', ' key', '.']","[-3.1868587, -9.408455, -8.374784, -3.5144322, -6.0025516, -8.323572, -2.7952847]",-41.60593795776367
the professor brought the meal to us .,PD,BRING,THE,to,"['The', ' professor', ' brought', ' the', ' meal', ' to', ' us', '.']","[-3.1868587, -10.818611, -7.58438, -2.3079937, -9.628162, -0.9233778, -3.885055, -1.7965143]",-40.13095474243164
the professor brought us the meal .,DO,BRING,THE,to,"['The', ' professor', ' brought', ' us', ' the', ' meal', '.']","[-3.1868587, -10.818611, -7.58438, -2.9954937, -3.6496382, -9.395737, -2.410399]",-40.04111862182617
the bishop brought the pie to you .,PD,BRING,THE,to,"['The', ' bishop', ' brought', ' the', ' pie', ' to', ' you', '.']","[-3.1868587, -11.176033, -8.339864, -1.9190445, -10.62627, -1.5561116, -6.2922726, -1.9052202]",-45.00167083740234
the bishop brought you the pie .,DO,BRING,THE,to,"['The', ' bishop', ' brought', ' you', ' the', ' pie', '.']","[-3.1868587, -11.176033, -8.339864, -6.239357, -3.0368028, -9.216232, -1.9684865]",-43.16363525390625
the lawyer brought the newspaper to me .,PD,BRING,THE,to,"['The', ' lawyer', ' brought', ' the', ' newspaper', ' to', ' me', '.']","[-3.1868587, -9.703377, -8.757829, -1.9796112, -7.6062546, -1.5243723, -3.2288954, -1.8194616]",-37.80665969848633
the lawyer brought me the newspaper .,DO,BRING,THE,to,"['The', ' lawyer', ' brought', ' me', ' the', ' newspaper', '.']","[-3.1868587, -9.703377, -8.757829, -3.9483612, -2.5433958, -6.907107, -2.374525]",-37.42145156860352
the lady brought the cigarette to you .,PD,BRING,THE,to,"['The', ' lady', ' brought', ' the', ' cigarette', ' to', ' you', '.']","[-3.1868587, -9.408455, -8.374784, -2.1784947, -8.446718, -0.84502995, -8.437914, -1.8614959]",-42.73975372314453
the lady brought you the cigarette .,DO,BRING,THE,to,"['The', ' lady', ' brought', ' you', ' the', ' cigarette', '.']","[-3.1868587, -9.408455, -8.374784, -4.8659945, -2.3265862, -10.372839, -2.4875734]",-41.02309036254883
the worker brought the pie to us .,PD,BRING,THE,to,"['The', ' worker', ' brought', ' the', ' pie', ' to', ' us', '.']","[-3.1868587, -11.131111, -7.7995768, -1.6530802, -9.022721, -1.169543, -4.5573325, -2.2171588]",-40.73738098144531
the worker brought us the pie .,DO,BRING,THE,to,"['The', ' worker', ' brought', ' us', ' the', ' pie', '.']","[-3.1868587, -11.131111, -7.7995768, -4.3015175, -2.3521023, -7.434755, -2.5935853]",-38.79950714111328
the worker brought the coffee to them .,PD,BRING,THE,to,"['The', ' worker', ' brought', ' the', ' coffee', ' to', ' them', '.']","[-3.1868587, -11.131111, -7.7995768, -1.6530802, -5.6945963, -1.6726156, -5.629044, -1.7772051]",-38.54408645629883
the worker brought them the coffee .,DO,BRING,THE,to,"['The', ' worker', ' brought', ' them', ' the', ' coffee', '.']","[-3.1868587, -11.131111, -7.7995768, -5.5046425, -3.94387, -5.4104505, -2.1601427]",-39.13665390014648
the actor brought the glass to him .,PD,BRING,THE,to,"['The', ' actor', ' brought', ' the', ' glass', ' to', ' him', '.']","[-3.1868587, -8.447517, -7.793585, -1.911561, -9.751008, -2.1103296, -6.6282315, -2.3641045]",-42.19319534301758
the actor brought him the glass .,DO,BRING,THE,to,"['The', ' actor', ' brought', ' him', ' the', ' glass', '.']","[-3.1868587, -8.447517, -7.793585, -5.911561, -4.2616053, -7.639179, -3.941522]",-41.181827545166016
the mayor brought the key to you .,PD,BRING,THE,to,"['The', ' mayor', ' brought', ' the', ' key', ' to', ' you', '.']","[-3.1868587, -9.010017, -9.4387, -2.0937755, -6.9792213, -0.59502, -7.115749, -1.8747808]",-40.29412460327149
the mayor brought you the key .,DO,BRING,THE,to,"['The', ' mayor', ' brought', ' you', ' the', ' key', '.']","[-3.1868587, -9.010017, -9.4387, -6.0625257, -2.1293206, -6.6981974, -3.1419163]",-39.66753768920898
the guy brought the beer to you .,PD,BRING,THE,to,"['The', ' guy', ' brought', ' the', ' beer', ' to', ' you', '.']","[-3.1868587, -8.6994705, -7.91463, -2.3778324, -5.5884647, -2.0427108, -3.9571638, -1.5939498]",-35.361080169677734
the guy brought you the beer .,DO,BRING,THE,to,"['The', ' guy', ' brought', ' you', ' the', ' beer', '.']","[-3.1868587, -8.6994705, -7.91463, -4.3934574, -2.6787276, -6.471991, -1.8910848]",-35.23622131347656
the husband brought the beer to them .,PD,BRING,THE,to,"['The', ' husband', ' brought', ' the', ' beer', ' to', ' them', '.']","[-3.1868587, -9.547127, -7.5258284, -2.7173595, -6.956013, -2.8124871, -6.6638103, -1.6176115]",-41.02709579467773
the husband brought them the beer .,DO,BRING,THE,to,"['The', ' husband', ' brought', ' them', ' the', ' beer', '.']","[-3.1868587, -9.547127, -7.5258284, -5.928297, -4.7440076, -6.810848, -1.9866669]",-39.729637145996094
the parent brought the beer to it .,PD,BRING,THE,to,"['The', ' parent', ' brought', ' the', ' beer', ' to', ' it', '.']","[-3.1868587, -9.7150955, -10.302809, -1.5311667, -10.184911, -1.643643, -8.373515, -2.5070136]",-47.44501495361328
the parent brought it the beer .,DO,BRING,THE,to,"['The', ' parent', ' brought', ' it', ' the', ' beer', '.']","[-3.1868587, -9.7150955, -10.302809, -4.5155416, -6.3522778, -10.426304, -2.643722]",-47.142608642578125
the secretary brought the chocolate to us .,PD,BRING,THE,to,"['The', ' secretary', ' brought', ' the', ' chocolate', ' to', ' us', '.']","[-3.1868587, -10.056892, -8.995335, -1.9278684, -7.9785895, -2.394603, -4.1324134, -1.8652214]",-40.53778076171875
the secretary brought us the chocolate .,DO,BRING,THE,to,"['The', ' secretary', ' brought', ' us', ' the', ' chocolate', '.']","[-3.1868587, -10.056892, -8.995335, -3.2559934, -2.5143514, -7.7829475, -3.1895616]",-38.98193740844727
the priest brought the pot to him .,PD,BRING,THE,to,"['The', ' priest', ' brought', ' the', ' pot', ' to', ' him', '.']","[-3.1868587, -10.714119, -6.799103, -1.5085739, -7.523292, -1.6716192, -4.7754836, -1.805487]",-37.98453903198242
the priest brought him the pot .,DO,BRING,THE,to,"['The', ' priest', ' brought', ' him', ' the', ' pot', '.']","[-3.1868587, -10.714119, -6.799103, -3.524199, -3.0752175, -8.006486, -3.3571687]",-38.66315460205078
a sheriff drew a knife for him .,PD,DRAW,A,for,"['A', ' sheriff', ' drew', ' a', ' knife', ' for', ' him', '.']","[-4.11528, -10.118732, -11.137772, -1.8079216, -5.7573943, -6.309044, -8.486816, -2.4628055]",-50.19576644897461
a sheriff drew him a knife .,DO,DRAW,A,for,"['A', ' sheriff', ' drew', ' him', ' a', ' knife', '.']","[-4.116546, -10.118799, -11.137715, -9.94243, -1.5358093, -6.6491265, -2.3197837]",-45.82020950317383
an uncle drew a card for us .,PD,DRAW,A,for,"['An', ' uncle', ' drew', ' a', ' card', ' for', ' us', '.']","[-6.034515, -9.476351, -9.157202, -1.865665, -6.239681, -1.7168002, -4.355851, -2.2363923]",-41.08245849609375
an uncle drew us a card .,DO,DRAW,A,for,"['An', ' uncle', ' drew', ' us', ' a', ' card', '.']","[-6.034515, -9.476351, -9.157202, -5.8266025, -1.4002819, -6.200294, -2.587167]",-40.68241500854492
a prince drew a wire for us .,PD,DRAW,A,for,"['A', ' prince', ' drew', ' a', ' wire', ' for', ' us', '.']","[-4.116546, -10.416651, -11.221998, -1.698087, -9.953753, -4.7975006, -4.703425, -2.5583363]",-49.46630096435547
a prince drew us a wire .,DO,DRAW,A,for,"['A', ' prince', ' drew', ' us', ' a', ' wire', '.']","[-4.116546, -10.416651, -11.221998, -6.4129305, -2.3515558, -11.668018, -4.054043]",-50.24174118041992
a writer drew a motor for it .,PD,DRAW,A,for,"['A', ' writer', ' drew', ' a', ' motor', ' for', ' it', '.']","[-4.116546, -7.9830565, -10.764386, -1.5949882, -10.812075, -6.125626, -6.025754, -1.8770375]",-49.29946517944336
a writer drew it a motor .,DO,DRAW,A,for,"['A', ' writer', ' drew', ' it', ' a', ' motor', '.']","[-4.116546, -7.9830565, -10.764386, -6.403582, -5.2667246, -10.049252, -4.2287416]",-48.81229019165039
an opponent drew a card for them .,PD,DRAW,A,for,"['An', ' opponent', ' drew', ' a', ' card', ' for', ' them', '.']","[-6.034515, -10.341585, -10.0676985, -1.2817907, -2.618443, -3.0330656, -6.8014994, -1.8687847]",-42.04738235473633
an opponent drew them a card .,DO,DRAW,A,for,"['An', ' opponent', ' drew', ' them', ' a', ' card', '.']","[-6.034515, -10.341585, -10.0676985, -6.9341345, -3.549023, -2.3191724, -1.7939329]",-41.0400619506836
a nurse drew a bell for them .,PD,DRAW,A,for,"['A', ' nurse', ' drew', ' a', ' bell', ' for', ' them', '.']","[-4.116546, -8.151026, -8.0048485, -2.015434, -10.22444, -3.1664467, -6.7550097, -2.254989]",-44.68873977661133
a nurse drew them a bell .,DO,DRAW,A,for,"['A', ' nurse', ' drew', ' them', ' a', ' bell', '.']","[-4.116546, -8.151026, -8.0048485, -9.355278, -3.08159, -10.673006, -2.7717614]",-46.154056549072266
a mother drew a crystal for us .,PD,DRAW,A,for,"['A', ' mother', ' drew', ' a', ' crystal', ' for', ' us', '.']","[-4.116546, -7.195947, -10.083343, -1.6013176, -10.663199, -6.4981437, -4.696064, -2.000568]",-46.85512924194336
a mother drew us a crystal .,DO,DRAW,A,for,"['A', ' mother', ' drew', ' us', ' a', ' crystal', '.']","[-4.116546, -7.195947, -10.083343, -6.60913, -1.5129604, -10.053668, -4.948983]",-44.52057647705078
a champion drew a bottle for him .,PD,DRAW,A,for,"['A', ' champion', ' drew', ' a', ' bottle', ' for', ' him', '.']","[-4.116546, -9.528955, -12.635386, -1.8510382, -7.5987377, -4.958165, -4.9718676, -1.8315217]",-47.49221420288086
a champion drew him a bottle .,DO,DRAW,A,for,"['A', ' champion', ' drew', ' him', ' a', ' bottle', '.']","[-4.116152, -9.530291, -12.6321335, -6.042223, -3.0105522, -7.097765, -3.4504445]",-45.87956237792969
a mother drew an iron for us .,PD,DRAW,A,for,"['A', ' mother', ' drew', ' an', ' iron', ' for', ' us', '.']","[-4.116152, -7.1953297, -10.084592, -4.0270042, -7.970023, -6.8777523, -6.259081, -2.0147023]",-48.54463195800781
a mother drew us an iron .,DO,DRAW,A,for,"['A', ' mother', ' drew', ' us', ' an', ' iron', '.']","[-4.116546, -7.195947, -10.083343, -6.60913, -4.505148, -8.749136, -4.4949946]",-45.75424575805664
