text,structure,verb,det,prep,tokens,log_prob_tokens,log_prob
a princess brought a coffee to an adult .,PD,BRING,A,to,"['A', ' princess', ' brought', ' a', ' coffee', ' to', ' an', ' adult', '.']","[-4.116546, -10.3771, -9.38712, -3.5960379, -8.788127, -1.7211804, -4.462869, -5.732169, -3.4912822]",-51.67243194580078
a princess brought an adult a coffee .,DO,BRING,A,to,"['A', ' princess', ' brought', ' an', ' adult', ' a', ' coffee', '.']","[-4.116546, -10.3771, -9.38712, -5.892913, -7.2705407, -6.436882, -6.7903805, -2.1476593]",-52.41914367675781
a lady brought a computer to an employer .,PD,BRING,A,to,"['A', ' lady', ' brought', ' a', ' computer', ' to', ' an', ' employer', '.']","[-4.116546, -8.180323, -7.2666187, -1.8502101, -6.423235, -1.1398294, -5.014222, -10.120311, -2.4409897]",-46.55228805541992
a lady brought an employer a computer .,DO,BRING,A,to,"['A', ' lady', ' brought', ' an', ' employer', ' a', ' computer', '.']","[-4.116546, -8.180323, -7.2666187, -4.2486477, -11.6646595, -3.2745452, -7.393467, -3.0893006]",-49.234107971191406
a colonel brought a television to a candidate .,PD,BRING,A,to,"['A', ' colon', 'el', ' brought', ' a', ' television', ' to', ' a', ' candidate', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -1.9131323, -7.8262577, -1.7137147, -1.6715059, -8.972738, -3.8906186]",-52.53591537475586
a colonel brought a candidate a television .,DO,BRING,A,to,"['A', ' colon', 'el', ' brought', ' a', ' candidate', ' a', ' television', '.']","[-4.116152, -10.748552, -2.8947666, -8.779823, -1.9172374, -8.138474, -5.2353015, -8.307407, -3.443039]",-53.580753326416016
a teacher brought an engine to a singer .,PD,BRING,A,to,"['A', ' teacher', ' brought', ' an', ' engine', ' to', ' a', ' singer', '.']","[-4.116152, -8.085955, -7.2367363, -4.01539, -9.578999, -1.439326, -2.952289, -15.43907, -2.5801141]",-55.44403076171875
a teacher brought a singer an engine .,DO,BRING,A,to,"['A', ' teacher', ' brought', ' a', ' singer', ' an', ' engine', '.']","[-4.116546, -8.0846195, -7.2387257, -1.7058392, -11.077791, -9.689874, -9.145827, -3.1318953]",-54.19112014770508
a mayor brought an instrument to a band .,PD,BRING,A,to,"['A', ' mayor', ' brought', ' an', ' instrument', ' to', ' a', ' band', '.']","[-4.116546, -10.680811, -10.003283, -3.8612108, -9.421652, -1.5354084, -1.525256, -5.7613106, -5.4730988]",-52.378578186035156
a mayor brought a band an instrument .,DO,BRING,A,to,"['A', ' mayor', ' brought', ' a', ' band', ' an', ' instrument', '.']","[-4.116546, -10.680811, -10.003283, -1.6580858, -7.755767, -11.023133, -3.6715093, -3.1208706]",-52.030006408691406
a colonel brought a tea to a business .,PD,BRING,A,to,"['A', ' colon', 'el', ' brought', ' a', ' tea', ' to', ' a', ' business', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -1.9131323, -8.091883, -3.0169888, -1.9573593, -8.257859, -5.3494825]",-55.13465118408203
a colonel brought a business a tea .,DO,BRING,A,to,"['A', ' colon', 'el', ' brought', ' a', ' business', ' a', ' tea', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -1.9131323, -7.9629765, -8.374644, -9.469677, -4.3266215]",-58.595001220703125
an aunt brought a jacket to an army .,PD,BRING,A,to,"['An', ' aunt', ' brought', ' a', ' jacket', ' to', ' an', ' army', '.']","[-6.034515, -9.880648, -6.589358, -2.3393254, -8.869771, -1.664224, -4.987544, -7.518706, -5.8573895]",-53.74148178100586
an aunt brought an army a jacket .,DO,BRING,A,to,"['An', ' aunt', ' brought', ' an', ' army', ' a', ' jacket', '.']","[-6.034515, -9.880648, -6.589358, -4.487763, -7.155136, -8.116963, -8.886839, -3.6505432]",-54.80176544189453
a hero brought a chocolate to a wife .,PD,BRING,A,to,"['A', ' hero', ' brought', ' a', ' chocolate', ' to', ' a', ' wife', '.']","[-4.116546, -9.160791, -9.143252, -3.3317485, -8.263779, -4.493854, -1.5383717, -8.081806, -2.9653525]",-51.09550476074219
a hero brought a wife a chocolate .,DO,BRING,A,to,"['A', ' hero', ' brought', ' a', ' wife', ' a', ' chocolate', '.']","[-4.116546, -9.160791, -9.143252, -3.3317485, -8.521591, -3.8976388, -5.5765457, -5.385252]",-49.13336944580078
a soldier brought a cup to a scientist .,PD,BRING,A,to,"['A', ' soldier', ' brought', ' a', ' cup', ' to', ' a', ' scientist', '.']","[-4.116546, -8.697901, -7.7045693, -1.7681088, -7.128131, -2.7891095, -3.1626089, -8.071211, -1.9077789]",-45.34596252441406
a soldier brought a scientist a cup .,DO,BRING,A,to,"['A', ' soldier', ' brought', ' a', ' scientist', ' a', ' cup', '.']","[-4.116546, -8.697901, -7.7045693, -1.7681088, -11.528522, -3.3730366, -3.4388146, -6.1102386]",-46.737735748291016
an employee brought a camera to a business .,PD,BRING,A,to,"['An', ' employee', ' brought', ' a', ' camera', ' to', ' a', ' business', '.']","[-6.034515, -6.066194, -7.91846, -0.90342003, -6.986743, -0.99491984, -2.1684875, -4.618473, -4.035327]",-39.726539611816406
an employee brought a business a camera .,DO,BRING,A,to,"['An', ' employee', ' brought', ' a', ' business', ' a', ' camera', '.']","[-6.034515, -6.066194, -7.91846, -0.90342003, -8.412524, -7.5411777, -8.005491, -2.7178104]",-47.59959411621094
a parent brought a meal to a club .,PD,BRING,A,to,"['A', ' parent', ' brought', ' a', ' meal', ' to', ' a', ' club', '.']","[-4.116546, -8.826807, -7.1465254, -2.218757, -8.91127, -0.6941173, -2.2221868, -6.8867893, -4.0613494]",-45.0843505859375
a parent brought a club a meal .,DO,BRING,A,to,"['A', ' parent', ' brought', ' a', ' club', ' a', ' meal', '.']","[-4.116546, -8.826807, -7.1465254, -2.218757, -9.469864, -6.787752, -8.199923, -3.0653243]",-49.83149719238281
a prince brought a motor to a business .,PD,BRING,A,to,"['A', ' prince', ' brought', ' a', ' motor', ' to', ' a', ' business', '.']","[-4.116546, -10.416651, -8.458326, -2.634245, -10.124796, -4.0428257, -1.6599826, -8.285231, -3.164146]",-52.902748107910156
a prince brought a business a motor .,DO,BRING,A,to,"['A', ' prince', ' brought', ' a', ' business', ' a', ' motor', '.']","[-4.116546, -10.416651, -8.458326, -2.634245, -9.847452, -7.396349, -10.691452, -4.7096753]",-58.270694732666016
a colonel brought a bottle to a business .,PD,BRING,A,to,"['A', ' colon', 'el', ' brought', ' a', ' bottle', ' to', ' a', ' business', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -1.9131323, -5.080164, -3.8215837, -1.4446995, -6.8727226, -5.9465747]",-51.62682342529297
a colonel brought a business a bottle .,DO,BRING,A,to,"['A', ' colon', 'el', ' brought', ' a', ' business', ' a', ' bottle', '.']","[-4.116546, -10.748194, -2.8993, -8.783909, -1.9131323, -7.9629765, -8.374644, -7.6395993, -5.593594]",-58.031890869140625
a professor brought a tea to a band .,PD,BRING,A,to,"['A', ' professor', ' brought', ' a', ' tea', ' to', ' a', ' band', '.']","[-4.116546, -8.9283695, -8.359812, -1.8983985, -8.054852, -4.043979, -2.2595503, -9.86918, -4.6016474]",-52.1323356628418
a professor brought a band a tea .,DO,BRING,A,to,"['A', ' professor', ' brought', ' a', ' band', ' a', ' tea', '.']","[-4.116546, -8.9283695, -8.359812, -1.8983985, -8.840008, -8.540531, -7.723631, -4.176263]",-52.58355712890625
a soldier brought a telephone to a kid .,PD,BRING,A,to,"['A', ' soldier', ' brought', ' a', ' telephone', ' to', ' a', ' kid', '.']","[-4.116546, -8.697901, -7.7045693, -1.7681088, -9.182818, -1.2623216, -1.7641106, -8.319287, -3.0989215]",-45.914581298828125
a soldier brought a kid a telephone .,DO,BRING,A,to,"['A', ' soldier', ' brought', ' a', ' kid', ' a', ' telephone', '.']","[-4.116546, -8.697901, -7.7045693, -1.7681088, -8.13985, -3.8183498, -9.438576, -2.6490238]",-46.332923889160156
a father brought a beer to a corporation .,PD,BRING,A,to,"['A', ' father', ' brought', ' a', ' beer', ' to', ' a', ' corporation', '.']","[-4.116546, -8.000635, -7.1888847, -2.9721425, -8.339682, -1.2785599, -1.9777856, -11.114542, -2.8549256]",-47.84370422363281
a father brought a corporation a beer .,DO,BRING,A,to,"['A', ' father', ' brought', ' a', ' corporation', ' a', ' beer', '.']","[-4.116546, -8.000635, -7.1888847, -2.9721425, -11.91976, -6.5325794, -8.027422, -2.1948695]",-50.95283508300781
a doctor brought a tea to a chief .,PD,BRING,A,to,"['A', ' doctor', ' brought', ' a', ' tea', ' to', ' a', ' chief', '.']","[-4.116546, -8.024073, -8.212437, -1.6177896, -10.55434, -2.8927224, -2.2534604, -9.148427, -2.6578856]",-49.47768020629883
a doctor brought a chief a tea .,DO,BRING,A,to,"['A', ' doctor', ' brought', ' a', ' chief', ' a', ' tea', '.']","[-4.116546, -8.024073, -8.212437, -1.6177896, -13.957661, -6.62815, -7.382224, -2.6910975]",-52.62997817993164
a candidate brought a chocolate to a man .,PD,BRING,A,to,"['A', ' candidate', ' brought', ' a', ' chocolate', ' to', ' a', ' man', '.']","[-4.116546, -9.020166, -9.871938, -1.7612013, -6.6324215, -4.956631, -1.7911379, -9.6529875, -4.022994]",-51.82602310180664
a candidate brought a man a chocolate .,DO,BRING,A,to,"['A', ' candidate', ' brought', ' a', ' man', ' a', ' chocolate', '.']","[-4.116546, -9.020166, -9.871938, -1.7612013, -8.327734, -7.600646, -6.0405846, -5.6413145]",-52.38013458251953
a mayor brought a coffee to a priest .,PD,BRING,A,to,"['A', ' mayor', ' brought', ' a', ' coffee', ' to', ' a', ' priest', '.']","[-4.116546, -10.680811, -10.003283, -1.6580858, -7.2479544, -2.5990024, -1.0884393, -8.319538, -2.4687245]",-48.18238830566406
a mayor brought a priest a coffee .,DO,BRING,A,to,"['A', ' mayor', ' brought', ' a', ' priest', ' a', ' coffee', '.']","[-4.116546, -10.680811, -10.003283, -1.6580858, -7.572173, -4.8486905, -6.0591373, -2.1385155]",-47.07724380493164
an employer brought a tea to an attorney .,PD,BRING,A,to,"['An', ' employer', ' brought', ' a', ' tea', ' to', ' an', ' attorney', '.']","[-6.034515, -8.089632, -8.136955, -0.8860288, -13.125483, -3.7998834, -3.264769, -6.8143516, -3.6662822]",-53.817901611328125
an employer brought an attorney a tea .,DO,BRING,A,to,"['An', ' employer', ' brought', ' an', ' attorney', ' a', ' tea', '.']","[-6.034515, -8.089632, -8.136955, -1.3782163, -8.684855, -7.664611, -10.80578, -4.255492]",-55.05005645751953
the husband brought the newspaper to the candidate .,PD,BRING,THE,to,"['The', ' husband', ' brought', ' the', ' newspaper', ' to', ' the', ' candidate', '.']","[-3.1868587, -9.547127, -7.5258284, -2.7173595, -6.3974195, -1.7650826, -1.1492678, -11.742041, -2.4167514]",-46.44773864746094
the husband brought the candidate the newspaper .,DO,BRING,THE,to,"['The', ' husband', ' brought', ' the', ' candidate', ' the', ' newspaper', '.']","[-3.1868587, -9.547127, -7.5258284, -2.7173595, -11.409138, -4.4931912, -5.016164, -2.5465868]",-46.44225311279297
the secretary brought the beer to the soldier .,PD,BRING,THE,to,"['The', ' secretary', ' brought', ' the', ' beer', ' to', ' the', ' soldier', '.']","[-3.1868587, -10.056892, -8.995335, -1.9278684, -7.955152, -2.0767334, -0.5831089, -9.588544, -2.0579562]",-46.42844772338867
the secretary brought the soldier the beer .,DO,BRING,THE,to,"['The', ' secretary', ' brought', ' the', ' soldier', ' the', ' beer', '.']","[-3.1868587, -10.056892, -8.995335, -1.9278684, -9.613356, -4.130619, -6.094619, -1.7854608]",-45.791011810302734
the champion brought the hat to the guy .,PD,BRING,THE,to,"['The', ' champion', ' brought', ' the', ' hat', ' to', ' the', ' guy', '.']","[-3.1868587, -10.9338455, -9.498647, -1.7073702, -7.6898637, -2.648776, -0.79876566, -10.690779, -2.9659219]",-50.12083435058594
the champion brought the guy the hat .,DO,BRING,THE,to,"['The', ' champion', ' brought', ' the', ' guy', ' the', ' hat', '.']","[-3.1868587, -10.9338455, -9.498647, -1.7073702, -9.174238, -5.3217044, -7.043869, -2.4039128]",-49.27044677734375
the parent brought the chocolate to the buddy .,PD,BRING,THE,to,"['The', ' parent', ' brought', ' the', ' chocolate', ' to', ' the', ' buddy', '.']","[-3.1868587, -9.7150955, -10.302809, -1.5311667, -9.444676, -2.1364942, -1.032796, -11.997891, -2.3617065]",-51.70949172973633
the parent brought the buddy the chocolate .,DO,BRING,THE,to,"['The', ' parent', ' brought', ' the', ' buddy', ' the', ' chocolate', '.']","[-3.1868587, -9.7150955, -10.302809, -1.5311667, -11.876317, -4.7215624, -6.805596, -2.7066426]",-50.846046447753906
the secretary brought the juice to the corporation .,PD,BRING,THE,to,"['The', ' secretary', ' brought', ' the', ' juice', ' to', ' the', ' corporation', '.']","[-3.1868587, -10.056892, -8.995335, -1.9278684, -9.394606, -1.7655925, -0.73444736, -11.399162, -2.4262137]",-49.88697052001953
the secretary brought the corporation the juice .,DO,BRING,THE,to,"['The', ' secretary', ' brought', ' the', ' corporation', ' the', ' juice', '.']","[-3.1868587, -10.056892, -8.995335, -1.9278684, -10.82234, -4.101301, -10.123223, -2.1732104]",-51.38703155517578
the pilot brought the pie to the band .,PD,BRING,THE,to,"['The', ' pilot', ' brought', ' the', ' pie', ' to', ' the', ' band', '.']","[-3.1868587, -9.17408, -7.9354024, -0.90487427, -12.469318, -1.504976, -0.8713999, -8.107282, -3.4144123]",-47.568599700927734
the pilot brought the band the pie .,DO,BRING,THE,to,"['The', ' pilot', ' brought', ' the', ' band', ' the', ' pie', '.']","[-3.1868587, -9.17408, -7.9354024, -0.90487427, -9.671467, -6.3430934, -11.39205, -2.7690969]",-51.376922607421875
the mother brought the plate to the club .,PD,BRING,THE,to,"['The', ' mother', ' brought', ' the', ' plate', ' to', ' the', ' club', '.']","[-3.1868587, -8.4650955, -9.065343, -1.6600314, -9.335051, -1.4179693, -0.6319268, -9.291651, -2.4039865]",-45.457916259765625
the mother brought the club the plate .,DO,BRING,THE,to,"['The', ' mother', ' brought', ' the', ' club', ' the', ' plate', '.']","[-3.1868587, -8.4650955, -9.065343, -1.6600314, -10.540129, -5.4303675, -8.322065, -2.6294982]",-49.29938888549805
the mother brought the coffee to the buddy .,PD,BRING,THE,to,"['The', ' mother', ' brought', ' the', ' coffee', ' to', ' the', ' buddy', '.']","[-3.1868587, -8.4650955, -9.065343, -1.6600314, -9.331144, -1.9251927, -0.8407612, -12.754002, -2.3991454]",-49.6275749206543
the mother brought the buddy the coffee .,DO,BRING,THE,to,"['The', ' mother', ' brought', ' the', ' buddy', ' the', ' coffee', '.']","[-3.1868587, -8.4650955, -9.065343, -1.6600314, -12.769621, -4.6449556, -6.14871, -2.1814036]",-48.12201690673828
the author brought the guitar to the company .,PD,BRING,THE,to,"['The', ' author', ' brought', ' the', ' guitar', ' to', ' the', ' company', '.']","[-3.1868587, -7.021736, -9.592464, -2.3255818, -8.555986, -1.3049924, -1.5192974, -5.9122353, -3.3930206]",-42.81217575073242
the author brought the company the guitar .,DO,BRING,THE,to,"['The', ' author', ' brought', ' the', ' company', ' the', ' guitar', '.']","[-3.1868587, -7.021736, -9.592464, -2.3255818, -8.243486, -5.860413, -10.77738, -3.4736536]",-50.481571197509766
the guy brought the iron to the author .,PD,BRING,THE,to,"['The', ' guy', ' brought', ' the', ' iron', ' to', ' the', ' author', '.']","[-3.1868587, -8.6994705, -7.91463, -2.3778324, -9.1470585, -2.5161986, -0.9494072, -11.223311, -2.9758606]",-48.99062728881836
the guy brought the author the iron .,DO,BRING,THE,to,"['The', ' guy', ' brought', ' the', ' author', ' the', ' iron', '.']","[-3.1868587, -8.6994705, -7.91463, -2.3778324, -9.357996, -4.16101, -8.98421, -3.214854]",-47.89686584472656
the employee brought the television to the doctor .,PD,BRING,THE,to,"['The', ' employee', ' brought', ' the', ' television', ' to', ' the', ' doctor', '.']","[-3.1868587, -9.894783, -8.14052, -1.5781932, -9.297007, -1.2781073, -0.9926107, -7.368438, -3.835302]",-45.57181930541992
the employee brought the doctor the television .,DO,BRING,THE,to,"['The', ' employee', ' brought', ' the', ' doctor', ' the', ' television', '.']","[-3.1868587, -9.894783, -8.14052, -1.5781932, -8.6056, -3.7452106, -9.5506315, -3.1111584]",-47.812957763671875
the lady brought the key to the club .,PD,BRING,THE,to,"['The', ' lady', ' brought', ' the', ' key', ' to', ' the', ' club', '.']","[-3.1868587, -9.408455, -8.374784, -2.1784947, -7.0873427, -1.3870212, -0.8729717, -7.2215242, -2.508887]",-42.22633743286133
the lady brought the club the key .,DO,BRING,THE,to,"['The', ' lady', ' brought', ' the', ' club', ' the', ' key', '.']","[-3.1868587, -9.408455, -8.374784, -2.1784947, -8.735781, -4.9353323, -7.572217, -2.709609]",-47.101531982421875
the professor brought the meal to the kid .,PD,BRING,THE,to,"['The', ' professor', ' brought', ' the', ' meal', ' to', ' the', ' kid', '.']","[-3.1868587, -10.818611, -7.58438, -2.3079937, -9.628162, -0.9233778, -0.9397427, -7.360625, -2.2038038]",-44.95355987548828
the professor brought the kid the meal .,DO,BRING,THE,to,"['The', ' professor', ' brought', ' the', ' kid', ' the', ' meal', '.']","[-3.1868587, -10.818611, -7.58438, -2.3079937, -7.936756, -5.750085, -7.937063, -2.240953]",-47.76270294189453
the bishop brought the pie to the club .,PD,BRING,THE,to,"['The', ' bishop', ' brought', ' the', ' pie', ' to', ' the', ' club', '.']","[-3.1868587, -11.176033, -8.339864, -1.9190445, -10.62627, -1.5561116, -0.68680364, -8.056253, -2.437387]",-47.984619140625
the bishop brought the club the pie .,DO,BRING,THE,to,"['The', ' bishop', ' brought', ' the', ' club', ' the', ' pie', '.']","[-3.1868587, -11.176033, -8.339864, -1.9190445, -8.811817, -4.892631, -10.415987, -2.2620041]",-51.00423812866211
the lawyer brought the newspaper to the corporation .,PD,BRING,THE,to,"['The', ' lawyer', ' brought', ' the', ' newspaper', ' to', ' the', ' corporation', '.']","[-3.1868587, -9.703377, -8.757829, -1.9796112, -7.6062546, -1.5243723, -0.9788954, -9.142662, -3.3007693]",-46.18062973022461
the lawyer brought the corporation the newspaper .,DO,BRING,THE,to,"['The', ' lawyer', ' brought', ' the', ' corporation', ' the', ' newspaper', '.']","[-3.1868587, -9.703377, -8.757829, -1.9796112, -9.869926, -5.4474597, -8.058617, -3.0985491]",-50.10222625732422
the lady brought the cigarette to the administration .,PD,BRING,THE,to,"['The', ' lady', ' brought', ' the', ' cigarette', ' to', ' the', ' administration', '.']","[-3.1868587, -9.408455, -8.374784, -2.1784947, -8.446718, -0.84502995, -3.3715074, -13.153654, -3.226267]",-52.1917724609375
the lady brought the administration the cigarette .,DO,BRING,THE,to,"['The', ' lady', ' brought', ' the', ' administration', ' the', ' cigarette', '.']","[-3.1868587, -9.408455, -8.374784, -2.1784947, -11.840273, -4.30841, -10.182217, -2.389595]",-51.86909103393555
the worker brought the pie to the corporation .,PD,BRING,THE,to,"['The', ' worker', ' brought', ' the', ' pie', ' to', ' the', ' corporation', '.']","[-3.1868587, -11.131111, -7.7995768, -1.6530802, -9.022721, -1.169543, -0.72920746, -9.790916, -3.3961098]",-47.87912368774414
the worker brought the corporation the pie .,DO,BRING,THE,to,"['The', ' worker', ' brought', ' the', ' corporation', ' the', ' pie', '.']","[-3.1868587, -11.131111, -7.7995768, -1.6530802, -10.286393, -4.7970686, -10.731371, -2.5565624]",-52.14202117919922
the worker brought the coffee to the club .,PD,BRING,THE,to,"['The', ' worker', ' brought', ' the', ' coffee', ' to', ' the', ' club', '.']","[-3.1868587, -11.131111, -7.7995768, -1.6530802, -5.6945963, -1.6726156, -0.7149815, -9.444457, -2.9833074]",-44.280582427978516
the worker brought the club the coffee .,DO,BRING,THE,to,"['The', ' worker', ' brought', ' the', ' club', ' the', ' coffee', '.']","[-3.1868587, -11.131111, -7.7995768, -1.6530802, -9.116471, -5.4916434, -8.20317, -2.3792915]",-48.96120071411133
the actor brought the glass to the aunt .,PD,BRING,THE,to,"['The', ' actor', ' brought', ' the', ' glass', ' to', ' the', ' aunt', '.']","[-3.1868587, -8.447517, -7.793585, -1.911561, -9.751008, -2.1103296, -1.5383877, -12.937218, -4.4485855]",-52.12504959106445
the actor brought the aunt the glass .,DO,BRING,THE,to,"['The', ' actor', ' brought', ' the', ' aunt', ' the', ' glass', '.']","[-3.1868587, -8.447517, -7.793585, -1.911561, -12.23636, -7.573202, -7.715946, -4.32672]",-53.19175338745117
the mayor brought the key to the actress .,PD,BRING,THE,to,"['The', ' mayor', ' brought', ' the', ' key', ' to', ' the', ' actress', '.']","[-3.1868587, -9.010017, -9.4387, -2.0937755, -6.9792213, -0.59502, -0.5649678, -12.454378, -3.0811331]",-47.40406799316406
the mayor brought the actress the key .,DO,BRING,THE,to,"['The', ' mayor', ' brought', ' the', ' actress', ' the', ' key', '.']","[-3.1868587, -9.010017, -9.4387, -2.0937755, -9.965549, -6.607506, -2.8320742, -6.117753]",-49.25223159790039
the guy brought the beer to the business .,PD,BRING,THE,to,"['The', ' guy', ' brought', ' the', ' beer', ' to', ' the', ' business', '.']","[-3.1868587, -8.6994705, -7.91463, -2.3778324, -5.5884647, -2.0427108, -0.7071638, -8.632795, -2.5849843]",-41.73490905761719
the guy brought the business the beer .,DO,BRING,THE,to,"['The', ' guy', ' brought', ' the', ' business', ' the', ' beer', '.']","[-3.1868587, -8.6994705, -7.91463, -2.3778324, -7.1353397, -5.5190754, -6.7387257, -2.2784257]",-43.85035705566406
the husband brought the beer to the business .,PD,BRING,THE,to,"['The', ' husband', ' brought', ' the', ' beer', ' to', ' the', ' business', '.']","[-3.1868587, -9.547127, -7.5258284, -2.7173595, -6.956013, -2.8124871, -0.62865406, -9.09109, -2.8850493]",-45.35047149658203
the husband brought the business the beer .,DO,BRING,THE,to,"['The', ' husband', ' brought', ' the', ' business', ' the', ' beer', '.']","[-3.1868587, -9.547127, -7.5258284, -2.7173595, -8.233356, -6.6180625, -7.150004, -2.4824781]",-47.46107864379883
the parent brought the beer to the king .,PD,BRING,THE,to,"['The', ' parent', ' brought', ' the', ' beer', ' to', ' the', ' king', '.']","[-3.1868587, -9.7150955, -10.302809, -1.5311667, -10.184911, -1.643643, -0.7211717, -9.908122, -2.2985258]",-49.49230194091797
the parent brought the king the beer .,DO,BRING,THE,to,"['The', ' parent', ' brought', ' the', ' king', ' the', ' beer', '.']","[-3.1868587, -9.7150955, -10.302809, -1.5311667, -9.870458, -3.883583, -9.809195, -2.4694948]",-50.76865768432617
the secretary brought the chocolate to the soldier .,PD,BRING,THE,to,"['The', ' secretary', ' brought', ' the', ' chocolate', ' to', ' the', ' soldier', '.']","[-3.1868587, -10.056892, -8.995335, -1.9278684, -7.9785895, -2.394603, -0.7574134, -9.407001, -1.9876916]",-46.6922492980957
the secretary brought the soldier the chocolate .,DO,BRING,THE,to,"['The', ' secretary', ' brought', ' the', ' soldier', ' the', ' chocolate', '.']","[-3.1868587, -10.056892, -8.995335, -1.9278684, -9.613356, -4.130619, -7.4774313, -2.7534952]",-48.1418571472168
the priest brought the pot to the partner .,PD,BRING,THE,to,"['The', ' priest', ' brought', ' the', ' pot', ' to', ' the', ' partner', '.']","[-3.1868587, -10.714119, -6.799103, -1.5085739, -7.523292, -1.6716192, -0.6973585, -13.073283, -2.4502149]",-47.624420166015625
the priest brought the partner the pot .,DO,BRING,THE,to,"['The', ' priest', ' brought', ' the', ' partner', ' the', ' pot', '.']","[-3.1868587, -10.714119, -6.799103, -1.5085739, -12.315285, -5.3621655, -8.184063, -3.017695]",-51.087867736816406
a sheriff drew a knife for an administration .,PD,DRAW,A,for,"['A', ' sheriff', ' drew', ' a', ' knife', ' for', ' an', ' administration', '.']","[-4.116546, -10.118799, -11.137715, -1.8096172, -5.756853, -6.3021593, -4.2132497, -12.578684, -5.5594463]",-61.59307098388672
a sheriff drew an administration a knife .,DO,DRAW,A,for,"['A', ' sheriff', ' drew', ' an', ' administration', ' a', ' knife', '.']","[-4.116546, -10.118799, -11.137715, -4.106492, -11.361219, -7.133997, -6.7484684, -4.5208073]",-59.244041442871094
an uncle drew a card for a corporation .,PD,DRAW,A,for,"['An', ' uncle', ' drew', ' a', ' card', ' for', ' a', ' corporation', '.']","[-6.034515, -9.476351, -9.157202, -1.865665, -6.239681, -1.7168002, -2.441789, -10.438431, -2.3184345]",-49.688865661621094
an uncle drew a corporation a card .,DO,DRAW,A,for,"['An', ' uncle', ' drew', ' a', ' corporation', ' a', ' card', '.']","[-6.034515, -9.476351, -9.157202, -1.865665, -13.00433, -5.3570204, -6.038129, -2.542725]",-53.47593688964844
a prince drew a wire for a man .,PD,DRAW,A,for,"['A', ' prince', ' drew', ' a', ' wire', ' for', ' a', ' man', '.']","[-4.116546, -10.416651, -11.221998, -1.698087, -9.953753, -4.7975006, -1.578425, -5.560647, -3.1004605]",-52.444068908691406
a prince drew a man a wire .,DO,DRAW,A,for,"['A', ' prince', ' drew', ' a', ' man', ' a', ' wire', '.']","[-4.116546, -10.416651, -11.221998, -1.698087, -7.1725035, -5.4028482, -10.51403, -3.0542367]",-53.596900939941406
