text,structure,verb,det,prep
a prince drew us a wire .,DO,DRAW,A,for
a writer drew a motor for it .,PD,DRAW,A,for
a writer drew it a motor .,DO,DRAW,A,for
an opponent drew a card for them .,PD,DRAW,A,for
an opponent drew them a card .,DO,DRAW,A,for
a nurse drew a bell for them .,PD,DRAW,A,for
a nurse drew them a bell .,DO,DRAW,A,for
a mother drew a crystal for us .,PD,DRAW,A,for
a mother drew us a crystal .,DO,DRAW,A,for
a champion drew a bottle for him .,PD,DRAW,A,for
a champion drew him a bottle .,DO,DRAW,A,for
a mother drew an iron for us .,PD,DRAW,A,for
a mother drew us an iron .,DO,DRAW,A,for
a priest drew a key for us .,PD,DRAW,A,for
a priest drew us a key .,DO,DRAW,A,for
a brother drew a jacket for me .,PD,DRAW,A,for
a brother drew me a jacket .,DO,DRAW,A,for
a candidate drew a flower for you .,PD,DRAW,A,for
a candidate drew you a flower .,DO,DRAW,A,for
a reader drew a gun for you .,PD,DRAW,A,for
a reader drew you a gun .,DO,DRAW,A,for
a chief drew a telephone for you .,PD,DRAW,A,for
a chief drew you a telephone .,DO,DRAW,A,for
a worker drew a log for you .,PD,DRAW,A,for
a worker drew you a log .,DO,DRAW,A,for
a cousin drew a crystal for you .,PD,DRAW,A,for
a cousin drew you a crystal .,DO,DRAW,A,for
a nurse drew a newspaper for it .,PD,DRAW,A,for
a nurse drew it a newspaper .,DO,DRAW,A,for
a woman drew a bag for them .,PD,DRAW,A,for
a woman drew them a bag .,DO,DRAW,A,for
a nurse drew a knife for you .,PD,DRAW,A,for
a nurse drew you a knife .,DO,DRAW,A,for
a man drew a card for me .,PD,DRAW,A,for
a man drew me a card .,DO,DRAW,A,for
a winner drew a computer for us .,PD,DRAW,A,for
a winner drew us a computer .,DO,DRAW,A,for
a parent drew an instrument for you .,PD,DRAW,A,for
a parent drew you an instrument .,DO,DRAW,A,for
a colonel drew a bag for me .,PD,DRAW,A,for
a colonel drew me a bag .,DO,DRAW,A,for
a worker drew an engine for you .,PD,DRAW,A,for
a worker drew you an engine .,DO,DRAW,A,for
a cousin drew a camera for us .,PD,DRAW,A,for
a cousin drew us a camera .,DO,DRAW,A,for
the friend drew the log for him .,PD,DRAW,THE,for
the friend drew him the log .,DO,DRAW,THE,for
the attorney drew the telephone for me .,PD,DRAW,THE,for
the attorney drew me the telephone .,DO,DRAW,THE,for
the leader drew the telephone for you .,PD,DRAW,THE,for
the leader drew you the telephone .,DO,DRAW,THE,for
the girl drew the instrument for us .,PD,DRAW,THE,for
the girl drew us the instrument .,DO,DRAW,THE,for
the employer drew the telephone for me .,PD,DRAW,THE,for
the employer drew me the telephone .,DO,DRAW,THE,for
the hero drew the machine for you .,PD,DRAW,THE,for
the hero drew you the machine .,DO,DRAW,THE,for
the father drew the bell for you .,PD,DRAW,THE,for
the father drew you the bell .,DO,DRAW,THE,for
the guy drew the iron for us .,PD,DRAW,THE,for
the guy drew us the iron .,DO,DRAW,THE,for
the bishop drew the bell for them .,PD,DRAW,THE,for
the bishop drew them the bell .,DO,DRAW,THE,for
the nurse drew the log for them .,PD,DRAW,THE,for
the nurse drew them the log .,DO,DRAW,THE,for
the champion drew the knife for us .,PD,DRAW,THE,for
the champion drew us the knife .,DO,DRAW,THE,for
the captain drew the guitar for us .,PD,DRAW,THE,for
the captain drew us the guitar .,DO,DRAW,THE,for
the father drew the card for us .,PD,DRAW,THE,for
the father drew us the card .,DO,DRAW,THE,for
the employee drew the motor for him .,PD,DRAW,THE,for
the employee drew him the motor .,DO,DRAW,THE,for
the adult drew the bell for you .,PD,DRAW,THE,for
the adult drew you the bell .,DO,DRAW,THE,for
the scientist drew the telephone for him .,PD,DRAW,THE,for
the scientist drew him the telephone .,DO,DRAW,THE,for
the physician drew the bottle for you .,PD,DRAW,THE,for
the physician drew you the bottle .,DO,DRAW,THE,for
the lawyer drew the flower for us .,PD,DRAW,THE,for
the lawyer drew us the flower .,DO,DRAW,THE,for
the man drew the coat for them .,PD,DRAW,THE,for
the man drew them the coat .,DO,DRAW,THE,for
the lady drew the telephone for you .,PD,DRAW,THE,for
the lady drew you the telephone .,DO,DRAW,THE,for
the nurse drew the anchor for you .,PD,DRAW,THE,for
the nurse drew you the anchor .,DO,DRAW,THE,for
the princess drew the telephone for you .,PD,DRAW,THE,for
the princess drew you the telephone .,DO,DRAW,THE,for
the cousin drew the log for her .,PD,DRAW,THE,for
the cousin drew her the log .,DO,DRAW,THE,for
the soldier drew the crystal for them .,PD,DRAW,THE,for
the soldier drew them the crystal .,DO,DRAW,THE,for
the guy drew the newspaper for him .,PD,DRAW,THE,for
the guy drew him the newspaper .,DO,DRAW,THE,for
a reader found a key for us .,PD,FIND,A,for
a reader found us a key .,DO,FIND,A,for
a husband found a salad for it .,PD,FIND,A,for
a husband found it a salad .,DO,FIND,A,for
a colonel found a meal for me .,PD,FIND,A,for
a colonel found me a meal .,DO,FIND,A,for
a son found a computer for them .,PD,FIND,A,for
a son found them a computer .,DO,FIND,A,for
a guy found a beer for me .,PD,FIND,A,for
a guy found me a beer .,DO,FIND,A,for
a sheriff found a tea for us .,PD,FIND,A,for
a sheriff found us a tea .,DO,FIND,A,for
a champion found a beer for her .,PD,FIND,A,for
a champion found her a beer .,DO,FIND,A,for
a scientist found a coffee for them .,PD,FIND,A,for
a scientist found them a coffee .,DO,FIND,A,for
a writer found an engine for us .,PD,FIND,A,for
a writer found us an engine .,DO,FIND,A,for
a reader found a cheese for him .,PD,FIND,A,for
a reader found him a cheese .,DO,FIND,A,for
a sheriff found a glass for you .,PD,FIND,A,for
a sheriff found you a glass .,DO,FIND,A,for
an author found a coffee for us .,PD,FIND,A,for
an author found us a coffee .,DO,FIND,A,for
a friend found a tea for him .,PD,FIND,A,for
a friend found him a tea .,DO,FIND,A,for
a chief found a chocolate for me .,PD,FIND,A,for
a chief found me a chocolate .,DO,FIND,A,for
a scientist found a cheese for me .,PD,FIND,A,for
a scientist found me a cheese .,DO,FIND,A,for
a singer found a pie for me .,PD,FIND,A,for
a singer found me a pie .,DO,FIND,A,for
a mother found a chocolate for you .,PD,FIND,A,for
a mother found you a chocolate .,DO,FIND,A,for
a brother found a motor for me .,PD,FIND,A,for
a brother found me a motor .,DO,FIND,A,for
a doctor found a candy for you .,PD,FIND,A,for
a doctor found you a candy .,DO,FIND,A,for
a pilot found a wire for them .,PD,FIND,A,for
a pilot found them a wire .,DO,FIND,A,for
an adult found a salad for him .,PD,FIND,A,for
an adult found him a salad .,DO,FIND,A,for
a parent found a candy for it .,PD,FIND,A,for
a parent found it a candy .,DO,FIND,A,for
a buddy found a jacket for us .,PD,FIND,A,for
a buddy found us a jacket .,DO,FIND,A,for
a priest found a coffee for me .,PD,FIND,A,for
a priest found me a coffee .,DO,FIND,A,for
a husband found a card for it .,PD,FIND,A,for
a husband found it a card .,DO,FIND,A,for
the king found the juice for them .,PD,FIND,THE,for
the king found them the juice .,DO,FIND,THE,for
the pilot found the box for them .,PD,FIND,THE,for
the pilot found them the box .,DO,FIND,THE,for
the reader found the tea for us .,PD,FIND,THE,for
the reader found us the tea .,DO,FIND,THE,for
the leader found the tea for him .,PD,FIND,THE,for
the leader found him the tea .,DO,FIND,THE,for
the student found the hat for me .,PD,FIND,THE,for
the student found me the hat .,DO,FIND,THE,for
the lawyer found the juice for him .,PD,FIND,THE,for
the lawyer found him the juice .,DO,FIND,THE,for
the singer found the coffee for you .,PD,FIND,THE,for
the singer found you the coffee .,DO,FIND,THE,for
the daughter found the cup for you .,PD,FIND,THE,for
the daughter found you the cup .,DO,FIND,THE,for
the bishop found the juice for him .,PD,FIND,THE,for
the bishop found him the juice .,DO,FIND,THE,for
the hero found the flower for me .,PD,FIND,THE,for
the hero found me the flower .,DO,FIND,THE,for
the daughter found the meal for her .,PD,FIND,THE,for
the daughter found her the meal .,DO,FIND,THE,for
the cop found the pie for me .,PD,FIND,THE,for
the cop found me the pie .,DO,FIND,THE,for
the king found the guitar for her .,PD,FIND,THE,for
the king found her the guitar .,DO,FIND,THE,for
the singer found the log for him .,PD,FIND,THE,for
the singer found him the log .,DO,FIND,THE,for
the woman found the tea for you .,PD,FIND,THE,for
the woman found you the tea .,DO,FIND,THE,for
the reader found the wire for her .,PD,FIND,THE,for
the reader found her the wire .,DO,FIND,THE,for
the author found the ball for them .,PD,FIND,THE,for
the author found them the ball .,DO,FIND,THE,for
the teacher found the instrument for them .,PD,FIND,THE,for
the teacher found them the instrument .,DO,FIND,THE,for
the professor found the candy for it .,PD,FIND,THE,for
the professor found it the candy .,DO,FIND,THE,for
the employer found the tea for me .,PD,FIND,THE,for
the employer found me the tea .,DO,FIND,THE,for
the partner found the tea for me .,PD,FIND,THE,for
the partner found me the tea .,DO,FIND,THE,for
the actress found the tea for us .,PD,FIND,THE,for
the actress found us the tea .,DO,FIND,THE,for
the reader found the candy for her .,PD,FIND,THE,for
the reader found her the candy .,DO,FIND,THE,for
the actress found the instrument for me .,PD,FIND,THE,for
the actress found me the instrument .,DO,FIND,THE,for
the champion found the camera for you .,PD,FIND,THE,for
the champion found you the camera .,DO,FIND,THE,for
an employer got a book for us .,PD,GET,A,for
an employer got us a book .,DO,GET,A,for
a winner got a bag for it .,PD,GET,A,for
a winner got it a bag .,DO,GET,A,for
an employer got a meal for you .,PD,GET,A,for
an employer got you a meal .,DO,GET,A,for
a guest got a juice for you .,PD,GET,A,for
a guest got you a juice .,DO,GET,A,for
a leader got a salad for us .,PD,GET,A,for
a leader got us a salad .,DO,GET,A,for
a buddy got a cup for me .,PD,GET,A,for
a buddy got me a cup .,DO,GET,A,for
a cousin got a cheese for you .,PD,GET,A,for
a cousin got you a cheese .,DO,GET,A,for
an employer got a beer for you .,PD,GET,A,for
an employer got you a beer .,DO,GET,A,for
a buddy got a beer for us .,PD,GET,A,for
a buddy got us a beer .,DO,GET,A,for
an attorney got a beer for us .,PD,GET,A,for
an attorney got us a beer .,DO,GET,A,for
a manager got a beer for us .,PD,GET,A,for
a manager got us a beer .,DO,GET,A,for
a lady got a crystal for them .,PD,GET,A,for
a lady got them a crystal .,DO,GET,A,for
a father got a pie for it .,PD,GET,A,for
a father got it a pie .,DO,GET,A,for
a sheriff got a chicken for him .,PD,GET,A,for
a sheriff got him a chicken .,DO,GET,A,for
a secretary got a pie for him .,PD,GET,A,for
a secretary got him a pie .,DO,GET,A,for
a hero got a tea for it .,PD,GET,A,for
a hero got it a tea .,DO,GET,A,for
a physician got a meal for them .,PD,GET,A,for
a physician got them a meal .,DO,GET,A,for
a winner got a pie for you .,PD,GET,A,for
a winner got you a pie .,DO,GET,A,for
a doctor got a key for him .,PD,GET,A,for
a doctor got him a key .,DO,GET,A,for
a guy got a flower for you .,PD,GET,A,for
a guy got you a flower .,DO,GET,A,for
a princess got a candy for him .,PD,GET,A,for
a princess got him a candy .,DO,GET,A,for
a minister got a log for him .,PD,GET,A,for
a minister got him a log .,DO,GET,A,for
an opponent got an engine for her .,PD,GET,A,for
an opponent got her an engine .,DO,GET,A,for
a colonel got a meal for you .,PD,GET,A,for
a colonel got you a meal .,DO,GET,A,for
a teacher got a salad for you .,PD,GET,A,for
a teacher got you a salad .,DO,GET,A,for
the champion got the pie for me .,PD,GET,THE,for
the champion got me the pie .,DO,GET,THE,for
the guy got the chicken for us .,PD,GET,THE,for
the guy got us the chicken .,DO,GET,THE,for
the child got the pie for him .,PD,GET,THE,for
the child got him the pie .,DO,GET,THE,for
the professor got the cheese for me .,PD,GET,THE,for
the professor got me the cheese .,DO,GET,THE,for
the kid got the tea for you .,PD,GET,THE,for
the kid got you the tea .,DO,GET,THE,for
the chief got the juice for us .,PD,GET,THE,for
the chief got us the juice .,DO,GET,THE,for
the candidate got the beer for you .,PD,GET,THE,for
the candidate got you the beer .,DO,GET,THE,for
the king got the candy for us .,PD,GET,THE,for
the king got us the candy .,DO,GET,THE,for
the physician got the tea for me .,PD,GET,THE,for
the physician got me the tea .,DO,GET,THE,for
the wife got the key for us .,PD,GET,THE,for
the wife got us the key .,DO,GET,THE,for
the student got the pie for you .,PD,GET,THE,for
the student got you the pie .,DO,GET,THE,for
the brother got the guitar for me .,PD,GET,THE,for
the brother got me the guitar .,DO,GET,THE,for
the woman got the motor for them .,PD,GET,THE,for
the woman got them the motor .,DO,GET,THE,for
the woman got the pie for you .,PD,GET,THE,for
the woman got you the pie .,DO,GET,THE,for
the actor got the bag for them .,PD,GET,THE,for
the actor got them the bag .,DO,GET,THE,for
the nurse got the beer for me .,PD,GET,THE,for
the nurse got me the beer .,DO,GET,THE,for
the husband got the cigarette for us .,PD,GET,THE,for
the husband got us the cigarette .,DO,GET,THE,for
the lawyer got the salad for me .,PD,GET,THE,for
the lawyer got me the salad .,DO,GET,THE,for
the worker got the cheese for us .,PD,GET,THE,for
the worker got us the cheese .,DO,GET,THE,for
the soldier got the log for us .,PD,GET,THE,for
the soldier got us the log .,DO,GET,THE,for
the doctor got the meal for you .,PD,GET,THE,for
the doctor got you the meal .,DO,GET,THE,for
the wife got the chicken for him .,PD,GET,THE,for
the wife got him the chicken .,DO,GET,THE,for
the doctor got the juice for you .,PD,GET,THE,for
the doctor got you the juice .,DO,GET,THE,for
the president got the beer for him .,PD,GET,THE,for
the president got him the beer .,DO,GET,THE,for
the worker got the beer for us .,PD,GET,THE,for
the worker got us the beer .,DO,GET,THE,for
a brother gave a candy to you .,PD,GIVE,A,to
a brother gave you a candy .,DO,GIVE,A,to
an actress gave a bell to them .,PD,GIVE,A,to
an actress gave them a bell .,DO,GIVE,A,to
a soldier gave a machine to it .,PD,GIVE,A,to
a soldier gave it a machine .,DO,GIVE,A,to
a candidate gave a juice to you .,PD,GIVE,A,to
a candidate gave you a juice .,DO,GIVE,A,to
a guest gave a chocolate to it .,PD,GIVE,A,to
a guest gave it a chocolate .,DO,GIVE,A,to
a doctor gave a meal to you .,PD,GIVE,A,to
a doctor gave you a meal .,DO,GIVE,A,to
a nurse gave a juice to you .,PD,GIVE,A,to
a nurse gave you a juice .,DO,GIVE,A,to
a secretary gave a tea to you .,PD,GIVE,A,to
a secretary gave you a tea .,DO,GIVE,A,to
a boy gave a meal to us .,PD,GIVE,A,to
a boy gave us a meal .,DO,GIVE,A,to
a guest gave a candy to it .,PD,GIVE,A,to
a guest gave it a candy .,DO,GIVE,A,to
a buddy gave a bag to him .,PD,GIVE,A,to
a buddy gave him a bag .,DO,GIVE,A,to
a manager gave a guitar to you .,PD,GIVE,A,to
a manager gave you a guitar .,DO,GIVE,A,to
a bishop gave a juice to them .,PD,GIVE,A,to
a bishop gave them a juice .,DO,GIVE,A,to
a partner gave a cigarette to you .,PD,GIVE,A,to
a partner gave you a cigarette .,DO,GIVE,A,to
a winner gave a candy to me .,PD,GIVE,A,to
a winner gave me a candy .,DO,GIVE,A,to
a soldier gave a wire to you .,PD,GIVE,A,to
a soldier gave you a wire .,DO,GIVE,A,to
a soldier gave a pie to him .,PD,GIVE,A,to
a soldier gave him a pie .,DO,GIVE,A,to
a parent gave a tea to them .,PD,GIVE,A,to
a parent gave them a tea .,DO,GIVE,A,to
an aunt gave a tea to me .,PD,GIVE,A,to
an aunt gave me a tea .,DO,GIVE,A,to
a brother gave a crystal to it .,PD,GIVE,A,to
a brother gave it a crystal .,DO,GIVE,A,to
a sheriff gave a juice to me .,PD,GIVE,A,to
a sheriff gave me a juice .,DO,GIVE,A,to
a scientist gave a pie to me .,PD,GIVE,A,to
a scientist gave me a pie .,DO,GIVE,A,to
a son gave a button to him .,PD,GIVE,A,to
a son gave him a button .,DO,GIVE,A,to
a reader gave a beer to you .,PD,GIVE,A,to
a reader gave you a beer .,DO,GIVE,A,to
a man gave a card to me .,PD,GIVE,A,to
a man gave me a card .,DO,GIVE,A,to
the manager gave the chicken to us .,PD,GIVE,THE,to
the manager gave us the chicken .,DO,GIVE,THE,to
the captain gave the coffee to us .,PD,GIVE,THE,to
the captain gave us the coffee .,DO,GIVE,THE,to
the father gave the hat to me .,PD,GIVE,THE,to
the father gave me the hat .,DO,GIVE,THE,to
the author gave the chocolate to them .,PD,GIVE,THE,to
the author gave them the chocolate .,DO,GIVE,THE,to
the boy gave the beer to them .,PD,GIVE,THE,to
the boy gave them the beer .,DO,GIVE,THE,to
the cousin gave the pie to us .,PD,GIVE,THE,to
the cousin gave us the pie .,DO,GIVE,THE,to
the chief gave the instrument to me .,PD,GIVE,THE,to
the chief gave me the instrument .,DO,GIVE,THE,to
the pilot gave the beer to me .,PD,GIVE,THE,to
the pilot gave me the beer .,DO,GIVE,THE,to
the singer gave the tea to her .,PD,GIVE,THE,to
the singer gave her the tea .,DO,GIVE,THE,to
the leader gave the log to me .,PD,GIVE,THE,to
the leader gave me the log .,DO,GIVE,THE,to
the attorney gave the machine to me .,PD,GIVE,THE,to
the attorney gave me the machine .,DO,GIVE,THE,to
the sheriff gave the anchor to it .,PD,GIVE,THE,to
the sheriff gave it the anchor .,DO,GIVE,THE,to
the mayor gave the juice to me .,PD,GIVE,THE,to
the mayor gave me the juice .,DO,GIVE,THE,to
the guy gave the meal to us .,PD,GIVE,THE,to
the guy gave us the meal .,DO,GIVE,THE,to
the actress gave the glass to it .,PD,GIVE,THE,to
the actress gave it the glass .,DO,GIVE,THE,to
the attorney gave the instrument to you .,PD,GIVE,THE,to
the attorney gave you the instrument .,DO,GIVE,THE,to
the priest gave the tea to us .,PD,GIVE,THE,to
the priest gave us the tea .,DO,GIVE,THE,to
the singer gave the juice to me .,PD,GIVE,THE,to
the singer gave me the juice .,DO,GIVE,THE,to
the son gave the glass to them .,PD,GIVE,THE,to
the son gave them the glass .,DO,GIVE,THE,to
the partner gave the salad to you .,PD,GIVE,THE,to
the partner gave you the salad .,DO,GIVE,THE,to
the kid gave the candy to him .,PD,GIVE,THE,to
the kid gave him the candy .,DO,GIVE,THE,to
the professor gave the card to them .,PD,GIVE,THE,to
the professor gave them the card .,DO,GIVE,THE,to
the candidate gave the bag to you .,PD,GIVE,THE,to
the candidate gave you the bag .,DO,GIVE,THE,to
the adult gave the coffee to me .,PD,GIVE,THE,to
the adult gave me the coffee .,DO,GIVE,THE,to
the worker gave the juice to him .,PD,GIVE,THE,to
the worker gave him the juice .,DO,GIVE,THE,to
a parent kept a juice for him .,PD,KEEP,A,for
a parent kept him a juice .,DO,KEEP,A,for
an employer kept a coffee for it .,PD,KEEP,A,for
an employer kept it a coffee .,DO,KEEP,A,for
a teacher kept a bell for us .,PD,KEEP,A,for
a teacher kept us a bell .,DO,KEEP,A,for
a writer kept a juice for us .,PD,KEEP,A,for
a writer kept us a juice .,DO,KEEP,A,for
a chief kept a salad for you .,PD,KEEP,A,for
a chief kept you a salad .,DO,KEEP,A,for
a king kept a salad for you .,PD,KEEP,A,for
a king kept you a salad .,DO,KEEP,A,for
a cop kept a bowl for us .,PD,KEEP,A,for
a cop kept us a bowl .,DO,KEEP,A,for
a prince kept a tea for me .,PD,KEEP,A,for
a prince kept me a tea .,DO,KEEP,A,for
a lawyer kept a juice for it .,PD,KEEP,A,for
a lawyer kept it a juice .,DO,KEEP,A,for
a brother kept a chicken for me .,PD,KEEP,A,for
a brother kept me a chicken .,DO,KEEP,A,for
a teacher kept a tea for it .,PD,KEEP,A,for
a teacher kept it a tea .,DO,KEEP,A,for
a cop kept a coffee for us .,PD,KEEP,A,for
a cop kept us a coffee .,DO,KEEP,A,for
a partner kept a meal for him .,PD,KEEP,A,for
a partner kept him a meal .,DO,KEEP,A,for
a president kept a chocolate for you .,PD,KEEP,A,for
a president kept you a chocolate .,DO,KEEP,A,for
a mayor kept a wire for us .,PD,KEEP,A,for
a mayor kept us a wire .,DO,KEEP,A,for
a lawyer kept a tea for you .,PD,KEEP,A,for
a lawyer kept you a tea .,DO,KEEP,A,for
a buddy kept a cheese for you .,PD,KEEP,A,for
a buddy kept you a cheese .,DO,KEEP,A,for
a colonel kept a plate for them .,PD,KEEP,A,for
a colonel kept them a plate .,DO,KEEP,A,for
a manager kept a beer for me .,PD,KEEP,A,for
a manager kept me a beer .,DO,KEEP,A,for
a winner kept a coat for him .,PD,KEEP,A,for
a winner kept him a coat .,DO,KEEP,A,for
a physician kept a card for us .,PD,KEEP,A,for
a physician kept us a card .,DO,KEEP,A,for
a buddy kept a juice for him .,PD,KEEP,A,for
a buddy kept him a juice .,DO,KEEP,A,for
a boy kept a book for me .,PD,KEEP,A,for
a boy kept me a book .,DO,KEEP,A,for
a woman kept a juice for you .,PD,KEEP,A,for
a woman kept you a juice .,DO,KEEP,A,for
a scientist kept a flower for us .,PD,KEEP,A,for
a scientist kept us a flower .,DO,KEEP,A,for
the actor kept the juice for them .,PD,KEEP,THE,for
the actor kept them the juice .,DO,KEEP,THE,for
the doctor kept the coffee for it .,PD,KEEP,THE,for
the doctor kept it the coffee .,DO,KEEP,THE,for
the brother kept the button for you .,PD,KEEP,THE,for
the brother kept you the button .,DO,KEEP,THE,for
the leader kept the beer for you .,PD,KEEP,THE,for
the leader kept you the beer .,DO,KEEP,THE,for
the writer kept the chocolate for you .,PD,KEEP,THE,for
the writer kept you the chocolate .,DO,KEEP,THE,for
the buddy kept the chicken for it .,PD,KEEP,THE,for
the buddy kept it the chicken .,DO,KEEP,THE,for
the woman kept the beer for us .,PD,KEEP,THE,for
the woman kept us the beer .,DO,KEEP,THE,for
the pilot kept the meal for him .,PD,KEEP,THE,for
the pilot kept him the meal .,DO,KEEP,THE,for
the child kept the gun for me .,PD,KEEP,THE,for
the child kept me the gun .,DO,KEEP,THE,for
the doctor kept the beer for them .,PD,KEEP,THE,for
the doctor kept them the beer .,DO,KEEP,THE,for
the priest kept the coffee for it .,PD,KEEP,THE,for
the priest kept it the coffee .,DO,KEEP,THE,for
the brother kept the wire for me .,PD,KEEP,THE,for
the brother kept me the wire .,DO,KEEP,THE,for
the adult kept the pie for it .,PD,KEEP,THE,for
the adult kept it the pie .,DO,KEEP,THE,for
the king kept the cheese for me .,PD,KEEP,THE,for
the king kept me the cheese .,DO,KEEP,THE,for
the husband kept the salad for you .,PD,KEEP,THE,for
the husband kept you the salad .,DO,KEEP,THE,for
the scientist kept the chicken for it .,PD,KEEP,THE,for
the scientist kept it the chicken .,DO,KEEP,THE,for
the attorney kept the cheese for me .,PD,KEEP,THE,for
the attorney kept me the cheese .,DO,KEEP,THE,for
the hero kept the chicken for me .,PD,KEEP,THE,for
the hero kept me the chicken .,DO,KEEP,THE,for
the sheriff kept the plate for you .,PD,KEEP,THE,for
the sheriff kept you the plate .,DO,KEEP,THE,for
the bishop kept the card for him .,PD,KEEP,THE,for
the bishop kept him the card .,DO,KEEP,THE,for
the wife kept the chicken for you .,PD,KEEP,THE,for
the wife kept you the chicken .,DO,KEEP,THE,for
the singer kept the button for them .,PD,KEEP,THE,for
the singer kept them the button .,DO,KEEP,THE,for
