text,structure,verb,det,prep
an employer brought an attorney a tea .,DO,BRING,A,to
the husband brought the newspaper to the candidate .,PD,BRING,THE,to
the husband brought the candidate the newspaper .,DO,BRING,THE,to
the secretary brought the beer to the soldier .,PD,BRING,THE,to
the secretary brought the soldier the beer .,DO,BRING,THE,to
the champion brought the hat to the guy .,PD,BRING,THE,to
the champion brought the guy the hat .,DO,BRING,THE,to
the parent brought the chocolate to the buddy .,PD,BRING,THE,to
the parent brought the buddy the chocolate .,DO,BRING,THE,to
the secretary brought the juice to the corporation .,PD,BRING,THE,to
the secretary brought the corporation the juice .,DO,BRING,THE,to
the pilot brought the pie to the band .,PD,BRING,THE,to
the pilot brought the band the pie .,DO,BRING,THE,to
the mother brought the plate to the club .,PD,BRING,THE,to
the mother brought the club the plate .,DO,BRING,THE,to
the mother brought the coffee to the buddy .,PD,BRING,THE,to
the mother brought the buddy the coffee .,DO,BRING,THE,to
the author brought the guitar to the company .,PD,BRING,THE,to
the author brought the company the guitar .,DO,BRING,THE,to
the guy brought the iron to the author .,PD,BRING,THE,to
the guy brought the author the iron .,DO,BRING,THE,to
the employee brought the television to the doctor .,PD,BRING,THE,to
the employee brought the doctor the television .,DO,BRING,THE,to
the lady brought the key to the club .,PD,BRING,THE,to
the lady brought the club the key .,DO,BRING,THE,to
the professor brought the meal to the kid .,PD,BRING,THE,to
the professor brought the kid the meal .,DO,BRING,THE,to
the bishop brought the pie to the club .,PD,BRING,THE,to
the bishop brought the club the pie .,DO,BRING,THE,to
the lawyer brought the newspaper to the corporation .,PD,BRING,THE,to
the lawyer brought the corporation the newspaper .,DO,BRING,THE,to
the lady brought the cigarette to the administration .,PD,BRING,THE,to
the lady brought the administration the cigarette .,DO,BRING,THE,to
the worker brought the pie to the corporation .,PD,BRING,THE,to
the worker brought the corporation the pie .,DO,BRING,THE,to
the worker brought the coffee to the club .,PD,BRING,THE,to
the worker brought the club the coffee .,DO,BRING,THE,to
the actor brought the glass to the aunt .,PD,BRING,THE,to
the actor brought the aunt the glass .,DO,BRING,THE,to
the mayor brought the key to the actress .,PD,BRING,THE,to
the mayor brought the actress the key .,DO,BRING,THE,to
the guy brought the beer to the business .,PD,BRING,THE,to
the guy brought the business the beer .,DO,BRING,THE,to
the husband brought the beer to the business .,PD,BRING,THE,to
the husband brought the business the beer .,DO,BRING,THE,to
the parent brought the beer to the king .,PD,BRING,THE,to
the parent brought the king the beer .,DO,BRING,THE,to
the secretary brought the chocolate to the soldier .,PD,BRING,THE,to
the secretary brought the soldier the chocolate .,DO,BRING,THE,to
the priest brought the pot to the partner .,PD,BRING,THE,to
the priest brought the partner the pot .,DO,BRING,THE,to
a sheriff drew a knife for an administration .,PD,DRAW,A,for
a sheriff drew an administration a knife .,DO,DRAW,A,for
an uncle drew a card for a corporation .,PD,DRAW,A,for
an uncle drew a corporation a card .,DO,DRAW,A,for
a prince drew a wire for a man .,PD,DRAW,A,for
a prince drew a man a wire .,DO,DRAW,A,for
a writer drew a motor for a professor .,PD,DRAW,A,for
a writer drew a professor a motor .,DO,DRAW,A,for
an opponent drew a card for a band .,PD,DRAW,A,for
an opponent drew a band a card .,DO,DRAW,A,for
a nurse drew a bell for a corporation .,PD,DRAW,A,for
a nurse drew a corporation a bell .,DO,DRAW,A,for
a mother drew a crystal for a colonel .,PD,DRAW,A,for
a mother drew a colonel a crystal .,DO,DRAW,A,for
a champion drew a bottle for a band .,PD,DRAW,A,for
a champion drew a band a bottle .,DO,DRAW,A,for
a mother drew an iron for a corporation .,PD,DRAW,A,for
a mother drew a corporation an iron .,DO,DRAW,A,for
a priest drew a key for a company .,PD,DRAW,A,for
a priest drew a company a key .,DO,DRAW,A,for
a brother drew a jacket for a business .,PD,DRAW,A,for
a brother drew a business a jacket .,DO,DRAW,A,for
a candidate drew a flower for a student .,PD,DRAW,A,for
a candidate drew a student a flower .,DO,DRAW,A,for
a reader drew a gun for an employer .,PD,DRAW,A,for
a reader drew an employer a gun .,DO,DRAW,A,for
a chief drew a telephone for an army .,PD,DRAW,A,for
a chief drew an army a telephone .,DO,DRAW,A,for
a worker drew a log for a company .,PD,DRAW,A,for
a worker drew a company a log .,DO,DRAW,A,for
a cousin drew a crystal for a band .,PD,DRAW,A,for
a cousin drew a band a crystal .,DO,DRAW,A,for
a nurse drew a newspaper for a business .,PD,DRAW,A,for
a nurse drew a business a newspaper .,DO,DRAW,A,for
a woman drew a bag for a cousin .,PD,DRAW,A,for
a woman drew a cousin a bag .,DO,DRAW,A,for
a nurse drew a knife for an administration .,PD,DRAW,A,for
a nurse drew an administration a knife .,DO,DRAW,A,for
a man drew a card for an attorney .,PD,DRAW,A,for
a man drew an attorney a card .,DO,DRAW,A,for
a winner drew a computer for an employee .,PD,DRAW,A,for
a winner drew an employee a computer .,DO,DRAW,A,for
a parent drew an instrument for an army .,PD,DRAW,A,for
a parent drew an army an instrument .,DO,DRAW,A,for
a colonel drew a bag for a corporation .,PD,DRAW,A,for
a colonel drew a corporation a bag .,DO,DRAW,A,for
a worker drew an engine for a business .,PD,DRAW,A,for
a worker drew a business an engine .,DO,DRAW,A,for
a cousin drew a camera for an army .,PD,DRAW,A,for
a cousin drew an army a camera .,DO,DRAW,A,for
the friend drew the log for the professor .,PD,DRAW,THE,for
the friend drew the professor the log .,DO,DRAW,THE,for
the attorney drew the telephone for the company .,PD,DRAW,THE,for
the attorney drew the company the telephone .,DO,DRAW,THE,for
the leader drew the telephone for the company .,PD,DRAW,THE,for
the leader drew the company the telephone .,DO,DRAW,THE,for
the girl drew the instrument for the administration .,PD,DRAW,THE,for
the girl drew the administration the instrument .,DO,DRAW,THE,for
the employer drew the telephone for the actress .,PD,DRAW,THE,for
the employer drew the actress the telephone .,DO,DRAW,THE,for
the hero drew the machine for the corporation .,PD,DRAW,THE,for
the hero drew the corporation the machine .,DO,DRAW,THE,for
the father drew the bell for the employer .,PD,DRAW,THE,for
the father drew the employer the bell .,DO,DRAW,THE,for
the guy drew the iron for the champion .,PD,DRAW,THE,for
the guy drew the champion the iron .,DO,DRAW,THE,for
the bishop drew the bell for the student .,PD,DRAW,THE,for
the bishop drew the student the bell .,DO,DRAW,THE,for
the nurse drew the log for the physician .,PD,DRAW,THE,for
the nurse drew the physician the log .,DO,DRAW,THE,for
the champion drew the knife for the uncle .,PD,DRAW,THE,for
the champion drew the uncle the knife .,DO,DRAW,THE,for
the captain drew the guitar for the corporation .,PD,DRAW,THE,for
the captain drew the corporation the guitar .,DO,DRAW,THE,for
the father drew the card for the guy .,PD,DRAW,THE,for
the father drew the guy the card .,DO,DRAW,THE,for
the employee drew the motor for the son .,PD,DRAW,THE,for
the employee drew the son the motor .,DO,DRAW,THE,for
the adult drew the bell for the singer .,PD,DRAW,THE,for
the adult drew the singer the bell .,DO,DRAW,THE,for
the scientist drew the telephone for the band .,PD,DRAW,THE,for
the scientist drew the band the telephone .,DO,DRAW,THE,for
the physician drew the bottle for the band .,PD,DRAW,THE,for
the physician drew the band the bottle .,DO,DRAW,THE,for
the lawyer drew the flower for the adult .,PD,DRAW,THE,for
the lawyer drew the adult the flower .,DO,DRAW,THE,for
the man drew the coat for the band .,PD,DRAW,THE,for
the man drew the band the coat .,DO,DRAW,THE,for
the lady drew the telephone for the partner .,PD,DRAW,THE,for
the lady drew the partner the telephone .,DO,DRAW,THE,for
the nurse drew the anchor for the business .,PD,DRAW,THE,for
the nurse drew the business the anchor .,DO,DRAW,THE,for
the princess drew the telephone for the company .,PD,DRAW,THE,for
the princess drew the company the telephone .,DO,DRAW,THE,for
the cousin drew the log for the administration .,PD,DRAW,THE,for
the cousin drew the administration the log .,DO,DRAW,THE,for
the soldier drew the crystal for the lawyer .,PD,DRAW,THE,for
the soldier drew the lawyer the crystal .,DO,DRAW,THE,for
the guy drew the newspaper for the administration .,PD,DRAW,THE,for
the guy drew the administration the newspaper .,DO,DRAW,THE,for
a reader found a key for a chief .,PD,FIND,A,for
a reader found a chief a key .,DO,FIND,A,for
a husband found a salad for a company .,PD,FIND,A,for
a husband found a company a salad .,DO,FIND,A,for
a colonel found a meal for a mayor .,PD,FIND,A,for
a colonel found a mayor a meal .,DO,FIND,A,for
a son found a computer for a candidate .,PD,FIND,A,for
a son found a candidate a computer .,DO,FIND,A,for
a guy found a beer for a company .,PD,FIND,A,for
a guy found a company a beer .,DO,FIND,A,for
a sheriff found a tea for a guy .,PD,FIND,A,for
a sheriff found a guy a tea .,DO,FIND,A,for
a champion found a beer for a band .,PD,FIND,A,for
a champion found a band a beer .,DO,FIND,A,for
a scientist found a coffee for a daughter .,PD,FIND,A,for
a scientist found a daughter a coffee .,DO,FIND,A,for
a writer found an engine for a business .,PD,FIND,A,for
a writer found a business an engine .,DO,FIND,A,for
a reader found a cheese for a company .,PD,FIND,A,for
a reader found a company a cheese .,DO,FIND,A,for
a sheriff found a glass for an army .,PD,FIND,A,for
a sheriff found an army a glass .,DO,FIND,A,for
an author found a coffee for a band .,PD,FIND,A,for
an author found a band a coffee .,DO,FIND,A,for
a friend found a tea for a teacher .,PD,FIND,A,for
a friend found a teacher a tea .,DO,FIND,A,for
a chief found a chocolate for a boy .,PD,FIND,A,for
a chief found a boy a chocolate .,DO,FIND,A,for
a scientist found a cheese for a club .,PD,FIND,A,for
a scientist found a club a cheese .,DO,FIND,A,for
a singer found a pie for a manager .,PD,FIND,A,for
a singer found a manager a pie .,DO,FIND,A,for
a mother found a chocolate for an army .,PD,FIND,A,for
a mother found an army a chocolate .,DO,FIND,A,for
a brother found a motor for an army .,PD,FIND,A,for
a brother found an army a motor .,DO,FIND,A,for
a doctor found a candy for an administration .,PD,FIND,A,for
a doctor found an administration a candy .,DO,FIND,A,for
a pilot found a wire for a club .,PD,FIND,A,for
a pilot found a club a wire .,DO,FIND,A,for
an adult found a salad for a band .,PD,FIND,A,for
an adult found a band a salad .,DO,FIND,A,for
a parent found a candy for a son .,PD,FIND,A,for
a parent found a son a candy .,DO,FIND,A,for
a buddy found a jacket for a mother .,PD,FIND,A,for
a buddy found a mother a jacket .,DO,FIND,A,for
a priest found a coffee for a band .,PD,FIND,A,for
a priest found a band a coffee .,DO,FIND,A,for
a husband found a card for an army .,PD,FIND,A,for
a husband found an army a card .,DO,FIND,A,for
the king found the juice for the company .,PD,FIND,THE,for
the king found the company the juice .,DO,FIND,THE,for
the pilot found the box for the king .,PD,FIND,THE,for
the pilot found the king the box .,DO,FIND,THE,for
the reader found the tea for the buddy .,PD,FIND,THE,for
the reader found the buddy the tea .,DO,FIND,THE,for
the leader found the tea for the husband .,PD,FIND,THE,for
the leader found the husband the tea .,DO,FIND,THE,for
the student found the hat for the corporation .,PD,FIND,THE,for
the student found the corporation the hat .,DO,FIND,THE,for
the lawyer found the juice for the secretary .,PD,FIND,THE,for
the lawyer found the secretary the juice .,DO,FIND,THE,for
the singer found the coffee for the uncle .,PD,FIND,THE,for
the singer found the uncle the coffee .,DO,FIND,THE,for
the daughter found the cup for the winner .,PD,FIND,THE,for
the daughter found the winner the cup .,DO,FIND,THE,for
the bishop found the juice for the corporation .,PD,FIND,THE,for
the bishop found the corporation the juice .,DO,FIND,THE,for
the hero found the flower for the adult .,PD,FIND,THE,for
the hero found the adult the flower .,DO,FIND,THE,for
the daughter found the meal for the president .,PD,FIND,THE,for
the daughter found the president the meal .,DO,FIND,THE,for
the cop found the pie for the chief .,PD,FIND,THE,for
the cop found the chief the pie .,DO,FIND,THE,for
the king found the guitar for the business .,PD,FIND,THE,for
the king found the business the guitar .,DO,FIND,THE,for
the singer found the log for the secretary .,PD,FIND,THE,for
the singer found the secretary the log .,DO,FIND,THE,for
the woman found the tea for the army .,PD,FIND,THE,for
the woman found the army the tea .,DO,FIND,THE,for
the reader found the wire for the opponent .,PD,FIND,THE,for
the reader found the opponent the wire .,DO,FIND,THE,for
the author found the ball for the army .,PD,FIND,THE,for
the author found the army the ball .,DO,FIND,THE,for
the teacher found the instrument for the army .,PD,FIND,THE,for
the teacher found the army the instrument .,DO,FIND,THE,for
the professor found the candy for the business .,PD,FIND,THE,for
the professor found the business the candy .,DO,FIND,THE,for
the employer found the tea for the corporation .,PD,FIND,THE,for
the employer found the corporation the tea .,DO,FIND,THE,for
the partner found the tea for the teacher .,PD,FIND,THE,for
the partner found the teacher the tea .,DO,FIND,THE,for
the actress found the tea for the band .,PD,FIND,THE,for
the actress found the band the tea .,DO,FIND,THE,for
the reader found the candy for the club .,PD,FIND,THE,for
the reader found the club the candy .,DO,FIND,THE,for
the actress found the instrument for the professor .,PD,FIND,THE,for
the actress found the professor the instrument .,DO,FIND,THE,for
the champion found the camera for the employer .,PD,FIND,THE,for
the champion found the employer the camera .,DO,FIND,THE,for
an employer got a book for a business .,PD,GET,A,for
an employer got a business a book .,DO,GET,A,for
a winner got a bag for a manager .,PD,GET,A,for
a winner got a manager a bag .,DO,GET,A,for
an employer got a meal for a pilot .,PD,GET,A,for
an employer got a pilot a meal .,DO,GET,A,for
a guest got a juice for an army .,PD,GET,A,for
a guest got an army a juice .,DO,GET,A,for
a leader got a salad for a king .,PD,GET,A,for
a leader got a king a salad .,DO,GET,A,for
a buddy got a cup for an army .,PD,GET,A,for
a buddy got an army a cup .,DO,GET,A,for
a cousin got a cheese for a guest .,PD,GET,A,for
a cousin got a guest a cheese .,DO,GET,A,for
an employer got a beer for a wife .,PD,GET,A,for
an employer got a wife a beer .,DO,GET,A,for
a buddy got a beer for a winner .,PD,GET,A,for
a buddy got a winner a beer .,DO,GET,A,for
an attorney got a beer for an employer .,PD,GET,A,for
an attorney got an employer a beer .,DO,GET,A,for
a manager got a beer for a child .,PD,GET,A,for
a manager got a child a beer .,DO,GET,A,for
a lady got a crystal for an administration .,PD,GET,A,for
a lady got an administration a crystal .,DO,GET,A,for
a father got a pie for a club .,PD,GET,A,for
a father got a club a pie .,DO,GET,A,for
a sheriff got a chicken for a corporation .,PD,GET,A,for
a sheriff got a corporation a chicken .,DO,GET,A,for
a secretary got a pie for a lady .,PD,GET,A,for
a secretary got a lady a pie .,DO,GET,A,for
a hero got a tea for a captain .,PD,GET,A,for
a hero got a captain a tea .,DO,GET,A,for
a physician got a meal for a corporation .,PD,GET,A,for
a physician got a corporation a meal .,DO,GET,A,for
a winner got a pie for an army .,PD,GET,A,for
a winner got an army a pie .,DO,GET,A,for
a doctor got a key for a company .,PD,GET,A,for
a doctor got a company a key .,DO,GET,A,for
a guy got a flower for an employer .,PD,GET,A,for
a guy got an employer a flower .,DO,GET,A,for
a princess got a candy for a club .,PD,GET,A,for
a princess got a club a candy .,DO,GET,A,for
a minister got a log for a hero .,PD,GET,A,for
a minister got a hero a log .,DO,GET,A,for
an opponent got an engine for a nurse .,PD,GET,A,for
an opponent got a nurse an engine .,DO,GET,A,for
a colonel got a meal for an army .,PD,GET,A,for
a colonel got an army a meal .,DO,GET,A,for
a teacher got a salad for an author .,PD,GET,A,for
a teacher got an author a salad .,DO,GET,A,for
the champion got the pie for the bishop .,PD,GET,THE,for
the champion got the bishop the pie .,DO,GET,THE,for
the guy got the chicken for the aunt .,PD,GET,THE,for
the guy got the aunt the chicken .,DO,GET,THE,for
the child got the pie for the business .,PD,GET,THE,for
the child got the business the pie .,DO,GET,THE,for
the professor got the cheese for the administration .,PD,GET,THE,for
the professor got the administration the cheese .,DO,GET,THE,for
the kid got the tea for the cousin .,PD,GET,THE,for
the kid got the cousin the tea .,DO,GET,THE,for
the chief got the juice for the son .,PD,GET,THE,for
the chief got the son the juice .,DO,GET,THE,for
the candidate got the beer for the attorney .,PD,GET,THE,for
the candidate got the attorney the beer .,DO,GET,THE,for
the king got the candy for the company .,PD,GET,THE,for
the king got the company the candy .,DO,GET,THE,for
the physician got the tea for the student .,PD,GET,THE,for
the physician got the student the tea .,DO,GET,THE,for
the wife got the key for the lawyer .,PD,GET,THE,for
the wife got the lawyer the key .,DO,GET,THE,for
the student got the pie for the aunt .,PD,GET,THE,for
the student got the aunt the pie .,DO,GET,THE,for
the brother got the guitar for the army .,PD,GET,THE,for
the brother got the army the guitar .,DO,GET,THE,for
the woman got the motor for the club .,PD,GET,THE,for
the woman got the club the motor .,DO,GET,THE,for
the woman got the pie for the administration .,PD,GET,THE,for
the woman got the administration the pie .,DO,GET,THE,for
the actor got the bag for the business .,PD,GET,THE,for
the actor got the business the bag .,DO,GET,THE,for
the nurse got the beer for the army .,PD,GET,THE,for
the nurse got the army the beer .,DO,GET,THE,for
the husband got the cigarette for the bishop .,PD,GET,THE,for
the husband got the bishop the cigarette .,DO,GET,THE,for
the lawyer got the salad for the bishop .,PD,GET,THE,for
the lawyer got the bishop the salad .,DO,GET,THE,for
the worker got the cheese for the girl .,PD,GET,THE,for
the worker got the girl the cheese .,DO,GET,THE,for
the soldier got the log for the army .,PD,GET,THE,for
the soldier got the army the log .,DO,GET,THE,for
the doctor got the meal for the administration .,PD,GET,THE,for
the doctor got the administration the meal .,DO,GET,THE,for
the wife got the chicken for the child .,PD,GET,THE,for
the wife got the child the chicken .,DO,GET,THE,for
the doctor got the juice for the winner .,PD,GET,THE,for
the doctor got the winner the juice .,DO,GET,THE,for
the president got the beer for the prince .,PD,GET,THE,for
the president got the prince the beer .,DO,GET,THE,for
the worker got the beer for the business .,PD,GET,THE,for
the worker got the business the beer .,DO,GET,THE,for
a brother gave a candy to an attorney .,PD,GIVE,A,to
a brother gave an attorney a candy .,DO,GIVE,A,to
an actress gave a bell to a business .,PD,GIVE,A,to
an actress gave a business a bell .,DO,GIVE,A,to
a soldier gave a machine to a king .,PD,GIVE,A,to
a soldier gave a king a machine .,DO,GIVE,A,to
a candidate gave a juice to a business .,PD,GIVE,A,to
a candidate gave a business a juice .,DO,GIVE,A,to
a guest gave a chocolate to a band .,PD,GIVE,A,to
a guest gave a band a chocolate .,DO,GIVE,A,to
a doctor gave a meal to a corporation .,PD,GIVE,A,to
a doctor gave a corporation a meal .,DO,GIVE,A,to
a nurse gave a juice to a physician .,PD,GIVE,A,to
a nurse gave a physician a juice .,DO,GIVE,A,to
a secretary gave a tea to a business .,PD,GIVE,A,to
a secretary gave a business a tea .,DO,GIVE,A,to
a boy gave a meal to an army .,PD,GIVE,A,to
a boy gave an army a meal .,DO,GIVE,A,to
a guest gave a candy to a business .,PD,GIVE,A,to
a guest gave a business a candy .,DO,GIVE,A,to
a buddy gave a bag to an author .,PD,GIVE,A,to
a buddy gave an author a bag .,DO,GIVE,A,to
a manager gave a guitar to an army .,PD,GIVE,A,to
a manager gave an army a guitar .,DO,GIVE,A,to
a bishop gave a juice to an army .,PD,GIVE,A,to
a bishop gave an army a juice .,DO,GIVE,A,to
a partner gave a cigarette to a winner .,PD,GIVE,A,to
a partner gave a winner a cigarette .,DO,GIVE,A,to
a winner gave a candy to a club .,PD,GIVE,A,to
a winner gave a club a candy .,DO,GIVE,A,to
a soldier gave a wire to an administration .,PD,GIVE,A,to
a soldier gave an administration a wire .,DO,GIVE,A,to
a soldier gave a pie to an army .,PD,GIVE,A,to
a soldier gave an army a pie .,DO,GIVE,A,to
a parent gave a tea to a king .,PD,GIVE,A,to
a parent gave a king a tea .,DO,GIVE,A,to
an aunt gave a tea to a corporation .,PD,GIVE,A,to
an aunt gave a corporation a tea .,DO,GIVE,A,to
a brother gave a crystal to an army .,PD,GIVE,A,to
a brother gave an army a crystal .,DO,GIVE,A,to
a sheriff gave a juice to a physician .,PD,GIVE,A,to
a sheriff gave a physician a juice .,DO,GIVE,A,to
a scientist gave a pie to a soldier .,PD,GIVE,A,to
a scientist gave a soldier a pie .,DO,GIVE,A,to
a son gave a button to a parent .,PD,GIVE,A,to
a son gave a parent a button .,DO,GIVE,A,to
a reader gave a beer to an army .,PD,GIVE,A,to
a reader gave an army a beer .,DO,GIVE,A,to
a man gave a card to an opponent .,PD,GIVE,A,to
a man gave an opponent a card .,DO,GIVE,A,to
the manager gave the chicken to the candidate .,PD,GIVE,THE,to
the manager gave the candidate the chicken .,DO,GIVE,THE,to
the captain gave the coffee to the brother .,PD,GIVE,THE,to
the captain gave the brother the coffee .,DO,GIVE,THE,to
the father gave the hat to the business .,PD,GIVE,THE,to
the father gave the business the hat .,DO,GIVE,THE,to
the author gave the chocolate to the wife .,PD,GIVE,THE,to
the author gave the wife the chocolate .,DO,GIVE,THE,to
the boy gave the beer to the corporation .,PD,GIVE,THE,to
the boy gave the corporation the beer .,DO,GIVE,THE,to
the cousin gave the pie to the author .,PD,GIVE,THE,to
the cousin gave the author the pie .,DO,GIVE,THE,to
the chief gave the instrument to the author .,PD,GIVE,THE,to
the chief gave the author the instrument .,DO,GIVE,THE,to
the pilot gave the beer to the business .,PD,GIVE,THE,to
the pilot gave the business the beer .,DO,GIVE,THE,to
the singer gave the tea to the student .,PD,GIVE,THE,to
the singer gave the student the tea .,DO,GIVE,THE,to
the leader gave the log to the corporation .,PD,GIVE,THE,to
the leader gave the corporation the log .,DO,GIVE,THE,to
the attorney gave the machine to the writer .,PD,GIVE,THE,to
the attorney gave the writer the machine .,DO,GIVE,THE,to
the sheriff gave the anchor to the colonel .,PD,GIVE,THE,to
the sheriff gave the colonel the anchor .,DO,GIVE,THE,to
the mayor gave the juice to the boy .,PD,GIVE,THE,to
the mayor gave the boy the juice .,DO,GIVE,THE,to
the guy gave the meal to the child .,PD,GIVE,THE,to
the guy gave the child the meal .,DO,GIVE,THE,to
the actress gave the glass to the company .,PD,GIVE,THE,to
the actress gave the company the glass .,DO,GIVE,THE,to
the attorney gave the instrument to the partner .,PD,GIVE,THE,to
the attorney gave the partner the instrument .,DO,GIVE,THE,to
the priest gave the tea to the band .,PD,GIVE,THE,to
the priest gave the band the tea .,DO,GIVE,THE,to
the singer gave the juice to the business .,PD,GIVE,THE,to
the singer gave the business the juice .,DO,GIVE,THE,to
the son gave the glass to the daughter .,PD,GIVE,THE,to
the son gave the daughter the glass .,DO,GIVE,THE,to
the partner gave the salad to the corporation .,PD,GIVE,THE,to
the partner gave the corporation the salad .,DO,GIVE,THE,to
the kid gave the candy to the company .,PD,GIVE,THE,to
the kid gave the company the candy .,DO,GIVE,THE,to
the professor gave the card to the club .,PD,GIVE,THE,to
the professor gave the club the card .,DO,GIVE,THE,to
the candidate gave the bag to the administration .,PD,GIVE,THE,to
the candidate gave the administration the bag .,DO,GIVE,THE,to
the adult gave the coffee to the woman .,PD,GIVE,THE,to
the adult gave the woman the coffee .,DO,GIVE,THE,to
the worker gave the juice to the student .,PD,GIVE,THE,to
the worker gave the student the juice .,DO,GIVE,THE,to
a parent kept a juice for a mother .,PD,KEEP,A,for
a parent kept a mother a juice .,DO,KEEP,A,for
an employer kept a coffee for a band .,PD,KEEP,A,for
an employer kept a band a coffee .,DO,KEEP,A,for
a teacher kept a bell for a buddy .,PD,KEEP,A,for
a teacher kept a buddy a bell .,DO,KEEP,A,for
a writer kept a juice for an administration .,PD,KEEP,A,for
a writer kept an administration a juice .,DO,KEEP,A,for
a chief kept a salad for an administration .,PD,KEEP,A,for
a chief kept an administration a salad .,DO,KEEP,A,for
a king kept a salad for a corporation .,PD,KEEP,A,for
a king kept a corporation a salad .,DO,KEEP,A,for
a cop kept a bowl for an aunt .,PD,KEEP,A,for
a cop kept an aunt a bowl .,DO,KEEP,A,for
a prince kept a tea for a soldier .,PD,KEEP,A,for
a prince kept a soldier a tea .,DO,KEEP,A,for
a lawyer kept a juice for a business .,PD,KEEP,A,for
a lawyer kept a business a juice .,DO,KEEP,A,for
a brother kept a chicken for a company .,PD,KEEP,A,for
a brother kept a company a chicken .,DO,KEEP,A,for
a teacher kept a tea for a manager .,PD,KEEP,A,for
a teacher kept a manager a tea .,DO,KEEP,A,for
a cop kept a coffee for a company .,PD,KEEP,A,for
a cop kept a company a coffee .,DO,KEEP,A,for
a partner kept a meal for an army .,PD,KEEP,A,for
a partner kept an army a meal .,DO,KEEP,A,for
a president kept a chocolate for a business .,PD,KEEP,A,for
a president kept a business a chocolate .,DO,KEEP,A,for
a mayor kept a wire for a business .,PD,KEEP,A,for
a mayor kept a business a wire .,DO,KEEP,A,for
a lawyer kept a tea for an army .,PD,KEEP,A,for
a lawyer kept an army a tea .,DO,KEEP,A,for
a buddy kept a cheese for a cousin .,PD,KEEP,A,for
a buddy kept a cousin a cheese .,DO,KEEP,A,for
a colonel kept a plate for a corporation .,PD,KEEP,A,for
a colonel kept a corporation a plate .,DO,KEEP,A,for
a manager kept a beer for a band .,PD,KEEP,A,for
a manager kept a band a beer .,DO,KEEP,A,for
a winner kept a coat for a daughter .,PD,KEEP,A,for
a winner kept a daughter a coat .,DO,KEEP,A,for
a physician kept a card for a man .,PD,KEEP,A,for
a physician kept a man a card .,DO,KEEP,A,for
a buddy kept a juice for a club .,PD,KEEP,A,for
a buddy kept a club a juice .,DO,KEEP,A,for
a boy kept a book for a teacher .,PD,KEEP,A,for
a boy kept a teacher a book .,DO,KEEP,A,for
a woman kept a juice for a corporation .,PD,KEEP,A,for
a woman kept a corporation a juice .,DO,KEEP,A,for
a scientist kept a flower for a corporation .,PD,KEEP,A,for
a scientist kept a corporation a flower .,DO,KEEP,A,for
the actor kept the juice for the aunt .,PD,KEEP,THE,for
the actor kept the aunt the juice .,DO,KEEP,THE,for
the doctor kept the coffee for the writer .,PD,KEEP,THE,for
the doctor kept the writer the coffee .,DO,KEEP,THE,for
