prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep
the employee drew it the button .,a colonel brought me a television .,DO,DO,DRAW,BRING,THE,A,for,to
the employee drew the glass for us .,a teacher brought an engine to him .,PD,PD,DRAW,BRING,THE,A,for,to
the employee drew the glass for us .,a teacher brought him an engine .,PD,DO,DRAW,BRING,THE,A,for,to
the employee drew us the glass .,a teacher brought an engine to him .,DO,PD,DRAW,BRING,THE,A,for,to
the employee drew us the glass .,a teacher brought him an engine .,DO,DO,DRAW,BRING,THE,A,for,to
the student drew the cup for her .,a mayor brought an instrument to them .,PD,PD,DRAW,BRING,THE,A,for,to
the student drew the cup for her .,a mayor brought them an instrument .,PD,DO,DRAW,BRING,THE,A,for,to
the student drew her the cup .,a mayor brought an instrument to them .,DO,PD,DRAW,BRING,THE,A,for,to
the student drew her the cup .,a mayor brought them an instrument .,DO,DO,DRAW,BRING,THE,A,for,to
the princess drew the plate for her .,a colonel brought a tea to you .,PD,PD,DRAW,BRING,THE,A,for,to
the princess drew the plate for her .,a colonel brought you a tea .,PD,DO,DRAW,BRING,THE,A,for,to
the princess drew her the plate .,a colonel brought a tea to you .,DO,PD,DRAW,BRING,THE,A,for,to
the princess drew her the plate .,a colonel brought you a tea .,DO,DO,DRAW,BRING,THE,A,for,to
the actress drew the card for you .,an aunt brought a jacket to him .,PD,PD,DRAW,BRING,THE,A,for,to
the actress drew the card for you .,an aunt brought him a jacket .,PD,DO,DRAW,BRING,THE,A,for,to
the actress drew you the card .,an aunt brought a jacket to him .,DO,PD,DRAW,BRING,THE,A,for,to
the actress drew you the card .,an aunt brought him a jacket .,DO,DO,DRAW,BRING,THE,A,for,to
the mother drew the flower for him .,a hero brought a chocolate to it .,PD,PD,DRAW,BRING,THE,A,for,to
the mother drew the flower for him .,a hero brought it a chocolate .,PD,DO,DRAW,BRING,THE,A,for,to
the mother drew him the flower .,a hero brought a chocolate to it .,DO,PD,DRAW,BRING,THE,A,for,to
the mother drew him the flower .,a hero brought it a chocolate .,DO,DO,DRAW,BRING,THE,A,for,to
the president drew the iron for you .,a soldier brought a cup to us .,PD,PD,DRAW,BRING,THE,A,for,to
the president drew the iron for you .,a soldier brought us a cup .,PD,DO,DRAW,BRING,THE,A,for,to
the president drew you the iron .,a soldier brought a cup to us .,DO,PD,DRAW,BRING,THE,A,for,to
the president drew you the iron .,a soldier brought us a cup .,DO,DO,DRAW,BRING,THE,A,for,to
the mother drew the crystal for them .,an employee brought a camera to you .,PD,PD,DRAW,BRING,THE,A,for,to
the mother drew the crystal for them .,an employee brought you a camera .,PD,DO,DRAW,BRING,THE,A,for,to
the mother drew them the crystal .,an employee brought a camera to you .,DO,PD,DRAW,BRING,THE,A,for,to
the mother drew them the crystal .,an employee brought you a camera .,DO,DO,DRAW,BRING,THE,A,for,to
the guest drew the guitar for them .,a parent brought a meal to us .,PD,PD,DRAW,BRING,THE,A,for,to
the guest drew the guitar for them .,a parent brought us a meal .,PD,DO,DRAW,BRING,THE,A,for,to
the guest drew them the guitar .,a parent brought a meal to us .,DO,PD,DRAW,BRING,THE,A,for,to
the guest drew them the guitar .,a parent brought us a meal .,DO,DO,DRAW,BRING,THE,A,for,to
the chief drew the newspaper for it .,a prince brought a motor to us .,PD,PD,DRAW,BRING,THE,A,for,to
the chief drew the newspaper for it .,a prince brought us a motor .,PD,DO,DRAW,BRING,THE,A,for,to
the chief drew it the newspaper .,a prince brought a motor to us .,DO,PD,DRAW,BRING,THE,A,for,to
the chief drew it the newspaper .,a prince brought us a motor .,DO,DO,DRAW,BRING,THE,A,for,to
the employee drew the engine for us .,a colonel brought a bottle to you .,PD,PD,DRAW,BRING,THE,A,for,to
the employee drew the engine for us .,a colonel brought you a bottle .,PD,DO,DRAW,BRING,THE,A,for,to
the employee drew us the engine .,a colonel brought a bottle to you .,DO,PD,DRAW,BRING,THE,A,for,to
the employee drew us the engine .,a colonel brought you a bottle .,DO,DO,DRAW,BRING,THE,A,for,to
the husband drew the button for me .,a professor brought a tea to them .,PD,PD,DRAW,BRING,THE,A,for,to
the husband drew the button for me .,a professor brought them a tea .,PD,DO,DRAW,BRING,THE,A,for,to
the husband drew me the button .,a professor brought a tea to them .,DO,PD,DRAW,BRING,THE,A,for,to
the husband drew me the button .,a professor brought them a tea .,DO,DO,DRAW,BRING,THE,A,for,to
the secretary drew the card for you .,a soldier brought a telephone to me .,PD,PD,DRAW,BRING,THE,A,for,to
the secretary drew the card for you .,a soldier brought me a telephone .,PD,DO,DRAW,BRING,THE,A,for,to
the secretary drew you the card .,a soldier brought a telephone to me .,DO,PD,DRAW,BRING,THE,A,for,to
the secretary drew you the card .,a soldier brought me a telephone .,DO,DO,DRAW,BRING,THE,A,for,to
the opponent drew the crystal for you .,a father brought a beer to me .,PD,PD,DRAW,BRING,THE,A,for,to
the opponent drew the crystal for you .,a father brought me a beer .,PD,DO,DRAW,BRING,THE,A,for,to
the opponent drew you the crystal .,a father brought a beer to me .,DO,PD,DRAW,BRING,THE,A,for,to
the opponent drew you the crystal .,a father brought me a beer .,DO,DO,DRAW,BRING,THE,A,for,to
the professor drew the key for them .,a doctor brought a tea to us .,PD,PD,DRAW,BRING,THE,A,for,to
the professor drew the key for them .,a doctor brought us a tea .,PD,DO,DRAW,BRING,THE,A,for,to
the professor drew them the key .,a doctor brought a tea to us .,DO,PD,DRAW,BRING,THE,A,for,to
the professor drew them the key .,a doctor brought us a tea .,DO,DO,DRAW,BRING,THE,A,for,to
the kid drew the bowl for us .,a candidate brought a chocolate to you .,PD,PD,DRAW,BRING,THE,A,for,to
the kid drew the bowl for us .,a candidate brought you a chocolate .,PD,DO,DRAW,BRING,THE,A,for,to
the kid drew us the bowl .,a candidate brought a chocolate to you .,DO,PD,DRAW,BRING,THE,A,for,to
the kid drew us the bowl .,a candidate brought you a chocolate .,DO,DO,DRAW,BRING,THE,A,for,to
the girl drew the instrument for him .,a mayor brought a coffee to me .,PD,PD,DRAW,BRING,THE,A,for,to
the girl drew the instrument for him .,a mayor brought me a coffee .,PD,DO,DRAW,BRING,THE,A,for,to
the girl drew him the instrument .,a mayor brought a coffee to me .,DO,PD,DRAW,BRING,THE,A,for,to
the girl drew him the instrument .,a mayor brought me a coffee .,DO,DO,DRAW,BRING,THE,A,for,to
the pilot drew the coat for them .,an employer brought a tea to you .,PD,PD,DRAW,BRING,THE,A,for,to
the pilot drew the coat for them .,an employer brought you a tea .,PD,DO,DRAW,BRING,THE,A,for,to
the pilot drew them the coat .,an employer brought a tea to you .,DO,PD,DRAW,BRING,THE,A,for,to
the pilot drew them the coat .,an employer brought you a tea .,DO,DO,DRAW,BRING,THE,A,for,to
a child drew a jacket for it .,the husband brought the newspaper to us .,PD,PD,DRAW,BRING,A,THE,for,to
a child drew a jacket for it .,the husband brought us the newspaper .,PD,DO,DRAW,BRING,A,THE,for,to
a child drew it a jacket .,the husband brought the newspaper to us .,DO,PD,DRAW,BRING,A,THE,for,to
a child drew it a jacket .,the husband brought us the newspaper .,DO,DO,DRAW,BRING,A,THE,for,to
a mother drew a crystal for you .,the secretary brought the beer to them .,PD,PD,DRAW,BRING,A,THE,for,to
a mother drew a crystal for you .,the secretary brought them the beer .,PD,DO,DRAW,BRING,A,THE,for,to
a mother drew you a crystal .,the secretary brought the beer to them .,DO,PD,DRAW,BRING,A,THE,for,to
a mother drew you a crystal .,the secretary brought them the beer .,DO,DO,DRAW,BRING,A,THE,for,to
a princess drew a button for them .,the champion brought the hat to me .,PD,PD,DRAW,BRING,A,THE,for,to
a princess drew a button for them .,the champion brought me the hat .,PD,DO,DRAW,BRING,A,THE,for,to
a princess drew them a button .,the champion brought the hat to me .,DO,PD,DRAW,BRING,A,THE,for,to
a princess drew them a button .,the champion brought me the hat .,DO,DO,DRAW,BRING,A,THE,for,to
a son drew a bell for us .,the parent brought the chocolate to you .,PD,PD,DRAW,BRING,A,THE,for,to
a son drew a bell for us .,the parent brought you the chocolate .,PD,DO,DRAW,BRING,A,THE,for,to
a son drew us a bell .,the parent brought the chocolate to you .,DO,PD,DRAW,BRING,A,THE,for,to
a son drew us a bell .,the parent brought you the chocolate .,DO,DO,DRAW,BRING,A,THE,for,to
a pilot drew a computer for you .,the secretary brought the juice to her .,PD,PD,DRAW,BRING,A,THE,for,to
a pilot drew a computer for you .,the secretary brought her the juice .,PD,DO,DRAW,BRING,A,THE,for,to
a pilot drew you a computer .,the secretary brought the juice to her .,DO,PD,DRAW,BRING,A,THE,for,to
a pilot drew you a computer .,the secretary brought her the juice .,DO,DO,DRAW,BRING,A,THE,for,to
a hero drew an engine for us .,the pilot brought the pie to it .,PD,PD,DRAW,BRING,A,THE,for,to
a hero drew an engine for us .,the pilot brought it the pie .,PD,DO,DRAW,BRING,A,THE,for,to
a hero drew us an engine .,the pilot brought the pie to it .,DO,PD,DRAW,BRING,A,THE,for,to
a hero drew us an engine .,the pilot brought it the pie .,DO,DO,DRAW,BRING,A,THE,for,to
a sheriff drew a knife for it .,the mother brought the plate to you .,PD,PD,DRAW,BRING,A,THE,for,to
a sheriff drew a knife for it .,the mother brought you the plate .,PD,DO,DRAW,BRING,A,THE,for,to
a sheriff drew it a knife .,the mother brought the plate to you .,DO,PD,DRAW,BRING,A,THE,for,to
a sheriff drew it a knife .,the mother brought you the plate .,DO,DO,DRAW,BRING,A,THE,for,to
a worker drew a key for him .,the mother brought the coffee to it .,PD,PD,DRAW,BRING,A,THE,for,to
a worker drew a key for him .,the mother brought it the coffee .,PD,DO,DRAW,BRING,A,THE,for,to
a worker drew him a key .,the mother brought the coffee to it .,DO,PD,DRAW,BRING,A,THE,for,to
a worker drew him a key .,the mother brought it the coffee .,DO,DO,DRAW,BRING,A,THE,for,to
a chief drew a crystal for me .,the author brought the guitar to you .,PD,PD,DRAW,BRING,A,THE,for,to
a chief drew a crystal for me .,the author brought you the guitar .,PD,DO,DRAW,BRING,A,THE,for,to
a chief drew me a crystal .,the author brought the guitar to you .,DO,PD,DRAW,BRING,A,THE,for,to
a chief drew me a crystal .,the author brought you the guitar .,DO,DO,DRAW,BRING,A,THE,for,to
a student drew a pot for you .,the guy brought the iron to it .,PD,PD,DRAW,BRING,A,THE,for,to
a student drew a pot for you .,the guy brought it the iron .,PD,DO,DRAW,BRING,A,THE,for,to
a student drew you a pot .,the guy brought the iron to it .,DO,PD,DRAW,BRING,A,THE,for,to
a student drew you a pot .,the guy brought it the iron .,DO,DO,DRAW,BRING,A,THE,for,to
a husband drew a wire for you .,the employee brought the television to us .,PD,PD,DRAW,BRING,A,THE,for,to
a husband drew a wire for you .,the employee brought us the television .,PD,DO,DRAW,BRING,A,THE,for,to
a husband drew you a wire .,the employee brought the television to us .,DO,PD,DRAW,BRING,A,THE,for,to
a husband drew you a wire .,the employee brought us the television .,DO,DO,DRAW,BRING,A,THE,for,to
an uncle drew a telephone for her .,the lady brought the key to it .,PD,PD,DRAW,BRING,A,THE,for,to
an uncle drew a telephone for her .,the lady brought it the key .,PD,DO,DRAW,BRING,A,THE,for,to
an uncle drew her a telephone .,the lady brought the key to it .,DO,PD,DRAW,BRING,A,THE,for,to
an uncle drew her a telephone .,the lady brought it the key .,DO,DO,DRAW,BRING,A,THE,for,to
an aunt drew a crystal for him .,the professor brought the meal to us .,PD,PD,DRAW,BRING,A,THE,for,to
an aunt drew a crystal for him .,the professor brought us the meal .,PD,DO,DRAW,BRING,A,THE,for,to
an aunt drew him a crystal .,the professor brought the meal to us .,DO,PD,DRAW,BRING,A,THE,for,to
an aunt drew him a crystal .,the professor brought us the meal .,DO,DO,DRAW,BRING,A,THE,for,to
a writer drew a bowl for us .,the bishop brought the pie to you .,PD,PD,DRAW,BRING,A,THE,for,to
a writer drew a bowl for us .,the bishop brought you the pie .,PD,DO,DRAW,BRING,A,THE,for,to
a writer drew us a bowl .,the bishop brought the pie to you .,DO,PD,DRAW,BRING,A,THE,for,to
a writer drew us a bowl .,the bishop brought you the pie .,DO,DO,DRAW,BRING,A,THE,for,to
a brother drew a coat for us .,the lawyer brought the newspaper to me .,PD,PD,DRAW,BRING,A,THE,for,to
a brother drew a coat for us .,the lawyer brought me the newspaper .,PD,DO,DRAW,BRING,A,THE,for,to
a brother drew us a coat .,the lawyer brought the newspaper to me .,DO,PD,DRAW,BRING,A,THE,for,to
a brother drew us a coat .,the lawyer brought me the newspaper .,DO,DO,DRAW,BRING,A,THE,for,to
a prince drew a jacket for us .,the lady brought the cigarette to you .,PD,PD,DRAW,BRING,A,THE,for,to
a prince drew a jacket for us .,the lady brought you the cigarette .,PD,DO,DRAW,BRING,A,THE,for,to
a prince drew us a jacket .,the lady brought the cigarette to you .,DO,PD,DRAW,BRING,A,THE,for,to
a prince drew us a jacket .,the lady brought you the cigarette .,DO,DO,DRAW,BRING,A,THE,for,to
a son drew a telephone for him .,the worker brought the pie to us .,PD,PD,DRAW,BRING,A,THE,for,to
a son drew a telephone for him .,the worker brought us the pie .,PD,DO,DRAW,BRING,A,THE,for,to
a son drew him a telephone .,the worker brought the pie to us .,DO,PD,DRAW,BRING,A,THE,for,to
a son drew him a telephone .,the worker brought us the pie .,DO,DO,DRAW,BRING,A,THE,for,to
a man drew a plate for us .,the worker brought the coffee to them .,PD,PD,DRAW,BRING,A,THE,for,to
a man drew a plate for us .,the worker brought them the coffee .,PD,DO,DRAW,BRING,A,THE,for,to
a man drew us a plate .,the worker brought the coffee to them .,DO,PD,DRAW,BRING,A,THE,for,to
a man drew us a plate .,the worker brought them the coffee .,DO,DO,DRAW,BRING,A,THE,for,to
a soldier drew a bag for you .,the actor brought the glass to him .,PD,PD,DRAW,BRING,A,THE,for,to
a soldier drew a bag for you .,the actor brought him the glass .,PD,DO,DRAW,BRING,A,THE,for,to
a soldier drew you a bag .,the actor brought the glass to him .,DO,PD,DRAW,BRING,A,THE,for,to
a soldier drew you a bag .,the actor brought him the glass .,DO,DO,DRAW,BRING,A,THE,for,to
a father drew a crystal for us .,the mayor brought the key to you .,PD,PD,DRAW,BRING,A,THE,for,to
a father drew a crystal for us .,the mayor brought you the key .,PD,DO,DRAW,BRING,A,THE,for,to
a father drew us a crystal .,the mayor brought the key to you .,DO,PD,DRAW,BRING,A,THE,for,to
a father drew us a crystal .,the mayor brought you the key .,DO,DO,DRAW,BRING,A,THE,for,to
a winner drew an instrument for it .,the guy brought the beer to you .,PD,PD,DRAW,BRING,A,THE,for,to
a winner drew an instrument for it .,the guy brought you the beer .,PD,DO,DRAW,BRING,A,THE,for,to
a winner drew it an instrument .,the guy brought the beer to you .,DO,PD,DRAW,BRING,A,THE,for,to
a winner drew it an instrument .,the guy brought you the beer .,DO,DO,DRAW,BRING,A,THE,for,to
a pilot drew a telephone for you .,the husband brought the beer to them .,PD,PD,DRAW,BRING,A,THE,for,to
a pilot drew a telephone for you .,the husband brought them the beer .,PD,DO,DRAW,BRING,A,THE,for,to
a pilot drew you a telephone .,the husband brought the beer to them .,DO,PD,DRAW,BRING,A,THE,for,to
a pilot drew you a telephone .,the husband brought them the beer .,DO,DO,DRAW,BRING,A,THE,for,to
an adult drew a machine for them .,the parent brought the beer to it .,PD,PD,DRAW,BRING,A,THE,for,to
an adult drew a machine for them .,the parent brought it the beer .,PD,DO,DRAW,BRING,A,THE,for,to
an adult drew them a machine .,the parent brought the beer to it .,DO,PD,DRAW,BRING,A,THE,for,to
an adult drew them a machine .,the parent brought it the beer .,DO,DO,DRAW,BRING,A,THE,for,to
a guy drew a glass for you .,the secretary brought the chocolate to us .,PD,PD,DRAW,BRING,A,THE,for,to
a guy drew a glass for you .,the secretary brought us the chocolate .,PD,DO,DRAW,BRING,A,THE,for,to
a guy drew you a glass .,the secretary brought the chocolate to us .,DO,PD,DRAW,BRING,A,THE,for,to
a guy drew you a glass .,the secretary brought us the chocolate .,DO,DO,DRAW,BRING,A,THE,for,to
a buddy drew a bell for you .,the priest brought the pot to him .,PD,PD,DRAW,BRING,A,THE,for,to
a buddy drew a bell for you .,the priest brought him the pot .,PD,DO,DRAW,BRING,A,THE,for,to
a buddy drew you a bell .,the priest brought the pot to him .,DO,PD,DRAW,BRING,A,THE,for,to
a buddy drew you a bell .,the priest brought him the pot .,DO,DO,DRAW,BRING,A,THE,for,to
the employee found the tea for us .,a lady brought a pie to him .,PD,PD,FIND,BRING,THE,A,for,to
the employee found the tea for us .,a lady brought him a pie .,PD,DO,FIND,BRING,THE,A,for,to
the employee found us the tea .,a lady brought a pie to him .,DO,PD,FIND,BRING,THE,A,for,to
the employee found us the tea .,a lady brought him a pie .,DO,DO,FIND,BRING,THE,A,for,to
the employee found the salad for them .,a cousin brought a bag to you .,PD,PD,FIND,BRING,THE,A,for,to
the employee found the salad for them .,a cousin brought you a bag .,PD,DO,FIND,BRING,THE,A,for,to
the employee found them the salad .,a cousin brought a bag to you .,DO,PD,FIND,BRING,THE,A,for,to
the employee found them the salad .,a cousin brought you a bag .,DO,DO,FIND,BRING,THE,A,for,to
the nurse found the ball for it .,an uncle brought an anchor to you .,PD,PD,FIND,BRING,THE,A,for,to
the nurse found the ball for it .,an uncle brought you an anchor .,PD,DO,FIND,BRING,THE,A,for,to
the nurse found it the ball .,an uncle brought an anchor to you .,DO,PD,FIND,BRING,THE,A,for,to
the nurse found it the ball .,an uncle brought you an anchor .,DO,DO,FIND,BRING,THE,A,for,to
the guest found the bowl for him .,a man brought a book to her .,PD,PD,FIND,BRING,THE,A,for,to
the guest found the bowl for him .,a man brought her a book .,PD,DO,FIND,BRING,THE,A,for,to
the guest found him the bowl .,a man brought a book to her .,DO,PD,FIND,BRING,THE,A,for,to
the guest found him the bowl .,a man brought her a book .,DO,DO,FIND,BRING,THE,A,for,to
the adult found the cheese for them .,a girl brought a coffee to her .,PD,PD,FIND,BRING,THE,A,for,to
the adult found the cheese for them .,a girl brought her a coffee .,PD,DO,FIND,BRING,THE,A,for,to
the adult found them the cheese .,a girl brought a coffee to her .,DO,PD,FIND,BRING,THE,A,for,to
the adult found them the cheese .,a girl brought her a coffee .,DO,DO,FIND,BRING,THE,A,for,to
the woman found the pot for them .,a princess brought a coffee to us .,PD,PD,FIND,BRING,THE,A,for,to
the woman found the pot for them .,a princess brought us a coffee .,PD,DO,FIND,BRING,THE,A,for,to
the woman found them the pot .,a princess brought a coffee to us .,DO,PD,FIND,BRING,THE,A,for,to
the woman found them the pot .,a princess brought us a coffee .,DO,DO,FIND,BRING,THE,A,for,to
the wife found the chicken for me .,a lady brought a computer to him .,PD,PD,FIND,BRING,THE,A,for,to
the wife found the chicken for me .,a lady brought him a computer .,PD,DO,FIND,BRING,THE,A,for,to
the wife found me the chicken .,a lady brought a computer to him .,DO,PD,FIND,BRING,THE,A,for,to
the wife found me the chicken .,a lady brought him a computer .,DO,DO,FIND,BRING,THE,A,for,to
the employer found the chicken for them .,a colonel brought a television to me .,PD,PD,FIND,BRING,THE,A,for,to
the employer found the chicken for them .,a colonel brought me a television .,PD,DO,FIND,BRING,THE,A,for,to
the employer found them the chicken .,a colonel brought a television to me .,DO,PD,FIND,BRING,THE,A,for,to
the employer found them the chicken .,a colonel brought me a television .,DO,DO,FIND,BRING,THE,A,for,to
the parent found the cheese for them .,a teacher brought an engine to him .,PD,PD,FIND,BRING,THE,A,for,to
the parent found the cheese for them .,a teacher brought him an engine .,PD,DO,FIND,BRING,THE,A,for,to
the parent found them the cheese .,a teacher brought an engine to him .,DO,PD,FIND,BRING,THE,A,for,to
the parent found them the cheese .,a teacher brought him an engine .,DO,DO,FIND,BRING,THE,A,for,to
the kid found the juice for him .,a mayor brought an instrument to them .,PD,PD,FIND,BRING,THE,A,for,to
the kid found the juice for him .,a mayor brought them an instrument .,PD,DO,FIND,BRING,THE,A,for,to
the kid found him the juice .,a mayor brought an instrument to them .,DO,PD,FIND,BRING,THE,A,for,to
the kid found him the juice .,a mayor brought them an instrument .,DO,DO,FIND,BRING,THE,A,for,to
the physician found the candy for us .,a colonel brought a tea to you .,PD,PD,FIND,BRING,THE,A,for,to
the physician found the candy for us .,a colonel brought you a tea .,PD,DO,FIND,BRING,THE,A,for,to
the physician found us the candy .,a colonel brought a tea to you .,DO,PD,FIND,BRING,THE,A,for,to
the physician found us the candy .,a colonel brought you a tea .,DO,DO,FIND,BRING,THE,A,for,to
the lawyer found the coffee for you .,an aunt brought a jacket to him .,PD,PD,FIND,BRING,THE,A,for,to
the lawyer found the coffee for you .,an aunt brought him a jacket .,PD,DO,FIND,BRING,THE,A,for,to
the lawyer found you the coffee .,an aunt brought a jacket to him .,DO,PD,FIND,BRING,THE,A,for,to
the lawyer found you the coffee .,an aunt brought him a jacket .,DO,DO,FIND,BRING,THE,A,for,to
the daughter found the meal for you .,a hero brought a chocolate to it .,PD,PD,FIND,BRING,THE,A,for,to
the daughter found the meal for you .,a hero brought it a chocolate .,PD,DO,FIND,BRING,THE,A,for,to
the daughter found you the meal .,a hero brought a chocolate to it .,DO,PD,FIND,BRING,THE,A,for,to
the daughter found you the meal .,a hero brought it a chocolate .,DO,DO,FIND,BRING,THE,A,for,to
the employer found the motor for them .,a soldier brought a cup to us .,PD,PD,FIND,BRING,THE,A,for,to
the employer found the motor for them .,a soldier brought us a cup .,PD,DO,FIND,BRING,THE,A,for,to
the employer found them the motor .,a soldier brought a cup to us .,DO,PD,FIND,BRING,THE,A,for,to
the employer found them the motor .,a soldier brought us a cup .,DO,DO,FIND,BRING,THE,A,for,to
the son found the juice for her .,an employee brought a camera to you .,PD,PD,FIND,BRING,THE,A,for,to
the son found the juice for her .,an employee brought you a camera .,PD,DO,FIND,BRING,THE,A,for,to
the son found her the juice .,an employee brought a camera to you .,DO,PD,FIND,BRING,THE,A,for,to
the son found her the juice .,an employee brought you a camera .,DO,DO,FIND,BRING,THE,A,for,to
the author found the candy for me .,a parent brought a meal to us .,PD,PD,FIND,BRING,THE,A,for,to
the author found the candy for me .,a parent brought us a meal .,PD,DO,FIND,BRING,THE,A,for,to
the author found me the candy .,a parent brought a meal to us .,DO,PD,FIND,BRING,THE,A,for,to
the author found me the candy .,a parent brought us a meal .,DO,DO,FIND,BRING,THE,A,for,to
the physician found the pie for him .,a prince brought a motor to us .,PD,PD,FIND,BRING,THE,A,for,to
the physician found the pie for him .,a prince brought us a motor .,PD,DO,FIND,BRING,THE,A,for,to
the physician found him the pie .,a prince brought a motor to us .,DO,PD,FIND,BRING,THE,A,for,to
the physician found him the pie .,a prince brought us a motor .,DO,DO,FIND,BRING,THE,A,for,to
the soldier found the plate for me .,a colonel brought a bottle to you .,PD,PD,FIND,BRING,THE,A,for,to
the soldier found the plate for me .,a colonel brought you a bottle .,PD,DO,FIND,BRING,THE,A,for,to
the soldier found me the plate .,a colonel brought a bottle to you .,DO,PD,FIND,BRING,THE,A,for,to
the soldier found me the plate .,a colonel brought you a bottle .,DO,DO,FIND,BRING,THE,A,for,to
the employee found the iron for it .,a professor brought a tea to them .,PD,PD,FIND,BRING,THE,A,for,to
the employee found the iron for it .,a professor brought them a tea .,PD,DO,FIND,BRING,THE,A,for,to
the employee found it the iron .,a professor brought a tea to them .,DO,PD,FIND,BRING,THE,A,for,to
the employee found it the iron .,a professor brought them a tea .,DO,DO,FIND,BRING,THE,A,for,to
the actress found the newspaper for her .,a soldier brought a telephone to me .,PD,PD,FIND,BRING,THE,A,for,to
the actress found the newspaper for her .,a soldier brought me a telephone .,PD,DO,FIND,BRING,THE,A,for,to
the actress found her the newspaper .,a soldier brought a telephone to me .,DO,PD,FIND,BRING,THE,A,for,to
the actress found her the newspaper .,a soldier brought me a telephone .,DO,DO,FIND,BRING,THE,A,for,to
the reader found the coat for us .,a father brought a beer to me .,PD,PD,FIND,BRING,THE,A,for,to
the reader found the coat for us .,a father brought me a beer .,PD,DO,FIND,BRING,THE,A,for,to
the reader found us the coat .,a father brought a beer to me .,DO,PD,FIND,BRING,THE,A,for,to
the reader found us the coat .,a father brought me a beer .,DO,DO,FIND,BRING,THE,A,for,to
the manager found the juice for it .,a doctor brought a tea to us .,PD,PD,FIND,BRING,THE,A,for,to
the manager found the juice for it .,a doctor brought us a tea .,PD,DO,FIND,BRING,THE,A,for,to
the manager found it the juice .,a doctor brought a tea to us .,DO,PD,FIND,BRING,THE,A,for,to
the manager found it the juice .,a doctor brought us a tea .,DO,DO,FIND,BRING,THE,A,for,to
the bishop found the instrument for it .,a candidate brought a chocolate to you .,PD,PD,FIND,BRING,THE,A,for,to
the bishop found the instrument for it .,a candidate brought you a chocolate .,PD,DO,FIND,BRING,THE,A,for,to
the bishop found it the instrument .,a candidate brought a chocolate to you .,DO,PD,FIND,BRING,THE,A,for,to
the bishop found it the instrument .,a candidate brought you a chocolate .,DO,DO,FIND,BRING,THE,A,for,to
