prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep
the secretary drew the band the card .,a princess brought an adult a coffee .,DO,DO,DRAW,BRING,THE,A,for,to
the husband drew the hat for the administration .,a lady brought a computer to an employer .,PD,PD,DRAW,BRING,THE,A,for,to
the husband drew the hat for the administration .,a lady brought an employer a computer .,PD,DO,DRAW,BRING,THE,A,for,to
the husband drew the administration the hat .,a lady brought a computer to an employer .,DO,PD,DRAW,BRING,THE,A,for,to
the husband drew the administration the hat .,a lady brought an employer a computer .,DO,DO,DRAW,BRING,THE,A,for,to
the employee drew the button for the army .,a colonel brought a television to a candidate .,PD,PD,DRAW,BRING,THE,A,for,to
the employee drew the button for the army .,a colonel brought a candidate a television .,PD,DO,DRAW,BRING,THE,A,for,to
the employee drew the army the button .,a colonel brought a television to a candidate .,DO,PD,DRAW,BRING,THE,A,for,to
the employee drew the army the button .,a colonel brought a candidate a television .,DO,DO,DRAW,BRING,THE,A,for,to
the employee drew the glass for the lawyer .,a teacher brought an engine to a singer .,PD,PD,DRAW,BRING,THE,A,for,to
the employee drew the glass for the lawyer .,a teacher brought a singer an engine .,PD,DO,DRAW,BRING,THE,A,for,to
the employee drew the lawyer the glass .,a teacher brought an engine to a singer .,DO,PD,DRAW,BRING,THE,A,for,to
the employee drew the lawyer the glass .,a teacher brought a singer an engine .,DO,DO,DRAW,BRING,THE,A,for,to
the student drew the cup for the company .,a mayor brought an instrument to a band .,PD,PD,DRAW,BRING,THE,A,for,to
the student drew the cup for the company .,a mayor brought a band an instrument .,PD,DO,DRAW,BRING,THE,A,for,to
the student drew the company the cup .,a mayor brought an instrument to a band .,DO,PD,DRAW,BRING,THE,A,for,to
the student drew the company the cup .,a mayor brought a band an instrument .,DO,DO,DRAW,BRING,THE,A,for,to
the princess drew the plate for the physician .,a colonel brought a tea to a business .,PD,PD,DRAW,BRING,THE,A,for,to
the princess drew the plate for the physician .,a colonel brought a business a tea .,PD,DO,DRAW,BRING,THE,A,for,to
the princess drew the physician the plate .,a colonel brought a tea to a business .,DO,PD,DRAW,BRING,THE,A,for,to
the princess drew the physician the plate .,a colonel brought a business a tea .,DO,DO,DRAW,BRING,THE,A,for,to
the actress drew the card for the company .,an aunt brought a jacket to an army .,PD,PD,DRAW,BRING,THE,A,for,to
the actress drew the card for the company .,an aunt brought an army a jacket .,PD,DO,DRAW,BRING,THE,A,for,to
the actress drew the company the card .,an aunt brought a jacket to an army .,DO,PD,DRAW,BRING,THE,A,for,to
the actress drew the company the card .,an aunt brought an army a jacket .,DO,DO,DRAW,BRING,THE,A,for,to
the mother drew the flower for the business .,a hero brought a chocolate to a wife .,PD,PD,DRAW,BRING,THE,A,for,to
the mother drew the flower for the business .,a hero brought a wife a chocolate .,PD,DO,DRAW,BRING,THE,A,for,to
the mother drew the business the flower .,a hero brought a chocolate to a wife .,DO,PD,DRAW,BRING,THE,A,for,to
the mother drew the business the flower .,a hero brought a wife a chocolate .,DO,DO,DRAW,BRING,THE,A,for,to
the president drew the iron for the author .,a soldier brought a cup to a scientist .,PD,PD,DRAW,BRING,THE,A,for,to
the president drew the iron for the author .,a soldier brought a scientist a cup .,PD,DO,DRAW,BRING,THE,A,for,to
the president drew the author the iron .,a soldier brought a cup to a scientist .,DO,PD,DRAW,BRING,THE,A,for,to
the president drew the author the iron .,a soldier brought a scientist a cup .,DO,DO,DRAW,BRING,THE,A,for,to
the mother drew the crystal for the girl .,an employee brought a camera to a business .,PD,PD,DRAW,BRING,THE,A,for,to
the mother drew the crystal for the girl .,an employee brought a business a camera .,PD,DO,DRAW,BRING,THE,A,for,to
the mother drew the girl the crystal .,an employee brought a camera to a business .,DO,PD,DRAW,BRING,THE,A,for,to
the mother drew the girl the crystal .,an employee brought a business a camera .,DO,DO,DRAW,BRING,THE,A,for,to
the guest drew the guitar for the girl .,a parent brought a meal to a club .,PD,PD,DRAW,BRING,THE,A,for,to
the guest drew the guitar for the girl .,a parent brought a club a meal .,PD,DO,DRAW,BRING,THE,A,for,to
the guest drew the girl the guitar .,a parent brought a meal to a club .,DO,PD,DRAW,BRING,THE,A,for,to
the guest drew the girl the guitar .,a parent brought a club a meal .,DO,DO,DRAW,BRING,THE,A,for,to
the chief drew the newspaper for the boy .,a prince brought a motor to a business .,PD,PD,DRAW,BRING,THE,A,for,to
the chief drew the newspaper for the boy .,a prince brought a business a motor .,PD,DO,DRAW,BRING,THE,A,for,to
the chief drew the boy the newspaper .,a prince brought a motor to a business .,DO,PD,DRAW,BRING,THE,A,for,to
the chief drew the boy the newspaper .,a prince brought a business a motor .,DO,DO,DRAW,BRING,THE,A,for,to
the employee drew the engine for the king .,a colonel brought a bottle to a business .,PD,PD,DRAW,BRING,THE,A,for,to
the employee drew the engine for the king .,a colonel brought a business a bottle .,PD,DO,DRAW,BRING,THE,A,for,to
the employee drew the king the engine .,a colonel brought a bottle to a business .,DO,PD,DRAW,BRING,THE,A,for,to
the employee drew the king the engine .,a colonel brought a business a bottle .,DO,DO,DRAW,BRING,THE,A,for,to
the husband drew the button for the corporation .,a professor brought a tea to a band .,PD,PD,DRAW,BRING,THE,A,for,to
the husband drew the button for the corporation .,a professor brought a band a tea .,PD,DO,DRAW,BRING,THE,A,for,to
the husband drew the corporation the button .,a professor brought a tea to a band .,DO,PD,DRAW,BRING,THE,A,for,to
the husband drew the corporation the button .,a professor brought a band a tea .,DO,DO,DRAW,BRING,THE,A,for,to
the secretary drew the card for the band .,a soldier brought a telephone to a kid .,PD,PD,DRAW,BRING,THE,A,for,to
the secretary drew the card for the band .,a soldier brought a kid a telephone .,PD,DO,DRAW,BRING,THE,A,for,to
the secretary drew the band the card .,a soldier brought a telephone to a kid .,DO,PD,DRAW,BRING,THE,A,for,to
the secretary drew the band the card .,a soldier brought a kid a telephone .,DO,DO,DRAW,BRING,THE,A,for,to
the opponent drew the crystal for the winner .,a father brought a beer to a corporation .,PD,PD,DRAW,BRING,THE,A,for,to
the opponent drew the crystal for the winner .,a father brought a corporation a beer .,PD,DO,DRAW,BRING,THE,A,for,to
the opponent drew the winner the crystal .,a father brought a beer to a corporation .,DO,PD,DRAW,BRING,THE,A,for,to
the opponent drew the winner the crystal .,a father brought a corporation a beer .,DO,DO,DRAW,BRING,THE,A,for,to
the professor drew the key for the army .,a doctor brought a tea to a chief .,PD,PD,DRAW,BRING,THE,A,for,to
the professor drew the key for the army .,a doctor brought a chief a tea .,PD,DO,DRAW,BRING,THE,A,for,to
the professor drew the army the key .,a doctor brought a tea to a chief .,DO,PD,DRAW,BRING,THE,A,for,to
the professor drew the army the key .,a doctor brought a chief a tea .,DO,DO,DRAW,BRING,THE,A,for,to
the kid drew the bowl for the pilot .,a candidate brought a chocolate to a man .,PD,PD,DRAW,BRING,THE,A,for,to
the kid drew the bowl for the pilot .,a candidate brought a man a chocolate .,PD,DO,DRAW,BRING,THE,A,for,to
the kid drew the pilot the bowl .,a candidate brought a chocolate to a man .,DO,PD,DRAW,BRING,THE,A,for,to
the kid drew the pilot the bowl .,a candidate brought a man a chocolate .,DO,DO,DRAW,BRING,THE,A,for,to
the girl drew the instrument for the administration .,a mayor brought a coffee to a priest .,PD,PD,DRAW,BRING,THE,A,for,to
the girl drew the instrument for the administration .,a mayor brought a priest a coffee .,PD,DO,DRAW,BRING,THE,A,for,to
the girl drew the administration the instrument .,a mayor brought a coffee to a priest .,DO,PD,DRAW,BRING,THE,A,for,to
the girl drew the administration the instrument .,a mayor brought a priest a coffee .,DO,DO,DRAW,BRING,THE,A,for,to
the pilot drew the coat for the minister .,an employer brought a tea to an attorney .,PD,PD,DRAW,BRING,THE,A,for,to
the pilot drew the coat for the minister .,an employer brought an attorney a tea .,PD,DO,DRAW,BRING,THE,A,for,to
the pilot drew the minister the coat .,an employer brought a tea to an attorney .,DO,PD,DRAW,BRING,THE,A,for,to
the pilot drew the minister the coat .,an employer brought an attorney a tea .,DO,DO,DRAW,BRING,THE,A,for,to
a child drew a jacket for a club .,the husband brought the newspaper to the candidate .,PD,PD,DRAW,BRING,A,THE,for,to
a child drew a jacket for a club .,the husband brought the candidate the newspaper .,PD,DO,DRAW,BRING,A,THE,for,to
a child drew a club a jacket .,the husband brought the newspaper to the candidate .,DO,PD,DRAW,BRING,A,THE,for,to
a child drew a club a jacket .,the husband brought the candidate the newspaper .,DO,DO,DRAW,BRING,A,THE,for,to
a mother drew a crystal for a colonel .,the secretary brought the beer to the soldier .,PD,PD,DRAW,BRING,A,THE,for,to
a mother drew a crystal for a colonel .,the secretary brought the soldier the beer .,PD,DO,DRAW,BRING,A,THE,for,to
a mother drew a colonel a crystal .,the secretary brought the beer to the soldier .,DO,PD,DRAW,BRING,A,THE,for,to
a mother drew a colonel a crystal .,the secretary brought the soldier the beer .,DO,DO,DRAW,BRING,A,THE,for,to
a princess drew a button for a king .,the champion brought the hat to the guy .,PD,PD,DRAW,BRING,A,THE,for,to
a princess drew a button for a king .,the champion brought the guy the hat .,PD,DO,DRAW,BRING,A,THE,for,to
a princess drew a king a button .,the champion brought the hat to the guy .,DO,PD,DRAW,BRING,A,THE,for,to
a princess drew a king a button .,the champion brought the guy the hat .,DO,DO,DRAW,BRING,A,THE,for,to
a son drew a bell for a student .,the parent brought the chocolate to the buddy .,PD,PD,DRAW,BRING,A,THE,for,to
a son drew a bell for a student .,the parent brought the buddy the chocolate .,PD,DO,DRAW,BRING,A,THE,for,to
a son drew a student a bell .,the parent brought the chocolate to the buddy .,DO,PD,DRAW,BRING,A,THE,for,to
a son drew a student a bell .,the parent brought the buddy the chocolate .,DO,DO,DRAW,BRING,A,THE,for,to
a pilot drew a computer for a professor .,the secretary brought the juice to the corporation .,PD,PD,DRAW,BRING,A,THE,for,to
a pilot drew a computer for a professor .,the secretary brought the corporation the juice .,PD,DO,DRAW,BRING,A,THE,for,to
a pilot drew a professor a computer .,the secretary brought the juice to the corporation .,DO,PD,DRAW,BRING,A,THE,for,to
a pilot drew a professor a computer .,the secretary brought the corporation the juice .,DO,DO,DRAW,BRING,A,THE,for,to
a hero drew an engine for a prince .,the pilot brought the pie to the band .,PD,PD,DRAW,BRING,A,THE,for,to
a hero drew an engine for a prince .,the pilot brought the band the pie .,PD,DO,DRAW,BRING,A,THE,for,to
a hero drew a prince an engine .,the pilot brought the pie to the band .,DO,PD,DRAW,BRING,A,THE,for,to
a hero drew a prince an engine .,the pilot brought the band the pie .,DO,DO,DRAW,BRING,A,THE,for,to
a sheriff drew a knife for an administration .,the mother brought the plate to the club .,PD,PD,DRAW,BRING,A,THE,for,to
a sheriff drew a knife for an administration .,the mother brought the club the plate .,PD,DO,DRAW,BRING,A,THE,for,to
a sheriff drew an administration a knife .,the mother brought the plate to the club .,DO,PD,DRAW,BRING,A,THE,for,to
a sheriff drew an administration a knife .,the mother brought the club the plate .,DO,DO,DRAW,BRING,A,THE,for,to
a worker drew a key for an uncle .,the mother brought the coffee to the buddy .,PD,PD,DRAW,BRING,A,THE,for,to
a worker drew a key for an uncle .,the mother brought the buddy the coffee .,PD,DO,DRAW,BRING,A,THE,for,to
a worker drew an uncle a key .,the mother brought the coffee to the buddy .,DO,PD,DRAW,BRING,A,THE,for,to
a worker drew an uncle a key .,the mother brought the buddy the coffee .,DO,DO,DRAW,BRING,A,THE,for,to
a chief drew a crystal for a brother .,the author brought the guitar to the company .,PD,PD,DRAW,BRING,A,THE,for,to
a chief drew a crystal for a brother .,the author brought the company the guitar .,PD,DO,DRAW,BRING,A,THE,for,to
a chief drew a brother a crystal .,the author brought the guitar to the company .,DO,PD,DRAW,BRING,A,THE,for,to
a chief drew a brother a crystal .,the author brought the company the guitar .,DO,DO,DRAW,BRING,A,THE,for,to
a student drew a pot for a prince .,the guy brought the iron to the author .,PD,PD,DRAW,BRING,A,THE,for,to
a student drew a pot for a prince .,the guy brought the author the iron .,PD,DO,DRAW,BRING,A,THE,for,to
a student drew a prince a pot .,the guy brought the iron to the author .,DO,PD,DRAW,BRING,A,THE,for,to
a student drew a prince a pot .,the guy brought the author the iron .,DO,DO,DRAW,BRING,A,THE,for,to
a husband drew a wire for a company .,the employee brought the television to the doctor .,PD,PD,DRAW,BRING,A,THE,for,to
a husband drew a wire for a company .,the employee brought the doctor the television .,PD,DO,DRAW,BRING,A,THE,for,to
a husband drew a company a wire .,the employee brought the television to the doctor .,DO,PD,DRAW,BRING,A,THE,for,to
a husband drew a company a wire .,the employee brought the doctor the television .,DO,DO,DRAW,BRING,A,THE,for,to
an uncle drew a telephone for a band .,the lady brought the key to the club .,PD,PD,DRAW,BRING,A,THE,for,to
an uncle drew a telephone for a band .,the lady brought the club the key .,PD,DO,DRAW,BRING,A,THE,for,to
an uncle drew a band a telephone .,the lady brought the key to the club .,DO,PD,DRAW,BRING,A,THE,for,to
an uncle drew a band a telephone .,the lady brought the club the key .,DO,DO,DRAW,BRING,A,THE,for,to
an aunt drew a crystal for a corporation .,the professor brought the meal to the kid .,PD,PD,DRAW,BRING,A,THE,for,to
an aunt drew a crystal for a corporation .,the professor brought the kid the meal .,PD,DO,DRAW,BRING,A,THE,for,to
an aunt drew a corporation a crystal .,the professor brought the meal to the kid .,DO,PD,DRAW,BRING,A,THE,for,to
an aunt drew a corporation a crystal .,the professor brought the kid the meal .,DO,DO,DRAW,BRING,A,THE,for,to
a writer drew a bowl for a woman .,the bishop brought the pie to the club .,PD,PD,DRAW,BRING,A,THE,for,to
a writer drew a bowl for a woman .,the bishop brought the club the pie .,PD,DO,DRAW,BRING,A,THE,for,to
a writer drew a woman a bowl .,the bishop brought the pie to the club .,DO,PD,DRAW,BRING,A,THE,for,to
a writer drew a woman a bowl .,the bishop brought the club the pie .,DO,DO,DRAW,BRING,A,THE,for,to
a brother drew a coat for a business .,the lawyer brought the newspaper to the corporation .,PD,PD,DRAW,BRING,A,THE,for,to
a brother drew a coat for a business .,the lawyer brought the corporation the newspaper .,PD,DO,DRAW,BRING,A,THE,for,to
a brother drew a business a coat .,the lawyer brought the newspaper to the corporation .,DO,PD,DRAW,BRING,A,THE,for,to
a brother drew a business a coat .,the lawyer brought the corporation the newspaper .,DO,DO,DRAW,BRING,A,THE,for,to
a prince drew a jacket for an opponent .,the lady brought the cigarette to the administration .,PD,PD,DRAW,BRING,A,THE,for,to
a prince drew a jacket for an opponent .,the lady brought the administration the cigarette .,PD,DO,DRAW,BRING,A,THE,for,to
a prince drew an opponent a jacket .,the lady brought the cigarette to the administration .,DO,PD,DRAW,BRING,A,THE,for,to
a prince drew an opponent a jacket .,the lady brought the administration the cigarette .,DO,DO,DRAW,BRING,A,THE,for,to
a son drew a telephone for an administration .,the worker brought the pie to the corporation .,PD,PD,DRAW,BRING,A,THE,for,to
a son drew a telephone for an administration .,the worker brought the corporation the pie .,PD,DO,DRAW,BRING,A,THE,for,to
a son drew an administration a telephone .,the worker brought the pie to the corporation .,DO,PD,DRAW,BRING,A,THE,for,to
a son drew an administration a telephone .,the worker brought the corporation the pie .,DO,DO,DRAW,BRING,A,THE,for,to
a man drew a plate for a scientist .,the worker brought the coffee to the club .,PD,PD,DRAW,BRING,A,THE,for,to
a man drew a plate for a scientist .,the worker brought the club the coffee .,PD,DO,DRAW,BRING,A,THE,for,to
a man drew a scientist a plate .,the worker brought the coffee to the club .,DO,PD,DRAW,BRING,A,THE,for,to
a man drew a scientist a plate .,the worker brought the club the coffee .,DO,DO,DRAW,BRING,A,THE,for,to
a soldier drew a bag for a singer .,the actor brought the glass to the aunt .,PD,PD,DRAW,BRING,A,THE,for,to
a soldier drew a bag for a singer .,the actor brought the aunt the glass .,PD,DO,DRAW,BRING,A,THE,for,to
a soldier drew a singer a bag .,the actor brought the glass to the aunt .,DO,PD,DRAW,BRING,A,THE,for,to
a soldier drew a singer a bag .,the actor brought the aunt the glass .,DO,DO,DRAW,BRING,A,THE,for,to
a father drew a crystal for a brother .,the mayor brought the key to the actress .,PD,PD,DRAW,BRING,A,THE,for,to
a father drew a crystal for a brother .,the mayor brought the actress the key .,PD,DO,DRAW,BRING,A,THE,for,to
a father drew a brother a crystal .,the mayor brought the key to the actress .,DO,PD,DRAW,BRING,A,THE,for,to
a father drew a brother a crystal .,the mayor brought the actress the key .,DO,DO,DRAW,BRING,A,THE,for,to
a winner drew an instrument for a husband .,the guy brought the beer to the business .,PD,PD,DRAW,BRING,A,THE,for,to
a winner drew an instrument for a husband .,the guy brought the business the beer .,PD,DO,DRAW,BRING,A,THE,for,to
a winner drew a husband an instrument .,the guy brought the beer to the business .,DO,PD,DRAW,BRING,A,THE,for,to
a winner drew a husband an instrument .,the guy brought the business the beer .,DO,DO,DRAW,BRING,A,THE,for,to
a pilot drew a telephone for a lawyer .,the husband brought the beer to the business .,PD,PD,DRAW,BRING,A,THE,for,to
a pilot drew a telephone for a lawyer .,the husband brought the business the beer .,PD,DO,DRAW,BRING,A,THE,for,to
a pilot drew a lawyer a telephone .,the husband brought the beer to the business .,DO,PD,DRAW,BRING,A,THE,for,to
a pilot drew a lawyer a telephone .,the husband brought the business the beer .,DO,DO,DRAW,BRING,A,THE,for,to
an adult drew a machine for a business .,the parent brought the beer to the king .,PD,PD,DRAW,BRING,A,THE,for,to
an adult drew a machine for a business .,the parent brought the king the beer .,PD,DO,DRAW,BRING,A,THE,for,to
an adult drew a business a machine .,the parent brought the beer to the king .,DO,PD,DRAW,BRING,A,THE,for,to
an adult drew a business a machine .,the parent brought the king the beer .,DO,DO,DRAW,BRING,A,THE,for,to
a guy drew a glass for an army .,the secretary brought the chocolate to the soldier .,PD,PD,DRAW,BRING,A,THE,for,to
a guy drew a glass for an army .,the secretary brought the soldier the chocolate .,PD,DO,DRAW,BRING,A,THE,for,to
a guy drew an army a glass .,the secretary brought the chocolate to the soldier .,DO,PD,DRAW,BRING,A,THE,for,to
a guy drew an army a glass .,the secretary brought the soldier the chocolate .,DO,DO,DRAW,BRING,A,THE,for,to
a buddy drew a bell for a cousin .,the priest brought the pot to the partner .,PD,PD,DRAW,BRING,A,THE,for,to
a buddy drew a bell for a cousin .,the priest brought the partner the pot .,PD,DO,DRAW,BRING,A,THE,for,to
a buddy drew a cousin a bell .,the priest brought the pot to the partner .,DO,PD,DRAW,BRING,A,THE,for,to
a buddy drew a cousin a bell .,the priest brought the partner the pot .,DO,DO,DRAW,BRING,A,THE,for,to
the employee found the tea for the band .,a lady brought a pie to a club .,PD,PD,FIND,BRING,THE,A,for,to
the employee found the tea for the band .,a lady brought a club a pie .,PD,DO,FIND,BRING,THE,A,for,to
the employee found the band the tea .,a lady brought a pie to a club .,DO,PD,FIND,BRING,THE,A,for,to
the employee found the band the tea .,a lady brought a club a pie .,DO,DO,FIND,BRING,THE,A,for,to
the employee found the salad for the corporation .,a cousin brought a bag to a company .,PD,PD,FIND,BRING,THE,A,for,to
the employee found the salad for the corporation .,a cousin brought a company a bag .,PD,DO,FIND,BRING,THE,A,for,to
the employee found the corporation the salad .,a cousin brought a bag to a company .,DO,PD,FIND,BRING,THE,A,for,to
the employee found the corporation the salad .,a cousin brought a company a bag .,DO,DO,FIND,BRING,THE,A,for,to
the nurse found the ball for the company .,an uncle brought an anchor to a priest .,PD,PD,FIND,BRING,THE,A,for,to
the nurse found the ball for the company .,an uncle brought a priest an anchor .,PD,DO,FIND,BRING,THE,A,for,to
the nurse found the company the ball .,an uncle brought an anchor to a priest .,DO,PD,FIND,BRING,THE,A,for,to
the nurse found the company the ball .,an uncle brought a priest an anchor .,DO,DO,FIND,BRING,THE,A,for,to
the guest found the bowl for the author .,a man brought a book to an administration .,PD,PD,FIND,BRING,THE,A,for,to
the guest found the bowl for the author .,a man brought an administration a book .,PD,DO,FIND,BRING,THE,A,for,to
the guest found the author the bowl .,a man brought a book to an administration .,DO,PD,FIND,BRING,THE,A,for,to
the guest found the author the bowl .,a man brought an administration a book .,DO,DO,FIND,BRING,THE,A,for,to
the adult found the cheese for the club .,a girl brought a coffee to a guy .,PD,PD,FIND,BRING,THE,A,for,to
the adult found the cheese for the club .,a girl brought a guy a coffee .,PD,DO,FIND,BRING,THE,A,for,to
the adult found the club the cheese .,a girl brought a coffee to a guy .,DO,PD,FIND,BRING,THE,A,for,to
the adult found the club the cheese .,a girl brought a guy a coffee .,DO,DO,FIND,BRING,THE,A,for,to
the woman found the pot for the corporation .,a princess brought a coffee to an adult .,PD,PD,FIND,BRING,THE,A,for,to
the woman found the pot for the corporation .,a princess brought an adult a coffee .,PD,DO,FIND,BRING,THE,A,for,to
the woman found the corporation the pot .,a princess brought a coffee to an adult .,DO,PD,FIND,BRING,THE,A,for,to
the woman found the corporation the pot .,a princess brought an adult a coffee .,DO,DO,FIND,BRING,THE,A,for,to
the wife found the chicken for the administration .,a lady brought a computer to an employer .,PD,PD,FIND,BRING,THE,A,for,to
the wife found the chicken for the administration .,a lady brought an employer a computer .,PD,DO,FIND,BRING,THE,A,for,to
the wife found the administration the chicken .,a lady brought a computer to an employer .,DO,PD,FIND,BRING,THE,A,for,to
the wife found the administration the chicken .,a lady brought an employer a computer .,DO,DO,FIND,BRING,THE,A,for,to
the employer found the chicken for the band .,a colonel brought a television to a candidate .,PD,PD,FIND,BRING,THE,A,for,to
the employer found the chicken for the band .,a colonel brought a candidate a television .,PD,DO,FIND,BRING,THE,A,for,to
the employer found the band the chicken .,a colonel brought a television to a candidate .,DO,PD,FIND,BRING,THE,A,for,to
the employer found the band the chicken .,a colonel brought a candidate a television .,DO,DO,FIND,BRING,THE,A,for,to
the parent found the cheese for the winner .,a teacher brought an engine to a singer .,PD,PD,FIND,BRING,THE,A,for,to
the parent found the cheese for the winner .,a teacher brought a singer an engine .,PD,DO,FIND,BRING,THE,A,for,to
the parent found the winner the cheese .,a teacher brought an engine to a singer .,DO,PD,FIND,BRING,THE,A,for,to
the parent found the winner the cheese .,a teacher brought a singer an engine .,DO,DO,FIND,BRING,THE,A,for,to
the kid found the juice for the king .,a mayor brought an instrument to a band .,PD,PD,FIND,BRING,THE,A,for,to
the kid found the juice for the king .,a mayor brought a band an instrument .,PD,DO,FIND,BRING,THE,A,for,to
the kid found the king the juice .,a mayor brought an instrument to a band .,DO,PD,FIND,BRING,THE,A,for,to
the kid found the king the juice .,a mayor brought a band an instrument .,DO,DO,FIND,BRING,THE,A,for,to
the physician found the candy for the prince .,a colonel brought a tea to a business .,PD,PD,FIND,BRING,THE,A,for,to
the physician found the candy for the prince .,a colonel brought a business a tea .,PD,DO,FIND,BRING,THE,A,for,to
the physician found the prince the candy .,a colonel brought a tea to a business .,DO,PD,FIND,BRING,THE,A,for,to
the physician found the prince the candy .,a colonel brought a business a tea .,DO,DO,FIND,BRING,THE,A,for,to
the lawyer found the coffee for the band .,an aunt brought a jacket to an army .,PD,PD,FIND,BRING,THE,A,for,to
the lawyer found the coffee for the band .,an aunt brought an army a jacket .,PD,DO,FIND,BRING,THE,A,for,to
the lawyer found the band the coffee .,an aunt brought a jacket to an army .,DO,PD,FIND,BRING,THE,A,for,to
the lawyer found the band the coffee .,an aunt brought an army a jacket .,DO,DO,FIND,BRING,THE,A,for,to
the daughter found the meal for the president .,a hero brought a chocolate to a wife .,PD,PD,FIND,BRING,THE,A,for,to
the daughter found the meal for the president .,a hero brought a wife a chocolate .,PD,DO,FIND,BRING,THE,A,for,to
the daughter found the president the meal .,a hero brought a chocolate to a wife .,DO,PD,FIND,BRING,THE,A,for,to
the daughter found the president the meal .,a hero brought a wife a chocolate .,DO,DO,FIND,BRING,THE,A,for,to
the employer found the motor for the administration .,a soldier brought a cup to a scientist .,PD,PD,FIND,BRING,THE,A,for,to
the employer found the motor for the administration .,a soldier brought a scientist a cup .,PD,DO,FIND,BRING,THE,A,for,to
the employer found the administration the motor .,a soldier brought a cup to a scientist .,DO,PD,FIND,BRING,THE,A,for,to
the employer found the administration the motor .,a soldier brought a scientist a cup .,DO,DO,FIND,BRING,THE,A,for,to
the son found the juice for the buddy .,an employee brought a camera to a business .,PD,PD,FIND,BRING,THE,A,for,to
the son found the juice for the buddy .,an employee brought a business a camera .,PD,DO,FIND,BRING,THE,A,for,to
the son found the buddy the juice .,an employee brought a camera to a business .,DO,PD,FIND,BRING,THE,A,for,to
the son found the buddy the juice .,an employee brought a business a camera .,DO,DO,FIND,BRING,THE,A,for,to
the author found the candy for the worker .,a parent brought a meal to a club .,PD,PD,FIND,BRING,THE,A,for,to
the author found the candy for the worker .,a parent brought a club a meal .,PD,DO,FIND,BRING,THE,A,for,to
the author found the worker the candy .,a parent brought a meal to a club .,DO,PD,FIND,BRING,THE,A,for,to
the author found the worker the candy .,a parent brought a club a meal .,DO,DO,FIND,BRING,THE,A,for,to
the physician found the pie for the administration .,a prince brought a motor to a business .,PD,PD,FIND,BRING,THE,A,for,to
the physician found the pie for the administration .,a prince brought a business a motor .,PD,DO,FIND,BRING,THE,A,for,to
the physician found the administration the pie .,a prince brought a motor to a business .,DO,PD,FIND,BRING,THE,A,for,to
the physician found the administration the pie .,a prince brought a business a motor .,DO,DO,FIND,BRING,THE,A,for,to
the soldier found the plate for the army .,a colonel brought a bottle to a business .,PD,PD,FIND,BRING,THE,A,for,to
the soldier found the plate for the army .,a colonel brought a business a bottle .,PD,DO,FIND,BRING,THE,A,for,to
the soldier found the army the plate .,a colonel brought a bottle to a business .,DO,PD,FIND,BRING,THE,A,for,to
