prime_sentence,prime_structure,prime_verb,target_sentence,target_structure,target_verb,perplexity,log_prob
an actor bought a coffee for a father .,PD,BUY,the hero brought the partner the book .,DO,BRING,1663.7314453125,-51.917724609375
an actor bought a father a coffee .,DO,BUY,the hero brought the partner the book .,DO,BRING,1698.630615234375,-52.06304168701172
a lady kept a tea for a brother .,PD,KEEP,the hero brought the book to the partner .,PD,BRING,583.1461181640625,-50.94750213623047
a lady kept a brother a tea .,DO,KEEP,the hero brought the book to the partner .,PD,BRING,582.5702514648438,-50.939598083496094
a lady kept a tea for a brother .,PD,KEEP,the hero brought the partner the book .,DO,BRING,1687.1964111328125,-52.01576232910156
a lady kept a brother a tea .,DO,KEEP,the hero brought the partner the book .,DO,BRING,1698.35107421875,-52.0618896484375
a husband designed a hat for a guest .,PD,DESIGN,the hero brought the book to the partner .,PD,BRING,579.921142578125,-50.90313720703125
a husband designed a guest a hat .,DO,DESIGN,the hero brought the book to the partner .,PD,BRING,574.3089599609375,-50.825340270996094
a husband designed a hat for a guest .,PD,DESIGN,the hero brought the partner the book .,DO,BRING,1686.325927734375,-52.012149810791016
a husband designed a guest a hat .,DO,DESIGN,the hero brought the partner the book .,DO,BRING,1670.9329833984375,-51.947959899902344
an army designed a gun for an administration .,PD,DESIGN,the hero brought the book to the partner .,PD,BRING,599.7594604492188,-51.1722297668457
an army designed an administration a gun .,DO,DESIGN,the hero brought the book to the partner .,PD,BRING,580.7308349609375,-50.91429901123047
an army designed a gun for an administration .,PD,DESIGN,the hero brought the partner the book .,DO,BRING,1738.671875,-52.22613525390625
an army designed an administration a gun .,DO,DESIGN,the hero brought the partner the book .,DO,BRING,1687.8623046875,-52.018524169921875
a worker made a card for an actress .,PD,MAKE,the hero brought the book to the partner .,PD,BRING,591.6145629882812,-51.062843322753906
a worker made an actress a card .,DO,MAKE,the hero brought the book to the partner .,PD,BRING,602.8857421875,-51.21382141113281
a worker made a card for an actress .,PD,MAKE,the hero brought the partner the book .,DO,BRING,1714.617919921875,-52.12861633300781
a worker made an actress a card .,DO,MAKE,the hero brought the partner the book .,DO,BRING,1750.976806640625,-52.2755012512207
a professor made a motor for a lawyer .,PD,MAKE,the hero brought the book to the partner .,PD,BRING,600.2944946289062,-51.17936325073242
a professor made a lawyer a motor .,DO,MAKE,the hero brought the book to the partner .,PD,BRING,583.3257446289062,-50.94996643066406
a professor made a motor for a lawyer .,PD,MAKE,the hero brought the partner the book .,DO,BRING,1737.8553466796875,-52.22284698486328
a professor made a lawyer a motor .,DO,MAKE,the hero brought the partner the book .,DO,BRING,1691.997314453125,-52.03565216064453
a physician drew a machine for a daughter .,PD,DRAW,the hero brought the book to the partner .,PD,BRING,583.2081298828125,-50.9483528137207
a physician drew a daughter a machine .,DO,DRAW,the hero brought the book to the partner .,PD,BRING,574.0713500976562,-50.82202911376953
a physician drew a machine for a daughter .,PD,DRAW,the hero brought the partner the book .,DO,BRING,1690.358642578125,-52.02886962890625
a physician drew a daughter a machine .,DO,DRAW,the hero brought the partner the book .,DO,BRING,1684.53759765625,-52.004722595214844
an actor promised a chicken to a reader .,PD,PROMISE,the prince made the wire for the worker .,PD,MAKE,759.205322265625,-53.05817794799805
an actor promised a reader a chicken .,DO,PROMISE,the prince made the wire for the worker .,PD,MAKE,746.5554809570312,-52.92375946044922
an actor promised a chicken to a reader .,PD,PROMISE,the prince made the worker the wire .,DO,MAKE,2418.00146484375,-54.534873962402344
an actor promised a reader a chicken .,DO,PROMISE,the prince made the worker the wire .,DO,MAKE,2365.1533203125,-54.380184173583984
a reader took a flower to a lawyer .,PD,TAKE,the prince made the wire for the worker .,PD,MAKE,758.3116455078125,-53.04875564575195
a reader took a lawyer a flower .,DO,TAKE,the prince made the wire for the worker .,PD,MAKE,736.834716796875,-52.81890869140625
a reader took a flower to a lawyer .,PD,TAKE,the prince made the worker the wire .,DO,MAKE,2409.56689453125,-54.510414123535156
a reader took a lawyer a flower .,DO,TAKE,the prince made the worker the wire .,DO,MAKE,2330.88671875,-54.27802658081055
a president sold a salad to a company .,PD,SELL,the prince made the wire for the worker .,PD,MAKE,752.632568359375,-52.988616943359375
a president sold a company a salad .,DO,SELL,the prince made the wire for the worker .,PD,MAKE,759.5138549804688,-53.06142807006836
a president sold a salad to a company .,PD,SELL,the prince made the worker the wire .,DO,MAKE,2390.09130859375,-54.45360565185547
a president sold a company a salad .,DO,SELL,the prince made the worker the wire .,DO,MAKE,2413.376708984375,-54.5214729309082
a singer showed a beer to a daughter .,PD,SHOW,the prince made the wire for the worker .,PD,MAKE,742.0870971679688,-52.875732421875
a singer showed a daughter a beer .,DO,SHOW,the prince made the wire for the worker .,PD,MAKE,757.200927734375,-53.03702926635742
a singer showed a beer to a daughter .,PD,SHOW,the prince made the worker the wire .,DO,MAKE,2352.289306640625,-54.34200668334961
a singer showed a daughter a beer .,DO,SHOW,the prince made the worker the wire .,DO,MAKE,2407.264892578125,-54.50372314453125
a candidate fed a chicken to a partner .,PD,FEED,the prince made the wire for the worker .,PD,MAKE,747.4356689453125,-52.93318557739258
a candidate fed a partner a chicken .,DO,FEED,the prince made the wire for the worker .,PD,MAKE,754.286376953125,-53.00617599487305
a candidate fed a chicken to a partner .,PD,FEED,the prince made the worker the wire .,DO,MAKE,2371.64404296875,-54.39936828613281
a candidate fed a partner a chicken .,DO,FEED,the prince made the worker the wire .,DO,MAKE,2393.3798828125,-54.46323013305664
a doctor took a flower to a boy .,PD,TAKE,the prince made the wire for the worker .,PD,MAKE,749.364501953125,-52.95380401611328
a doctor took a boy a flower .,DO,TAKE,the prince made the wire for the worker .,PD,MAKE,736.5909423828125,-52.816261291503906
a doctor took a flower to a boy .,PD,TAKE,the prince made the worker the wire .,DO,MAKE,2376.448974609375,-54.413536071777344
a doctor took a boy a flower .,DO,TAKE,the prince made the worker the wire .,DO,MAKE,2328.878173828125,-54.27199172973633
a nurse promised a chocolate to a wife .,PD,PROMISE,the prince made the wire for the worker .,PD,MAKE,741.1884765625,-52.86603927612305
a nurse promised a wife a chocolate .,DO,PROMISE,the prince made the wire for the worker .,PD,MAKE,756.9865112304688,-53.03476333618164
a nurse promised a chocolate to a wife .,PD,PROMISE,the prince made the worker the wire .,DO,MAKE,2347.31787109375,-54.32719802856445
a nurse promised a wife a chocolate .,DO,PROMISE,the prince made the worker the wire .,DO,MAKE,2410.603515625,-54.513423919677734
a writer brought a camera to a husband .,PD,BRING,the prince made the wire for the worker .,PD,MAKE,755.0286865234375,-53.01404571533203
a writer brought a husband a camera .,DO,BRING,the prince made the wire for the worker .,PD,MAKE,770.1207885742188,-53.17237854003906
a writer brought a camera to a husband .,PD,BRING,the prince made the worker the wire .,DO,MAKE,2401.902587890625,-54.48811340332031
a writer brought a husband a camera .,DO,BRING,the prince made the worker the wire .,DO,MAKE,2456.799560546875,-54.64630126953125
a reader took a bell to a brother .,PD,TAKE,the prince made the wire for the worker .,PD,MAKE,745.6045532226562,-52.9135627746582
a reader took a brother a bell .,DO,TAKE,the prince made the wire for the worker .,PD,MAKE,755.078369140625,-53.01457214355469
a reader took a bell to a brother .,PD,TAKE,the prince made the worker the wire .,DO,MAKE,2361.8779296875,-54.3704833984375
a reader took a brother a bell .,DO,TAKE,the prince made the worker the wire .,DO,MAKE,2400.81396484375,-54.48493957519531
a minister supplied a cup to a father .,PD,SUPPLY,the prince made the wire for the worker .,PD,MAKE,735.5219116210938,-52.80464172363281
a minister supplied a father a cup .,DO,SUPPLY,the prince made the wire for the worker .,PD,MAKE,745.1620483398438,-52.9088134765625
a minister supplied a cup to a father .,PD,SUPPLY,the prince made the worker the wire .,DO,MAKE,2324.707763671875,-54.25944519042969
a minister supplied a father a cup .,DO,SUPPLY,the prince made the worker the wire .,DO,MAKE,2362.892333984375,-54.37348937988281
the physician got the machine for the friend .,PD,GET,a captain showed an anchor to a pilot .,PD,SHOW,582.8842163085938,-50.94390869140625
the physician got the friend the machine .,DO,GET,a captain showed an anchor to a pilot .,PD,SHOW,586.2547607421875,-50.99003601074219
the physician got the machine for the friend .,PD,GET,a captain showed a pilot an anchor .,DO,SHOW,1267.2998046875,-50.01250457763672
the physician got the friend the machine .,DO,GET,a captain showed a pilot an anchor .,DO,SHOW,1276.4559326171875,-50.062896728515625
the parent kept the beer for the wife .,PD,KEEP,a captain showed an anchor to a pilot .,PD,SHOW,592.9561157226562,-51.080963134765625
the parent kept the wife the beer .,DO,KEEP,a captain showed an anchor to a pilot .,PD,SHOW,588.8935546875,-51.025962829589844
the parent kept the beer for the wife .,PD,KEEP,a captain showed a pilot an anchor .,DO,SHOW,1295.0135498046875,-50.16393280029297
the parent kept the wife the beer .,DO,KEEP,a captain showed a pilot an anchor .,DO,SHOW,1285.0966796875,-50.11012268066406
the manager drew the knife for the administration .,PD,DRAW,a captain showed an anchor to a pilot .,PD,SHOW,591.3511962890625,-51.05928039550781
the manager drew the administration the knife .,DO,DRAW,a captain showed an anchor to a pilot .,PD,SHOW,584.042724609375,-50.95979309082031
the manager drew the knife for the administration .,PD,DRAW,a captain showed a pilot an anchor .,DO,SHOW,1290.983154296875,-50.142112731933594
the manager drew the administration the knife .,DO,DRAW,a captain showed a pilot an anchor .,DO,SHOW,1274.422119140625,-50.051734924316406
the champion drew the cup for the club .,PD,DRAW,a captain showed an anchor to a pilot .,PD,SHOW,586.5841674804688,-50.994529724121094
the champion drew the club the cup .,DO,DRAW,a captain showed an anchor to a pilot .,PD,SHOW,586.5752563476562,-50.994407653808594
the champion drew the cup for the club .,PD,DRAW,a captain showed a pilot an anchor .,DO,SHOW,1276.5296630859375,-50.06330108642578
the champion drew the club the cup .,DO,DRAW,a captain showed a pilot an anchor .,DO,SHOW,1278.1676025390625,-50.0722770690918
the champion delivered the beer for the cousin .,PD,DELIVER,a captain showed an anchor to a pilot .,PD,SHOW,591.646484375,-51.06327438354492
the champion delivered the cousin the beer .,DO,DELIVER,a captain showed an anchor to a pilot .,PD,SHOW,589.6560668945312,-51.03631591796875
the champion delivered the beer for the cousin .,PD,DELIVER,a captain showed a pilot an anchor .,DO,SHOW,1289.316650390625,-50.13307189941406
the champion delivered the cousin the beer .,DO,DELIVER,a captain showed a pilot an anchor .,DO,SHOW,1286.6019287109375,-50.118316650390625
the priest found the computer for the club .,PD,FIND,a captain showed an anchor to a pilot .,PD,SHOW,585.9049072265625,-50.985260009765625
the priest found the club the computer .,DO,FIND,a captain showed an anchor to a pilot .,PD,SHOW,581.7865600585938,-50.928829193115234
the priest found the computer for the club .,PD,FIND,a captain showed a pilot an anchor .,DO,SHOW,1276.53369140625,-50.063323974609375
the priest found the club the computer .,DO,FIND,a captain showed a pilot an anchor .,DO,SHOW,1266.630126953125,-50.00880432128906
the lady made the bottle for the band .,PD,MAKE,a captain showed an anchor to a pilot .,PD,SHOW,589.7393798828125,-51.037445068359375
the lady made the band the bottle .,DO,MAKE,a captain showed an anchor to a pilot .,PD,SHOW,588.1972045898438,-51.01649856567383
the lady made the bottle for the band .,PD,MAKE,a captain showed a pilot an anchor .,DO,SHOW,1285.8470458984375,-50.11420822143555
the lady made the band the bottle .,DO,MAKE,a captain showed a pilot an anchor .,DO,SHOW,1282.459228515625,-50.095741271972656
the father made the telephone for the kid .,PD,MAKE,a captain showed an anchor to a pilot .,PD,SHOW,587.114501953125,-51.00175857543945
the father made the kid the telephone .,DO,MAKE,a captain showed an anchor to a pilot .,PD,SHOW,579.8260498046875,-50.901824951171875
the father made the telephone for the kid .,PD,MAKE,a captain showed a pilot an anchor .,DO,SHOW,1283.4918212890625,-50.101375579833984
the father made the kid the telephone .,DO,MAKE,a captain showed a pilot an anchor .,DO,SHOW,1261.2890625,-49.979225158691406
the author purchased the chocolate for the winner .,PD,PURCHASE,a captain showed an anchor to a pilot .,PD,SHOW,592.1502685546875,-51.07008361816406
the author purchased the winner the chocolate .,DO,PURCHASE,a captain showed an anchor to a pilot .,PD,SHOW,584.9892578125,-50.972747802734375
the author purchased the chocolate for the winner .,PD,PURCHASE,a captain showed a pilot an anchor .,DO,SHOW,1289.050537109375,-50.13162612915039
the author purchased the winner the chocolate .,DO,PURCHASE,a captain showed a pilot an anchor .,DO,SHOW,1273.87841796875,-50.04874801635742
the opponent found the bag for the daughter .,PD,FIND,a captain showed an anchor to a pilot .,PD,SHOW,589.8186645507812,-51.03852081298828
the opponent found the daughter the bag .,DO,FIND,a captain showed an anchor to a pilot .,PD,SHOW,590.5925903320312,-51.04901123046875
the opponent found the bag for the daughter .,PD,FIND,a captain showed a pilot an anchor .,DO,SHOW,1285.4490966796875,-50.11204147338867
the opponent found the daughter the bag .,DO,FIND,a captain showed a pilot an anchor .,DO,SHOW,1294.272705078125,-50.15992736816406
a corporation designed a camera for a band .,PD,DESIGN,the lawyer gave the card to the teacher .,PD,GIVE,398.9302978515625,-47.91029357910156
a corporation designed a band a camera .,DO,DESIGN,the lawyer gave the card to the teacher .,PD,GIVE,400.9437561035156,-47.95056915283203
a corporation designed a camera for a band .,PD,DESIGN,the lawyer gave the teacher the card .,DO,GIVE,870.4274291992188,-47.38288879394531
a corporation designed a band a camera .,DO,DESIGN,the lawyer gave the teacher the card .,DO,GIVE,875.2210083007812,-47.42133331298828
a worker drew an anchor for a captain .,PD,DRAW,the lawyer gave the card to the teacher .,PD,GIVE,401.0926818847656,-47.95354080200195
a worker drew a captain an anchor .,DO,DRAW,the lawyer gave the card to the teacher .,PD,GIVE,392.4547119140625,-47.77936935424805
a worker drew an anchor for a captain .,PD,DRAW,the lawyer gave the teacher the card .,DO,GIVE,872.4000854492188,-47.39873504638672
a worker drew a captain an anchor .,DO,DRAW,the lawyer gave the teacher the card .,DO,GIVE,851.4779052734375,-47.22881317138672
a minister left a cheese for a club .,PD,LEAVE,the lawyer gave the card to the teacher .,PD,GIVE,399.8241882324219,-47.928199768066406
a minister left a club a cheese .,DO,LEAVE,the lawyer gave the card to the teacher .,PD,GIVE,392.3883056640625,-47.77801513671875
a minister left a cheese for a club .,PD,LEAVE,the lawyer gave the teacher the card .,DO,GIVE,871.2455444335938,-47.38946533203125
a minister left a club a cheese .,DO,LEAVE,the lawyer gave the teacher the card .,DO,GIVE,857.50634765625,-47.2781982421875
a worker purchased a candy for a band .,PD,PURCHASE,the lawyer gave the card to the teacher .,PD,GIVE,400.6639709472656,-47.944984436035156
a worker purchased a band a candy .,DO,PURCHASE,the lawyer gave the card to the teacher .,PD,GIVE,392.2216491699219,-47.77461624145508
a worker purchased a candy for a band .,PD,PURCHASE,the lawyer gave the teacher the card .,DO,GIVE,873.93701171875,-47.41105651855469
a worker purchased a band a candy .,DO,PURCHASE,the lawyer gave the teacher the card .,DO,GIVE,856.4009399414062,-47.269168853759766
a prince drew a telephone for a corporation .,PD,DRAW,the lawyer gave the card to the teacher .,PD,GIVE,400.8707275390625,-47.94911193847656
a prince drew a corporation a telephone .,DO,DRAW,the lawyer gave the card to the teacher .,PD,GIVE,386.1155700683594,-47.64909362792969
a prince drew a telephone for a corporation .,PD,DRAW,the lawyer gave the teacher the card .,DO,GIVE,872.5265502929688,-47.399749755859375
a prince drew a corporation a telephone .,DO,DRAW,the lawyer gave the teacher the card .,DO,GIVE,840.7374267578125,-47.13995361328125
a brother drew an instrument for a champion .,PD,DRAW,the lawyer gave the card to the teacher .,PD,GIVE,394.3522033691406,-47.817955017089844
a brother drew a champion an instrument .,DO,DRAW,the lawyer gave the card to the teacher .,PD,GIVE,395.6195373535156,-47.843624114990234
a brother drew an instrument for a champion .,PD,DRAW,the lawyer gave the teacher the card .,DO,GIVE,857.52783203125,-47.27837371826172
a brother drew a champion an instrument .,DO,DRAW,the lawyer gave the teacher the card .,DO,GIVE,863.4649658203125,-47.3266716003418
a sheriff purchased a box for an author .,PD,PURCHASE,the lawyer gave the card to the teacher .,PD,GIVE,397.5361022949219,-47.882286071777344
a sheriff purchased an author a box .,DO,PURCHASE,the lawyer gave the card to the teacher .,PD,GIVE,404.2387390136719,-48.01604461669922
