prime_sentence,prime_structure,prime_verb,target_sentence,target_structure,target_verb,perplexity,log_prob
a leader left me a pie .,DO,LEAVE,the physician sent the cheese to you .,PD,SEND,1003.9381103515625,-48.381797790527344
a leader left a pie for me .,PD,LEAVE,the physician sent you the cheese .,DO,SEND,3604.7685546875,-49.14007568359375
a leader left me a pie .,DO,LEAVE,the physician sent you the cheese .,DO,SEND,3505.29345703125,-48.97217559814453
an employee left a pot for him .,PD,LEAVE,the physician sent the cheese to you .,PD,SEND,1032.0191650390625,-48.57490539550781
an employee left him a pot .,DO,LEAVE,the physician sent the cheese to you .,PD,SEND,1016.6012573242188,-48.469539642333984
an employee left a pot for him .,PD,LEAVE,the physician sent you the cheese .,DO,SEND,3625.744873046875,-49.174888610839844
an employee left him a pot .,DO,LEAVE,the physician sent you the cheese .,DO,SEND,3569.80517578125,-49.08159637451172
an attorney saved a bowl for it .,PD,SAVE,the physician sent the cheese to me .,PD,SEND,687.7371826171875,-45.73384475708008
an attorney saved it a bowl .,DO,SAVE,the physician sent the cheese to me .,PD,SEND,697.0960693359375,-45.828460693359375
an attorney saved a bowl for it .,PD,SAVE,the physician sent me the cheese .,DO,SEND,2151.110107421875,-46.04243469238281
an attorney saved it a bowl .,DO,SAVE,the physician sent me the cheese .,DO,SEND,2163.465087890625,-46.07679748535156
a secretary sold a juice to you .,PD,SELL,the doctor delivered the anchor for you .,PD,DELIVER,1543.729248046875,-51.39369201660156
a secretary sold you a juice .,DO,SELL,the doctor delivered the anchor for you .,PD,DELIVER,1557.1881103515625,-51.4544563293457
a secretary sold a juice to you .,PD,SELL,the doctor delivered you the anchor .,DO,DELIVER,3787.27880859375,-49.43641662597656
a secretary sold you a juice .,DO,SELL,the doctor delivered you the anchor .,DO,DELIVER,3796.232177734375,-49.450584411621094
a buddy promised a meal to her .,PD,PROMISE,the doctor delivered the anchor for me .,PD,DELIVER,1046.7127685546875,-48.673866271972656
a buddy promised her a meal .,DO,PROMISE,the doctor delivered the anchor for me .,PD,DELIVER,1019.0034790039062,-48.486061096191406
a buddy promised a meal to her .,PD,PROMISE,the doctor delivered me the anchor .,DO,DELIVER,2301.80810546875,-46.448699951171875
a buddy promised her a meal .,DO,PROMISE,the doctor delivered me the anchor .,DO,DELIVER,2244.39892578125,-46.297157287597656
a cop showed a book to you .,PD,SHOW,the doctor delivered the anchor for me .,PD,DELIVER,1006.7590942382812,-48.40143966674805
a cop showed you a book .,DO,SHOW,the doctor delivered the anchor for me .,PD,DELIVER,1001.2832641601562,-48.36326217651367
a cop showed a book to you .,PD,SHOW,the doctor delivered me the anchor .,DO,DELIVER,2217.630859375,-46.22516632080078
a cop showed you a book .,DO,SHOW,the doctor delivered me the anchor .,DO,DELIVER,2204.957763671875,-46.19078063964844
a captain threw a pie to me .,PD,THROW,the doctor delivered the anchor for me .,PD,DELIVER,1008.51025390625,-48.413604736328125
a captain threw me a pie .,DO,THROW,the doctor delivered the anchor for me .,PD,DELIVER,1001.8673706054688,-48.36734390258789
a captain threw a pie to me .,PD,THROW,the doctor delivered me the anchor .,DO,DELIVER,2228.247314453125,-46.253822326660156
a captain threw me a pie .,DO,THROW,the doctor delivered me the anchor .,DO,DELIVER,2204.764404296875,-46.19025421142578
a parent supplied a meal to me .,PD,SUPPLY,the doctor delivered the anchor for you .,PD,DELIVER,1580.2110595703125,-51.557193756103516
a parent supplied me a meal .,DO,SUPPLY,the doctor delivered the anchor for you .,PD,DELIVER,1546.73046875,-51.40728759765625
a parent supplied a meal to me .,PD,SUPPLY,the doctor delivered you the anchor .,DO,DELIVER,3864.72216796875,-49.55786895751953
a parent supplied me a meal .,DO,SUPPLY,the doctor delivered you the anchor .,DO,DELIVER,3789.906494140625,-49.44057846069336
a singer fed a chicken to you .,PD,FEED,the doctor delivered the anchor for you .,PD,DELIVER,1543.4012451171875,-51.39220428466797
a singer fed you a chicken .,DO,FEED,the doctor delivered the anchor for you .,PD,DELIVER,1540.9815673828125,-51.381221771240234
a singer fed a chicken to you .,PD,FEED,the doctor delivered you the anchor .,DO,DELIVER,3795.305419921875,-49.449119567871094
a singer fed you a chicken .,DO,FEED,the doctor delivered you the anchor .,DO,DELIVER,3764.32177734375,-49.39993667602539
an aunt sold a beer to him .,PD,SELL,the doctor delivered the anchor for me .,PD,DELIVER,1025.23974609375,-48.528770446777344
an aunt sold him a beer .,DO,SELL,the doctor delivered the anchor for me .,PD,DELIVER,1026.755615234375,-48.53911209106445
an aunt sold a beer to him .,PD,SELL,the doctor delivered me the anchor .,DO,DELIVER,2261.656982421875,-46.343116760253906
an aunt sold him a beer .,DO,SELL,the doctor delivered me the anchor .,DO,DELIVER,2255.09228515625,-46.32567596435547
a princess supplied a cheese to her .,PD,SUPPLY,the doctor delivered the anchor for me .,PD,DELIVER,1032.6171875,-48.57896041870117
a princess supplied her a cheese .,DO,SUPPLY,the doctor delivered the anchor for me .,PD,DELIVER,1029.027587890625,-48.55458450317383
a princess supplied a cheese to her .,PD,SUPPLY,the doctor delivered me the anchor .,DO,DELIVER,2259.88916015625,-46.33842468261719
a princess supplied her a cheese .,DO,SUPPLY,the doctor delivered me the anchor .,DO,DELIVER,2253.47998046875,-46.32138442993164
a girl promised a chocolate to you .,PD,PROMISE,the doctor delivered the anchor for them .,PD,DELIVER,932.9818725585938,-47.86869812011719
a girl promised you a chocolate .,DO,PROMISE,the doctor delivered the anchor for them .,PD,DELIVER,930.1683349609375,-47.847557067871094
a girl promised a chocolate to you .,PD,PROMISE,the doctor delivered them the anchor .,DO,DELIVER,2068.081787109375,-45.80625915527344
a girl promised you a chocolate .,DO,PROMISE,the doctor delivered them the anchor .,DO,DELIVER,2062.18408203125,-45.78912353515625
a son fed a chicken to them .,PD,FEED,the doctor delivered the anchor for you .,PD,DELIVER,1527.7744140625,-51.32096862792969
a son fed them a chicken .,DO,FEED,the doctor delivered the anchor for you .,PD,DELIVER,1558.46826171875,-51.460208892822266
a son fed a chicken to them .,PD,FEED,the doctor delivered you the anchor .,DO,DELIVER,3757.808349609375,-49.38954544067383
a son fed them a chicken .,DO,FEED,the doctor delivered you the anchor .,DO,DELIVER,3812.73828125,-49.47661590576172
a pilot drew a crystal for him .,PD,DRAW,the hero brought the book to us .,PD,BRING,407.2902526855469,-42.066680908203125
a pilot drew him a crystal .,DO,DRAW,the hero brought the book to us .,PD,BRING,402.6448059082031,-41.98638153076172
a pilot drew a crystal for him .,PD,DRAW,the hero brought us the book .,DO,BRING,1380.810302734375,-43.38255310058594
a pilot drew him a crystal .,DO,DRAW,the hero brought us the book .,DO,BRING,1363.5499267578125,-43.30707931518555
a captain drew a crystal for me .,PD,DRAW,the hero brought the book to it .,PD,BRING,361.1338806152344,-41.22473907470703
a captain drew me a crystal .,DO,DRAW,the hero brought the book to it .,PD,BRING,358.290283203125,-41.169403076171875
a captain drew a crystal for me .,PD,DRAW,the hero brought it the book .,DO,BRING,1334.255126953125,-43.1767692565918
a captain drew me a crystal .,DO,DRAW,the hero brought it the book .,DO,BRING,1326.0982666015625,-43.139976501464844
a kid purchased an anchor for you .,PD,PURCHASE,the hero brought the book to us .,PD,BRING,402.6448059082031,-41.98638153076172
a kid purchased you an anchor .,DO,PURCHASE,the hero brought the book to us .,PD,BRING,396.1615905761719,-41.87275314331055
a kid purchased an anchor for you .,PD,PURCHASE,the hero brought us the book .,DO,BRING,1355.8138427734375,-43.27294158935547
a kid purchased you an anchor .,DO,PURCHASE,the hero brought us the book .,DO,BRING,1345.4825439453125,-43.227046966552734
an actor bought a coffee for you .,PD,BUY,the hero brought the book to us .,PD,BRING,405.17962646484375,-42.030311584472656
an actor bought you a coffee .,DO,BUY,the hero brought the book to us .,PD,BRING,395.53363037109375,-41.86164855957031
an actor bought a coffee for you .,PD,BUY,the hero brought us the book .,DO,BRING,1367.5618896484375,-43.32470703125
an actor bought you a coffee .,DO,BUY,the hero brought us the book .,DO,BRING,1341.2906494140625,-43.20832443237305
a lady kept a tea for you .,PD,KEEP,the hero brought the book to me .,PD,BRING,379.2099304199219,-41.566627502441406
a lady kept you a tea .,DO,KEEP,the hero brought the book to me .,PD,BRING,374.03131103515625,-41.470375061035156
a lady kept a tea for you .,PD,KEEP,the hero brought me the book .,DO,BRING,939.5831298828125,-41.07261657714844
a lady kept you a tea .,DO,KEEP,the hero brought me the book .,DO,BRING,934.4864501953125,-41.039981842041016
a husband designed a hat for us .,PD,DESIGN,the hero brought the book to us .,PD,BRING,399.26763916015625,-41.92742156982422
a husband designed us a hat .,DO,DESIGN,the hero brought the book to us .,PD,BRING,394.6731872558594,-41.846405029296875
a husband designed a hat for us .,PD,DESIGN,the hero brought us the book .,DO,BRING,1348.1602783203125,-43.238975524902344
a husband designed us a hat .,DO,DESIGN,the hero brought us the book .,DO,BRING,1337.2308349609375,-43.19013595581055
an army designed a gun for you .,PD,DESIGN,the hero brought the book to me .,PD,BRING,378.07647705078125,-41.54567337036133
an army designed you a gun .,DO,DESIGN,the hero brought the book to me .,PD,BRING,364.9897766113281,-41.2990837097168
an army designed a gun for you .,PD,DESIGN,the hero brought me the book .,DO,BRING,936.685546875,-41.05408477783203
an army designed you a gun .,DO,DESIGN,the hero brought me the book .,DO,BRING,908.2766723632812,-40.869293212890625
a worker made a card for you .,PD,MAKE,the hero brought the book to me .,PD,BRING,378.4582214355469,-41.552738189697266
a worker made you a card .,DO,MAKE,the hero brought the book to me .,PD,BRING,378.23822021484375,-41.548667907714844
a worker made a card for you .,PD,MAKE,the hero brought me the book .,DO,BRING,937.4725952148438,-41.05912399291992
a worker made you a card .,DO,MAKE,the hero brought me the book .,DO,BRING,943.2208862304688,-41.095802307128906
a professor made a motor for you .,PD,MAKE,the hero brought the book to them .,PD,BRING,398.3546142578125,-41.91139602661133
a professor made you a motor .,DO,MAKE,the hero brought the book to them .,PD,BRING,384.13079833984375,-41.65687942504883
a professor made a motor for you .,PD,MAKE,the hero brought them the book .,DO,BRING,1046.1268310546875,-41.717098236083984
a professor made you a motor .,DO,MAKE,the hero brought them the book .,DO,BRING,1014.9373779296875,-41.535491943359375
a physician drew a machine for him .,PD,DRAW,the hero brought the book to him .,PD,BRING,263.99212646484375,-39.03143310546875
a physician drew him a machine .,DO,DRAW,the hero brought the book to him .,PD,BRING,255.77513122558594,-38.810089111328125
a physician drew a machine for him .,PD,DRAW,the hero brought him the book .,DO,BRING,673.3203735351562,-39.073326110839844
a physician drew him a machine .,DO,DRAW,the hero brought him the book .,DO,BRING,653.0294189453125,-38.889732360839844
an actor promised a chicken to us .,PD,PROMISE,the prince made the wire for me .,PD,MAKE,1021.5856323242188,-48.50377655029297
an actor promised us a chicken .,DO,PROMISE,the prince made the wire for me .,PD,MAKE,1022.231689453125,-48.508201599121094
an actor promised a chicken to us .,PD,PROMISE,the prince made me the wire .,DO,MAKE,4426.06591796875,-50.37159729003906
an actor promised us a chicken .,DO,PROMISE,the prince made me the wire .,DO,MAKE,4442.58740234375,-50.393951416015625
a reader took a flower to me .,PD,TAKE,the prince made the wire for you .,PD,MAKE,1394.202392578125,-50.6805419921875
a reader took me a flower .,DO,TAKE,the prince made the wire for you .,PD,MAKE,1373.19921875,-50.57428741455078
a reader took a flower to me .,PD,TAKE,the prince made you the wire .,DO,MAKE,6084.376953125,-52.28087615966797
a reader took me a flower .,DO,TAKE,the prince made you the wire .,DO,MAKE,5965.30615234375,-52.16229248046875
a president sold a salad to you .,PD,SELL,the prince made the wire for him .,PD,MAKE,612.3334350585938,-44.920936584472656
a president sold you a salad .,DO,SELL,the prince made the wire for him .,PD,MAKE,621.2905883789062,-45.02259063720703
a president sold a salad to you .,PD,SELL,the prince made him the wire .,DO,MAKE,3049.09814453125,-48.13560485839844
a president sold you a salad .,DO,SELL,the prince made him the wire .,DO,MAKE,3105.612548828125,-48.24579620361328
a singer showed a beer to us .,PD,SHOW,the prince made the wire for him .,PD,MAKE,622.5499877929688,-45.036766052246094
a singer showed us a beer .,DO,SHOW,the prince made the wire for him .,PD,MAKE,623.4840087890625,-45.04726028442383
a singer showed a beer to us .,PD,SHOW,the prince made him the wire .,DO,MAKE,3105.468505859375,-48.24551773071289
a singer showed us a beer .,DO,SHOW,the prince made him the wire .,DO,MAKE,3099.76953125,-48.2344970703125
a candidate fed a chicken to me .,PD,FEED,the prince made the wire for you .,PD,MAKE,1434.5074462890625,-50.880035400390625
a candidate fed me a chicken .,DO,FEED,the prince made the wire for you .,PD,MAKE,1424.310791015625,-50.830101013183594
a candidate fed a chicken to me .,PD,FEED,the prince made you the wire .,DO,MAKE,6306.56640625,-52.49607849121094
a candidate fed me a chicken .,DO,FEED,the prince made you the wire .,DO,MAKE,6220.03662109375,-52.413185119628906
a doctor took a flower to her .,PD,TAKE,the prince made the wire for you .,PD,MAKE,1435.0133056640625,-50.882503509521484
a doctor took her a flower .,DO,TAKE,the prince made the wire for you .,PD,MAKE,1377.126220703125,-50.594276428222656
a doctor took a flower to her .,PD,TAKE,the prince made you the wire .,DO,MAKE,6218.2734375,-52.41148376464844
a doctor took her a flower .,DO,TAKE,the prince made you the wire .,DO,MAKE,5953.8935546875,-52.15080261230469
a nurse promised a chocolate to us .,PD,PROMISE,the prince made the wire for me .,PD,MAKE,1016.3869018554688,-48.46806335449219
a nurse promised us a chocolate .,DO,PROMISE,the prince made the wire for me .,PD,MAKE,1012.6196899414062,-48.44207000732422
a nurse promised a chocolate to us .,PD,PROMISE,the prince made me the wire .,DO,MAKE,4414.28515625,-50.35560607910156
a nurse promised us a chocolate .,DO,PROMISE,the prince made me the wire .,DO,MAKE,4395.021484375,-50.32936477661133
a writer brought a camera to me .,PD,BRING,the prince made the wire for him .,PD,MAKE,634.48388671875,-45.169681549072266
a writer brought me a camera .,DO,BRING,the prince made the wire for him .,PD,MAKE,639.9852905273438,-45.2301139831543
a writer brought a camera to me .,PD,BRING,the prince made him the wire .,DO,MAKE,3183.795166015625,-48.39497375488281
a writer brought me a camera .,DO,BRING,the prince made him the wire .,DO,MAKE,3228.568603515625,-48.478763580322266
a reader took a bell to her .,PD,TAKE,the prince made the wire for me .,PD,MAKE,1030.91796875,-48.56743240356445
a reader took her a bell .,DO,TAKE,the prince made the wire for me .,PD,MAKE,1033.4385986328125,-48.58452606201172
a reader took a bell to her .,PD,TAKE,the prince made me the wire .,DO,MAKE,4495.69775390625,-50.46525573730469
a reader took her a bell .,DO,TAKE,the prince made me the wire .,DO,MAKE,4524.3486328125,-50.50337219238281
a minister supplied a cup to you .,PD,SUPPLY,the prince made the wire for me .,PD,MAKE,1019.726806640625,-48.49102783203125
a minister supplied you a cup .,DO,SUPPLY,the prince made the wire for me .,PD,MAKE,1015.0197143554688,-48.458641052246094
a minister supplied a cup to you .,PD,SUPPLY,the prince made me the wire .,DO,MAKE,4412.1923828125,-50.352760314941406
a minister supplied you a cup .,DO,SUPPLY,the prince made me the wire .,DO,MAKE,4397.6376953125,-50.33293533325195
the physician got the machine for me .,PD,GET,a captain showed an anchor to him .,PD,SHOW,675.1713256835938,-45.60476303100586
the physician got me the machine .,DO,GET,a captain showed an anchor to him .,PD,SHOW,665.4398193359375,-45.503135681152344
the physician got the machine for me .,PD,GET,a captain showed him an anchor .,DO,SHOW,990.2149658203125,-41.38753128051758
the physician got me the machine .,DO,GET,a captain showed him an anchor .,DO,SHOW,975.2890014648438,-41.29640197753906
the parent kept the beer for them .,PD,KEEP,a captain showed an anchor to them .,PD,SHOW,855.8452758789062,-47.264625549316406
the parent kept them the beer .,DO,KEEP,a captain showed an anchor to them .,PD,SHOW,857.8970947265625,-47.28138732910156
the parent kept the beer for them .,PD,KEEP,a captain showed them an anchor .,DO,SHOW,1512.983154296875,-43.9310302734375
the parent kept them the beer .,DO,KEEP,a captain showed them an anchor .,DO,SHOW,1512.7408447265625,-43.93006896972656
the manager drew the knife for him .,PD,DRAW,a captain showed an anchor to them .,PD,SHOW,858.5406494140625,-47.28663635253906
the manager drew him the knife .,DO,DRAW,a captain showed an anchor to them .,PD,SHOW,851.461181640625,-47.228675842285156
the manager drew the knife for him .,PD,DRAW,a captain showed them an anchor .,DO,SHOW,1521.74853515625,-43.96569061279297
the manager drew him the knife .,DO,DRAW,a captain showed them an anchor .,DO,SHOW,1502.1982421875,-43.88810729980469
the champion drew the cup for him .,PD,DRAW,a captain showed an anchor to me .,PD,SHOW,908.7889404296875,-47.68478775024414
the champion drew him the cup .,DO,DRAW,a captain showed an anchor to me .,PD,SHOW,905.6005859375,-47.660186767578125
the champion drew the cup for him .,PD,DRAW,a captain showed me an anchor .,DO,SHOW,1581.5947265625,-44.1971321105957
the champion drew him the cup .,DO,DRAW,a captain showed me an anchor .,DO,SHOW,1566.60205078125,-44.139984130859375
the champion delivered the beer for us .,PD,DELIVER,a captain showed an anchor to me .,PD,SHOW,904.551513671875,-47.65207290649414
the champion delivered us the beer .,DO,DELIVER,a captain showed an anchor to me .,PD,SHOW,908.3892822265625,-47.68170928955078
the champion delivered the beer for us .,PD,DELIVER,a captain showed me an anchor .,DO,SHOW,1568.1527099609375,-44.14591979980469
the champion delivered us the beer .,DO,DELIVER,a captain showed me an anchor .,DO,SHOW,1570.0072021484375,-44.153011322021484
the priest found the computer for us .,PD,FIND,a captain showed an anchor to you .,PD,SHOW,1439.7711181640625,-50.90567398071289
the priest found us the computer .,DO,FIND,a captain showed an anchor to you .,PD,SHOW,1426.1126708984375,-50.838951110839844
the priest found the computer for us .,PD,FIND,a captain showed you an anchor .,DO,SHOW,2463.160400390625,-46.855201721191406
the priest found us the computer .,DO,FIND,a captain showed you an anchor .,DO,SHOW,2446.46533203125,-46.814395904541016
the lady made the bottle for her .,PD,MAKE,a captain showed an anchor to them .,PD,SHOW,853.1727905273438,-47.242733001708984
the lady made her the bottle .,DO,MAKE,a captain showed an anchor to them .,PD,SHOW,857.056884765625,-47.27452850341797
the lady made the bottle for her .,PD,MAKE,a captain showed them an anchor .,DO,SHOW,1497.21337890625,-43.8681640625
the lady made her the bottle .,DO,MAKE,a captain showed them an anchor .,DO,SHOW,1514.4287109375,-43.93675994873047
the father made the telephone for us .,PD,MAKE,a captain showed an anchor to you .,PD,SHOW,1436.78564453125,-50.891143798828125
the father made us the telephone .,DO,MAKE,a captain showed an anchor to you .,PD,SHOW,1427.46875,-50.845603942871094
the father made the telephone for us .,PD,MAKE,a captain showed you an anchor .,DO,SHOW,2457.031005859375,-46.84025192260742
the father made us the telephone .,DO,MAKE,a captain showed you an anchor .,DO,SHOW,2436.117431640625,-46.788963317871094
the author purchased the chocolate for us .,PD,PURCHASE,a captain showed an anchor to me .,PD,SHOW,906.5961303710938,-47.667877197265625
the author purchased us the chocolate .,DO,PURCHASE,a captain showed an anchor to me .,PD,SHOW,903.1619873046875,-47.64131164550781
the author purchased the chocolate for us .,PD,PURCHASE,a captain showed me an anchor .,DO,SHOW,1572.3037109375,-44.161781311035156
the author purchased us the chocolate .,DO,PURCHASE,a captain showed me an anchor .,DO,SHOW,1559.6414794921875,-44.11326599121094
the opponent found the bag for her .,PD,FIND,a captain showed an anchor to us .,PD,SHOW,1277.822021484375,-50.07038497924805
the opponent found her the bag .,DO,FIND,a captain showed an anchor to us .,PD,SHOW,1292.1063232421875,-50.14820098876953
the opponent found the bag for her .,PD,FIND,a captain showed us an anchor .,DO,SHOW,2108.889892578125,-45.923500061035156
the opponent found her the bag .,DO,FIND,a captain showed us an anchor .,DO,SHOW,2135.123291015625,-45.997676849365234
a corporation designed a camera for them .,PD,DESIGN,the lawyer gave the card to us .,PD,GIVE,603.8590087890625,-44.82338333129883
a corporation designed them a camera .,DO,DESIGN,the lawyer gave the card to us .,PD,GIVE,607.1921997070312,-44.861915588378906
a corporation designed a camera for them .,PD,DESIGN,the lawyer gave us the card .,DO,GIVE,1242.4793701171875,-42.749183654785156
a corporation designed them a camera .,DO,DESIGN,the lawyer gave us the card .,DO,GIVE,1251.0712890625,-42.790531158447266
a worker drew an anchor for him .,PD,DRAW,the lawyer gave the card to us .,PD,GIVE,605.7575073242188,-44.84535598754883
a worker drew him an anchor .,DO,DRAW,the lawyer gave the card to us .,PD,GIVE,588.235107421875,-44.63988494873047
a worker drew an anchor for him .,PD,DRAW,the lawyer gave us the card .,DO,GIVE,1247.0504150390625,-42.771217346191406
a worker drew him an anchor .,DO,DRAW,the lawyer gave us the card .,DO,GIVE,1199.781494140625,-42.53936767578125
a minister left a cheese for me .,PD,LEAVE,the lawyer gave the card to me .,PD,GIVE,456.7947082519531,-42.86963653564453
a minister left me a cheese .,DO,LEAVE,the lawyer gave the card to me .,PD,GIVE,448.4086608886719,-42.739933013916016
a minister left a cheese for me .,PD,LEAVE,the lawyer gave me the card .,DO,GIVE,836.6074829101562,-40.376129150390625
a minister left me a cheese .,DO,LEAVE,the lawyer gave me the card .,DO,GIVE,818.2158813476562,-40.24275588989258
a worker purchased a candy for you .,PD,PURCHASE,the lawyer gave the card to you .,PD,GIVE,670.1325073242188,-45.55232620239258
a worker purchased you a candy .,DO,PURCHASE,the lawyer gave the card to you .,PD,GIVE,657.2157592773438,-45.41608428955078
a worker purchased a candy for you .,PD,PURCHASE,the lawyer gave you the card .,DO,GIVE,1478.7489013671875,-43.79370880126953
a worker purchased you a candy .,DO,PURCHASE,the lawyer gave you the card .,DO,GIVE,1450.099365234375,-43.67632293701172
a prince drew a telephone for me .,PD,DRAW,the lawyer gave the card to them .,PD,GIVE,433.525634765625,-42.50365447998047
a prince drew me a telephone .,DO,DRAW,the lawyer gave the card to them .,PD,GIVE,416.3984680175781,-42.22149658203125
a prince drew a telephone for me .,PD,DRAW,the lawyer gave them the card .,DO,GIVE,803.107666015625,-40.13093185424805
a prince drew me a telephone .,DO,DRAW,the lawyer gave them the card .,DO,GIVE,764.6638793945312,-39.83661651611328
a brother drew an instrument for us .,PD,DRAW,the lawyer gave the card to it .,PD,GIVE,516.58544921875,-43.730682373046875
a brother drew us an instrument .,DO,DRAW,the lawyer gave the card to it .,PD,GIVE,515.8005981445312,-43.72003936767578
a brother drew an instrument for us .,PD,DRAW,the lawyer gave it the card .,DO,GIVE,861.9068603515625,-40.55488204956055
a brother drew us an instrument .,DO,DRAW,the lawyer gave it the card .,DO,GIVE,862.5301513671875,-40.55921936035156
a sheriff purchased a box for us .,PD,PURCHASE,the lawyer gave the card to me .,PD,GIVE,456.1007080078125,-42.85899353027344
a sheriff purchased us a box .,DO,PURCHASE,the lawyer gave the card to me .,PD,GIVE,457.8701171875,-42.8860969543457
a sheriff purchased a box for us .,PD,PURCHASE,the lawyer gave me the card .,DO,GIVE,833.4502563476562,-40.35344314575195
a sheriff purchased us a box .,DO,PURCHASE,the lawyer gave me the card .,DO,GIVE,834.8153686523438,-40.36326217651367
a boy bought a crystal for them .,PD,BUY,the lawyer gave the card to her .,PD,GIVE,401.96954345703125,-41.974632263183594
a boy bought them a crystal .,DO,BUY,the lawyer gave the card to her .,PD,GIVE,408.0522766113281,-42.07976531982422
a boy bought a crystal for them .,PD,BUY,the lawyer gave her the card .,DO,GIVE,682.8326416015625,-39.15749740600586
a boy bought them a crystal .,DO,BUY,the lawyer gave her the card .,DO,GIVE,692.05322265625,-39.23797607421875
a boy left a pie for them .,PD,LEAVE,the lawyer gave the card to us .,PD,GIVE,600.2156372070312,-44.78102111816406
a boy left them a pie .,DO,LEAVE,the lawyer gave the card to us .,PD,GIVE,588.193115234375,-44.63938522338867
a boy left a pie for them .,PD,LEAVE,the lawyer gave us the card .,DO,GIVE,1233.5057373046875,-42.705692291259766
a boy left them a pie .,DO,LEAVE,the lawyer gave us the card .,DO,GIVE,1205.91259765625,-42.569950103759766
a brother left a camera for us .,PD,LEAVE,the lawyer gave the card to him .,PD,GIVE,297.3759765625,-39.8649787902832
a brother left us a camera .,DO,LEAVE,the lawyer gave the card to him .,PD,GIVE,296.679931640625,-39.848575592041016
a brother left a camera for us .,PD,LEAVE,the lawyer gave him the card .,DO,GIVE,572.9176025390625,-38.10445022583008
a brother left us a camera .,DO,LEAVE,the lawyer gave him the card .,DO,GIVE,573.8267822265625,-38.11396408081055
the teacher caught the jacket for you .,PD,CATCH,an attorney brought an engine to you .,PD,BRING,920.9597778320312,-47.77791213989258
the teacher caught you the jacket .,DO,CATCH,an attorney brought an engine to you .,PD,BRING,951.4060668945312,-48.005584716796875
the teacher caught the jacket for you .,PD,CATCH,an attorney brought you an engine .,DO,BRING,2588.533935546875,-47.153079986572266
